time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529587076768,0.9289196,0.5558462,-0.8685701,0.909743,0.5608025,-0.8351235,0.8960997,0.5596687,-0.8126734,0.9420781,0.5551497,-0.7953705,0.9213015,0.5577289,-0.7768552,0.903442,0.5558771,-0.779299,0.9480371,0.5331318,-0.792717,0.9303395,0.5353891,-0.7636595,0.9113915,0.5371696,-0.7541884,0.9505393,0.5108237,-0.8012937,0.934868,0.5099002,-0.7730856,0.9169011,0.5112535,-0.7625038,0.9488485,0.4913018,-0.8141872,0.9372948,0.4883881,-0.7928826,0.9230219,0.4902551,-0.784571,0.9496281,0.5311645,-0.8518987,0.03438217,
1529587076808,0.9424832,0.5560642,-0.8796581,0.9236724,0.5600787,-0.845863,0.9104105,0.5585136,-0.8232518,0.9566326,0.5554764,-0.8069834,0.9356079,0.5575176,-0.7891129,0.9182431,0.5550886,-0.792868,0.9633018,0.5336082,-0.8044104,0.9460754,0.5355681,-0.7749313,0.9274344,0.5370514,-0.7648149,0.9659919,0.5114306,-0.8132024,0.9504251,0.5103377,-0.7850728,0.9322814,0.511529,-0.7748617,0.9645605,0.4919101,-0.8261764,0.9534523,0.4887803,-0.8046924,0.9392658,0.4904522,-0.7962314,0.9640401,0.5320377,-0.8635693,0.03156346,
1529587076848,0.9508123,0.5579261,-0.8885114,0.9318813,0.5614188,-0.8547179,0.9186352,0.5595078,-0.8322068,0.9647305,0.5568519,-0.8162895,0.9431003,0.5583696,-0.8003272,0.9267286,0.5552019,-0.8065875,0.9727288,0.5351738,-0.8135127,0.9563326,0.5371354,-0.7834247,0.9382794,0.5384884,-0.7720968,0.975866,0.513071,-0.8225598,0.9611539,0.5118818,-0.7940032,0.9431537,0.51293,-0.7838817,0.9748012,0.4934317,-0.8358009,0.9648821,0.4898211,-0.8137506,0.9510149,0.4912201,-0.805109,0.9728508,0.5339822,-0.8727849,0.02721018,
1529587076888,0.9589233,0.5611845,-0.8983232,0.9401729,0.5644695,-0.8644051,0.9272473,0.5623731,-0.8417912,0.9738657,0.5603853,-0.8265016,0.9521909,0.5608656,-0.8113586,0.9365205,0.5566266,-0.8186833,0.9838779,0.5392647,-0.8235332,0.9691309,0.540962,-0.7924012,0.9522363,0.541741,-0.7791637,0.988125,0.5172399,-0.8326767,0.9753999,0.5156069,-0.8030695,0.9582336,0.5158349,-0.7916549,0.9877572,0.4973224,-0.846046,0.9798942,0.4929276,-0.823144,0.9669223,0.4932939,-0.8132791,0.9824937,0.5378875,-0.8829543,0.0255536,
1529587076924,0.9631681,0.564511,-0.9024822,0.9447776,0.5675973,-0.868349,0.9321911,0.5652703,-0.8456149,0.9790128,0.5636853,-0.8310131,0.9574095,0.5636728,-0.8160874,0.9419826,0.5589591,-0.82369,0.9900852,0.5428945,-0.8280636,0.9767882,0.5445508,-0.7960638,0.9613597,0.5451795,-0.7809491,0.9947971,0.520973,-0.837353,0.9838846,0.5191689,-0.8067427,0.9683118,0.5188702,-0.7928234,0.9946871,0.5009036,-0.8508489,0.9885347,0.4959927,-0.8272913,0.9771729,0.4952712,-0.8153046,0.9874958,0.5414923,-0.8875306,0.02482754,
1529587076954,0.9639381,0.5674613,-0.9024748,0.9459578,0.5698785,-0.8680701,0.9338407,0.5670372,-0.8452277,0.9804412,0.5674486,-0.8314326,0.9588417,0.5665628,-0.8167671,0.9437729,0.5611706,-0.8246603,0.9929003,0.5471954,-0.8283689,0.9813987,0.5486462,-0.7953634,0.9684641,0.5490428,-0.7778596,0.998456,0.5255377,-0.8376926,0.990204,0.5235639,-0.8058012,0.9788429,0.5225257,-0.7876753,0.9989476,0.5052403,-0.8512222,0.9950866,0.4997616,-0.8270091,0.9873006,0.4973776,-0.8121624,0.9892715,0.5455146,-0.8878586,0.02358146,
1529587076981,0.9662864,0.5688175,-0.9063741,0.9486564,0.5707015,-0.8717556,0.9368491,0.5672823,-0.8488958,0.9834535,0.5686882,-0.8356367,0.9619131,0.5675417,-0.8210505,0.9468675,0.562011,-0.829015,0.9965121,0.5485689,-0.8326653,0.9863568,0.5499463,-0.7990791,0.9752738,0.5503843,-0.7802841,1.002286,0.5270585,-0.8421628,0.9964699,0.5250252,-0.809464,0.9897346,0.5237799,-0.7890836,1.00275,0.506642,-0.8558618,1.000641,0.500718,-0.8313879,0.9958943,0.497438,-0.8153788,0.9919436,0.5471137,-0.8921603,0.02287794,
1529587077007,0.968882,0.5704113,-0.9102527,0.951588,0.5717006,-0.8754381,0.9400957,0.5675026,-0.8525974,0.9865998,0.5705963,-0.8397419,0.9651514,0.5692785,-0.8251094,0.9500468,0.5636144,-0.832997,1.000121,0.5506384,-0.8367898,0.9908874,0.5520878,-0.8028865,0.9808955,0.5525944,-0.7834694,1.006072,0.5291885,-0.8463309,1.001704,0.5272642,-0.8133205,0.9962962,0.5260575,-0.7925712,1.006501,0.508671,-0.8600516,1.005352,0.5026844,-0.8354971,1.001824,0.4991885,-0.8192108,0.994809,0.549022,-0.8962806,0.02232299,
1529587077034,0.9726591,0.5706103,-0.9160539,0.9560432,0.5716882,-0.8809035,0.9450544,0.5672767,-0.8578712,0.9914991,0.5711842,-0.8458943,0.970296,0.5696684,-0.8309121,0.9550382,0.5638607,-0.8384819,1.005324,0.5513533,-0.8430983,0.9969766,0.5527596,-0.8089204,0.9880012,0.5532556,-0.7889974,1.011334,0.5299518,-0.8526891,1.008162,0.5280308,-0.8194884,1.004,0.5267992,-0.7984554,1.011681,0.5093785,-0.8663751,1.011201,0.5033507,-0.8417941,1.008435,0.4997356,-0.8253821,0.9989219,0.5495827,-0.9024895,0.02207465,
1529587077060,0.97706,0.570655,-0.922226,0.9609452,0.5720204,-0.886853,0.9502232,0.5677873,-0.8636702,0.9968588,0.5711262,-0.8523341,0.9758307,0.5699027,-0.8370168,0.9602928,0.5642885,-0.8442408,1.010569,0.5511402,-0.8496672,1.002908,0.5527197,-0.8153284,0.9944338,0.5533803,-0.7951909,1.016222,0.5296206,-0.8593016,1.013811,0.5277607,-0.8260248,1.010231,0.5265933,-0.8048824,1.016066,0.5089663,-0.8729699,1.016034,0.5028647,-0.8483967,1.013535,0.4992376,-0.8319476,1.003247,0.5493433,-0.9089751,0.02216172,
