time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529586929378,0.8709973,0.5342878,-0.9896315,0.8579125,0.5536592,-0.9589787,0.8454909,0.5596976,-0.9367181,0.8804805,0.5412735,-0.9162185,0.8604699,0.5504497,-0.8984886,0.8426917,0.5530444,-0.9008582,0.8782483,0.5219784,-0.9105043,0.8566275,0.5343715,-0.8898256,0.8369703,0.5411175,-0.8917156,0.876484,0.4980217,-0.9129341,0.8582425,0.5070746,-0.8896952,0.8394074,0.515178,-0.8874615,0.8694046,0.4774462,-0.9214997,0.8552645,0.4826909,-0.9034529,0.8412079,0.4909196,-0.9020581,0.8815629,0.5066165,-0.9664631,0.03657912,
1529586929421,0.8741744,0.5398939,-0.9951785,0.8626431,0.5626226,-0.9662162,0.8517578,0.5716045,-0.9440343,0.8854796,0.55292,-0.9218014,0.86736,0.5624588,-0.9017984,0.8492933,0.5644728,-0.9010388,0.8849359,0.5340462,-0.9145019,0.8650241,0.5467424,-0.891839,0.8449481,0.5525375,-0.8909121,0.8846781,0.5097924,-0.9151738,0.868364,0.5192055,-0.8900926,0.8496219,0.5262356,-0.8849707,0.8789728,0.4877621,-0.9217035,0.866499,0.4926559,-0.902026,0.8520907,0.4995605,-0.8983333,0.8861808,0.5140007,-0.9697412,0.0436526,
1529586929457,0.8764688,0.5447524,-0.9982601,0.8674265,0.5705474,-0.9711182,0.8583475,0.5816205,-0.9490966,0.8905041,0.5634333,-0.9259339,0.8745865,0.5739449,-0.9043146,0.8567839,0.5759551,-0.9009763,0.8912415,0.5451872,-0.9171091,0.8734864,0.558838,-0.8929937,0.8535791,0.5643249,-0.8898343,0.8917269,0.5210632,-0.9160861,0.8773566,0.5316834,-0.8901517,0.8590071,0.5384066,-0.8835522,0.8870348,0.4982638,-0.920427,0.8766723,0.5039015,-0.8996006,0.8625772,0.5103621,-0.894317,0.8896717,0.5211173,-0.9711319,0.04847784,
1529586929498,0.8796527,0.5537145,-1.001146,0.8712451,0.5808032,-0.9752353,0.8624206,0.5921946,-0.9533541,0.8936932,0.5752285,-0.9294088,0.877933,0.5861679,-0.9080626,0.8600992,0.5878226,-0.9049034,0.894927,0.5573871,-0.919789,0.8773645,0.5715446,-0.8960622,0.8573598,0.5765952,-0.8933392,0.8958149,0.533376,-0.9178021,0.8817041,0.5447333,-0.8921713,0.8632391,0.5513065,-0.8860035,0.891706,0.5103387,-0.9210784,0.8820313,0.5166004,-0.9001396,0.86799,0.5230367,-0.8949131,0.8929594,0.5310746,-0.9728397,0.04870285,
1529586929535,0.8817518,0.5585535,-1.003654,0.8727971,0.5863526,-0.9786881,0.8636491,0.5986875,-0.9573756,0.8956581,0.5814822,-0.9322171,0.8795712,0.5930914,-0.9115343,0.8616545,0.5948722,-0.9087355,0.896901,0.5638033,-0.9221596,0.8792584,0.5787045,-0.8990189,0.859235,0.5839429,-0.8966398,0.8974161,0.5397151,-0.919669,0.8828057,0.5516552,-0.8947583,0.8641131,0.5583161,-0.8895264,0.893427,0.5166098,-0.9224487,0.8836678,0.5233712,-0.9018022,0.8695579,0.5299986,-0.8972096,0.8950793,0.5364007,-0.9746508,0.0488303,
1529586929563,0.882922,0.5607767,-1.006177,0.873057,0.5894371,-0.9824908,0.8634158,0.6028665,-0.9620169,0.8960285,0.5857078,-0.9351146,0.8795038,0.5979642,-0.9151447,0.8615316,0.5997235,-0.9126793,0.8974042,0.5682402,-0.9245092,0.8794588,0.5837928,-0.9020375,0.8593926,0.5890015,-0.9000453,0.8978868,0.5441604,-0.9213946,0.8826675,0.5566826,-0.8972703,0.8637424,0.56324,-0.8929491,0.8941485,0.5209407,-0.9235989,0.8839781,0.5282375,-0.9034513,0.8696709,0.5348756,-0.8997192,0.8963742,0.5392804,-0.9762087,0.04947359,
1529586929590,0.8835222,0.5616813,-1.008013,0.8729395,0.5911555,-0.9855547,0.8631046,0.6059198,-0.9660353,0.8970559,0.5886775,-0.9376456,0.8804309,0.6016364,-0.9181044,0.8624657,0.6034989,-0.9155186,0.8986925,0.5714874,-0.9265505,0.8808293,0.5878232,-0.9044342,0.8607953,0.5931849,-0.9022356,0.8991318,0.5474313,-0.922815,0.8836669,0.5606087,-0.8992285,0.8646466,0.5671465,-0.8952407,0.8955861,0.5240974,-0.9243622,0.8852506,0.5319515,-0.9045758,0.8708397,0.5385972,-0.9012794,0.8976067,0.5411102,-0.9774113,0.05057867,
1529586929617,0.8836347,0.5618508,-1.008531,0.8729299,0.5915803,-0.9863801,0.863212,0.6069826,-0.967256,0.8980634,0.5893207,-0.9384778,0.8815868,0.6025791,-0.9189368,0.8636585,0.6045942,-0.9161079,0.8998309,0.5721976,-0.9272987,0.882246,0.5888826,-0.9051267,0.8622808,0.5944381,-0.9026026,0.9001108,0.5481093,-0.9234435,0.8846765,0.5615063,-0.8999655,0.8656532,0.5680878,-0.895973,0.8965318,0.5247499,-0.9248142,0.8861896,0.5327816,-0.9051447,0.8717539,0.5394603,-0.9019846,0.8981829,0.5414553,-0.9779115,0.0512058,
1529586929644,0.8848989,0.5616798,-1.010743,0.8736951,0.5917487,-0.9892646,0.8637362,0.6076349,-0.9706517,0.8988959,0.590099,-0.9409437,0.8820829,0.6034647,-0.9217572,0.8641174,0.6053009,-0.9191538,0.9008934,0.5731036,-0.9294776,0.8831288,0.589936,-0.9075366,0.8631362,0.5953722,-0.9051435,0.9013523,0.5490772,-0.9253328,0.8857654,0.5626578,-0.9020579,0.8666935,0.569132,-0.8982474,0.898048,0.5256172,-0.9263952,0.8877268,0.5337526,-0.9067612,0.8732635,0.5403569,-0.9036729,0.8997142,0.5417344,-0.9797248,0.05155221,
1529586929670,0.885594,0.56135,-1.013798,0.8740536,0.5916038,-0.9927625,0.8638543,0.6075287,-0.9743433,0.899475,0.5900175,-0.9438969,0.8826419,0.6035451,-0.9247525,0.8647188,0.6053599,-0.9220757,0.9016582,0.5729779,-0.9323186,0.8839374,0.5898646,-0.9103032,0.8639835,0.595241,-0.9078083,0.902232,0.5489498,-0.9281325,0.8866223,0.5625411,-0.9048442,0.8675494,0.5688971,-0.9010481,0.8990283,0.5254015,-0.9291397,0.8885955,0.5334745,-0.909556,0.8740693,0.5399566,-0.9066041,0.900609,0.5414757,-0.982511,0.05231967,
