time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529491491015,0.8770771,0.4666787,-0.9686456,0.8591307,0.4546128,-0.9412893,0.8524299,0.4415301,-0.9233191,0.8647441,0.4731086,-0.9102366,0.850033,0.4553531,-0.9101193,0.849371,0.4462599,-0.9233965,0.8780032,0.4613957,-0.9080284,0.8598386,0.4432887,-0.9123801,0.8572977,0.4372911,-0.9297708,0.8946395,0.4509724,-0.9091876,0.8762114,0.434796,-0.9121031,0.8704444,0.4299077,-0.9288272,0.9089227,0.4412747,-0.9130559,0.8931826,0.430743,-0.912477,0.8861089,0.4285329,-0.9250087,0.8993951,0.4677995,-0.9485669,0.005633276,
1529491491042,0.8633145,0.4648537,-0.9759524,0.8442142,0.4507181,-0.9503977,0.8365558,0.4365233,-0.9336029,0.8475646,0.4676594,-0.9175959,0.8328138,0.4498197,-0.9187104,0.8324845,0.4411176,-0.9322819,0.8609424,0.4557158,-0.9157259,0.8431413,0.437557,-0.9219546,0.8412066,0.4323741,-0.9397138,0.8777556,0.4455606,-0.9168421,0.8597329,0.4293221,-0.9218487,0.8548488,0.425433,-0.9391211,0.8923779,0.4363043,-0.9205334,0.8767502,0.425496,-0.9215249,0.870242,0.4239876,-0.9344758,0.8845119,0.4653448,-0.9546243,0.006279126,
1529491491069,0.8561788,0.4634059,-0.9796699,0.8371881,0.4476669,-0.9550418,0.8298784,0.4323477,-0.9391147,0.8385454,0.4635196,-0.9216954,0.8239999,0.4456364,-0.9237552,0.8238668,0.4375612,-0.9377332,0.8518928,0.4517063,-0.9196845,0.834264,0.4336507,-0.9265403,0.8325545,0.4290583,-0.9444475,0.8688455,0.4416822,-0.9210006,0.8510542,0.4254649,-0.9268124,0.8465289,0.4222035,-0.9442627,0.8837081,0.4326167,-0.9248387,0.8682603,0.421665,-0.9265282,0.861997,0.4207397,-0.939625,0.8763263,0.4629582,-0.9580151,0.008076395,
1529491491095,0.8504061,0.463593,-0.98375,0.831566,0.4463059,-0.9601354,0.824697,0.429882,-0.9451579,0.8303601,0.4608802,-0.9265468,0.8160849,0.4430071,-0.9296296,0.8163402,0.4356716,-0.9439896,0.8436328,0.4491844,-0.9243476,0.8263227,0.431304,-0.9320301,0.8251305,0.4273994,-0.9501093,0.8607711,0.4393288,-0.9255681,0.843248,0.4231091,-0.9321393,0.8391414,0.4203617,-0.9497367,0.8759569,0.4304928,-0.9293536,0.860709,0.4193297,-0.9315648,0.854651,0.4187469,-0.9447466,0.8692805,0.4622431,-0.9617738,0.01023328,
1529491491122,0.8455164,0.462586,-0.9873459,0.8269104,0.4444353,-0.9642432,0.8205132,0.4275079,-0.949635,0.8233492,0.4584311,-0.9308717,0.8096477,0.4401848,-0.9342672,0.8103582,0.4330164,-0.9486713,0.836781,0.44717,-0.928107,0.82005,0.4287958,-0.9358907,0.8192706,0.4247647,-0.953941,0.854318,0.4377935,-0.9288209,0.8372577,0.4208593,-0.9353299,0.8333192,0.4176504,-0.9528494,0.8700043,0.4293568,-0.9323455,0.8551741,0.417547,-0.9346024,0.8491963,0.416626,-0.9477798,0.8634568,0.4614419,-0.9649673,0.01159303,
1529491491155,0.8414594,0.4658244,-0.9908302,0.8227724,0.4476002,-0.9679253,0.8167045,0.4304309,-0.9535289,0.8179153,0.4602707,-0.9351833,0.8046647,0.44192,-0.9390419,0.8058968,0.4351072,-0.953563,0.8313043,0.4493549,-0.9317893,0.8148387,0.4307956,-0.9395375,0.8144057,0.4266421,-0.9575431,0.8491367,0.440203,-0.9318888,0.8321052,0.422684,-0.9377792,0.8279025,0.4187338,-0.955039,0.8651944,0.4319151,-0.9352861,0.850559,0.419574,-0.9371047,0.8443488,0.4181032,-0.9500916,0.8587187,0.4642302,-0.9683632,0.0117761,
1529491491175,0.840637,0.4650498,-0.9913143,0.8219607,0.4471879,-0.9681132,0.8159069,0.4302233,-0.9534876,0.8169016,0.4593398,-0.9358908,0.8038676,0.4408209,-0.9396774,0.805127,0.4339844,-0.9541937,0.8302602,0.4486864,-0.9320903,0.8138384,0.4298964,-0.9394086,0.8133198,0.4254266,-0.9573262,0.8482701,0.4396397,-0.9318879,0.8312088,0.421697,-0.9370049,0.8265952,0.4171174,-0.9539866,0.8644934,0.4313856,-0.9352652,0.8500007,0.4187264,-0.9365451,0.8435246,0.4168519,-0.9493353,0.8577538,0.463416,-0.9689348,0.01143903,
1529491491202,0.8390576,0.4654068,-0.9918782,0.8204222,0.4480991,-0.9682836,0.8145885,0.4312859,-0.953438,0.8146697,0.4597204,-0.9372014,0.801904,0.4411616,-0.9413261,0.8035368,0.4344983,-0.9558869,0.8278959,0.4492643,-0.9329148,0.8116555,0.4305011,-0.9403014,0.8115051,0.4260205,-0.9582246,0.8459618,0.4402634,-0.9321396,0.8288057,0.4221052,-0.9367611,0.8239664,0.4169379,-0.9535272,0.862334,0.4319091,-0.9352819,0.84786,0.419028,-0.93611,0.8411313,0.4166836,-0.9486886,0.8557846,0.4636838,-0.9695944,0.01176675,
1529491491214,0.8388298,0.4656011,-0.9920329,0.8202928,0.448375,-0.9683133,0.8145937,0.4316084,-0.9533701,0.8142856,0.4599375,-0.9375504,0.8017094,0.4412835,-0.9417356,0.8035051,0.4346409,-0.9562868,0.8275397,0.4496259,-0.9331057,0.8114699,0.4307557,-0.9404864,0.8114668,0.4262269,-0.9584,0.845674,0.4407542,-0.9321346,0.828604,0.4224291,-0.9365867,0.8237468,0.4170288,-0.9532825,0.8621374,0.4324639,-0.9351889,0.8477402,0.4194313,-0.9358656,0.8409493,0.4168669,-0.9483722,0.8554696,0.4640233,-0.9697502,0.01186004,
1529491491242,0.8373578,0.4661004,-0.9917904,0.8189842,0.4490763,-0.9678441,0.8135823,0.4323273,-0.9528034,0.8124406,0.4604531,-0.9378103,0.8001096,0.4417261,-0.9422569,0.8021663,0.4352102,-0.9568345,0.8256407,0.4502946,-0.933095,0.8097697,0.4313909,-0.9406095,0.8100264,0.4269022,-0.9585359,0.8438062,0.4415216,-0.93176,0.8267705,0.4230649,-0.9360282,0.8218679,0.4173845,-0.9526384,0.8603622,0.4332145,-0.9346781,0.8460074,0.4200281,-0.9351796,0.8390894,0.4171965,-0.9475712,0.8537657,0.4645605,-0.9695554,0.01244534,
