time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529491528283,0.8297902,0.5506367,-0.9736551,0.8171531,0.558563,-0.9423026,0.8125761,0.5569345,-0.9195688,0.8541341,0.5897315,-0.9195929,0.8481497,0.5935053,-0.8956508,0.836286,0.5866959,-0.8874406,0.8656574,0.5772704,-0.912505,0.8566052,0.5822436,-0.8857542,0.8413174,0.5769165,-0.8768356,0.8763356,0.5595058,-0.9126186,0.8691082,0.564133,-0.8860871,0.8549945,0.5612316,-0.8744339,0.8837063,0.5401835,-0.9155678,0.8809246,0.5434046,-0.8946919,0.8700745,0.5427113,-0.8847791,0.8587362,0.5494165,-0.9599165,0.04980091,
1529491528311,0.8445367,0.5532576,-0.9772465,0.8351977,0.561269,-0.9448224,0.8327881,0.5592772,-0.9218048,0.8731319,0.590888,-0.9249817,0.8678565,0.5939254,-0.9011102,0.8559303,0.5867277,-0.8933897,0.884634,0.5781041,-0.918899,0.8764275,0.5826085,-0.892091,0.8611344,0.5770713,-0.8833433,0.8945181,0.559715,-0.9197819,0.8875018,0.5633034,-0.8934541,0.8728757,0.559674,-0.8828548,0.9015961,0.5405427,-0.9234464,0.8995497,0.5434684,-0.9027047,0.8886459,0.5427761,-0.892776,0.8740652,0.5509749,-0.9658616,0.04578769,
1529491528336,0.8547957,0.5547624,-0.9800829,0.8481641,0.5630152,-0.947084,0.8473883,0.5607979,-0.9240075,0.8868115,0.5913599,-0.9296997,0.8820981,0.5942428,-0.9058952,0.8700389,0.5871023,-0.8984078,0.8981631,0.5782335,-0.9242416,0.8908257,0.5828779,-0.8973467,0.8755367,0.5776289,-0.8884659,0.9071896,0.559345,-0.9255176,0.9007029,0.5628196,-0.8992481,0.8858974,0.559288,-0.8890079,0.9134133,0.5400686,-0.9294411,0.9117416,0.5430371,-0.9088174,0.9006315,0.5425562,-0.8992053,0.8844854,0.5514117,-0.9704434,0.04313136,
1529491528376,0.8741759,0.5552157,-0.9846154,0.871621,0.5640279,-0.9512326,0.8733197,0.56142,-0.9283534,0.9107216,0.5909029,-0.9377724,0.9066206,0.5936169,-0.9143268,0.8942701,0.5864241,-0.9077431,0.9216132,0.5773849,-0.9329661,0.9148386,0.5820637,-0.9065651,0.8991956,0.5766659,-0.8989342,0.9295592,0.5579724,-0.9344942,0.9236304,0.5616343,-0.9085014,0.9084481,0.5582949,-0.8990818,0.9343479,0.5386497,-0.9383612,0.932665,0.5420765,-0.9180896,0.92094,0.5419298,-0.9094532,0.9036504,0.5505576,-0.9773367,0.03858638,
1529491528402,0.8819003,0.5545759,-0.9859912,0.8815664,0.5644212,-0.9528873,0.8848774,0.5620074,-0.930212,0.9206598,0.5911216,-0.9422131,0.9172853,0.5941577,-0.9187789,0.9051538,0.586944,-0.9119957,0.9313394,0.5775937,-0.937535,0.9246674,0.582261,-0.9114707,0.9089839,0.5764465,-0.9043347,0.939345,0.5582143,-0.9389839,0.9338201,0.5622024,-0.9131132,0.9186552,0.5587533,-0.9039143,0.9437585,0.538882,-0.9424465,0.9420414,0.542693,-0.9223546,0.9301495,0.5425663,-0.9140141,0.9117193,0.5497952,-0.9802245,0.03694317,
1529491528415,0.8855919,0.5548351,-0.9862869,0.8867704,0.5648685,-0.9532993,0.8910972,0.5622786,-0.9308699,0.9263256,0.5908707,-0.9442542,0.9235311,0.5936893,-0.9207523,0.9114847,0.5864886,-0.9138401,0.936772,0.5771788,-0.9399033,0.9303972,0.5814838,-0.9138383,0.9147046,0.5755528,-0.9067804,0.9445578,0.5578022,-0.9416175,0.9393457,0.5615929,-0.9157631,0.9241704,0.5580744,-0.9066749,0.9486283,0.538438,-0.9451085,0.9470423,0.542106,-0.9250532,0.9350978,0.541988,-0.9168019,0.9156659,0.5497075,-0.9817993,0.03594154,
1529491528442,0.8968003,0.556051,-0.9892957,0.9007577,0.566267,-0.9566348,0.9069645,0.5632246,-0.9348218,0.9406849,0.5910222,-0.9504927,0.938519,0.5930859,-0.9271029,0.9265021,0.5855845,-0.9206021,0.9504451,0.57692,-0.9467682,0.9438374,0.5800055,-0.9209971,0.9279397,0.5734787,-0.9147949,0.9583078,0.557801,-0.9491901,0.9534179,0.5610322,-0.9235224,0.9380881,0.5571505,-0.9150214,0.9619851,0.5385256,-0.9528767,0.9608074,0.5420267,-0.9328361,0.9489357,0.5419174,-0.9244727,0.9270554,0.550296,-0.987072,0.03292243,
1529491528456,0.8988433,0.5571226,-0.9903141,0.9033438,0.56725,-0.9577167,0.9099255,0.5639832,-0.9360873,0.9431329,0.5917093,-0.9519693,0.9408527,0.5933874,-0.9287186,0.9287571,0.5856804,-0.9226929,0.9526784,0.5775282,-0.9484215,0.94569,0.5801135,-0.9229075,0.9296662,0.5732815,-0.9173275,0.9606964,0.5585109,-0.951071,0.955686,0.561468,-0.9255372,0.9402254,0.5573921,-0.9174041,0.9643597,0.5393211,-0.9548829,0.9631971,0.5427536,-0.934863,0.9512978,0.5425857,-0.9265354,0.9290988,0.5512682,-0.9885532,0.03169874,
1529491528482,0.9048811,0.5575438,-0.9918694,0.9109434,0.5677727,-0.9596045,0.9185821,0.5640815,-0.9385368,0.9500302,0.5917797,-0.9552916,0.9474142,0.5927662,-0.9324408,0.9351593,0.584625,-0.9274127,0.95924,0.5774933,-0.9520967,0.9516091,0.5792952,-0.927059,0.9354351,0.5719453,-0.9224267,0.9676336,0.5587157,-0.9550799,0.9626085,0.5614204,-0.9297204,0.9470399,0.5571076,-0.9218826,0.9712639,0.5396086,-0.958946,0.9702221,0.5430361,-0.9389859,0.9582775,0.5427977,-0.9307709,0.9351831,0.5514945,-0.9913689,0.02864577,
1529491528510,0.9092473,0.5586054,-0.9936693,0.9160075,0.5692183,-0.9617661,0.9240615,0.5650835,-0.9411042,0.9543267,0.5921336,-0.9578098,0.9503702,0.5925624,-0.9356055,0.9377854,0.5840349,-0.9320815,0.9628708,0.5776148,-0.9546661,0.9534564,0.5787139,-0.9306866,0.9369962,0.5708386,-0.9279037,0.9717084,0.5590826,-0.9575918,0.9657344,0.5618361,-0.9325984,0.9498183,0.5574116,-0.9256809,0.9751935,0.5399307,-0.9612148,0.9734216,0.5435094,-0.9413716,0.9611224,0.5433398,-0.9337367,0.9395397,0.5519397,-0.993504,0.0250781,
1529491528536,0.9129962,0.5583388,-0.9954911,0.919524,0.5687264,-0.9635206,0.9273934,0.5641346,-0.942946,0.9569331,0.592173,-0.9590033,0.9521148,0.5924366,-0.9372913,0.9394404,0.5836917,-0.934796,0.9653251,0.5776896,-0.9556672,0.9549713,0.5786235,-0.9324076,0.9385093,0.5704409,-0.9308016,0.9748163,0.5593056,-0.958393,0.9688315,0.5624551,-0.9332861,0.9530043,0.5582269,-0.9261473,0.978384,0.5400332,-0.9618356,0.9767306,0.5438095,-0.9418868,0.9646253,0.5438352,-0.9339194,0.9430924,0.5518166,-0.9947776,0.02437275,
