time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529491355466,1.20418,0.5590912,-0.5682536,1.206678,0.555303,-0.5344111,1.21656,0.5467336,-0.515228,1.204278,0.5763667,-0.5176641,1.19753,0.5549626,-0.5150467,1.196198,0.5459142,-0.5286503,1.21915,0.5708278,-0.5171286,1.207184,0.5479274,-0.5159693,1.203418,0.538897,-0.5319568,1.236644,0.5652485,-0.5204727,1.223163,0.5440943,-0.5163064,1.215973,0.5336293,-0.5295663,1.251665,0.5589775,-0.525313,1.23963,0.5454025,-0.519152,1.231493,0.5380249,-0.5288353,1.22651,0.5696402,-0.5590399,0.02440184,
1529491355491,1.207513,0.558109,-0.5755501,1.212235,0.5538546,-0.5419187,1.223947,0.5467053,-0.5231842,1.207371,0.573783,-0.5247498,1.20418,0.5516573,-0.5230877,1.202515,0.543412,-0.5371822,1.222418,0.5709002,-0.5249494,1.214428,0.5462781,-0.5242752,1.211439,0.5371314,-0.5403699,1.240539,0.5682157,-0.5293169,1.23079,0.5449437,-0.5256023,1.224201,0.5340086,-0.5388005,1.25586,0.564555,-0.5350794,1.246335,0.5489373,-0.5295342,1.238895,0.5411794,-0.5394355,1.227895,0.5721014,-0.5669233,0.02580933,
1529491355518,1.193995,0.5691267,-0.6002839,1.196746,0.5589696,-0.5675135,1.204668,0.5453997,-0.5500612,1.200026,0.5764967,-0.5485502,1.188109,0.5572095,-0.5505273,1.183271,0.5531279,-0.5658095,1.212759,0.5681139,-0.5497035,1.1955,0.5482208,-0.5524785,1.189776,0.5430551,-0.5696748,1.228243,0.5594229,-0.5550066,1.209793,0.5409272,-0.5543253,1.200737,0.5340092,-0.5688821,1.241856,0.5504084,-0.5616195,1.226655,0.5388918,-0.5575931,1.216655,0.535754,-0.5679964,1.2182,0.5733271,-0.5908611,0.02766822,
1529491355552,1.196807,0.580982,-0.6269448,1.188358,0.5763943,-0.5941694,1.1829,0.5630271,-0.5760949,1.202278,0.5829549,-0.5736972,1.180896,0.5769258,-0.5757369,1.17618,0.5744842,-0.5910783,1.205983,0.567866,-0.5734452,1.180877,0.5653027,-0.5764037,1.174839,0.563911,-0.5939769,1.21169,0.5502911,-0.5776776,1.187091,0.5497882,-0.5777438,1.17787,0.550945,-0.5935551,1.219555,0.5331501,-0.5799181,1.203974,0.5335747,-0.5703822,1.192567,0.53713,-0.5787823,1.216322,0.565054,-0.6154404,0.02002307,
1529491355585,1.194588,0.5780126,-0.6511426,1.183872,0.5787441,-0.6189026,1.175986,0.5674183,-0.6007169,1.196363,0.5798081,-0.5971221,1.174574,0.5756576,-0.5999109,1.170592,0.5723281,-0.6151701,1.19881,0.5642512,-0.5955299,1.173642,0.5639751,-0.5989896,1.167908,0.5623627,-0.616596,1.203556,0.5458676,-0.5979699,1.179284,0.5474877,-0.5976107,1.170369,0.5488275,-0.6134937,1.214271,0.5253614,-0.5984439,1.203847,0.5226994,-0.5793311,1.189935,0.5243871,-0.5731304,1.211573,0.5584326,-0.6374321,0.01618929,
1529491355611,1.18874,0.5765849,-0.6681105,1.178733,0.5824401,-0.636392,1.170929,0.5729972,-0.6176072,1.187788,0.5786124,-0.6133215,1.16583,0.5740619,-0.6158631,1.161729,0.5695276,-0.6307199,1.190599,0.5630435,-0.6104897,1.165051,0.5623878,-0.6133372,1.15862,0.5598888,-0.6305338,1.198153,0.5439225,-0.6085863,1.175293,0.5448725,-0.6033804,1.164723,0.5459207,-0.6179854,1.209944,0.5229427,-0.6116822,1.20591,0.5182873,-0.5902231,1.198292,0.5165851,-0.5772547,1.204078,0.5555109,-0.652501,0.01638974,
1529491355638,1.182974,0.5738342,-0.6840322,1.173737,0.5819865,-0.6526899,1.166185,0.5735528,-0.6334674,1.180184,0.5759338,-0.6287768,1.158215,0.5710255,-0.6311647,1.154053,0.5658152,-0.645797,1.183324,0.5604103,-0.6253839,1.157622,0.5593631,-0.6279027,1.150901,0.5563024,-0.6448665,1.193,0.5408642,-0.6214468,1.171264,0.5411948,-0.6135565,1.159137,0.5420943,-0.6269779,1.204563,0.5201507,-0.6259801,1.202577,0.5151988,-0.6042395,1.19646,0.5130224,-0.5905856,1.197438,0.5521427,-0.6674566,0.01894911,
1529491355665,1.176603,0.5689164,-0.7071434,1.168455,0.5789208,-0.6762062,1.161242,0.5712159,-0.6566126,1.172474,0.5702241,-0.651068,1.150494,0.5652132,-0.6530648,1.146096,0.5598779,-0.6675966,1.175877,0.5545756,-0.6472853,1.150124,0.5533711,-0.6491096,1.14305,0.5504711,-0.6659204,1.186409,0.5351591,-0.6430535,1.164941,0.5352285,-0.6335313,1.151508,0.5359098,-0.6457047,1.197623,0.5142389,-0.6482337,1.196433,0.5087291,-0.6264719,1.191789,0.5058339,-0.6123108,1.190135,0.5462509,-0.6898635,0.0218772,
1529491355691,1.17306,0.5640524,-0.7201472,1.166095,0.5745518,-0.6892194,1.159561,0.5668831,-0.6693863,1.169115,0.5641319,-0.6635439,1.147214,0.5588359,-0.6651017,1.142591,0.5536086,-0.6796191,1.172817,0.5484198,-0.6599975,1.147027,0.5468225,-0.6612923,1.139605,0.5440989,-0.6779786,1.184186,0.5288508,-0.655862,1.163024,0.5281649,-0.6448849,1.148661,0.5289019,-0.655846,1.194691,0.508282,-0.6617859,1.193207,0.5022072,-0.6401921,1.188684,0.4988289,-0.6260803,1.186555,0.540778,-0.702967,0.02385156,
1529491355718,1.165023,0.5570789,-0.7389401,1.159114,0.567555,-0.7078006,1.153543,0.5599468,-0.6875526,1.162491,0.555946,-0.6818745,1.14076,0.5500412,-0.6826562,1.135771,0.5448335,-0.6970783,1.166877,0.5402623,-0.6785285,1.141077,0.5379119,-0.6786016,1.13288,0.5352154,-0.6949332,1.18066,0.5204897,-0.6743257,1.161134,0.5183365,-0.6596067,1.144852,0.5186965,-0.667298,1.189411,0.5007028,-0.6818966,1.188069,0.4941018,-0.6604667,1.183404,0.4903465,-0.6465034,1.179354,0.5336885,-0.7223191,0.02519957,
