time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529491270878,0.8580536,0.574387,-0.8275723,0.8427211,0.5595389,-0.8020152,0.8443327,0.5414494,-0.7891189,0.8393865,0.5848482,-0.7795767,0.8282326,0.5684171,-0.7896367,0.8337092,0.5645977,-0.804512,0.8492808,0.5740137,-0.7748901,0.8348188,0.5588427,-0.7887199,0.8407274,0.5558496,-0.8062111,0.8632747,0.5622311,-0.7734133,0.8481832,0.5497218,-0.7866815,0.8524467,0.5479223,-0.8044543,0.8755491,0.5510778,-0.7727808,0.8605204,0.5439682,-0.7805092,0.8607508,0.5440974,-0.7951051,0.8756438,0.5760597,-0.8056833,0.02975983,
1529491270902,0.8576206,0.5765504,-0.8295811,0.8426841,0.561389,-0.804022,0.8449628,0.543429,-0.7911062,0.8385546,0.586882,-0.7819896,0.8281364,0.5700363,-0.7922003,0.834004,0.5663077,-0.8069521,0.8486977,0.5764128,-0.7770509,0.8348373,0.5606877,-0.7909343,0.8409911,0.5576785,-0.8083481,0.863012,0.5650479,-0.7754063,0.8484122,0.5520052,-0.788762,0.852857,0.5502142,-0.8064942,0.8755702,0.5542695,-0.7745342,0.8607193,0.546636,-0.7822812,0.8609546,0.5466385,-0.7968514,0.8750916,0.5789501,-0.807608,0.02991023,
1529491270930,0.8559722,0.5825013,-0.8342787,0.8418322,0.5669251,-0.8085896,0.844785,0.548871,-0.7959518,0.8383038,0.5917526,-0.7861483,0.8280297,0.5747906,-0.7964345,0.8336427,0.57128,-0.811355,0.8487198,0.5814611,-0.7815009,0.8347405,0.5655224,-0.7952087,0.840421,0.5625716,-0.8128049,0.8632869,0.5703245,-0.7803516,0.8483832,0.5570505,-0.793453,0.8520821,0.5553464,-0.8113666,0.876092,0.5597091,-0.7798018,0.8608534,0.5517929,-0.7869859,0.8601434,0.5519942,-0.8014896,0.8741032,0.5848721,-0.8127195,0.02938666,
1529491270964,0.8552395,0.587571,-0.8390973,0.8421885,0.5720925,-0.8127403,0.845582,0.5540851,-0.8001431,0.839674,0.5963464,-0.7903338,0.8288884,0.5794144,-0.8003642,0.8333089,0.5761717,-0.8157854,0.8502374,0.5861727,-0.7859684,0.8353871,0.5701104,-0.7989762,0.8396257,0.5671033,-0.817003,0.8648629,0.5751804,-0.7853835,0.8490747,0.5616127,-0.7975581,0.8513981,0.5595242,-0.8156672,0.8777889,0.5646389,-0.7854212,0.8619483,0.5564013,-0.7915745,0.8599697,0.5561659,-0.805936,0.8742799,0.5898081,-0.8183641,0.02971746,
1529491270982,0.8549231,0.5897523,-0.8416352,0.8421307,0.5745775,-0.8149327,0.8453469,0.5565401,-0.8023261,0.8402291,0.5983459,-0.792725,0.8289889,0.5816358,-0.8027036,0.8328458,0.5785419,-0.8183186,0.8506703,0.5880833,-0.7884704,0.8352722,0.5721922,-0.8011925,0.8389497,0.5690669,-0.8193319,0.8651689,0.5769151,-0.7881607,0.8488626,0.563498,-0.8000047,0.85063,0.5612853,-0.8181583,0.8779321,0.5662856,-0.788514,0.8617423,0.5581104,-0.7943366,0.8593712,0.5575233,-0.8086035,0.8742839,0.5915222,-0.8213041,0.02993521,
1529491271009,0.852801,0.5929312,-0.8484861,0.8427385,0.5792444,-0.8196969,0.8481798,0.5632071,-0.8052281,0.8392317,0.6043442,-0.8002832,0.8296568,0.5855606,-0.8085556,0.8326027,0.5817883,-0.8242574,0.8508185,0.5960734,-0.7953594,0.8369597,0.5770025,-0.8057494,0.8401522,0.5720757,-0.8236127,0.8665961,0.5868715,-0.7942973,0.8512647,0.5702278,-0.8035309,0.8520701,0.5659887,-0.821373,0.8804885,0.5781301,-0.7942053,0.8650957,0.5672413,-0.7977991,0.8623251,0.5637872,-0.8115658,0.8725326,0.5989034,-0.8293834,0.03082245,
1529491271035,0.8509749,0.5937512,-0.8520179,0.8429834,0.5809408,-0.8219757,0.8495204,0.5661999,-0.8065165,0.8380824,0.6061238,-0.8044459,0.8297708,0.5862899,-0.812005,0.8323451,0.5821244,-0.8276874,0.8502736,0.5991254,-0.7993664,0.8376149,0.5782995,-0.8083659,0.8407203,0.5721755,-0.8258752,0.8667808,0.5912287,-0.7981457,0.8522328,0.5729299,-0.8056965,0.8524455,0.5676763,-0.8232305,0.8813273,0.5836829,-0.7980758,0.8664991,0.5714096,-0.7999415,0.8631557,0.5666242,-0.8131158,0.8705531,0.6021331,-0.8341553,0.03157191,
1529491271062,0.8489946,0.5966125,-0.8562232,0.8428679,0.5830121,-0.8258229,0.8496859,0.5680487,-0.8105676,0.8384025,0.6071414,-0.8082526,0.830079,0.587562,-0.8165724,0.8320419,0.5842319,-0.8325429,0.850849,0.6001768,-0.8038288,0.8379567,0.5793228,-0.8129176,0.8402556,0.5734824,-0.8306488,0.8678074,0.5922835,-0.8029855,0.8522434,0.5740553,-0.8094531,0.850299,0.5704776,-0.826854,0.8822822,0.5852475,-0.8038492,0.8672867,0.572827,-0.8040678,0.8626409,0.5681126,-0.8167276,0.8688684,0.6048285,-0.8394563,0.03249799,
1529491271088,0.849174,0.5937133,-0.8572698,0.8450216,0.5792218,-0.8265606,0.8523947,0.5648825,-0.8108148,0.8390928,0.6030422,-0.8091723,0.8321762,0.5831534,-0.8179313,0.8340467,0.5805854,-0.8340352,0.8521957,0.5969958,-0.8050184,0.8406162,0.575438,-0.8141258,0.8427173,0.5704658,-0.8320691,0.8699054,0.5904959,-0.804136,0.8554642,0.5712328,-0.8095226,0.8527721,0.5680069,-0.8267057,0.8847991,0.5850009,-0.8054017,0.8709729,0.5716639,-0.8042095,0.8662271,0.5663072,-0.8165586,0.8686963,0.603392,-0.8410522,0.0335025,
1529491271116,0.850031,0.5945989,-0.8613988,0.8442791,0.5800655,-0.8309513,0.8502231,0.56519,-0.8149816,0.8395936,0.6039318,-0.8133477,0.8316978,0.5845299,-0.8224498,0.8336688,0.5819069,-0.8385514,0.8521795,0.597159,-0.8088919,0.8395047,0.5762491,-0.8182391,0.8416284,0.5708903,-0.8361068,0.8695655,0.5896218,-0.807675,0.8540735,0.5711709,-0.8132471,0.8511466,0.5678215,-0.8305078,0.884249,0.5830883,-0.8089497,0.8695804,0.570441,-0.8080624,0.8642396,0.565621,-0.820403,0.8698634,0.6028978,-0.8446448,0.03330212,
