time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529491400180,1.133023,0.5813575,-0.9355779,1.124803,0.5749933,-0.9027454,1.128915,0.5657191,-0.8824006,1.144351,0.62194,-0.8781718,1.139439,0.6174489,-0.8537053,1.132766,0.6048698,-0.8456188,1.160276,0.6152466,-0.8743085,1.151734,0.6102872,-0.846756,1.141434,0.597513,-0.8377632,1.176864,0.6037136,-0.8781023,1.168543,0.5974226,-0.8525212,1.157439,0.5850415,-0.8445825,1.191118,0.5899287,-0.8844119,1.18595,0.5849671,-0.8647232,1.175613,0.5764219,-0.8589122,1.161031,0.5942539,-0.9247161,0.05385637,
1529491400200,1.122566,0.5873196,-0.9438207,1.114813,0.58436,-0.9104509,1.119339,0.5767295,-0.8895727,1.134539,0.6306134,-0.8901162,1.128121,0.6255435,-0.8668683,1.120931,0.6120893,-0.8613205,1.150378,0.6231186,-0.8859355,1.14023,0.6168232,-0.8600399,1.129227,0.6029637,-0.8539679,1.167145,0.6120993,-0.8890218,1.158205,0.6070247,-0.8633114,1.146773,0.5955352,-0.8539308,1.181273,0.5980834,-0.8942968,1.175857,0.5946361,-0.8742983,1.165397,0.5869062,-0.8673351,1.150922,0.5997502,-0.9342521,0.04528841,
1529491400226,1.102684,0.5927994,-0.9443793,1.096049,0.5938635,-0.9107616,1.101485,0.5880872,-0.8896286,1.115463,0.6368838,-0.8949479,1.107492,0.6292437,-0.8744572,1.100827,0.6146169,-0.8740766,1.13028,0.6284366,-0.8911228,1.117443,0.6184405,-0.8697324,1.106877,0.602904,-0.870313,1.149243,0.6196957,-0.8932399,1.140433,0.6158009,-0.8673663,1.128823,0.604843,-0.8576139,1.163154,0.6056252,-0.897723,1.158076,0.6038078,-0.8774737,1.147544,0.5968159,-0.869927,1.131832,0.604893,-0.9369311,0.03075908,
1529491400254,1.091844,0.5946112,-0.9472491,1.087037,0.598889,-0.9136641,1.093773,0.5948309,-0.8925355,1.104959,0.6386409,-0.9016621,1.09687,0.62879,-0.8831378,1.091434,0.6139487,-0.8857393,1.119895,0.6307024,-0.8983827,1.106943,0.6187657,-0.8792585,1.097732,0.602933,-0.8829705,1.139726,0.6234988,-0.9001403,1.131246,0.6197593,-0.8741151,1.119927,0.608791,-0.8639895,1.153882,0.6099457,-0.9043225,1.14929,0.6089534,-0.8838766,1.139032,0.6022385,-0.875718,1.121213,0.606777,-0.9420038,0.02042426,
1529491400279,1.076292,0.5935884,-0.9511637,1.072496,0.6000084,-0.9179102,1.079728,0.5965873,-0.8968116,1.089822,0.636022,-0.9074428,1.081015,0.6247306,-0.8906794,1.07606,0.6102404,-0.895445,1.104544,0.6281416,-0.9041697,1.090816,0.6153628,-0.8868418,1.082113,0.5999322,-0.8926849,1.124415,0.6209723,-0.90525,1.114993,0.6167479,-0.8797778,1.103022,0.6055619,-0.8707987,1.138468,0.6074615,-0.9090221,1.133512,0.6067405,-0.8886212,1.122944,0.6004098,-0.8805721,1.105651,0.6043571,-0.9463589,0.01420318,
1529491400306,1.066278,0.5911405,-0.9505265,1.063547,0.5986564,-0.9175587,1.071498,0.5952427,-0.8967347,1.081122,0.6323991,-0.9073888,1.072239,0.6207648,-0.8909003,1.067003,0.6065116,-0.8960457,1.095644,0.6245533,-0.9042885,1.081817,0.6118003,-0.8872364,1.073116,0.5967008,-0.8936365,1.11483,0.6165089,-0.9054948,1.104432,0.6109511,-0.8812469,1.091866,0.598845,-0.8748984,1.128647,0.6030426,-0.9092363,1.122814,0.601664,-0.889378,1.111574,0.5949661,-0.882689,1.095962,0.600758,-0.9461408,0.01215153,
1529491400333,1.056937,0.5871061,-0.9497613,1.054777,0.5953174,-0.9170091,1.063084,0.5919743,-0.8963167,1.07258,0.6273969,-0.9065804,1.063787,0.6155645,-0.8901061,1.058299,0.6014373,-0.8953249,1.087077,0.6196604,-0.9036202,1.073341,0.6069473,-0.8863528,1.064492,0.592037,-0.8927321,1.105558,0.6109158,-0.9051409,1.094446,0.6041291,-0.8821288,1.081748,0.5913596,-0.8783729,1.119268,0.5975763,-0.9089501,1.112635,0.595432,-0.889721,1.10093,0.5882601,-0.8848075,1.086782,0.5959563,-0.9455044,0.01065026,
1529491400366,1.044267,0.5816391,-0.9476732,1.042872,0.5908638,-0.9152288,1.051625,0.5878878,-0.89464,1.060524,0.621822,-0.9051636,1.051849,0.6100628,-0.8883683,1.046141,0.5958336,-0.8931419,1.075102,0.6142957,-0.9022487,1.06153,0.6019173,-0.884345,1.052456,0.5869548,-0.890101,1.09252,0.604502,-0.9041198,1.080436,0.5963631,-0.8829994,1.067981,0.5830238,-0.8825268,1.10599,0.5913804,-0.9077868,1.09792,0.5883588,-0.8897825,1.085903,0.5806279,-0.8875854,1.074114,0.5899822,-0.9437922,0.009770311,
1529491400386,1.036818,0.5784441,-0.9460697,1.035572,0.5877621,-0.9136599,1.044184,0.5846252,-0.8930036,1.052919,0.6180677,-0.9033339,1.043831,0.6062982,-0.8867073,1.037922,0.5921605,-0.8915687,1.067399,0.6103977,-0.9002252,1.053411,0.5981877,-0.8823926,1.044067,0.5833855,-0.8881286,1.084294,0.6000107,-0.9020146,1.071446,0.5914724,-0.8817584,1.058955,0.5782239,-0.8825228,1.097544,0.5868115,-0.9054903,1.088671,0.5834996,-0.8880479,1.076531,0.575816,-0.8869293,1.06648,0.5862305,-0.9418394,0.009902098,
1529491400412,1.021753,0.5760809,-0.9426434,1.020193,0.5850254,-0.910086,1.027936,0.5813769,-0.8890991,1.037596,0.6154454,-0.899182,1.027376,0.6045109,-0.8825238,1.020964,0.5905018,-0.8871058,1.05161,0.6070318,-0.8955396,1.036437,0.5958118,-0.8777999,1.026502,0.5812988,-0.8832971,1.0675,0.5951355,-0.8969807,1.053047,0.5865822,-0.878119,1.040309,0.5738078,-0.8805318,1.080168,0.5814422,-0.8999522,1.069823,0.5780824,-0.8834329,1.057383,0.5708233,-0.8836296,1.051148,0.5826831,-0.9373835,0.01165508,
