time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529412214358,1.214418,0.5495075,-0.8565611,1.19381,0.5293901,-0.8304533,1.181345,0.5149453,-0.811913,1.195819,0.5633272,-0.7817221,1.187092,0.5484967,-0.7575565,1.18333,0.5318146,-0.7500949,1.214447,0.5606446,-0.774087,1.203187,0.5412716,-0.7488703,1.196701,0.5217945,-0.7431685,1.236937,0.5580583,-0.7754204,1.227194,0.538524,-0.7520673,1.220265,0.5194753,-0.746665,1.25652,0.5494947,-0.7847031,1.248199,0.5309808,-0.7781824,1.242589,0.5206009,-0.7894589,1.234844,0.5650705,-0.8294947,0.06410917,
1529412214386,1.203697,0.5576383,-0.8502008,1.183249,0.5360465,-0.8251798,1.171425,0.5203444,-0.8072714,1.185826,0.5675478,-0.7742767,1.177194,0.5519716,-0.7506045,1.173368,0.5350051,-0.7439485,1.20465,0.5642633,-0.766872,1.193687,0.543942,-0.7424527,1.187213,0.524193,-0.7380013,1.227198,0.5613617,-0.7686344,1.217855,0.540547,-0.7465378,1.210981,0.5210925,-0.7428046,1.247247,0.5542172,-0.7772107,1.23958,0.5361252,-0.7694052,1.233319,0.5253397,-0.7799822,1.224515,0.5713509,-0.8223574,0.06502701,
1529412214412,1.200788,0.5589954,-0.8503621,1.180312,0.5378624,-0.8249823,1.168311,0.522504,-0.8068861,1.183101,0.5694851,-0.7745152,1.174177,0.5545087,-0.7504612,1.169965,0.5378691,-0.743167,1.202077,0.5660195,-0.7670529,1.191021,0.5463543,-0.7420188,1.184224,0.5268843,-0.736743,1.224683,0.5627407,-0.768869,1.215397,0.5423115,-0.746446,1.20834,0.522969,-0.7424855,1.245129,0.5557076,-0.7769239,1.237873,0.5379701,-0.7674621,1.231088,0.5265932,-0.7768522,1.221833,0.5722985,-0.8227533,0.0655663,
1529412214438,1.199006,0.5586977,-0.8502166,1.178476,0.5382825,-0.8242954,1.166283,0.5234394,-0.8058915,1.182235,0.5698369,-0.7743703,1.173173,0.5553254,-0.7500161,1.168637,0.5389654,-0.7422373,1.201363,0.5661055,-0.7670577,1.190296,0.5469259,-0.7415662,1.183193,0.5277135,-0.7356294,1.224002,0.5625513,-0.769029,1.214818,0.5426325,-0.7460684,1.207527,0.5234936,-0.741522,1.244313,0.5550549,-0.7772856,1.237072,0.5374123,-0.7670857,1.229836,0.5256903,-0.7756498,1.220558,0.5716848,-0.8230475,0.06556261,
1529412214480,1.192628,0.5616821,-0.8503171,1.173075,0.5412666,-0.8236618,1.161997,0.5262222,-0.8047499,1.177218,0.5722858,-0.7742478,1.168504,0.5580937,-0.7494982,1.163788,0.5419821,-0.741317,1.196565,0.5680175,-0.7673134,1.186021,0.5490432,-0.7413479,1.178752,0.5300499,-0.7348896,1.219181,0.5642899,-0.76965,1.210612,0.5449148,-0.7457846,1.203202,0.5261198,-0.7400684,1.238976,0.5558407,-0.7788899,1.231773,0.5378438,-0.7687433,1.223958,0.5260813,-0.7768261,1.214503,0.5738494,-0.8237578,0.06538586,
1529412214516,1.188393,0.5641002,-0.8515372,1.169313,0.5447078,-0.8237997,1.158607,0.5303245,-0.8041716,1.173236,0.5770834,-0.7759804,1.16416,0.5637995,-0.7508028,1.158989,0.5481409,-0.742009,1.192564,0.572569,-0.7690221,1.181626,0.5546783,-0.7423812,1.17387,0.536162,-0.7351454,1.215263,0.5684486,-0.7712489,1.206546,0.5503197,-0.7464499,1.198743,0.5319965,-0.7398598,1.234782,0.5593429,-0.7802328,1.22736,0.5420609,-0.7688547,1.219117,0.5298045,-0.7758025,1.210317,0.5764455,-0.8257083,0.06466645,
1529412214532,1.184892,0.5648181,-0.8553616,1.166251,0.5459201,-0.8269837,1.155652,0.5319887,-0.8069648,1.169731,0.5795172,-0.7801963,1.160609,0.5666744,-0.75482,1.155448,0.5511434,-0.745806,1.18914,0.5753788,-0.7731586,1.178213,0.5582505,-0.7460084,1.170461,0.5399454,-0.7383021,1.211921,0.5712349,-0.775372,1.203332,0.5538086,-0.7500306,1.195575,0.5356613,-0.7430145,1.231323,0.5619959,-0.7841977,1.22388,0.5451351,-0.772401,1.21565,0.532668,-0.7790847,1.206707,0.5778316,-0.8300161,0.06408858,
1529412214558,1.183338,0.5646152,-0.8575388,1.16539,0.5452653,-0.8290296,1.155426,0.5309815,-0.8089374,1.167997,0.5785146,-0.782435,1.158833,0.5654098,-0.757041,1.153581,0.5501132,-0.7475779,1.187518,0.5744791,-0.7754299,1.176726,0.5572692,-0.7480472,1.16899,0.5392329,-0.7395291,1.210396,0.5704331,-0.7777072,1.202117,0.5529498,-0.7520883,1.194528,0.534989,-0.744293,1.22985,0.5614638,-0.7865487,1.222647,0.544556,-0.7744707,1.214398,0.532014,-0.7808731,1.204931,0.5775806,-0.8322801,0.06429943,
1529412214586,1.177715,0.5677559,-0.8574708,1.160201,0.5485626,-0.8286102,1.150948,0.5342371,-0.8082249,1.162345,0.5820011,-0.78269,1.15314,0.5688383,-0.7571456,1.147753,0.5539737,-0.7469618,1.181747,0.578005,-0.7757044,1.170809,0.5609061,-0.7480375,1.162961,0.5433412,-0.7384813,1.204679,0.5741016,-0.7778399,1.196414,0.5570808,-0.75161,1.188872,0.5396814,-0.7423693,1.223918,0.5645735,-0.7869543,1.216461,0.5472844,-0.774982,1.2081,0.5346709,-0.7810646,1.199276,0.5808321,-0.8324065,0.06444301,
1529412214611,1.174212,0.5701221,-0.8602356,1.15688,0.550526,-0.8315425,1.148066,0.53584,-0.8112445,1.158255,0.5837255,-0.7855126,1.1492,0.5702512,-0.7600339,1.143907,0.5553588,-0.7498235,1.17737,0.5797291,-0.7784933,1.166252,0.5623809,-0.750938,1.158386,0.5448849,-0.7412678,1.200162,0.5760387,-0.7804608,1.191537,0.5590513,-0.7541451,1.183953,0.541951,-0.7442955,1.218372,0.5655882,-0.7906928,1.209516,0.5476083,-0.7819309,1.201578,0.5360711,-0.7906774,1.195362,0.5832098,-0.8349735,0.06458196,
