time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529412265148,1.232616,0.5216297,-0.6672716,1.203275,0.5158588,-0.6424807,1.185659,0.5090843,-0.6239321,1.231732,0.5404735,-0.5884856,1.222766,0.5370958,-0.5593044,1.215314,0.5302675,-0.5432088,1.249797,0.5292127,-0.581966,1.239351,0.5201141,-0.5497462,1.23011,0.5101141,-0.5327629,1.268043,0.518505,-0.5854509,1.256492,0.5079121,-0.5564579,1.246026,0.4970669,-0.5412267,1.279697,0.5003256,-0.5991701,1.264197,0.4847676,-0.5929255,1.252929,0.4764103,-0.6017201,1.262817,0.5244383,-0.6401225,0.08856838,
1529412265175,1.234586,0.5215961,-0.681003,1.204466,0.5171424,-0.6568664,1.18593,0.5114093,-0.6388413,1.234385,0.5387623,-0.6015988,1.225138,0.5354247,-0.5725332,1.217334,0.5284809,-0.5566678,1.252352,0.5265352,-0.5953055,1.241693,0.5167123,-0.5634127,1.232093,0.5061741,-0.5469874,1.270201,0.5154582,-0.5990788,1.258093,0.5040813,-0.5707085,1.24711,0.4927549,-0.5561981,1.282145,0.4975326,-0.6124995,1.266767,0.482061,-0.605444,1.254891,0.4736785,-0.6134125,1.265214,0.5226766,-0.6535246,0.08961084,
1529412265201,1.235864,0.5228943,-0.6908932,1.20541,0.5194594,-0.6670169,1.186495,0.5143867,-0.64917,1.235194,0.5398205,-0.6115268,1.225367,0.5366677,-0.5826418,1.217035,0.5298276,-0.5670139,1.25268,0.5270826,-0.6050242,1.24114,0.5175613,-0.573403,1.230738,0.5070966,-0.557451,1.270551,0.5153636,-0.6084993,1.258244,0.5044695,-0.580011,1.246903,0.4934632,-0.5655643,1.282823,0.4975427,-0.6205049,1.267902,0.4828724,-0.611375,1.255548,0.4743994,-0.6182851,1.266136,0.5227993,-0.663102,0.08899866,
1529412265227,1.237197,0.5224484,-0.7027422,1.207126,0.5192109,-0.678389,1.188552,0.5141184,-0.6601685,1.236735,0.5393953,-0.6236042,1.226627,0.5362245,-0.594811,1.218086,0.5294265,-0.5792805,1.254197,0.5267664,-0.6170764,1.242463,0.517749,-0.5853819,1.231873,0.5076187,-0.5693331,1.272465,0.5147657,-0.6204271,1.260975,0.5045308,-0.5912696,1.250032,0.4939884,-0.5762243,1.285821,0.4976625,-0.6307337,1.272614,0.4839752,-0.6182154,1.259817,0.4748797,-0.6229516,1.26747,0.5219865,-0.6752011,0.08746133,
1529412265254,1.236242,0.5211528,-0.7112362,1.206317,0.5182028,-0.6866683,1.187823,0.5133332,-0.6683031,1.236696,0.5380627,-0.6320799,1.226743,0.5347944,-0.6032426,1.2183,0.5279197,-0.5876964,1.25442,0.525655,-0.6256852,1.24309,0.51676,-0.5938227,1.232666,0.5066134,-0.5776867,1.272946,0.5136403,-0.6291678,1.262295,0.5035063,-0.5996515,1.251762,0.4929488,-0.5843519,1.287233,0.497238,-0.6387496,1.275789,0.4840959,-0.6235986,1.262908,0.4743114,-0.6257124,1.266953,0.5206862,-0.6839731,0.08740164,
1529412265280,1.23703,0.5207212,-0.7206527,1.207574,0.5180012,-0.695504,1.189467,0.5133082,-0.676712,1.239013,0.5380298,-0.6416383,1.229577,0.5346227,-0.6126564,1.221481,0.5275211,-0.5970374,1.257075,0.5260111,-0.6355675,1.246352,0.5169557,-0.6035707,1.236271,0.5065375,-0.5873971,1.275859,0.5142003,-0.6393633,1.265986,0.5037748,-0.6097043,1.25584,0.492836,-0.5944405,1.29084,0.4984463,-0.6487678,1.280931,0.4854946,-0.6319122,1.268398,0.4751486,-0.6318662,1.268494,0.5207768,-0.6940148,0.08703419,
1529412265318,1.237837,0.5207137,-0.7388922,1.208374,0.5197968,-0.7136396,1.19026,0.5163822,-0.6945617,1.240901,0.5400068,-0.6603901,1.231726,0.5365797,-0.6313772,1.223801,0.5290858,-0.61588,1.259079,0.5285108,-0.6542581,1.248423,0.5194536,-0.6223059,1.238363,0.5087069,-0.6063501,1.277946,0.5167539,-0.6579368,1.267948,0.5060154,-0.6285249,1.257646,0.4945742,-0.6137505,1.293178,0.5016171,-0.666743,1.283269,0.4891406,-0.6496965,1.27069,0.4785013,-0.6493279,1.270009,0.5215975,-0.7124331,0.08647083,
1529412265347,1.238604,0.51925,-0.7471389,1.2091,0.5188727,-0.7219353,1.191012,0.5156841,-0.7028023,1.242192,0.5373317,-0.6683649,1.233227,0.5333426,-0.6393632,1.225414,0.5254929,-0.6239931,1.260217,0.5257978,-0.662473,1.249502,0.516158,-0.6307223,1.239388,0.5050617,-0.6150522,1.279044,0.5141476,-0.6663164,1.268859,0.5028822,-0.6372261,1.258295,0.4909789,-0.6230559,1.294269,0.4990258,-0.6753438,1.284203,0.4862434,-0.6589705,1.271816,0.4762989,-0.6607909,1.271011,0.5195577,-0.7206799,0.08654811,
1529412265374,1.236506,0.5222137,-0.759742,1.207511,0.5229952,-0.7339835,1.189703,0.5205556,-0.7144614,1.242527,0.5393854,-0.6809129,1.234296,0.5351243,-0.651705,1.226845,0.5273022,-0.6361346,1.260521,0.5275443,-0.6755341,1.250538,0.5176215,-0.6436107,1.240721,0.5064987,-0.6277775,1.278992,0.5155944,-0.6798918,1.269422,0.5041159,-0.6506191,1.259138,0.4922839,-0.6362007,1.293787,0.5002339,-0.689364,1.284213,0.4872692,-0.6722692,1.271769,0.4774089,-0.6728321,1.269655,0.5215724,-0.7339616,0.08694936,
1529412265400,1.2336,0.5263674,-0.7681278,1.204785,0.527406,-0.7421883,1.187034,0.5251812,-0.7225682,1.240731,0.5428745,-0.6892342,1.232981,0.5380361,-0.6599756,1.225795,0.5299561,-0.6444105,1.258734,0.5309666,-0.6841131,1.249266,0.5205411,-0.6521775,1.239717,0.5092314,-0.6363094,1.276873,0.5189193,-0.6887529,1.267394,0.5068721,-0.6596946,1.257086,0.4947519,-0.645541,1.291648,0.5039248,-0.6982373,1.282507,0.4910706,-0.6804633,1.270123,0.480946,-0.6795673,1.267107,0.52532,-0.7425839,0.08737162,
