time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528980645113,1.123975,0.4496292,-0.8576769,1.137488,0.4321021,-0.828631,1.150019,0.414998,-0.8158073,1.178573,0.4481395,-0.8096462,1.195179,0.4350444,-0.7893949,1.203328,0.4245639,-0.7772151,1.17191,0.4309751,-0.8271198,1.153478,0.412082,-0.8254852,1.139102,0.4139546,-0.8387188,1.181019,0.4246473,-0.8436865,1.162909,0.4079616,-0.8401381,1.147256,0.4107382,-0.851033,1.187141,0.4189906,-0.8592418,1.173695,0.4072086,-0.8526262,1.160491,0.410114,-0.859669,1.155275,0.4493201,-0.8640167,0.06650327,
1528980645155,1.121528,0.451031,-0.8578182,1.133435,0.435242,-0.8270894,1.145508,0.4190115,-0.8129209,1.177615,0.4521623,-0.8102272,1.194793,0.4405343,-0.7896102,1.203286,0.4307007,-0.7771157,1.171171,0.4340203,-0.8272354,1.153417,0.4147582,-0.8253654,1.139483,0.4160235,-0.8390739,1.180224,0.4276561,-0.8437659,1.162509,0.4107602,-0.8403493,1.147357,0.4129357,-0.8520514,1.186836,0.4216731,-0.8592381,1.173735,0.4099186,-0.8526083,1.160612,0.4127157,-0.8599343,1.154156,0.450928,-0.8646909,0.06897134,
1528980645216,1.114364,0.4554355,-0.8623477,1.121113,0.4435573,-0.8284799,1.131446,0.4291826,-0.8115966,1.172942,0.4608861,-0.8146735,1.19047,0.4516132,-0.7932721,1.199078,0.4426264,-0.7802324,1.167901,0.4413865,-0.8307447,1.151697,0.4209149,-0.8282846,1.138287,0.4200097,-0.8426295,1.178983,0.4352109,-0.845962,1.163782,0.4166759,-0.8407323,1.14881,0.4158876,-0.852716,1.186282,0.4288678,-0.8617638,1.1751,0.4158435,-0.8536983,1.161443,0.4161905,-0.8604776,1.150595,0.4557645,-0.8695303,0.07575299,
1528980645247,1.108067,0.4582024,-0.8654642,1.10866,0.4520893,-0.8289537,1.114277,0.4432707,-0.8066434,1.169034,0.4711524,-0.8183011,1.187612,0.4655715,-0.7966114,1.196906,0.4578637,-0.7832716,1.167087,0.450199,-0.8327321,1.154233,0.4273397,-0.8277687,1.14069,0.4227498,-0.8411175,1.181014,0.4456073,-0.8469566,1.171058,0.4262936,-0.8388042,1.155907,0.4226918,-0.8500166,1.187687,0.4385817,-0.8641909,1.179864,0.4239133,-0.8541257,1.165687,0.4214605,-0.8587077,1.147405,0.4609985,-0.8729522,0.08710146,
1528980645288,1.100998,0.4646087,-0.8699925,1.092665,0.4648567,-0.8338324,1.086851,0.4651995,-0.8093964,1.162822,0.4825608,-0.8214847,1.180968,0.4809398,-0.798911,1.18959,0.4747492,-0.7844812,1.166592,0.461806,-0.8297826,1.159225,0.4399483,-0.8148548,1.144508,0.4276228,-0.8209887,1.188917,0.4616029,-0.8470869,1.194908,0.4479671,-0.8294462,1.181287,0.4336292,-0.8265047,1.19133,0.4454679,-0.8648356,1.197512,0.4302027,-0.8495716,1.188171,0.4214854,-0.8436998,1.142987,0.4662493,-0.8755807,0.1061472,
1528980645327,1.097948,0.4710811,-0.8730038,1.088347,0.4729335,-0.8372576,1.080512,0.4757115,-0.8134953,1.161324,0.4898296,-0.8254068,1.180005,0.4902334,-0.8032672,1.188711,0.4849908,-0.7885734,1.1764,0.4782772,-0.8331282,1.183389,0.466943,-0.8124703,1.171046,0.451456,-0.8088132,1.189219,0.4684273,-0.8523889,1.209095,0.460405,-0.8314791,1.212097,0.4473186,-0.8166431,1.192679,0.4512629,-0.8702508,1.211177,0.4409001,-0.8591328,1.218518,0.4309704,-0.8494524,1.140488,0.4709681,-0.8783764,0.1114192,
1528980645353,1.095599,0.4762482,-0.8767779,1.085527,0.4808428,-0.8414301,1.077371,0.4853818,-0.8180549,1.158534,0.4995383,-0.8305063,1.177557,0.5023333,-0.8088473,1.186709,0.4985622,-0.7939553,1.175901,0.4908355,-0.8395232,1.187214,0.4845158,-0.8186682,1.177657,0.4687983,-0.810857,1.187329,0.4777062,-0.8563284,1.211826,0.4761177,-0.8368058,1.224448,0.4707802,-0.8218004,1.192028,0.4600658,-0.8739162,1.212771,0.4529453,-0.8643949,1.223911,0.4455137,-0.8556515,1.138211,0.4763129,-0.8818637,0.1127359,
1528980645416,1.092851,0.4918252,-0.8859348,1.084607,0.5018288,-0.8512489,1.07695,0.5108801,-0.8290486,1.155581,0.5152544,-0.8415629,1.175076,0.5193715,-0.8203315,1.185041,0.5178669,-0.8054597,1.172186,0.5048623,-0.8492045,1.182522,0.4995739,-0.8276142,1.171492,0.4853621,-0.8197583,1.182714,0.4890727,-0.8640249,1.206309,0.4871963,-0.8432791,1.218966,0.4831637,-0.8279877,1.18732,0.4712432,-0.8804649,1.207233,0.4646573,-0.8692527,1.217955,0.4580435,-0.85927,1.134344,0.4887228,-0.890745,0.1108553,
1528980645434,1.091465,0.5006642,-0.8900228,1.085124,0.5123006,-0.8554574,1.078323,0.5229023,-0.8337125,1.154106,0.5239803,-0.8469799,1.173573,0.5279369,-0.825641,1.183594,0.5267433,-0.8107567,1.169896,0.5125513,-0.8538457,1.178946,0.5067558,-0.8318147,1.166924,0.493051,-0.8245552,1.180016,0.4963695,-0.8683505,1.202408,0.4936623,-0.8464355,1.214004,0.4891807,-0.830438,1.184333,0.4783698,-0.8841816,1.203321,0.4715722,-0.8715979,1.213299,0.4650685,-0.860788,1.132037,0.4965457,-0.8953374,0.1078132,
1528980645473,1.085317,0.5187116,-0.9004609,1.081135,0.5333627,-0.8667647,1.074721,0.5468132,-0.8467029,1.145554,0.5448764,-0.8584737,1.164305,0.549805,-0.8366201,1.174136,0.5498505,-0.8215239,1.160857,0.53267,-0.8638713,1.168076,0.527403,-0.8410424,1.1551,0.5144217,-0.8349537,1.170876,0.516264,-0.8768328,1.190967,0.5149667,-0.8526444,1.201009,0.511633,-0.8353479,1.175395,0.4970203,-0.8907939,1.192086,0.4907792,-0.8750338,1.20013,0.4849537,-0.8623601,1.12433,0.5141578,-0.9052954,0.102599,
