time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528981157912,0.8818822,0.9776657,-0.5943859,0.859759,0.9974117,-0.578426,0.8446392,1.01002,-0.5662984,0.8858052,1.009272,-0.5328447,0.877898,1.021879,-0.5104293,0.8708851,1.0277,-0.4966021,0.8978418,0.9968224,-0.522451,0.8900151,1.007675,-0.494786,0.8827443,1.012727,-0.4780131,0.9101377,0.9796817,-0.5199906,0.904398,0.9863561,-0.4923248,0.8982513,0.9892426,-0.4749853,0.9200807,0.9600539,-0.5216971,0.919162,0.9604838,-0.4996891,0.9160095,0.9599583,-0.4852902,0.9050019,0.9704434,-0.5696115,0.076544,
1528981157954,0.8814597,0.9779102,-0.6021866,0.8593596,0.9983606,-0.5870934,0.8442326,1.01177,-0.5758572,0.8850551,1.012626,-0.5424864,0.8774029,1.026585,-0.5207568,0.8708397,1.033535,-0.5072266,0.8971222,1.000818,-0.5314855,0.8896534,1.01339,-0.5044135,0.8830571,1.019823,-0.4878247,0.9095442,0.9838239,-0.528119,0.9042447,0.9920892,-0.5007622,0.8988357,0.996251,-0.4834245,0.9195357,0.9641085,-0.5288396,0.9189188,0.9656414,-0.5068471,0.9164039,0.9659735,-0.4923033,0.9044204,0.9720576,-0.5772358,0.07675824,
1528981157979,0.8813993,0.9793599,-0.607119,0.8595413,1.000311,-0.5923635,0.8445681,1.014073,-0.5813481,0.8855984,1.014795,-0.5478125,0.8782812,1.029381,-0.5263714,0.8719662,1.036828,-0.5129851,0.8974832,1.002903,-0.5366428,0.8903848,1.016146,-0.5097796,0.8841348,1.023126,-0.4932746,0.9096102,0.9857144,-0.5330601,0.9046006,0.9945608,-0.5058177,0.8995608,0.999245,-0.4884959,0.9193349,0.9657665,-0.5335403,0.9189092,0.96758,-0.5115579,0.9166483,0.9681759,-0.4969778,0.9042922,0.9734701,-0.5820547,0.0770842,
1528981158041,0.8798396,0.9835349,-0.6162398,0.8584286,1.005792,-0.6028008,0.8437985,1.020539,-0.5926368,0.8853788,1.025232,-0.5615013,0.8786037,1.041867,-0.5414261,0.8725247,1.050493,-0.5286654,0.8974805,1.014789,-0.5495533,0.8909221,1.030941,-0.5241934,0.8848515,1.039601,-0.5084488,0.9098575,0.9981467,-0.5444166,0.9055582,1.01004,-0.5182427,0.9007894,1.016562,-0.5014584,0.9195328,0.9784894,-0.5429921,0.9196013,0.9831843,-0.5214412,0.9176456,0.9856886,-0.5070203,0.9032838,0.9805396,-0.5916041,0.07625498,
1528981158073,0.8790181,0.9856191,-0.625027,0.8578228,1.008861,-0.6129994,0.8434035,1.024288,-0.6035755,0.8854737,1.031845,-0.5741913,0.8787981,1.049837,-0.5553052,0.8727361,1.059195,-0.5430637,0.8982625,1.022804,-0.5618969,0.8921171,1.040979,-0.5378483,0.8862022,1.050768,-0.5227221,0.9112009,1.007017,-0.5558316,0.9075004,1.021268,-0.5307819,0.9029456,1.029158,-0.5145397,0.9213331,0.9878509,-0.5530464,0.9220329,0.9948148,-0.5321435,0.9202924,0.9987305,-0.5180163,0.9032847,0.9850401,-0.6009254,0.07576697,
1528981158112,0.8790541,0.9896411,-0.6383556,0.8586075,1.014648,-0.6289628,0.8448817,1.030977,-0.6200874,0.8860459,1.041474,-0.5934194,0.8791416,1.061109,-0.5763628,0.8727827,1.071393,-0.5650502,0.8986273,1.034083,-0.5803173,0.8920745,1.054864,-0.5586244,0.8855919,1.066085,-0.5447815,0.9112589,1.019331,-0.5724956,0.9070862,1.036927,-0.5497633,0.9019221,1.046834,-0.5348623,0.9211701,1.000899,-0.5673169,0.9215591,1.011338,-0.5479063,0.9193375,1.017542,-0.534689,0.9032071,0.9914714,-0.6140124,0.0737635,
1528981158138,0.8791203,0.991843,-0.6462831,0.8594764,1.017845,-0.6382966,0.8465055,1.034548,-0.6290749,0.8857363,1.046098,-0.6045621,0.8787276,1.065993,-0.587913,0.8720252,1.076197,-0.5767404,0.8976595,1.039783,-0.5911492,0.8902839,1.061417,-0.5706586,0.8829278,1.072905,-0.5574973,0.9095371,1.025817,-0.5823766,0.9039012,1.044863,-0.5612234,0.897682,1.055614,-0.5473409,0.9191622,1.008159,-0.5757964,0.9182885,1.020542,-0.5575998,0.9151556,1.028012,-0.5452564,0.9025669,0.9951375,-0.6218809,0.07158754,
1528981158168,0.8805746,0.9931584,-0.6588681,0.8627237,1.020715,-0.6524676,0.8511584,1.038323,-0.643167,0.8882397,1.049791,-0.6214838,0.8808727,1.069554,-0.6050905,0.8730215,1.078791,-0.5938622,0.8989215,1.044457,-0.6079049,0.8895485,1.066322,-0.5888741,0.8797615,1.076931,-0.5765947,0.9094129,1.031134,-0.5981288,0.9010847,1.051203,-0.5790443,0.8927492,1.062276,-0.5665705,0.9182653,1.014248,-0.5898987,0.9150091,1.028288,-0.5732884,0.9102562,1.036797,-0.5621715,0.9033586,0.9975539,-0.634755,0.06742834,
1528981158211,0.881238,0.9934579,-0.6758965,0.8656473,1.022557,-0.6710899,0.8559315,1.041173,-0.6617946,0.8913083,1.051985,-0.6434163,0.883233,1.071151,-0.6272371,0.8734645,1.078006,-0.6159913,0.9013128,1.047612,-0.6300505,0.8900436,1.069145,-0.6125261,0.8771587,1.077106,-0.6013507,0.9109219,1.034969,-0.6196275,0.8999341,1.055142,-0.6027185,0.888035,1.064425,-0.5918117,0.9188395,1.018728,-0.6099321,0.9129076,1.033577,-0.5951036,0.9050359,1.041706,-0.5855948,0.9039895,0.9986323,-0.6524761,0.06133533,
1528981158233,0.8804933,0.9929926,-0.6853746,0.8660784,1.022702,-0.6808673,0.857264,1.04161,-0.6713814,0.8919187,1.051399,-0.6538937,0.8829405,1.06952,-0.6375875,0.8717669,1.073916,-0.6266757,0.9016715,1.047073,-0.6406949,0.8892774,1.067726,-0.6236153,0.8747696,1.073215,-0.6132911,0.9110383,1.034403,-0.630088,0.8989749,1.053837,-0.6137227,0.8849976,1.060623,-0.6037738,0.9181614,1.018124,-0.6200982,0.9106259,1.032434,-0.6058993,0.9002416,1.038813,-0.597684,0.9035094,0.9979347,-0.6623933,0.0570318,
1528981158258,0.8819088,0.9904269,-0.6926383,0.867498,1.020295,-0.6891771,0.858609,1.039468,-0.6803599,0.8934382,1.049792,-0.6633157,0.8834637,1.067633,-0.6478699,0.8712884,1.070379,-0.6378078,0.9028472,1.045783,-0.6498031,0.8893476,1.066104,-0.6338618,0.8737983,1.069842,-0.6246862,0.9120383,1.033346,-0.6384614,0.8990234,1.052424,-0.6230308,0.8838062,1.057392,-0.6142696,0.9185939,1.017344,-0.6278443,0.9097078,1.031296,-0.6146168,0.8976703,1.036149,-0.6079239,0.904889,0.9960259,-0.6697688,0.05410169,
1528981158285,0.8822832,0.9868299,-0.7011114,0.8679348,1.016794,-0.6985327,0.8592505,1.036061,-0.6898865,0.8946576,1.047526,-0.6750646,0.8843381,1.065592,-0.6607586,0.871713,1.067128,-0.6513755,0.9037479,1.043879,-0.6612452,0.8894635,1.063929,-0.6465757,0.8733157,1.065656,-0.6384598,0.9129227,1.03175,-0.6490494,0.8992515,1.050457,-0.6344996,0.8832632,1.053465,-0.6268134,0.9191191,1.016221,-0.6378347,0.909201,1.02977,-0.6257092,0.8959413,1.032608,-0.6207516,0.9055613,0.9933061,-0.6788023,0.05102504,
1528981158312,0.8813509,0.9818597,-0.7171925,0.8673699,1.012003,-0.7151831,0.8592265,1.031346,-0.7064027,0.8951927,1.043511,-0.6944597,0.8847636,1.061717,-0.6811269,0.8719773,1.062135,-0.6722111,0.9040588,1.040128,-0.6804698,0.8892291,1.059779,-0.6668533,0.8728887,1.059648,-0.6594777,0.9133501,1.028275,-0.6675777,0.8993196,1.046592,-0.65372,0.8829843,1.047817,-0.6468618,0.9192506,1.013232,-0.6559775,0.9086362,1.026356,-0.6449399,0.8948085,1.026956,-0.641673,0.905163,0.9888974,-0.6956292,0.04774567,
1528981158339,0.8816737,0.9768412,-0.7276939,0.8679863,1.007197,-0.726856,0.8600831,1.026956,-0.7188634,0.8972731,1.039161,-0.7077615,0.8869165,1.057739,-0.6954308,0.8740696,1.057805,-0.6867839,0.9060322,1.036012,-0.6935828,0.8911794,1.055817,-0.6809646,0.8748218,1.055022,-0.6739375,0.9151198,1.024323,-0.6800231,0.9008962,1.042403,-0.6669247,0.8844272,1.0423,-0.6607996,0.9208172,1.00968,-0.6679647,0.9101044,1.022753,-0.6577195,0.896253,1.022184,-0.6554194,0.9060831,0.9842519,-0.7066231,0.04665182,
1528981158379,0.8818776,0.9629161,-0.7501235,0.8689612,0.9936299,-0.7514499,0.8619038,1.014387,-0.7453024,0.9021242,1.025867,-0.7389261,0.8918256,1.045215,-0.7284762,0.8790221,1.045766,-0.7194902,0.911413,1.023671,-0.7249271,0.8969227,1.044545,-0.7143238,0.8806143,1.04439,-0.7067667,0.920179,1.012752,-0.7100331,0.9057609,1.030978,-0.6985031,0.8891965,1.0301,-0.6924441,0.9260072,0.999537,-0.6970015,0.9155492,1.01354,-0.6882961,0.9017245,1.012784,-0.6860462,0.9085209,0.9711357,-0.7316518,0.0440904,
1528981158426,0.8819196,0.9462196,-0.7774076,0.8696111,0.9771698,-0.7793738,0.8627856,0.9983345,-0.7741256,0.9034488,1.008656,-0.7680601,0.8928736,1.028295,-0.7580358,0.879902,1.029684,-0.7491044,0.9128777,1.006723,-0.7541482,0.8987281,1.028738,-0.744298,0.8823484,1.030569,-0.7366863,0.9214166,0.9960614,-0.7388096,0.9075571,1.015627,-0.7277915,0.8909382,1.016938,-0.7214017,0.9270999,0.9832528,-0.7254732,0.9175804,0.9987227,-0.717089,0.9038376,1.000258,-0.7141486,0.9088743,0.9542236,-0.7593469,0.04360993,
1528981158446,0.8829184,0.9347099,-0.7899769,0.8708584,0.9657103,-0.7928492,0.8640381,0.9871196,-0.7885052,0.9047135,0.9971008,-0.7822495,0.8939183,1.017118,-0.7729617,0.880828,1.019133,-0.7642283,0.9141033,0.9954954,-0.768181,0.8999999,1.018097,-0.7591817,0.8835844,1.020764,-0.7518076,0.9225166,0.9852465,-0.7524779,0.9089445,1.005687,-0.7422144,0.89238,1.008165,-0.7359005,0.9280381,0.9727952,-0.7387263,0.9189653,0.9890209,-0.7308677,0.9053617,0.991654,-0.7278191,0.9097785,0.9429399,-0.7719689,0.0435443,
