time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528981061096,1.173038,0.4133012,-0.629985,1.164858,0.3942318,-0.6038517,1.167432,0.3802828,-0.5864023,1.171833,0.4274875,-0.563098,1.170985,0.4141365,-0.5421941,1.170873,0.3988332,-0.5401576,1.190116,0.4281156,-0.5597689,1.188736,0.4130615,-0.5354806,1.186092,0.3957707,-0.5311237,1.209547,0.4281579,-0.5650849,1.209831,0.4140753,-0.5422357,1.20671,0.3971887,-0.537374,1.229376,0.4247856,-0.5753593,1.235023,0.4144253,-0.5585054,1.232705,0.401364,-0.5534924,1.194815,0.4292418,-0.6132741,0.04994531,
1528981061138,1.169085,0.4201438,-0.6355824,1.15789,0.4002543,-0.611028,1.156574,0.3854147,-0.5939173,1.1701,0.4353248,-0.5668473,1.169446,0.4264277,-0.5430629,1.169122,0.4125116,-0.5352198,1.189095,0.4349109,-0.5638245,1.189051,0.4227551,-0.5376945,1.186908,0.4063474,-0.5298613,1.208038,0.4334462,-0.569732,1.209275,0.4204879,-0.5457143,1.206869,0.4042694,-0.5381347,1.228015,0.4298517,-0.5807263,1.235317,0.4200842,-0.5636567,1.234817,0.4074625,-0.556893,1.192413,0.4353009,-0.6179141,0.06585637,
1528981061164,1.167352,0.4229371,-0.6377397,1.154891,0.4033215,-0.613492,1.151699,0.3886988,-0.5963235,1.16917,0.4394881,-0.5688157,1.169044,0.4319194,-0.544418,1.16903,0.4189486,-0.5346912,1.188084,0.4389889,-0.5658486,1.188531,0.4276636,-0.5392187,1.186833,0.4117587,-0.5298936,1.20683,0.4375516,-0.5717741,1.20845,0.4255953,-0.5468818,1.206686,0.4102099,-0.5372825,1.226945,0.4338503,-0.5828751,1.234792,0.424557,-0.5655643,1.235254,0.4123957,-0.5578009,1.191112,0.4385245,-0.6199745,0.07080936,
1528981061211,1.166431,0.4257357,-0.6401979,1.151842,0.4064558,-0.6167811,1.145301,0.392288,-0.5999597,1.167793,0.4439253,-0.5710736,1.16769,0.4379522,-0.545779,1.167816,0.4269281,-0.5336569,1.18673,0.4434742,-0.5678504,1.187545,0.433395,-0.5401412,1.186531,0.4191021,-0.5280819,1.205189,0.4426584,-0.573362,1.206721,0.4324388,-0.5472455,1.205562,0.4187207,-0.5350714,1.225599,0.4386819,-0.584142,1.233678,0.4302517,-0.5661592,1.235335,0.4191586,-0.5568713,1.190333,0.4421924,-0.6218708,0.07812138,
1528981061230,1.16556,0.4271742,-0.6409606,1.150508,0.4083662,-0.6174501,1.143448,0.3945134,-0.600548,1.166985,0.4457709,-0.5719674,1.166759,0.4401463,-0.5465361,1.166761,0.4294878,-0.5340739,1.186034,0.4451632,-0.5686977,1.186917,0.4354249,-0.5407762,1.185931,0.4215239,-0.5282397,1.204427,0.444269,-0.5741326,1.205924,0.4344603,-0.5478,1.204757,0.421109,-0.5352057,1.224823,0.4400374,-0.5848363,1.23292,0.431843,-0.5667009,1.234719,0.4210317,-0.5570879,1.189664,0.4434253,-0.6226847,0.07864828,
1528981061269,1.16182,0.431351,-0.643402,1.145218,0.4140893,-0.6197249,1.136584,0.4013911,-0.602631,1.163142,0.4526864,-0.5751425,1.162916,0.447353,-0.5496711,1.162936,0.4367599,-0.5371656,1.18213,0.4519575,-0.571728,1.182903,0.4421399,-0.5439023,1.181816,0.4280603,-0.5315887,1.200128,0.4509376,-0.5768682,1.200842,0.4412371,-0.550487,1.199209,0.4278464,-0.5380259,1.220081,0.4463632,-0.5867585,1.226546,0.4381606,-0.568022,1.227286,0.4274003,-0.5581773,1.186246,0.4483625,-0.6254027,0.07893728,
1528981061310,1.158607,0.4339629,-0.645737,1.140249,0.4183506,-0.6221972,1.129787,0.406908,-0.6051964,1.159141,0.4577578,-0.5782802,1.158787,0.4532245,-0.5525913,1.158677,0.4431697,-0.5396546,1.177634,0.4566771,-0.5744195,1.17762,0.4473502,-0.5462995,1.176132,0.433751,-0.5334806,1.195608,0.4552357,-0.5790571,1.195366,0.4458289,-0.5524855,1.193262,0.4328793,-0.5395662,1.215357,0.4502056,-0.5880485,1.220456,0.4421055,-0.5688027,1.220451,0.4316298,-0.5586042,1.183123,0.4513638,-0.6276966,0.08028224,
1528981061350,1.155594,0.4378818,-0.6492165,1.136534,0.4231349,-0.6256754,1.124934,0.4124376,-0.6088486,1.155948,0.461206,-0.5819366,1.155276,0.456462,-0.5561598,1.154913,0.4467214,-0.5429682,1.174388,0.4599235,-0.5779759,1.174051,0.450451,-0.5497176,1.172407,0.4372827,-0.5364333,1.192461,0.4583198,-0.5824688,1.192009,0.4486703,-0.5558894,1.189786,0.4358917,-0.5427985,1.212,0.4531979,-0.5912085,1.216639,0.4449267,-0.5718621,1.216459,0.4345912,-0.5614958,1.180257,0.4548223,-0.6311408,0.08008939,
1528981061391,1.150559,0.4449555,-0.6552918,1.130925,0.4321715,-0.6310823,1.119034,0.4227798,-0.6136874,1.149845,0.4714349,-0.589525,1.148198,0.4672907,-0.5637948,1.147174,0.4574047,-0.5508046,1.168031,0.469781,-0.5851676,1.166273,0.4607278,-0.5569987,1.163634,0.4472833,-0.5442359,1.186193,0.4674944,-0.589205,1.184346,0.4580655,-0.5628071,1.181037,0.4448608,-0.5504724,1.206061,0.4617868,-0.5972031,1.209941,0.4540679,-0.5775307,1.208937,0.4438717,-0.5671179,1.175244,0.4619758,-0.6377536,0.0771037,
1528981061437,1.143183,0.4558331,-0.6646655,1.12275,0.4450561,-0.6401506,1.110666,0.4368882,-0.6223022,1.141526,0.4849215,-0.6004468,1.138855,0.4812779,-0.5746254,1.137038,0.4720383,-0.5612138,1.159294,0.4828345,-0.5956008,1.15597,0.4744023,-0.5672832,1.152316,0.4615255,-0.5541805,1.177418,0.4798394,-0.5989978,1.173955,0.4710865,-0.5724831,1.169592,0.4584011,-0.5599272,1.197014,0.473264,-0.6059479,1.199019,0.4658914,-0.5859175,1.196584,0.455872,-0.5755923,1.167985,0.4728383,-0.647415,0.07525171,
