time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528980852201,0.8406602,0.4645925,-0.8837149,0.8153859,0.4709076,-0.8572216,0.7986042,0.4733782,-0.8386691,0.8557089,0.4689641,-0.8071042,0.8543527,0.468134,-0.7780997,0.8494976,0.4644469,-0.7611978,0.8692421,0.452122,-0.8038191,0.8681384,0.4482575,-0.7708071,0.8631163,0.4435252,-0.7513969,0.8805577,0.4341457,-0.8105443,0.8784806,0.4268318,-0.7800751,0.872794,0.4202774,-0.7617979,0.8893475,0.4158449,-0.82223,0.8902791,0.4063085,-0.800323,0.8873815,0.3990954,-0.7862909,0.8690668,0.4489393,-0.862222,0.09312192,
1528980852336,0.8407249,0.4696035,-0.8853347,0.8159544,0.4771115,-0.8586969,0.7995728,0.4798891,-0.8398499,0.8553497,0.4733062,-0.8087573,0.8540428,0.4724741,-0.7796531,0.8496953,0.4691986,-0.7625167,0.8685999,0.456591,-0.8053838,0.8673208,0.4530006,-0.7722609,0.8627375,0.4487613,-0.752618,0.8796254,0.4383148,-0.8120629,0.8768677,0.4308448,-0.7816383,0.871134,0.4243961,-0.7633204,0.8878317,0.419802,-0.8236604,0.8867066,0.4097865,-0.8020598,0.8815486,0.4023076,-0.7889006,0.8687854,0.4531852,-0.8637767,0.09277375,
1528980852442,0.8420166,0.4787157,-0.8900076,0.8174987,0.4866557,-0.8632622,0.8012109,0.489949,-0.8443938,0.8566022,0.4848804,-0.8137643,0.8552805,0.4855641,-0.784622,0.8509821,0.4834233,-0.7672981,0.8694869,0.4677792,-0.809917,0.8683001,0.4656251,-0.776648,0.8636922,0.4623594,-0.7568413,0.8798373,0.4490537,-0.8160633,0.8769952,0.4431092,-0.7852715,0.8713248,0.4377807,-0.766584,0.8872898,0.4298485,-0.8271509,0.8852437,0.420703,-0.8052869,0.8794438,0.413903,-0.7919796,0.8695424,0.4625182,-0.8682113,0.0919973,
1528980852658,0.8370399,0.4984816,-0.890653,0.8115568,0.509311,-0.8659004,0.7945409,0.515121,-0.8482914,0.8488586,0.5154818,-0.8156712,0.8457236,0.5193738,-0.7869724,0.8401555,0.5188547,-0.7698902,0.8616914,0.4992864,-0.809111,0.8582162,0.500847,-0.7760178,0.8519522,0.4995176,-0.7564516,0.8737494,0.4810159,-0.8122751,0.8709329,0.4800593,-0.7809341,0.8650139,0.4775659,-0.7617754,0.8830416,0.4612873,-0.8201967,0.883701,0.4570372,-0.7967059,0.8801162,0.453162,-0.7815931,0.8642204,0.4863623,-0.8660901,0.09078201,
1528980852759,0.8340867,0.5145212,-0.8930975,0.8079125,0.5250882,-0.8689538,0.790232,0.5320487,-0.8524723,0.8467,0.537641,-0.8195707,0.8436709,0.5425969,-0.7910419,0.8382239,0.5424038,-0.7739213,0.859848,0.5224862,-0.8121786,0.8557393,0.5252185,-0.7792409,0.8492223,0.5243378,-0.7597288,0.8730831,0.5053191,-0.8143392,0.8703231,0.506584,-0.7829911,0.8647827,0.5053812,-0.7635713,0.8834689,0.4854414,-0.8209805,0.8845986,0.4828473,-0.7972562,0.8817763,0.4799626,-0.7817256,0.8626906,0.50612,-0.8681636,0.09263219,
1528980852865,0.8445082,0.5188141,-0.8934627,0.818481,0.5278158,-0.8685514,0.8009104,0.5337539,-0.8515794,0.8588275,0.5439371,-0.8207211,0.8569154,0.5489422,-0.7920848,0.8523877,0.5486748,-0.7747002,0.8727013,0.5293887,-0.8135604,0.8695806,0.5318571,-0.7804698,0.8639714,0.5307361,-0.7606814,0.8866695,0.5129818,-0.8159416,0.8848009,0.5141448,-0.7845083,0.8801119,0.5127938,-0.7648633,0.8975617,0.4932731,-0.8226469,0.8991981,0.4902752,-0.7989701,0.8971986,0.4871119,-0.7833464,0.8745091,0.5126808,-0.8694106,0.09371744,
1528980852879,0.8513263,0.5189484,-0.8969617,0.8255028,0.528178,-0.8719203,0.8080727,0.5342602,-0.8548517,0.8663749,0.5444907,-0.8244852,0.8646552,0.5496657,-0.7958769,0.8601484,0.54945,-0.7784914,0.8801907,0.5298506,-0.8173311,0.8772846,0.5324932,-0.7842392,0.8717318,0.5314636,-0.7644334,0.8940445,0.5133305,-0.8197153,0.8924224,0.5146667,-0.7882769,0.8878319,0.5134252,-0.7686048,0.9047719,0.4934951,-0.826389,0.9066253,0.4905965,-0.8027153,0.9047485,0.4875166,-0.787061,0.8814972,0.5127675,-0.8730801,0.09366699,
1528980852972,0.871779,0.5197598,-0.8962244,0.846225,0.5313464,-0.8719,0.8284605,0.5410274,-0.8569765,0.8900934,0.546607,-0.8248677,0.8901343,0.5520679,-0.7962638,0.886654,0.5520439,-0.7786444,0.903903,0.5319235,-0.8179146,0.9026486,0.5348073,-0.7847478,0.8979933,0.5338985,-0.7647111,0.9172771,0.5152278,-0.8204682,0.9168119,0.5167195,-0.7890077,0.9128524,0.5155543,-0.7691975,0.9273441,0.4950008,-0.8271549,0.9296252,0.4918403,-0.8035602,0.9279642,0.4886084,-0.7879112,0.9027359,0.5140013,-0.8733559,0.09820269,
1528980853144,0.9060447,0.526665,-0.8956666,0.8859328,0.5365978,-0.8660855,0.8724855,0.542944,-0.8458084,0.9338377,0.5537952,-0.8280838,0.9375342,0.5595567,-0.7997366,0.9365899,0.559928,-0.7817953,0.9491332,0.5391533,-0.8232779,0.953059,0.5422149,-0.790311,0.9518291,0.5415694,-0.7697523,0.9620004,0.5221345,-0.8276461,0.9663792,0.5232152,-0.7964495,0.9656858,0.5218775,-0.7762645,0.9706621,0.5018739,-0.8355917,0.97619,0.4983021,-0.812555,0.9771848,0.4949607,-0.7968636,0.939717,0.5209534,-0.8778141,0.09217107,
1528980853162,0.9169349,0.5268118,-0.8945436,0.8977753,0.5368652,-0.8643743,0.8849975,0.5432521,-0.8436748,0.9463184,0.5539757,-0.8277847,0.9504257,0.5597572,-0.7994988,0.9497476,0.560135,-0.7815458,0.9617796,0.5393803,-0.8234167,0.9662917,0.542531,-0.7905355,0.965403,0.5419186,-0.7699612,0.9746313,0.5223551,-0.8281507,0.9797245,0.5235238,-0.797068,0.9794893,0.5222383,-0.7768689,0.983166,0.5022007,-0.8363204,0.9892976,0.4988694,-0.8134085,0.9907249,0.4956895,-0.7977108,0.9509159,0.521064,-0.8776594,0.09131061,
