time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529333905635,1.145741,0.5995708,-0.5356426,1.130186,0.5765975,-0.5120786,1.128349,0.5578289,-0.4974049,1.144804,0.6022443,-0.4600348,1.1378,0.5858853,-0.4398435,1.131796,0.5701203,-0.4373143,1.16541,0.5970955,-0.45565,1.15917,0.5806533,-0.4303121,1.150817,0.5639818,-0.4244643,1.185313,0.5914801,-0.4614841,1.180823,0.5769447,-0.4361941,1.172806,0.56155,-0.4278501,1.198771,0.5790751,-0.4749627,1.191286,0.5630424,-0.4629429,1.181241,0.5523198,-0.4661632,1.172535,0.6049634,-0.5122863,0.06143161,
1529333905661,1.145962,0.604768,-0.5374143,1.130042,0.5818747,-0.5139667,1.127911,0.5631888,-0.4992788,1.14526,0.6071643,-0.4616431,1.138447,0.5909304,-0.4412858,1.13262,0.5751356,-0.4386535,1.165971,0.6022962,-0.4572787,1.159994,0.586041,-0.431748,1.15186,0.5693386,-0.4257645,1.185922,0.5968653,-0.4631687,1.181683,0.5824744,-0.4377102,1.173923,0.5670806,-0.4291223,1.199641,0.5847337,-0.4765419,1.192557,0.5687619,-0.4640956,1.182709,0.557714,-0.466845,1.172965,0.61019,-0.5139827,0.06197045,
1529333905703,1.149088,0.6246786,-0.5452428,1.133888,0.6036333,-0.5196834,1.132231,0.5860509,-0.5036329,1.14856,0.6319221,-0.4703615,1.141128,0.6162525,-0.4504702,1.135106,0.6004899,-0.4494616,1.169207,0.6275555,-0.4656945,1.162351,0.6128267,-0.4399219,1.153524,0.5963969,-0.4345028,1.18908,0.6214802,-0.4713984,1.183908,0.6085141,-0.4457832,1.1752,0.5933701,-0.4378614,1.203398,0.6087821,-0.483643,1.196833,0.5943248,-0.4693094,1.1869,0.5831359,-0.4706901,1.176082,0.6312784,-0.5228572,0.0561362,
1529333905728,1.151504,0.6402273,-0.5527635,1.136669,0.6218904,-0.5250255,1.135332,0.605688,-0.507614,1.150514,0.6531299,-0.4797474,1.14132,0.637816,-0.4613819,1.134968,0.6225926,-0.4633794,1.170939,0.6486922,-0.474433,1.16185,0.6352354,-0.4495349,1.151674,0.6192877,-0.4467013,1.190608,0.6411416,-0.4796004,1.183364,0.629365,-0.4545419,1.172967,0.6146526,-0.4486868,1.205281,0.6276544,-0.4903974,1.198425,0.6152281,-0.4745957,1.18793,0.6045758,-0.4750968,1.17845,0.6476874,-0.5314847,0.04735605,
1529333905754,1.151572,0.6575305,-0.5608646,1.136456,0.6428128,-0.5312665,1.135015,0.6285024,-0.5122942,1.147943,0.6775782,-0.4908208,1.136868,0.6632519,-0.4736732,1.130692,0.6484404,-0.4774215,1.167535,0.6730458,-0.4841699,1.155478,0.6613145,-0.4604071,1.144499,0.6458915,-0.4595356,1.187239,0.664203,-0.4876705,1.177208,0.6541562,-0.4635019,1.165487,0.6400245,-0.4597181,1.202695,0.6500632,-0.4960704,1.195079,0.6402562,-0.4790922,1.184117,0.630262,-0.4791602,1.177694,0.6662535,-0.5401101,0.04040193,
1529333905780,1.153713,0.677961,-0.5720252,1.139353,0.6683923,-0.5401275,1.138604,0.656776,-0.5193621,1.149092,0.7075082,-0.5071678,1.136704,0.69455,-0.4910279,1.13108,0.680029,-0.4961137,1.167286,0.7028038,-0.4994687,1.152362,0.6929129,-0.4773946,1.141181,0.677812,-0.478578,1.186686,0.6926811,-0.5009295,1.17377,0.6847219,-0.4780686,1.161206,0.6711517,-0.4763818,1.202543,0.6781919,-0.5064303,1.193737,0.6719097,-0.4886042,1.182192,0.6627062,-0.4881013,1.179256,0.688287,-0.5528508,0.03373138,
1529333905807,1.157268,0.6852163,-0.579073,1.14379,0.6789159,-0.5461481,1.144005,0.6689975,-0.524541,1.15244,0.7206088,-0.5181533,1.139826,0.7085963,-0.5020409,1.134562,0.6939946,-0.5071962,1.169443,0.7156481,-0.5101312,1.153206,0.7061482,-0.4895237,1.142606,0.6908132,-0.4920808,1.188857,0.7055821,-0.5101568,1.174599,0.6988295,-0.4879877,1.161977,0.6853185,-0.4868988,1.205,0.6913471,-0.5138572,1.195615,0.6873287,-0.4956245,1.18386,0.678481,-0.4942526,1.182522,0.697104,-0.5612264,0.0318572,
1529333905834,1.159432,0.693468,-0.5862666,1.147058,0.6892664,-0.5527471,1.148686,0.6805067,-0.530757,1.153939,0.7324708,-0.5282432,1.141783,0.720889,-0.5116656,1.136892,0.7059906,-0.5163602,1.170019,0.7274022,-0.5203221,1.15348,0.7170678,-0.501114,1.144149,0.701139,-0.5050195,1.189935,0.7184926,-0.5193716,1.175268,0.712206,-0.4973086,1.162985,0.6983814,-0.4959179,1.206669,0.7052851,-0.5219952,1.197219,0.702895,-0.5033834,1.185602,0.6940702,-0.5009201,1.184187,0.7068064,-0.5695104,0.03155638,
1529333905848,1.160076,0.6943775,-0.5882472,1.147838,0.6899304,-0.5547901,1.149816,0.6810313,-0.5328765,1.153928,0.7331735,-0.5300235,1.142015,0.7215732,-0.513038,1.136999,0.7065493,-0.5172603,1.16969,0.7279123,-0.5222343,1.153243,0.7169,-0.503498,1.144401,0.7008587,-0.5079803,1.189773,0.7194895,-0.5211585,1.175063,0.7128203,-0.4991387,1.162982,0.6988254,-0.4977702,1.206748,0.7069474,-0.5237566,1.197248,0.7047583,-0.5050718,1.18577,0.6958463,-0.502378,1.184553,0.7080898,-0.571408,0.03254727,
1529333905874,1.1594,0.6957029,-0.5919191,1.146723,0.6904886,-0.5587751,1.148582,0.6813114,-0.5369337,1.152385,0.7339346,-0.5326455,1.140821,0.7227307,-0.514595,1.135443,0.7075205,-0.5175297,1.168012,0.7285794,-0.524936,1.151812,0.7173764,-0.5056846,1.142945,0.7012014,-0.5095462,1.188258,0.720523,-0.5239099,1.173821,0.7135335,-0.5016196,1.161943,0.6993865,-0.4998478,1.205509,0.7086423,-0.5266514,1.196163,0.7064639,-0.5077999,1.184912,0.6973922,-0.5048165,1.183535,0.7096313,-0.5744949,0.03515752,
1529333905908,1.161767,0.6939751,-0.594713,1.148178,0.6871188,-0.5621555,1.149265,0.6773207,-0.5404778,1.154346,0.7306343,-0.533288,1.143279,0.7199113,-0.513938,1.137495,0.704675,-0.5153388,1.170117,0.7252935,-0.5257034,1.154494,0.7141824,-0.5054589,1.145355,0.6979676,-0.5083146,1.190508,0.717409,-0.5251049,1.176763,0.710026,-0.5024202,1.165157,0.6957387,-0.5003957,1.207917,0.7059216,-0.5283877,1.198984,0.7032695,-0.5093884,1.188007,0.6939204,-0.5063927,1.185807,0.7079373,-0.5763569,0.03897107,
1529333905928,1.162008,0.6920268,-0.5959445,1.147628,0.6840728,-0.5638753,1.147869,0.6739346,-0.5422831,1.154308,0.7276013,-0.5331745,1.143526,0.7170798,-0.5132845,1.137703,0.7018287,-0.5140064,1.170346,0.7224363,-0.5256203,1.155161,0.7114826,-0.5046661,1.145865,0.6952184,-0.5067115,1.190853,0.7146825,-0.5253196,1.17762,0.707108,-0.502364,1.166215,0.6927102,-0.500128,1.208353,0.7033131,-0.5289627,1.199719,0.7001985,-0.5099109,1.188939,0.6906178,-0.5069926,1.186047,0.7059738,-0.5769241,0.04099999,
1529333905954,1.160343,0.6909876,-0.5972155,1.145128,0.6823117,-0.5656316,1.144471,0.6719354,-0.5441265,1.152089,0.7255335,-0.5336189,1.141227,0.7148559,-0.5137342,1.135408,0.6995715,-0.5143297,1.168212,0.7204326,-0.5260096,1.153012,0.7093573,-0.5049293,1.143611,0.6930515,-0.5066487,1.188825,0.7128215,-0.5257345,1.175651,0.7050501,-0.5027534,1.164281,0.6905974,-0.5004189,1.206415,0.7014611,-0.5294982,1.197804,0.6979425,-0.5104846,1.187091,0.68824,-0.5076637,1.184334,0.7048241,-0.577575,0.04163817,
1529333905981,1.160483,0.6863922,-0.5969955,1.144551,0.6765337,-0.5660126,1.142945,0.6655304,-0.5448263,1.152381,0.7184378,-0.5318473,1.141499,0.7071352,-0.5122415,1.135613,0.6918585,-0.5131414,1.168642,0.7131515,-0.524399,1.153519,0.7015364,-0.5033574,1.143897,0.6852851,-0.5050619,1.189326,0.705635,-0.5244558,1.176355,0.6973353,-0.5014588,1.164908,0.6828767,-0.499101,1.20691,0.6942041,-0.5287198,1.198486,0.6899359,-0.5097398,1.187792,0.6801371,-0.5070644,1.184657,0.6995412,-0.5766644,0.04184331,
1529333906007,1.160242,0.6815624,-0.5967909,1.143781,0.670861,-0.5662977,1.141652,0.6594524,-0.5453894,1.151973,0.7123213,-0.5309948,1.140889,0.7002891,-0.5120854,1.135157,0.6849636,-0.5137215,1.168278,0.7069004,-0.5236228,1.152988,0.6945413,-0.5031964,1.143495,0.6782729,-0.5055751,1.189044,0.6995897,-0.5237299,1.175914,0.6906927,-0.5011206,1.164484,0.6761097,-0.4992744,1.20677,0.688107,-0.5281589,1.198331,0.683157,-0.5093775,1.187632,0.673232,-0.507033,1.184573,0.6945228,-0.5759897,0.0411808,
