time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529334477125,1.165652,0.6299131,-0.565158,1.150172,0.6061186,-0.5423461,1.147517,0.5883415,-0.5261049,1.157032,0.6380847,-0.4888933,1.153197,0.6274195,-0.4632785,1.150853,0.6148839,-0.4512792,1.174644,0.6345208,-0.4836355,1.167339,0.6180835,-0.457496,1.161959,0.6013541,-0.448265,1.194157,0.6274974,-0.4908371,1.185885,0.6035662,-0.4780102,1.180527,0.585879,-0.4831823,1.21501,0.6242706,-0.4984218,1.209871,0.6056693,-0.4886297,1.203228,0.5930336,-0.4934647,1.188676,0.6423024,-0.538852,0.07946391,
1529334477155,1.164358,0.640067,-0.5709277,1.148456,0.6165982,-0.5480348,1.145276,0.599082,-0.5315703,1.154171,0.6500221,-0.4949576,1.149712,0.6400086,-0.4692151,1.147018,0.6277983,-0.4569262,1.171792,0.6469642,-0.4890937,1.164014,0.6323286,-0.4618348,1.158347,0.616791,-0.4507125,1.191057,0.6384902,-0.4966926,1.182333,0.6144353,-0.4860007,1.177459,0.5974649,-0.4935848,1.212056,0.6352274,-0.5036238,1.206261,0.6166028,-0.4948292,1.199593,0.6046196,-0.5009733,1.186831,0.6529846,-0.5444083,0.07999629,
1529334477183,1.163506,0.6480778,-0.5751607,1.147261,0.625222,-0.5518603,1.143575,0.60805,-0.5350993,1.152897,0.6592758,-0.4995471,1.148004,0.6497045,-0.4736505,1.144955,0.6379601,-0.4609746,1.170501,0.6562921,-0.493473,1.162318,0.642661,-0.4657093,1.156309,0.6279078,-0.4536645,1.189436,0.6469263,-0.5012783,1.180106,0.6230294,-0.491327,1.175203,0.6063433,-0.4995898,1.210393,0.6432229,-0.5080236,1.203906,0.6247272,-0.4999176,1.197086,0.6133062,-0.5068911,1.185911,0.6610596,-0.5488402,0.07994363,
1529334477209,1.161721,0.6584786,-0.5815682,1.1454,0.6359714,-0.5579373,1.141313,0.6190372,-0.5409788,1.151336,0.6703327,-0.5061348,1.14643,0.6611264,-0.4799622,1.143307,0.650088,-0.4666605,1.168983,0.6675656,-0.5000223,1.160872,0.6547325,-0.4717056,1.154856,0.6408533,-0.4585914,1.187574,0.6573824,-0.5084698,1.177995,0.6332761,-0.4995486,1.173168,0.6168715,-0.5084974,1.208374,0.653517,-0.5152415,1.20138,0.6349305,-0.5083038,1.194513,0.6242803,-0.5163418,1.18421,0.6715714,-0.5555129,0.08056889,
1529334477235,1.160666,0.6652707,-0.5850176,1.143211,0.6438255,-0.5611755,1.138147,0.627432,-0.543945,1.149708,0.6787231,-0.5100136,1.144319,0.670257,-0.4835901,1.14077,0.6600431,-0.4697276,1.167167,0.6757566,-0.5035551,1.158452,0.6640952,-0.474803,1.151971,0.6513114,-0.4607562,1.185212,0.6643924,-0.5121691,1.174629,0.6404429,-0.5039468,1.169693,0.6243028,-0.5132945,1.205664,0.6596501,-0.5189171,1.197437,0.6412631,-0.5136462,1.190573,0.6315405,-0.5229322,1.183216,0.6781527,-0.5589164,0.08110855,
1529334477262,1.159437,0.6722655,-0.5913434,1.140714,0.6520956,-0.5673532,1.134855,0.636368,-0.5498025,1.147343,0.6879151,-0.5169992,1.141219,0.6799705,-0.4906286,1.13713,0.6698847,-0.4768191,1.164486,0.6847911,-0.5100551,1.154751,0.6740429,-0.4813379,1.147536,0.6614713,-0.467509,1.182235,0.6725902,-0.5181253,1.170668,0.6491344,-0.5098072,1.165603,0.632966,-0.5190171,1.202397,0.6667421,-0.5249472,1.19317,0.6486841,-0.5209732,1.186495,0.6395637,-0.5311078,1.181817,0.6851955,-0.5650803,0.08034378,
1529334477290,1.157848,0.6806027,-0.6019548,1.136758,0.6624101,-0.5783149,1.129478,0.6477715,-0.5604891,1.143683,0.6996821,-0.5287471,1.136594,0.6924095,-0.5024856,1.131857,0.6822855,-0.4889555,1.160112,0.6963954,-0.5209916,1.148745,0.6864185,-0.4927386,1.140509,0.6737937,-0.4795908,1.17775,0.6836677,-0.5276141,1.165132,0.6610959,-0.5190388,1.160339,0.6450952,-0.5284284,1.197555,0.6766766,-0.5338436,1.187341,0.6593009,-0.5307722,1.181495,0.6507331,-0.5418609,1.17991,0.6938532,-0.575049,0.07946023,
1529334477332,1.155593,0.6913604,-0.6120219,1.131192,0.6759521,-0.5895349,1.12125,0.6629164,-0.5718258,1.140404,0.7141505,-0.539814,1.132506,0.7078139,-0.5135989,1.127159,0.6977769,-0.5002993,1.156097,0.710363,-0.5313442,1.143335,0.7009958,-0.5036204,1.134215,0.6883669,-0.4910964,1.173694,0.697511,-0.5360937,1.16007,0.6760994,-0.5263416,1.155112,0.6601459,-0.5352714,1.192775,0.6891223,-0.5420369,1.181653,0.6723888,-0.539481,1.176559,0.6639606,-0.5510148,1.177812,0.7048462,-0.5842623,0.07978853,
1529334477355,1.154156,0.6959172,-0.6177417,1.128202,0.6821276,-0.5958896,1.116641,0.6701732,-0.5783651,1.139129,0.7207861,-0.5459883,1.131111,0.7149831,-0.5197366,1.125621,0.7049961,-0.5064842,1.154451,0.7168786,-0.5372998,1.1412,0.7079163,-0.509757,1.13178,0.6951965,-0.4976179,1.172083,0.7039732,-0.5412264,1.158062,0.683115,-0.5305498,1.152992,0.6672166,-0.5390228,1.190798,0.6950116,-0.5470252,1.179351,0.6785436,-0.5444229,1.174511,0.6700042,-0.5559641,1.17667,0.7097327,-0.5897264,0.08037505,
1529334477382,1.150367,0.6978257,-0.6311531,1.122986,0.6855739,-0.6100777,1.109675,0.6746483,-0.5930408,1.136163,0.723508,-0.559319,1.128023,0.7180811,-0.533022,1.122306,0.7083039,-0.519717,1.151236,0.7191877,-0.5505716,1.137629,0.7105216,-0.5231181,1.127869,0.6979722,-0.5110812,1.168775,0.7061054,-0.5540354,1.154324,0.6858056,-0.5428393,1.148838,0.6700407,-0.5510944,1.187051,0.6965768,-0.5598252,1.175124,0.6804132,-0.5569738,1.170083,0.6717178,-0.5683056,1.173507,0.7111465,-0.6027846,0.08166159,
