time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528903803779,1.020402,0.8954816,-0.9120827,0.9979686,0.8746315,-0.8893188,0.9926844,0.8541626,-0.8748423,1.014747,0.8887691,-0.835232,0.9999608,0.8693922,-0.8219597,0.9920507,0.8541118,-0.8284113,1.031044,0.8757251,-0.8357838,1.01232,0.8519194,-0.8293614,1.004026,0.840845,-0.8439746,1.050629,0.8662905,-0.8438164,1.032957,0.8440248,-0.8425819,1.023995,0.8363754,-0.8590788,1.068875,0.8588645,-0.8520941,1.054976,0.8425408,-0.8481071,1.045192,0.8387247,-0.8598827,1.049664,0.8932065,-0.8861172,0.04643536,
1528903803823,0.9907433,0.8942958,-0.927878,0.9660015,0.8715137,-0.9093369,0.9582615,0.8503791,-0.8970193,0.9737814,0.8830432,-0.8552068,0.956678,0.8627746,-0.8496366,0.9518762,0.8498173,-0.8613993,0.9897198,0.8690406,-0.8595057,0.9725568,0.8476894,-0.868508,0.9726009,0.8441231,-0.8888003,1.010351,0.8608377,-0.8630482,0.9933997,0.8413975,-0.8721009,0.9905466,0.8398092,-0.8921574,1.028602,0.8541348,-0.8681697,1.013612,0.8402236,-0.8718762,1.008662,0.8408792,-0.8870447,1.015997,0.8908141,-0.8989528,0.03619218,
1528903803859,0.963385,0.8909121,-0.9428707,0.9364896,0.8683751,-0.9272695,0.9273586,0.8472846,-0.9159856,0.9371772,0.8805629,-0.8735837,0.9191518,0.8604096,-0.871169,0.9158902,0.8479193,-0.8838716,0.9535753,0.8661799,-0.8786719,0.939072,0.8464395,-0.8936339,0.9436232,0.844991,-0.9138079,0.9735783,0.857731,-0.8787711,0.9584846,0.840165,-0.8928174,0.9601144,0.8405669,-0.9130903,0.9914096,0.8507061,-0.8811184,0.9768779,0.8384183,-0.8891078,0.9757254,0.8401603,-0.9050363,0.984545,0.8871877,-0.9112247,0.03410626,
1528903803886,0.9471844,0.8903501,-0.9484177,0.9203513,0.8672826,-0.9338337,0.9120631,0.8457735,-0.9228413,0.9185976,0.8796459,-0.8799349,0.9009105,0.8587265,-0.877356,0.8976917,0.8459426,-0.8896582,0.934814,0.8657162,-0.8837014,0.9197628,0.8444664,-0.8980012,0.922763,0.8408403,-0.9183306,0.9548755,0.8575751,-0.8831605,0.9398438,0.8389496,-0.8969734,0.9410477,0.8379184,-0.9173115,0.9729257,0.8507503,-0.885223,0.9586657,0.8379743,-0.8936659,0.9575153,0.8390934,-0.9097139,0.9669027,0.8870325,-0.9158553,0.03616185,
1528903803911,0.9341731,0.8893837,-0.9531748,0.9071459,0.8661889,-0.9394011,0.8990846,0.8444349,-0.9287789,0.9044212,0.8778874,-0.8849472,0.8865523,0.8566435,-0.8816678,0.8826628,0.8435354,-0.893301,0.9202577,0.8639829,-0.8879241,0.9046391,0.8422057,-0.9014339,0.9065676,0.8376198,-0.9217634,0.9403251,0.855813,-0.8872887,0.9248397,0.8365499,-0.9005801,0.9251799,0.8344829,-0.9208979,0.9584844,0.8489634,-0.889496,0.9441217,0.8358995,-0.8979961,0.942463,0.8365562,-0.9140838,0.9531572,0.885637,-0.9201744,0.03910453,
1528903803939,0.9181923,0.8858923,-0.9583274,0.8904971,0.8635997,-0.944604,0.8823947,0.8420464,-0.9338847,0.889147,0.8740215,-0.8894626,0.8713859,0.8525052,-0.8849372,0.8665061,0.8387659,-0.8956088,0.9042134,0.8604772,-0.889678,0.886012,0.8370014,-0.898507,0.8842013,0.8289692,-0.9177122,0.9244643,0.8520808,-0.8890842,0.9067957,0.830732,-0.8978416,0.9036415,0.8249666,-0.9171514,0.9431115,0.8447363,-0.8924508,0.928005,0.8302805,-0.8983622,0.9238583,0.829006,-0.9139851,0.9374627,0.8816499,-0.925143,0.04157234,
1528903803965,0.9117427,0.8852831,-0.9604251,0.8836638,0.8634001,-0.9468278,0.8751335,0.8419311,-0.9362187,0.8829939,0.8729724,-0.8913525,0.8648538,0.8515765,-0.8862875,0.859076,0.8374304,-0.8961906,0.8979687,0.8592496,-0.8917224,0.8791664,0.8356084,-0.9001037,0.8764654,0.8269884,-0.9189439,0.9182035,0.8507175,-0.891085,0.9000295,0.8291692,-0.8991987,0.8960531,0.8228164,-0.9181278,0.9368966,0.8431705,-0.8946356,0.9215121,0.8284321,-0.9000424,0.9165338,0.8266261,-0.9153592,0.9312543,0.8804237,-0.9272845,0.04336293,
1528903803991,0.905305,0.884159,-0.9617676,0.8767787,0.8623652,-0.9490432,0.8678545,0.8407774,-0.9389691,0.8751548,0.8711846,-0.8932358,0.8565286,0.8501479,-0.8885905,0.850647,0.8362297,-0.898734,0.8899648,0.8570675,-0.8943821,0.8717844,0.8344864,-0.9047433,0.8707895,0.8275321,-0.9243778,0.9100403,0.8482594,-0.893615,0.8922671,0.8276999,-0.9036031,0.8896071,0.8227642,-0.9231901,0.9286302,0.8405872,-0.8968204,0.9133824,0.826628,-0.9035424,0.9094912,0.8259691,-0.9192349,0.9241754,0.8784362,-0.9283983,0.04399595,
1528903804026,0.8950853,0.8816656,-0.9641087,0.8660741,0.8601595,-0.951668,0.8561806,0.838891,-0.9416398,0.8638928,0.869202,-0.8959578,0.8450587,0.8485637,-0.8919015,0.8395983,0.8347591,-0.9024969,0.8789693,0.8548082,-0.8971146,0.8613253,0.8326009,-0.908197,0.8613884,0.8262936,-0.9280526,0.899067,0.8459494,-0.8961789,0.8818293,0.8257984,-0.9069903,0.880106,0.8215486,-0.9268694,0.9176243,0.8383165,-0.8990808,0.9026581,0.824693,-0.9063994,0.8996205,0.8246341,-0.9222552,0.9135934,0.876017,-0.9305466,0.0427108,
1528903804044,0.8931382,0.8816376,-0.9643794,0.8638721,0.8603152,-0.9521585,0.8536141,0.8391289,-0.9422773,0.861672,0.8690916,-0.8963393,0.842628,0.8486821,-0.8925236,0.8371842,0.8349903,-0.9032826,0.8767856,0.8545051,-0.8977058,0.8592204,0.8325876,-0.9092211,0.8595757,0.8265947,-0.9291813,0.8968517,0.8455159,-0.8969154,0.8798158,0.825774,-0.9083666,0.8785595,0.8220955,-0.9284053,0.9153146,0.8378533,-0.8997281,0.9004388,0.8245833,-0.9074892,0.8978628,0.8250004,-0.9234064,0.911582,0.8757129,-0.9307799,0.04251652,
