time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528904088267,0.8232533,0.8881469,-0.9817107,0.79206,0.8573823,-0.9779741,0.7789729,0.8310796,-0.9722522,0.7723875,0.8627498,-0.9101139,0.7513357,0.8404468,-0.8931341,0.7397202,0.8228027,-0.8887695,0.7887365,0.8499311,-0.8991743,0.772614,0.8251046,-0.8998209,0.772788,0.8124985,-0.9213561,0.8137004,0.8386333,-0.9051101,0.7989206,0.8103169,-0.9176205,0.7984483,0.8006522,-0.9397498,0.8378307,0.8336327,-0.9071691,0.8260564,0.8142391,-0.919811,0.8241855,0.812215,-0.9383398,0.8328032,0.8794165,-0.9389961,0.09262101,
1528904088292,0.8295901,0.8873924,-0.9910203,0.7968932,0.8576568,-0.9897406,0.7809687,0.832597,-0.9856033,0.7737524,0.8621809,-0.9239672,0.7527583,0.8378295,-0.9109593,0.7426438,0.8188527,-0.9105626,0.7887067,0.8514357,-0.9096825,0.7683668,0.8241698,-0.9060616,0.7624283,0.8048981,-0.9207404,0.8124822,0.8407872,-0.9090904,0.7920495,0.810363,-0.9097093,0.7838117,0.7915945,-0.922079,0.8375691,0.8337524,-0.9120041,0.8248488,0.8120022,-0.9207871,0.8215196,0.8050042,-0.9378288,0.8357418,0.8792629,-0.9476557,0.0853745,
1528904088319,0.8405996,0.8801845,-1.006027,0.80581,0.8526621,-1.008209,0.7865195,0.8296408,-1.006707,0.7791249,0.85364,-0.9474292,0.7592359,0.8264194,-0.9432036,0.7532996,0.8070809,-0.9505471,0.7918453,0.8433812,-0.9314052,0.7662024,0.8144267,-0.9263247,0.7550632,0.7938426,-0.9339991,0.8146368,0.834753,-0.9236538,0.7914956,0.805949,-0.9209054,0.7804781,0.786103,-0.9292451,0.8399406,0.8260286,-0.9234973,0.8254056,0.8027464,-0.9270471,0.8193448,0.7904739,-0.9402123,0.8429373,0.8714711,-0.9623418,0.0690398,
1528904088333,0.8441795,0.8790375,-1.010796,0.8090977,0.8519675,-1.014264,0.7891123,0.8294604,-1.013736,0.7810624,0.8514398,-0.9556624,0.7621686,0.8236664,-0.9548624,0.7587029,0.8049725,-0.9648412,0.7932332,0.8411723,-0.9392959,0.7676498,0.8116163,-0.9369018,0.7576466,0.7913435,-0.9462148,0.8157677,0.833246,-0.9293441,0.7927749,0.8043972,-0.9276385,0.7825196,0.7846402,-0.9370042,0.8410929,0.8246999,-0.9275739,0.8264868,0.8012344,-0.9301558,0.8202536,0.7881997,-0.9424548,0.845299,0.8701199,-0.966956,0.06257103,
1528904088360,0.8520817,0.879227,-1.016182,0.818271,0.8515647,-1.024545,0.7985456,0.8290745,-1.027782,0.7880861,0.8425983,-0.9719257,0.7742209,0.8143348,-0.9803894,0.7777026,0.7994451,-0.994842,0.7999803,0.831585,-0.955819,0.7793989,0.8001053,-0.9644715,0.7764471,0.7825212,-0.9805508,0.82196,0.8247035,-0.942128,0.8034472,0.7943704,-0.9482521,0.7991303,0.7767424,-0.9638836,0.8471446,0.8183361,-0.9365582,0.8346007,0.7942352,-0.9409555,0.8302932,0.7817906,-0.9545586,0.8508252,0.8666788,-0.9734896,0.04896284,
1528904088389,0.8621011,0.8713165,-1.028889,0.8323321,0.8412833,-1.042909,0.8150067,0.8177682,-1.05033,0.7983025,0.8259386,-0.997985,0.7897406,0.7987744,-1.013866,0.7981862,0.7876873,-1.029465,0.8103687,0.8140032,-0.9818953,0.7965027,0.7825662,-0.9996117,0.7990296,0.7681166,-1.018737,0.8311613,0.8076257,-0.9660462,0.8189238,0.7774733,-0.9807111,0.8207166,0.7637497,-1.000297,0.8553196,0.8032702,-0.9561125,0.8456852,0.7787046,-0.9639555,0.8439393,0.7673316,-0.9790257,0.8576829,0.8552034,-0.9879395,0.04028855,
1528904088424,0.8723069,0.8684656,-1.037933,0.8451123,0.8375321,-1.054883,0.8291829,0.813828,-1.064607,0.8084602,0.8203797,-1.014697,0.8017572,0.7950915,-1.034243,0.8116117,0.7853963,-1.04999,0.8209409,0.807451,-0.9987175,0.8100632,0.7774523,-1.020676,0.8143393,0.7646334,-1.040754,0.8413884,0.800591,-0.9822971,0.8318515,0.7711897,-1.000821,0.8351746,0.7589288,-1.021131,0.8646731,0.796494,-0.9709013,0.8567569,0.7724527,-0.9817809,0.8564396,0.762457,-0.9979057,0.8662324,0.8502207,-0.9986143,0.0364798,
1528904088453,0.8778372,0.8701704,-1.046338,0.8516355,0.8383327,-1.063175,0.8362098,0.8142542,-1.072917,0.8135514,0.822554,-1.024652,0.8073772,0.7976876,-1.044819,0.8176196,0.7881117,-1.060497,0.8259156,0.8093667,-1.008112,0.8150857,0.7791348,-1.030073,0.8187561,0.7656076,-1.049967,0.8465837,0.8025686,-0.9920055,0.8374814,0.7728878,-1.010995,0.8404602,0.7599893,-1.031022,0.8695409,0.7986694,-0.9807795,0.8621185,0.7749042,-0.9928804,0.862075,0.7650445,-1.009156,0.8709654,0.8523778,-1.007377,0.03439885,
1528904088479,0.8815066,0.8698764,-1.04592,0.8546098,0.8383595,-1.062274,0.8383797,0.8148069,-1.07214,0.8175317,0.8217151,-1.022743,0.8084733,0.7966115,-1.042567,0.8156781,0.7858254,-1.0592,0.8309867,0.8079615,-1.007636,0.81792,0.7776965,-1.029157,0.8186354,0.7632785,-1.048846,0.8525093,0.8007991,-0.9933323,0.8422146,0.7715673,-1.013007,0.8435656,0.7586436,-1.033223,0.8758724,0.7965854,-0.9835695,0.8677633,0.773256,-0.9966447,0.8665799,0.7633215,-1.0129,0.876198,0.8509765,-1.007703,0.03902233,
1528904088505,0.8846943,0.8666704,-1.047086,0.8574769,0.8348128,-1.062178,0.8412309,0.8109506,-1.071286,0.8212551,0.8181182,-1.022451,0.8096313,0.7925299,-1.041308,0.8133131,0.7803472,-1.058282,0.835673,0.8039254,-1.008928,0.8212652,0.7736725,-1.030029,0.8199519,0.758886,-1.04948,0.8578646,0.796541,-0.9964879,0.8464406,0.7675275,-1.016573,0.845911,0.7542188,-1.036628,0.8813958,0.792132,-0.9881888,0.8727401,0.7695018,-1.002365,0.8707325,0.760007,-1.018844,0.8808117,0.8470182,-1.009894,0.04341731,
