time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528904123161,1.019542,0.9922184,-0.8931193,0.9783244,0.9822939,-0.8870062,0.9606593,0.9631992,-0.8752382,0.9634501,0.9922774,-0.8261495,0.9399043,0.9710897,-0.8238351,0.9356131,0.9550136,-0.8363569,0.9729928,0.9788294,-0.8130719,0.9454167,0.9569781,-0.8165315,0.9417593,0.9424064,-0.8347952,0.9920567,0.9654315,-0.8035195,0.9646252,0.9453406,-0.8056158,0.9573286,0.931352,-0.8230892,1.012095,0.9513626,-0.7992954,0.9898723,0.9373084,-0.798076,0.9805967,0.9281445,-0.8114462,1.026055,0.9850779,-0.8468813,0.04696881,
1528904123187,1.004795,0.9889872,-0.899629,0.9637482,0.9772739,-0.8942139,0.9455665,0.9582009,-0.882538,0.9475626,0.9839935,-0.8380147,0.9273367,0.9585611,-0.8393091,0.9251651,0.9417136,-0.8518249,0.9575516,0.9721895,-0.8244457,0.9331586,0.9459662,-0.8315899,0.930439,0.9298584,-0.8494453,0.9768597,0.9610634,-0.8132901,0.9530033,0.9373055,-0.8195562,0.9489883,0.9228633,-0.837871,0.9970959,0.9497366,-0.8068336,0.9762683,0.9332334,-0.8082402,0.9686545,0.9230937,-0.8221256,1.01022,0.9835411,-0.8533299,0.04038986,
1528904123235,0.9768434,0.9853066,-0.9120377,0.9393923,0.9635701,-0.9086943,0.922834,0.9407897,-0.8997214,0.9166485,0.9650921,-0.8582428,0.8993213,0.9351505,-0.8578337,0.8944314,0.915485,-0.8649734,0.9279484,0.9544801,-0.8449259,0.9069046,0.9220051,-0.8514127,0.8998527,0.9015305,-0.8635584,0.9480031,0.9471712,-0.8336049,0.9283655,0.9175871,-0.8417735,0.9227064,0.8992887,-0.8567309,0.9702545,0.9393297,-0.8274175,0.9554265,0.9179652,-0.8350238,0.951968,0.9078367,-0.8506397,0.97865,0.9792023,-0.8680331,0.05152145,
1528904123268,0.957303,0.9818693,-0.9238122,0.9273964,0.9502389,-0.92187,0.9161078,0.9235735,-0.9144851,0.8948529,0.9493797,-0.8749889,0.8791797,0.918699,-0.8695573,0.8753878,0.8981873,-0.8733932,0.9071156,0.9398719,-0.8604456,0.8894027,0.904756,-0.8621002,0.8856077,0.8831416,-0.8726186,0.9283479,0.9355923,-0.8502709,0.9134074,0.9027715,-0.8573499,0.9115849,0.8837703,-0.871756,0.953227,0.9316331,-0.8453658,0.9456363,0.9088626,-0.8568348,0.9476503,0.9023246,-0.8741634,0.9554789,0.975106,-0.8824567,0.06317525,
1528904123294,0.9392418,0.973042,-0.9394848,0.913223,0.9382131,-0.9365292,0.9040617,0.9110471,-0.9276329,0.8702106,0.9428024,-0.8965745,0.8529816,0.9135879,-0.8888875,0.849238,0.8928328,-0.8907918,0.8811965,0.9344087,-0.8795875,0.863561,0.8996311,-0.8786577,0.861854,0.8774295,-0.8879848,0.9015834,0.9312221,-0.8672983,0.8881504,0.8980486,-0.8726941,0.8898909,0.8790691,-0.8866435,0.926906,0.9282922,-0.8610694,0.9224255,0.905561,-0.8727454,0.9281435,0.9005701,-0.889623,0.9317078,0.9697077,-0.899792,0.06851759,
1528904123319,0.933238,0.9667103,-0.9508686,0.9096169,0.9301167,-0.9489979,0.9018672,0.90276,-0.9396751,0.8597306,0.9361071,-0.9149054,0.8424947,0.9070007,-0.908451,0.8402818,0.8860244,-0.9107878,0.8688432,0.9288106,-0.8957696,0.8512739,0.894367,-0.8944834,0.8516929,0.8722761,-0.9034736,0.8877589,0.9265251,-0.8811483,0.8744283,0.8933365,-0.8852804,0.8777639,0.8739703,-0.8980088,0.9131482,0.9240667,-0.873502,0.9106097,0.9012653,-0.8850086,0.918708,0.896571,-0.9009545,0.9208742,0.9646623,-0.912708,0.07005223,
1528904123346,0.928574,0.9642503,-0.9611126,0.9083735,0.925611,-0.9616654,0.9026759,0.8974627,-0.9534309,0.8548033,0.9274018,-0.9307699,0.8385763,0.8974589,-0.9260607,0.8374364,0.8763753,-0.9288387,0.8631281,0.920419,-0.9107229,0.8466134,0.8852794,-0.9101979,0.8474241,0.8627044,-0.9185572,0.8813664,0.9189856,-0.8948858,0.8692799,0.8850029,-0.8991935,0.8728744,0.8648679,-0.9109725,0.9065593,0.9180505,-0.886225,0.9061329,0.8953651,-0.8982056,0.9156205,0.8913291,-0.9135776,0.9138043,0.9602042,-0.9240043,0.07283978,
1528904123374,0.9150885,0.9654868,-0.9754025,0.8987565,0.9254289,-0.982363,0.8947321,0.8958281,-0.9792754,0.8446575,0.9174569,-0.9507222,0.8290785,0.8865922,-0.9490751,0.8269138,0.8654463,-0.9527757,0.853899,0.9088728,-0.9314746,0.8398851,0.8726596,-0.9349979,0.8413749,0.8504017,-0.94494,0.8724333,0.9074916,-0.9149741,0.8631014,0.8727032,-0.9221989,0.8671622,0.8528985,-0.9348186,0.8971348,0.9083729,-0.9055113,0.8988397,0.8868284,-0.9192639,0.9089544,0.8849434,-0.9346759,0.9004304,0.955328,-0.9386616,0.07889619,
1528904123401,0.9087167,0.9690112,-0.9830946,0.8908758,0.930687,-0.9956516,0.8840472,0.9014421,-0.9982804,0.8388506,0.9180704,-0.9611428,0.8220071,0.8877203,-0.9615695,0.8188053,0.8670002,-0.9664968,0.8485692,0.90804,-0.9430403,0.8350177,0.8725597,-0.9503722,0.8377237,0.8517975,-0.962836,0.8680365,0.9054218,-0.9267688,0.8601305,0.8712708,-0.9375349,0.8651775,0.8529611,-0.9519823,0.8916866,0.9060951,-0.9161143,0.8930546,0.8853312,-0.9308989,0.9032535,0.8846013,-0.9461709,0.8949451,0.9551993,-0.9463714,0.08033025,
1528904123434,0.8974454,0.9727584,-0.9911506,0.8803331,0.9352378,-1.007088,0.8736249,0.9064579,-1.013142,0.8320185,0.9150312,-0.9745789,0.8145121,0.8846193,-0.9771153,0.8079434,0.8644302,-0.9817185,0.8452891,0.9034708,-0.9602609,0.8315663,0.8669127,-0.9710369,0.8292207,0.8457345,-0.9818381,0.8644338,0.9012668,-0.9426071,0.8627193,0.8693923,-0.959267,0.8722141,0.8559426,-0.9766765,0.8867708,0.9035906,-0.9317529,0.8908429,0.8871611,-0.9495804,0.9021538,0.8928647,-0.9623164,0.8859646,0.9544144,-0.9561224,0.08407044,
1528904123467,0.8849728,0.9744014,-0.9947439,0.8654238,0.9384035,-1.011503,0.8573055,0.9103498,-1.018947,0.8218749,0.9147634,-0.9822755,0.8037226,0.8848037,-0.986954,0.7952507,0.8654288,-0.9921289,0.8507568,0.9080628,-0.9800592,0.8594466,0.8819758,-1.009821,0.8706752,0.8743615,-1.026375,0.8641465,0.9022542,-0.959766,0.8770698,0.8886609,-0.9849268,0.8934985,0.9003921,-0.9958699,0.8812665,0.9027715,-0.9457031,0.8885731,0.8953804,-0.9654462,0.8995095,0.9086424,-0.9714084,0.8762971,0.9528931,-0.9622172,0.08116601,
1528904123493,0.8739592,0.9725471,-1.000214,0.8528497,0.9368485,-1.015682,0.8437757,0.908866,-1.022052,0.8099424,0.9146642,-0.9898109,0.7915136,0.8849564,-0.9952252,0.7825868,0.8658042,-1.000497,0.8422191,0.9108966,-0.9874926,0.8572802,0.889761,-1.018623,0.8707453,0.888182,-1.03075,0.8553427,0.9051461,-0.9680167,0.8725727,0.8999594,-0.9907408,0.8870501,0.917714,-0.9936261,0.8694719,0.9034963,-0.9525706,0.8787895,0.8988433,-0.9717807,0.8896316,0.9132738,-0.9744051,0.8646241,0.9516622,-0.9684325,0.07786546,
1528904123520,0.8683034,0.9701722,-1.003362,0.8465079,0.934883,-1.018746,0.8370506,0.9069649,-1.024559,0.8020453,0.9148241,-0.9949456,0.7830415,0.8856001,-1.000955,0.7738172,0.8666645,-1.006493,0.8349988,0.9105945,-0.9910827,0.8609456,0.9034215,-1.015748,0.8818779,0.9176834,-1.018945,0.847654,0.9056269,-0.9718643,0.8666004,0.902328,-0.9927658,0.8806586,0.9206787,-0.9926114,0.8604008,0.9028071,-0.9557576,0.870912,0.8988976,-0.974229,0.8818871,0.9134454,-0.975216,0.857071,0.9501784,-0.9719061,0.07712946,
1528904123546,0.8629696,0.9697545,-1.005194,0.8400643,0.934913,-1.019843,0.8300499,0.9070611,-1.024805,0.7947743,0.9171799,-0.9964482,0.7754191,0.8882854,-1.002724,0.7662913,0.869412,-1.008607,0.8272153,0.912008,-0.9923034,0.850445,0.9052667,-1.013859,0.8685383,0.9202046,-1.013378,0.8403418,0.9072884,-0.9731228,0.8597025,0.9038892,-0.9938228,0.8742677,0.9219227,-0.9935026,0.8528425,0.9039845,-0.9570679,0.8636965,0.9000998,-0.9755603,0.8751235,0.9143627,-0.9765326,0.850841,0.9507596,-0.9735679,0.0757958,
1528904123573,0.8539006,0.9716796,-1.006234,0.8309442,0.9366802,-1.020147,0.8214742,0.908536,-1.024332,0.7853911,0.9199418,-0.9959915,0.7664868,0.8907973,-1.002259,0.7580075,0.871739,-1.008472,0.8172709,0.9144045,-0.9925402,0.8392205,0.9083535,-1.013838,0.8559624,0.9244739,-1.012216,0.8312356,0.9098641,-0.9739293,0.8503942,0.9062809,-0.9956131,0.8657262,0.9237586,-0.9963521,0.8443241,0.9064435,-0.958367,0.8550856,0.9028726,-0.9775112,0.8668299,0.9168955,-0.9791565,0.8420827,0.9528953,-0.9743977,0.07505729,
1528904123599,0.8486721,0.9721764,-1.006849,0.8250566,0.9375153,-1.020396,0.8152571,0.9094391,-1.024051,0.7787075,0.9226925,-0.993756,0.7595886,0.8936105,-0.9993671,0.7513177,0.874436,-1.005468,0.8097309,0.9161212,-0.9906562,0.8306029,0.9087175,-1.01224,0.8478905,0.9244419,-1.011515,0.8240714,0.9116275,-0.9722776,0.842611,0.9063625,-0.9947361,0.8590285,0.922754,-0.997121,0.8375081,0.9082178,-0.9569399,0.8477448,0.9036214,-0.976527,0.8601798,0.9168859,-0.9794276,0.8365183,0.9544299,-0.9738472,0.07522497,
1528904123635,0.8421801,0.9731216,-1.00463,0.81888,0.9379254,-1.017077,0.8097084,0.9095352,-1.019845,0.772438,0.9242868,-0.9882857,0.7538748,0.8947189,-0.9931453,0.7460082,0.8753012,-0.9989682,0.8032753,0.917878,-0.9859359,0.823355,0.910098,-1.008827,0.8409305,0.9258043,-1.010703,0.818061,0.9133779,-0.9681114,0.8355553,0.9076262,-0.9917078,0.8515809,0.9239926,-0.9959732,0.8321832,0.9100661,-0.9533243,0.8414952,0.9052051,-0.9737524,0.8532554,0.9185899,-0.9785324,0.8306052,0.9561683,-0.9707251,0.07526959,
1528904123653,0.8386061,0.9737352,-1.00182,0.815022,0.9386515,-1.013753,0.8060398,0.910171,-1.015856,0.7679242,0.9269634,-0.9824948,0.7490618,0.8975264,-0.9868245,0.7411383,0.8781168,-0.9925549,0.7984442,0.9199926,-0.9808116,0.8177239,0.9111673,-1.004683,0.8360035,0.9259349,-1.008344,0.813576,0.915183,-0.9633658,0.8301327,0.9085057,-0.9878041,0.8464261,0.9241955,-0.993599,0.8280613,0.91155,-0.9489461,0.8364056,0.9060225,-0.9699591,0.8479823,0.9189892,-0.9762728,0.8271689,0.9575552,-0.9669404,0.07604348,
1528904123679,0.832267,0.9741708,-0.9991946,0.8083582,0.9391677,-1.010157,0.7999303,0.9105237,-1.011126,0.7608647,0.9300887,-0.9753243,0.7417943,0.9007523,-0.9788523,0.7340964,0.8812959,-0.9846338,0.7909182,0.9224375,-0.9748738,0.808763,0.9123166,-1.000155,0.8275555,0.9257681,-1.006244,0.8065556,0.917146,-0.9580868,0.8215035,0.9092047,-0.9837098,0.8379886,0.9238063,-0.9916219,0.8216838,0.9130803,-0.9443159,0.8284614,0.9066536,-0.9661127,0.8395627,0.9188849,-0.9745328,0.8213719,0.959097,-0.9628685,0.07674771,
1528904123707,0.8299251,0.9723455,-0.9922236,0.8062656,0.9367651,-1.001115,0.7987126,0.9079731,-0.999804,0.75737,0.9323386,-0.9627342,0.737925,0.9031667,-0.9638228,0.7304915,0.8834026,-0.9687067,0.7870332,0.9238542,-0.9630897,0.803739,0.911755,-0.9883402,0.8226657,0.9242406,-0.9958707,0.8030812,0.9188105,-0.9463311,0.8166513,0.9092343,-0.9718987,0.8325146,0.9235576,-0.9813734,0.818402,0.9148535,-0.9327002,0.8237954,0.906625,-0.954403,0.8341239,0.918037,-0.9647986,0.8189946,0.9599782,-0.9542465,0.0788978,
1528904123734,0.8274642,0.9660404,-0.9872606,0.8027521,0.9307385,-0.9929133,0.7952783,0.9024348,-0.9882762,0.7524667,0.935173,-0.9496562,0.7305154,0.9082756,-0.9460893,0.7219443,0.8886595,-0.9489102,0.7812146,0.923391,-0.9510171,0.7951592,0.9074432,-0.9753004,0.814414,0.9179078,-0.9844844,0.7977517,0.918765,-0.9344383,0.8089518,0.9054218,-0.9591119,0.8254163,0.9174645,-0.9704229,0.8126972,0.9144312,-0.9201292,0.81522,0.902222,-0.9400945,0.8259372,0.9107513,-0.9525368,0.8166209,0.9584326,-0.946914,0.08436409,
1528904123760,0.8264807,0.9571329,-0.9780267,0.7999578,0.9227161,-0.9816985,0.7906797,0.8952142,-0.9757005,0.7500945,0.9363317,-0.9323267,0.7249766,0.9137416,-0.9234567,0.71418,0.895189,-0.923426,0.7750576,0.9198694,-0.9333357,0.7824634,0.8971741,-0.9557538,0.8021957,0.9008794,-0.9687185,0.7905555,0.9148065,-0.9150437,0.7940012,0.8938342,-0.9358093,0.8111907,0.898614,-0.951207,0.8079116,0.9108428,-0.8990431,0.8030219,0.8911821,-0.9126765,0.8107408,0.8914936,-0.929363,0.8165554,0.9537161,-0.9356992,0.09265433,
1528904123787,0.8220369,0.9541548,-0.969959,0.7944943,0.9201828,-0.9721935,0.7832612,0.8930731,-0.9664934,0.7483613,0.9380248,-0.9162242,0.7229029,0.918084,-0.9029746,0.710846,0.9005723,-0.9000317,0.7667798,0.9205748,-0.9149117,0.7619272,0.8913162,-0.9330611,0.7766356,0.8834518,-0.9502999,0.78318,0.9174745,-0.8904372,0.7743452,0.8921157,-0.8995142,0.7856039,0.8859881,-0.9195212,0.8073877,0.9120543,-0.8833089,0.7979333,0.8892047,-0.8903253,0.8002481,0.8817235,-0.9070385,0.8148793,0.95289,-0.9259688,0.09857663,
1528904123813,0.818038,0.9541517,-0.9606089,0.7932143,0.9179274,-0.9605579,0.7842474,0.8900036,-0.9546121,0.7515916,0.9333593,-0.8987274,0.7280509,0.9138774,-0.8814764,0.7158519,0.8972232,-0.8751541,0.7668455,0.9198788,-0.8870386,0.7516268,0.8894937,-0.8889931,0.7564905,0.8739779,-0.9063076,0.7899235,0.9183468,-0.8708184,0.7771917,0.8918869,-0.8693916,0.7807068,0.8775128,-0.8879775,0.8162076,0.9112601,-0.8711294,0.8066432,0.8867631,-0.8731509,0.8052473,0.8750741,-0.8877189,0.815774,0.9522573,-0.9161372,0.1050887,
1528904123846,0.8141626,0.9510444,-0.9425699,0.7943405,0.912443,-0.9361992,0.7909591,0.8840415,-0.9275582,0.7594517,0.9277099,-0.8712068,0.7382803,0.9101642,-0.8492361,0.7264569,0.8949184,-0.8393821,0.7792239,0.9200965,-0.8543905,0.760635,0.8932786,-0.8340068,0.7539216,0.870759,-0.8370891,0.8052179,0.9172583,-0.847042,0.7904,0.8911175,-0.825047,0.7826048,0.8685883,-0.8233266,0.8307643,0.9093391,-0.8543878,0.8224263,0.8843225,-0.8524331,0.81886,0.8710648,-0.8652713,0.8192106,0.9494438,-0.8998742,0.1097901,
1528904123881,0.8182682,0.937826,-0.9252487,0.7978557,0.90084,-0.9131838,0.7935069,0.8736883,-0.9013637,0.7658378,0.9259678,-0.8495258,0.744144,0.9137132,-0.8247233,0.7314905,0.900945,-0.8126631,0.7878883,0.9194885,-0.8319038,0.7702498,0.9001077,-0.8023005,0.7599695,0.880393,-0.7918448,0.813467,0.9150454,-0.826636,0.7994583,0.8933139,-0.7995794,0.7903923,0.8733013,-0.7892015,0.8378706,0.9061447,-0.8331598,0.8283987,0.882558,-0.8254133,0.8231931,0.8673422,-0.8349351,0.8254028,0.9405692,-0.8834299,0.1116098,
1528904123907,0.8228967,0.9312508,-0.9105999,0.8036449,0.8946198,-0.895678,0.7998765,0.8679699,-0.8825201,0.7745423,0.9218853,-0.8320901,0.7538203,0.9104817,-0.806145,0.741748,0.8978225,-0.7934364,0.7982715,0.9145066,-0.8158782,0.783147,0.8937321,-0.7857662,0.7740431,0.8743157,-0.7732625,0.8239172,0.9111218,-0.8119889,0.8118405,0.8884063,-0.7847985,0.8038892,0.8681063,-0.7739657,0.8476242,0.9034312,-0.8193761,0.8383969,0.879795,-0.8106966,0.8327715,0.8638757,-0.8189134,0.8322708,0.9358432,-0.8695857,0.1104808,
1528904123933,0.825978,0.9273106,-0.9019988,0.806907,0.8912876,-0.8854781,0.8033167,0.865182,-0.8712232,0.7792073,0.9201054,-0.8223789,0.7592361,0.9081498,-0.7961761,0.7478513,0.8948947,-0.783442,0.803411,0.9126145,-0.8068165,0.7894847,0.8904576,-0.7770554,0.7813026,0.870468,-0.7648299,0.82884,0.9103715,-0.8030772,0.8173881,0.8872492,-0.7758936,0.8099225,0.8668298,-0.7649449,0.852366,0.9033754,-0.8103299,0.8433357,0.8798352,-0.8015717,0.8379317,0.8639758,-0.8100123,0.836176,0.933733,-0.861155,0.1080037,
1528904123961,0.8288916,0.9219616,-0.8896185,0.8107245,0.8864409,-0.8712649,0.8083043,0.860844,-0.855938,0.7851596,0.9154898,-0.8085746,0.767134,0.9014088,-0.7821819,0.7573067,0.8865204,-0.7699608,0.8096011,0.9085994,-0.7941122,0.7972062,0.8852407,-0.7644694,0.7900285,0.864679,-0.7527385,0.8346732,0.9072928,-0.7909479,0.8239045,0.883975,-0.763487,0.8168256,0.8636573,-0.7521665,0.858103,0.9010583,-0.7981613,0.8493097,0.8777168,-0.7882549,0.8436946,0.861516,-0.7957649,0.8403246,0.9296811,-0.8493621,0.1032091,
1528904123987,0.8294681,0.9190596,-0.8814392,0.8122196,0.8838117,-0.8617916,0.81062,0.8583795,-0.8460636,0.789636,0.9117525,-0.7990049,0.7739983,0.8955554,-0.7724279,0.7657754,0.879272,-0.7608707,0.814139,0.9052852,-0.7858425,0.8033172,0.8810025,-0.7562442,0.7968799,0.8601009,-0.7448,0.8388757,0.9042122,-0.7836398,0.828904,0.8804414,-0.7562085,0.822119,0.860007,-0.7449631,0.8620115,0.8980659,-0.7917427,0.8533945,0.8745514,-0.7815974,0.8473429,0.8582386,-0.7885422,0.8424416,0.9268673,-0.8419551,0.09851582,
1528904124020,0.8307166,0.9156291,-0.871354,0.81538,0.8803658,-0.8503519,0.8155898,0.8551443,-0.8342317,0.7945586,0.9067879,-0.788068,0.7814693,0.8884703,-0.7616237,0.7749375,0.870937,-0.750865,0.8189109,0.9014426,-0.7758678,0.8096005,0.8767707,-0.7459576,0.8039253,0.8558424,-0.7342439,0.8433713,0.9008983,-0.7745256,0.8342912,0.8770893,-0.7467124,0.8279506,0.8567857,-0.735023,0.8662552,0.8949211,-0.7836686,0.8579775,0.8711861,-0.7738862,0.851902,0.8550615,-0.7812041,0.8448035,0.9236031,-0.8328065,0.09408522,
1528904124053,0.8297787,0.9108818,-0.8601918,0.8172096,0.8753716,-0.8381033,0.820162,0.8501124,-0.8223354,0.7991429,0.8993335,-0.7757995,0.7886927,0.879221,-0.7494595,0.7834207,0.8609551,-0.739274,0.8228945,0.8953086,-0.7647584,0.814284,0.8712581,-0.7341287,0.8085653,0.8506343,-0.7219351,0.8477906,0.8945938,-0.7648989,0.8399022,0.8715163,-0.7361077,0.8338494,0.851553,-0.723749,0.8708762,0.8890738,-0.7744811,0.8638501,0.8662708,-0.7606596,0.8570802,0.849107,-0.7639875,0.845724,0.9178427,-0.8231466,0.09146959,
1528904124080,0.8276495,0.9075731,-0.8526081,0.8174801,0.8712183,-0.8308913,0.8224487,0.8455333,-0.816359,0.8015022,0.8921546,-0.7676494,0.7925462,0.8710402,-0.7414125,0.7877772,0.8526539,-0.7311807,0.825062,0.8888202,-0.7576535,0.8170078,0.8652135,-0.7264117,0.811277,0.8451566,-0.7132443,0.8502444,0.8880001,-0.7592573,0.8433256,0.8650373,-0.7300857,0.8375664,0.8452662,-0.7172841,0.8738272,0.8835751,-0.7693213,0.8690353,0.8622711,-0.7513276,0.8630454,0.8447531,-0.7484355,0.8454388,0.9128467,-0.8166516,0.09223972,
1528904124107,0.8269711,0.9013735,-0.8439411,0.8189046,0.8643777,-0.8226632,0.825631,0.8384725,-0.8092225,0.8034691,0.8834471,-0.7588348,0.795159,0.8619934,-0.7325016,0.7904644,0.8438553,-0.7217474,0.8267729,0.880415,-0.7496216,0.8186147,0.8571519,-0.718075,0.8126187,0.8376406,-0.7040991,0.8523836,0.8794224,-0.7522324,0.8460608,0.8564177,-0.7229476,0.8404703,0.8367645,-0.709823,0.8766606,0.876175,-0.7623932,0.8741527,0.8566996,-0.7415213,0.869589,0.839857,-0.7340947,0.8456622,0.9055434,-0.8088752,0.09443279,
1528904124133,0.8276867,0.8942415,-0.8392392,0.8197582,0.857366,-0.8177088,0.8265229,0.8315282,-0.8041353,0.8042836,0.8766004,-0.754092,0.7957864,0.8554239,-0.7275248,0.790945,0.8375943,-0.7163037,0.8274796,0.8736823,-0.7449367,0.8189258,0.8505324,-0.7134463,0.8126934,0.8310516,-0.6994961,0.8534225,0.8728139,-0.7474946,0.8472249,0.850069,-0.7180036,0.8416992,0.8305187,-0.7046682,0.8779463,0.8698462,-0.7574934,0.8760926,0.8512046,-0.7357183,0.8721156,0.8348449,-0.7268549,0.8464916,0.8985355,-0.8043074,0.09495773,
1528904124161,0.8283278,0.8831848,-0.8333929,0.8206192,0.8459483,-0.8124499,0.8275813,0.8198837,-0.7994123,0.8056949,0.8639033,-0.7484533,0.7971905,0.8421862,-0.7222596,0.7922786,0.8243409,-0.7110565,0.8290274,0.8606585,-0.7396705,0.8205984,0.8364772,-0.7089244,0.8144265,0.8166021,-0.6954778,0.8551737,0.8599714,-0.7424004,0.8494442,0.836427,-0.7134311,0.8442004,0.8166094,-0.7003226,0.8798656,0.8578757,-0.7522526,0.878841,0.8395917,-0.730091,0.8755295,0.8235358,-0.720216,0.8475261,0.8869255,-0.7985529,0.09525176,
1528904124186,0.8280344,0.8770289,-0.8304243,0.8210281,0.8395282,-0.8097214,0.828535,0.8134745,-0.7969984,0.8063077,0.8562188,-0.7457868,0.7981119,0.8339155,-0.7199134,0.7933956,0.8160589,-0.7086018,0.8300304,0.8529755,-0.7373269,0.8224759,0.8278421,-0.7070187,0.8169366,0.8078234,-0.6934619,0.8560899,0.8528464,-0.7402231,0.8510978,0.8285072,-0.7117132,0.8464276,0.808486,-0.6986593,0.8806347,0.8515972,-0.7500667,0.8800092,0.8330591,-0.7281034,0.8770744,0.8169268,-0.7181393,0.8475248,0.8806061,-0.7957903,0.09515993,
1528904124213,0.8276261,0.8721453,-0.8287346,0.821596,0.8344336,-0.8081841,0.8299037,0.8084528,-0.7958367,0.8067597,0.8500752,-0.7444048,0.7991023,0.8271923,-0.7188344,0.7946936,0.8092039,-0.7075896,0.8306816,0.8467028,-0.7363539,0.8239191,0.8206322,-0.7066053,0.8188965,0.8003426,-0.6932232,0.8565791,0.8468711,-0.7394943,0.8521436,0.82167,-0.7116154,0.8478663,0.8013455,-0.6988735,0.8808318,0.8462614,-0.7493439,0.8802645,0.8273464,-0.7277284,0.877387,0.8110344,-0.7179825,0.8472304,0.87553,-0.7944016,0.09501503,
