time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528904187389,0.9523544,0.9397141,-0.9369152,0.9267442,0.9185323,-0.9086633,0.9190618,0.8960248,-0.8909575,0.9460455,0.9472024,-0.8458474,0.9321085,0.9387174,-0.8154607,0.9193479,0.9271481,-0.802521,0.9644872,0.9316083,-0.8402492,0.9486475,0.9204686,-0.8056574,0.9336206,0.908551,-0.7900152,0.9836179,0.9134902,-0.8474653,0.9688643,0.8978679,-0.8162802,0.9554347,0.8849893,-0.8005062,0.994689,0.8939459,-0.8661516,0.9751261,0.8773622,-0.8600356,0.9602816,0.8714806,-0.8698446,0.9810799,0.9349748,-0.9052163,0.09375368,
1528904187432,0.9415947,0.9519153,-0.939234,0.9130489,0.9342763,-0.9113221,0.9032663,0.9135931,-0.8926048,0.9311116,0.9660072,-0.8491507,0.9152402,0.9601766,-0.8191746,0.9012554,0.9496963,-0.8066715,0.9485185,0.9498836,-0.8415169,0.9303154,0.9413154,-0.8073937,0.913869,0.9306347,-0.7923768,0.9661685,0.9307218,-0.8469069,0.9471346,0.9174139,-0.8170931,0.9309094,0.9056069,-0.8033636,0.9788941,0.9094595,-0.8629431,0.9586582,0.8938773,-0.85704,0.9441426,0.8880595,-0.8674404,0.9688276,0.9479707,-0.9054428,0.09323098,
1528904187456,0.9384815,0.9605989,-0.941598,0.9083954,0.9451429,-0.914039,0.8974599,0.9254445,-0.8950276,0.9269079,0.9770015,-0.8520303,0.9101455,0.972023,-0.8223623,0.895606,0.9621119,-0.8100551,0.9436305,0.9603249,-0.8436593,0.9244176,0.9524677,-0.8098689,0.9074978,0.9424596,-0.7948711,0.9592179,0.940204,-0.8492954,0.936351,0.926705,-0.8227141,0.9178687,0.9146962,-0.8124384,0.9737002,0.9191618,-0.8624363,0.9532262,0.9043277,-0.8551375,0.9382446,0.8980025,-0.8646004,0.9650977,0.956813,-0.9070017,0.09256493,
1528904187482,0.9329934,0.9662285,-0.9433023,0.9023109,0.951576,-0.9159849,0.8909379,0.9321653,-0.8969923,0.9210153,0.9828029,-0.8538901,0.9037075,0.9777856,-0.8245144,0.8888913,0.9679942,-0.8124382,0.9374425,0.9657987,-0.8453718,0.9176465,0.9577792,-0.8119277,0.9004764,0.9478658,-0.7971295,0.9520088,0.9452064,-0.8515829,0.9270549,0.9308729,-0.8279341,0.9073623,0.9181616,-0.8219464,0.96746,0.924716,-0.8631527,0.9468949,0.9102403,-0.8549612,0.9315683,0.903628,-0.8636646,0.9594526,0.96205,-0.9084169,0.09185471,
1528904187508,0.9311799,0.9736418,-0.9442225,0.8997083,0.9608456,-0.9168209,0.8873433,0.9424964,-0.8973753,0.9190707,0.9911218,-0.85531,0.9007027,0.9859258,-0.8266439,0.8853788,0.9759904,-0.8154055,0.9351916,0.9739319,-0.8465334,0.9142448,0.9657799,-0.8138509,0.8964806,0.9558541,-0.7997797,0.9487922,0.952795,-0.8533524,0.9217203,0.9378005,-0.8335729,0.9014552,0.92479,-0.8320764,0.9654852,0.9331527,-0.8623738,0.9449257,0.9194587,-0.8523694,0.9290369,0.912289,-0.8595347,0.9578017,0.9692725,-0.9090887,0.0885707,
1528904187535,0.9299929,0.9772912,-0.9452674,0.8980919,0.9654645,-0.9178646,0.8851401,0.9478642,-0.8980705,0.9172474,0.9956889,-0.856901,0.8979241,0.990245,-0.8289664,0.8822777,0.9799982,-0.8185344,0.9334359,0.9787014,-0.8478016,0.9115527,0.9704113,-0.8158276,0.8933457,0.9602658,-0.8025204,0.9471346,0.9575045,-0.8545216,0.9194186,0.9422138,-0.8365245,0.8992561,0.9289584,-0.8370621,0.9645318,0.9383439,-0.8621821,0.9441077,0.925015,-0.8512771,0.9280814,0.9174744,-0.8577336,0.956726,0.9733717,-0.9098894,0.08583,
1528904187562,0.9300611,0.9813188,-0.9472347,0.8969337,0.9718428,-0.920243,0.8825077,0.9562688,-0.8996335,0.9147937,1.003889,-0.860563,0.8940226,0.9987313,-0.8337091,0.8780667,0.9881632,-0.8241427,0.9308193,0.9878033,-0.850231,0.9070213,0.9800197,-0.8196598,0.8880388,0.9695902,-0.8077616,0.9456232,0.9670573,-0.8549544,0.9175238,0.9524515,-0.8371583,0.8977009,0.9388353,-0.8381537,0.9634695,0.9482,-0.8606654,0.9428166,0.9357979,-0.8490855,0.9270343,0.9275643,-0.8552459,0.9564241,0.9793914,-0.910782,0.08207219,
1528904187587,0.930379,0.9855583,-0.9498609,0.8963147,0.9777677,-0.9234763,0.8808198,0.9634445,-0.9026819,0.9134012,1.009962,-0.8643161,0.8915777,1.00479,-0.8383492,0.87534,0.9940792,-0.8294276,0.9290386,0.9942324,-0.8533323,0.9037909,0.9865252,-0.8240651,0.884203,0.9757382,-0.8136892,0.9444791,0.9738632,-0.8566555,0.9160533,0.959989,-0.8387184,0.8961915,0.9464447,-0.8394765,0.962081,0.9550481,-0.861546,0.9409288,0.9434237,-0.8499396,0.9252237,0.9350058,-0.8560299,0.9562356,0.9844431,-0.912726,0.07959091,
1528904187614,0.9307555,0.9898036,-0.9527138,0.896042,0.9836442,-0.9267271,0.8797902,0.9705203,-0.9056951,0.9127458,1.016359,-0.8682733,0.890204,1.011349,-0.8429735,0.8737996,1.000474,-0.8346098,0.9279736,1.00099,-0.8567811,0.9015568,0.9934993,-0.8287006,0.8815441,0.982354,-0.8197784,0.9439,0.9809109,-0.8588358,0.9152038,0.9678303,-0.8406513,0.8952359,0.9543983,-0.8409361,0.9612657,0.9620786,-0.8629882,0.9397104,0.9511992,-0.8513513,0.9240861,0.9426333,-0.8574027,0.9563001,0.9895421,-0.9151119,0.07737067,
1528904187649,0.9331487,0.9956714,-0.9577242,0.8973265,0.9911772,-0.9328525,0.8799137,0.9794638,-0.9118967,0.9123229,1.025349,-0.8752002,0.8886141,1.020657,-0.8511481,0.8720247,1.009329,-0.8440028,0.9270134,1.010585,-0.8627413,0.899011,1.003504,-0.8364915,0.8786494,0.9917184,-0.8298587,0.9437956,0.9909666,-0.8626336,0.9148683,0.9790101,-0.8440341,0.8948956,0.965655,-0.8439211,0.9611731,0.9721842,-0.865422,0.9394054,0.9622872,-0.8531201,0.9237496,0.9533848,-0.8584961,0.9576089,0.9968672,-0.9192263,0.07459065,
1528904187682,0.9364993,1.004179,-0.9619648,0.8998881,1.001116,-0.9379754,0.8817737,0.9906393,-0.9169945,0.9137005,1.038199,-0.8815922,0.8893646,1.03456,-0.8581548,0.8727116,1.023167,-0.8515079,0.9279944,1.024046,-0.8680315,0.8992354,1.018076,-0.8425373,0.8787801,1.006201,-0.8367102,0.9452902,1.005012,-0.8657722,0.9164079,0.9949298,-0.8458534,0.896335,0.9819702,-0.8446043,0.9625514,0.9859147,-0.8672658,0.9407948,0.9771938,-0.8536478,0.9247913,0.9680876,-0.8574498,0.9600524,1.007294,-0.9228473,0.07367955,
1528904187708,0.9427423,1.016544,-0.9651688,0.9062,1.015369,-0.9410247,0.8882692,1.005966,-0.9194533,0.9215994,1.056028,-0.8862575,0.8977886,1.055976,-0.8617051,0.8807435,1.046583,-0.8533347,0.9355521,1.041432,-0.8718179,0.9073662,1.037816,-0.8452628,0.8867475,1.0269,-0.8385234,0.9522153,1.022043,-0.8685856,0.9236373,1.013944,-0.8475592,0.9033097,1.001595,-0.8456669,0.9689143,1.002175,-0.8691814,0.9474738,0.9948052,-0.8540648,0.9309497,0.9861092,-0.8562896,0.9664112,1.020977,-0.9262313,0.07796182,
1528904187735,0.9498595,1.023762,-0.9646348,0.9135329,1.02458,-0.940127,0.8954333,1.016855,-0.9179592,0.9314198,1.068131,-0.8870473,0.9088544,1.071247,-0.8613638,0.8918882,1.063726,-0.8511503,0.9454805,1.053722,-0.8719465,0.9185386,1.052635,-0.843874,0.8980129,1.042797,-0.8354938,0.9616859,1.033948,-0.8681119,0.9338071,1.027295,-0.8460044,0.9135231,1.015096,-0.8435959,0.9779756,1.013625,-0.8681502,0.9569975,1.007224,-0.8520338,0.9403137,0.9986626,-0.8533989,0.9743994,1.029713,-0.9262283,0.08168761,
1528904187760,0.9588958,1.031186,-0.9620149,0.9230077,1.035847,-0.937268,0.9043214,1.031017,-0.9146202,0.9448384,1.081978,-0.8871201,0.9235634,1.089442,-0.8611912,0.9063907,1.084616,-0.8497558,0.9584327,1.067674,-0.8710077,0.9329129,1.071444,-0.8418022,0.9120651,1.064482,-0.8314497,0.9730754,1.04662,-0.8660703,0.9456437,1.043335,-0.8429623,0.9247845,1.032496,-0.8398445,0.9876478,1.025028,-0.8653245,0.9666047,1.020856,-0.8487803,0.9494598,1.013222,-0.8498395,0.9842505,1.037851,-0.9243075,0.08417015,
1528904187788,0.9753929,1.040318,-0.9531534,0.9412214,1.05143,-0.9278646,0.9226208,1.051623,-0.9044665,0.9695765,1.101697,-0.8851889,0.9507093,1.115832,-0.8600476,0.9336688,1.115514,-0.8473164,0.9826328,1.088284,-0.8675146,0.9601646,1.100486,-0.8377805,0.9396051,1.099294,-0.8245295,0.9943525,1.065345,-0.860234,0.9677207,1.067574,-0.8364209,0.9459872,1.059129,-0.8321732,1.006288,1.04228,-0.8573952,0.9855138,1.042264,-0.8398663,0.96751,1.036625,-0.8391938,1.002287,1.048569,-0.917374,0.08643029,
1528904187822,0.9934968,1.048633,-0.9416192,0.9630183,1.0651,-0.9148567,0.9469427,1.068378,-0.8898993,0.9978251,1.117074,-0.8808827,0.9834042,1.137486,-0.8567341,0.9683582,1.143084,-0.8425438,1.010023,1.103743,-0.8622155,0.9916739,1.122352,-0.8326992,0.9728249,1.126571,-0.8174888,1.018621,1.079102,-0.8529125,0.9930592,1.084906,-0.8287503,0.9707662,1.078527,-0.8236701,1.028553,1.055683,-0.8482726,1.008778,1.05898,-0.8299792,0.9903229,1.055346,-0.8281927,1.0224,1.057289,-0.9086086,0.09100607,
1528904187855,1.012181,1.054667,-0.9285339,0.9844494,1.074687,-0.9013529,0.9698594,1.079888,-0.8758184,1.02334,1.123955,-0.8700005,1.012456,1.147235,-0.8463477,0.9994414,1.155932,-0.8316659,1.034432,1.109564,-0.8508601,1.018064,1.129631,-0.8212173,0.9997184,1.134918,-0.8058273,1.041686,1.084517,-0.8411133,1.017402,1.092311,-0.8161385,0.9948416,1.087813,-0.8098415,1.050101,1.060628,-0.8361753,1.03122,1.065415,-0.8172855,1.0126,1.063146,-0.8147783,1.04197,1.061411,-0.8964515,0.09277493,
1528904187880,1.022723,1.06026,-0.9195578,0.9971362,1.082245,-0.8917884,0.9834261,1.088694,-0.8660078,1.039276,1.125381,-0.8577307,1.030874,1.147992,-0.8325964,1.018845,1.156197,-0.8169132,1.050448,1.109436,-0.8395203,1.03598,1.127865,-0.8081778,1.017844,1.131775,-0.7923098,1.057634,1.08406,-0.8312093,1.035511,1.091729,-0.804217,1.01328,1.087892,-0.7966248,1.065015,1.059476,-0.8278476,1.047155,1.063618,-0.808162,1.02858,1.061417,-0.8059109,1.054164,1.063535,-0.8877929,0.09067211,
1528904187908,1.034369,1.064867,-0.9058039,1.010375,1.088387,-0.8773209,0.9966227,1.098211,-0.8523343,1.054753,1.123991,-0.8397185,1.045092,1.142202,-0.8122685,1.031124,1.144754,-0.7965332,1.068534,1.107642,-0.8242119,1.054989,1.122671,-0.7913133,1.036345,1.122676,-0.7760583,1.078738,1.082707,-0.8180565,1.061256,1.089896,-0.7874029,1.040547,1.086321,-0.7764877,1.086984,1.057771,-0.8167167,1.073362,1.061303,-0.7935184,1.055615,1.059375,-0.7876205,1.068693,1.065143,-0.8755307,0.08043887,
1528904187934,1.041446,1.062736,-0.8989094,1.018321,1.082996,-0.8671328,1.005472,1.091269,-0.8411062,1.061999,1.1151,-0.8285842,1.050475,1.126204,-0.7987057,1.036222,1.122841,-0.7834959,1.078488,1.099558,-0.8166834,1.064546,1.109045,-0.7820888,1.046455,1.105123,-0.7666174,1.09271,1.076034,-0.8140097,1.078437,1.080049,-0.7808425,1.059833,1.074967,-0.7669384,1.103414,1.051665,-0.8156441,1.0935,1.052661,-0.7900237,1.077639,1.049536,-0.7802926,1.078508,1.062554,-0.8716666,0.07253414,
1528904187962,1.050928,1.053192,-0.8866761,1.028887,1.061786,-0.8490569,1.018318,1.063221,-0.8207149,1.066867,1.099923,-0.8125645,1.056191,1.100763,-0.7803952,1.04544,1.090159,-0.7653514,1.088587,1.089356,-0.8056661,1.076961,1.089559,-0.7686952,1.062995,1.079051,-0.7516514,1.10988,1.072111,-0.808506,1.101146,1.06997,-0.7728,1.087955,1.06007,-0.7552918,1.126749,1.051854,-0.8150641,1.122423,1.048279,-0.7877884,1.110867,1.040551,-0.774829,1.090598,1.061344,-0.865362,0.06727861,
