time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528903807672,1.063812,0.9104358,-0.9345061,1.034883,0.8874707,-0.9273896,1.027382,0.8653215,-0.9179406,1.025524,0.8931952,-0.8681825,1.008976,0.8709602,-0.8624369,1.006206,0.8552715,-0.8711963,1.040942,0.883507,-0.859115,1.022228,0.8574322,-0.8572471,1.018094,0.8420046,-0.8706466,1.063011,0.8763611,-0.8573524,1.048177,0.8514477,-0.8610213,1.046516,0.841076,-0.8782903,1.084227,0.8710604,-0.8579222,1.072482,0.8530657,-0.8606051,1.06966,0.8487828,-0.8756059,1.078764,0.9064465,-0.8965207,0.05229205,
1528903807699,1.052448,0.9099021,-0.9405577,1.024625,0.8852174,-0.9350191,1.018035,0.8621861,-0.9269625,1.012722,0.8882002,-0.8763673,0.9961411,0.8655831,-0.8712674,0.9931588,0.8500392,-0.8802176,1.028162,0.8781298,-0.867653,1.009657,0.8515942,-0.8668696,1.005547,0.8364807,-0.8806118,1.050388,0.8711751,-0.8662823,1.036133,0.8460525,-0.8717204,1.034868,0.8364573,-0.8894727,1.071747,0.8663705,-0.8669289,1.060651,0.8484497,-0.8714611,1.058543,0.8455621,-0.8868734,1.066296,0.9040928,-0.9030505,0.05432758,
1528903807725,1.034547,0.9090345,-0.9488689,1.007602,0.8831487,-0.9446613,1.0016,0.8595235,-0.9376946,0.9934444,0.8840787,-0.8863951,0.976371,0.8615587,-0.8808589,0.9726334,0.845803,-0.8891625,1.009012,0.8735933,-0.8778749,0.9904493,0.8467361,-0.8770853,0.9860198,0.8314621,-0.8904991,1.031413,0.8667566,-0.877004,1.017692,0.8414499,-0.8836766,1.016783,0.8322568,-0.9016833,1.052943,0.8624179,-0.8778276,1.042615,0.8448153,-0.8841111,1.041409,0.8434379,-0.8998021,1.047434,0.901989,-0.9117031,0.05816099,
1528903807752,1.02114,0.9085953,-0.9534806,0.9943861,0.8824513,-0.9496121,0.9884312,0.8586962,-0.9429294,0.9788498,0.8834102,-0.8917661,0.9611038,0.8613538,-0.8856042,0.9565105,0.8453764,-0.8931609,0.9943054,0.8725488,-0.883224,0.975244,0.8458607,-0.8820192,0.9702215,0.830248,-0.8949221,1.016696,0.8654089,-0.8826797,1.002904,0.8402089,-0.8898712,1.002086,0.8310505,-0.9079521,1.038287,0.8609853,-0.8835229,1.028157,0.8437407,-0.8906244,1.027442,0.8430945,-0.9063897,1.033363,0.9009367,-0.9166775,0.06060728,
1528903807778,1.013999,0.905405,-0.9590486,0.9866593,0.8798844,-0.954723,0.9800408,0.8564742,-0.9474672,0.9700446,0.8825676,-0.8976746,0.9517436,0.8611193,-0.8908753,0.946718,0.8449088,-0.897748,0.985085,0.8716052,-0.8886083,0.9654822,0.8453472,-0.8868366,0.9602724,0.8293747,-0.8992705,1.007302,0.8640377,-0.8875989,0.9931068,0.8388417,-0.8943335,0.9923173,0.8290061,-0.912095,1.028855,0.8592039,-0.8879879,1.018616,0.8420256,-0.8949896,1.018292,0.8411278,-0.9107587,1.025323,0.8983822,-0.9221293,0.06096039,
1528903807805,0.9978329,0.9053067,-0.9662807,0.9693491,0.8810027,-0.9623857,0.9614814,0.8580533,-0.9548398,0.9513134,0.8853643,-0.9055765,0.9323284,0.8647362,-0.898673,0.9272394,0.8485155,-0.9054385,0.9656272,0.8741162,-0.895861,0.9454066,0.8485943,-0.8942654,0.940459,0.8326113,-0.9068267,0.9874724,0.8659347,-0.8938661,0.9725618,0.8409659,-0.9001707,0.9718237,0.8304076,-0.9175461,1.008919,0.8603563,-0.89373,0.9984609,0.843388,-0.9009001,0.9987673,0.8422874,-0.9166458,1.007764,0.8987662,-0.9287413,0.06086024,
1528903807841,0.9858783,0.9070097,-0.9737223,0.9566838,0.8836424,-0.9705923,0.9483318,0.8607565,-0.9633823,0.9378992,0.8878986,-0.9136465,0.91811,0.8680115,-0.9069809,0.9123918,0.852001,-0.9138585,0.9515963,0.8759999,-0.903944,0.9304016,0.8513176,-0.9027708,0.9249148,0.8355839,-0.9155118,0.9730729,0.866929,-0.9021649,0.9574596,0.8427407,-0.909398,0.9568717,0.8326642,-0.9270703,0.9943383,0.8605936,-0.9017978,0.983444,0.8442222,-0.9096137,0.9841286,0.8434944,-0.9253702,0.9950787,0.8994766,-0.9360648,0.06181389,
1528903807873,0.9756004,0.9081076,-0.9801433,0.946308,0.8849082,-0.9776886,0.9379052,0.861973,-0.9706631,0.9266928,0.889056,-0.9205135,0.9067289,0.8693446,-0.9138686,0.9009373,0.8533303,-0.9206929,0.9401712,0.877033,-0.9105991,0.9188408,0.8524692,-0.9094599,0.9133173,0.8366721,-0.9221425,0.961597,0.8677259,-0.9089324,0.9462247,0.843666,-0.9168098,0.9460902,0.8338362,-0.9346613,0.9827883,0.8613535,-0.9082162,0.9720999,0.8451921,-0.9164939,0.9732394,0.8448181,-0.9322399,0.9842294,0.9003705,-0.9421702,0.0627562,
1528903807898,0.9682897,0.9084544,-0.9824175,0.9384813,0.8859394,-0.9800162,0.9295771,0.8632801,-0.9727701,0.9186583,0.8913002,-0.9225572,0.8982013,0.8722329,-0.9154437,0.8919419,0.8561938,-0.9218261,0.9317909,0.8791879,-0.9123212,0.9098401,0.8551846,-0.9105991,0.903888,0.8392129,-0.9228697,0.9530079,0.8693938,-0.9105815,0.9372845,0.8456231,-0.9182979,0.937207,0.8355985,-0.9360773,0.9740734,0.8626271,-0.9095544,0.9631404,0.8466147,-0.91763,0.9644508,0.845992,-0.9333769,0.9765359,0.9009834,-0.9441761,0.06373318,
1528903807926,0.9569905,0.909986,-0.9858192,0.9270546,0.8876702,-0.9835003,0.9180408,0.8650838,-0.9761741,0.907123,0.8932136,-0.9259621,0.8866069,0.8742505,-0.9187741,0.8803447,0.8581833,-0.9250756,0.9201854,0.8811307,-0.9155861,0.8981927,0.8571931,-0.9137661,0.8922718,0.8411602,-0.9259668,0.9413742,0.8712774,-0.9137871,0.9256973,0.8475153,-0.9215191,0.9257596,0.8374577,-0.9392812,0.9624024,0.8644937,-0.912617,0.9515011,0.8485,-0.9207004,0.9529469,0.8478494,-0.9364359,0.9651973,0.9023395,-0.9474637,0.06387226,
