time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528904080320,1.090313,0.9448026,-0.9343663,1.05957,0.913522,-0.9360284,1.046616,0.886891,-0.9321142,1.02132,0.9160203,-0.8893381,1.001209,0.8887836,-0.8893446,0.9962177,0.8696496,-0.8978595,1.032373,0.9046863,-0.8732846,1.007314,0.8747761,-0.8751718,0.9988924,0.8547359,-0.8864498,1.052634,0.8980352,-0.8609266,1.028756,0.8704706,-0.8634713,1.019926,0.85154,-0.8756913,1.077552,0.8897626,-0.856295,1.061238,0.8672606,-0.8599871,1.056165,0.8549688,-0.8728349,1.086557,0.9353505,-0.8941184,0.06332979,
1528904080345,1.082646,0.9496639,-0.9459943,1.049324,0.9213997,-0.9488088,1.034498,0.8958582,-0.9448545,1.009138,0.924355,-0.9126035,0.989799,0.8972033,-0.9185333,0.9868064,0.8788589,-0.9293777,1.017578,0.9122983,-0.8964518,0.9939718,0.8829997,-0.9064895,0.9889109,0.8643793,-0.9215202,1.036034,0.903854,-0.8824109,1.014629,0.8767365,-0.8936764,1.010216,0.8596002,-0.9101881,1.059536,0.8945291,-0.8748202,1.04618,0.8736637,-0.8864584,1.045026,0.8638054,-0.9028497,1.074653,0.939841,-0.9076025,0.05294309,
1528904080372,1.079927,0.955763,-0.9560049,1.042262,0.9337155,-0.9586958,1.023676,0.9109125,-0.9541547,1.004595,0.9387444,-0.9292091,0.9857278,0.9126763,-0.9394501,0.9839266,0.8949668,-0.9516127,1.011061,0.9259217,-0.9130636,0.9892859,0.8981155,-0.9287875,0.9874631,0.8808498,-0.9459249,1.027887,0.915466,-0.8986629,1.009954,0.89012,-0.9165473,1.011396,0.8756675,-0.9355768,1.048453,0.904653,-0.8883497,1.037237,0.8867572,-0.9042112,1.040929,0.8806275,-0.9218059,1.069498,0.9469525,-0.9187448,0.0429039,
1528904080400,1.074576,0.9622563,-0.9704662,1.035684,0.9433388,-0.9761113,1.014948,0.9223105,-0.9725307,0.9973533,0.9537476,-0.9567758,0.9850875,0.9288086,-0.972543,0.9935142,0.9134749,-0.9848644,1.001456,0.940603,-0.9403415,0.9864663,0.9135611,-0.9627103,0.9939791,0.898995,-0.9794192,1.014544,0.9291136,-0.9224621,1.003143,0.9046894,-0.9449039,1.012599,0.8927109,-0.96279,1.030267,0.9179604,-0.9080263,1.021509,0.9014707,-0.9260123,1.029828,0.8966202,-0.9419984,1.058625,0.9568397,-0.9353049,0.0262603,
1528904080435,1.06668,0.964685,-0.9850216,1.029261,0.9440455,-0.9925959,1.009948,0.9222353,-0.9878728,0.9914522,0.9596583,-0.9826586,0.9888601,0.9344741,-0.9985199,1.005853,0.9237046,-1.004589,0.992536,0.9482226,-0.9650107,0.9871302,0.9203914,-0.9885978,1.002547,0.9079651,-1.000782,1.002638,0.9375542,-0.9447213,1.001789,0.9141124,-0.9670693,1.020695,0.906976,-0.9790825,1.014307,0.9278367,-0.9275976,1.010655,0.9118891,-0.9462239,1.024341,0.9089909,-0.95826,1.046085,0.9638502,-0.9523882,0.01727274,
1528904080452,1.06632,0.9676322,-0.989285,1.02964,0.9464799,-0.9979994,1.011432,0.9239553,-0.9933194,0.9919044,0.9631069,-0.9886959,0.9916814,0.9389883,-1.005013,1.010044,0.9301308,-1.009373,0.9922495,0.9514168,-0.9714399,0.9906479,0.9256316,-0.9953061,1.009458,0.9159096,-1.005089,1.002262,0.9398513,-0.9513012,1.004006,0.9180449,-0.9740268,1.024472,0.9133527,-0.9840163,1.013112,0.9297721,-0.9343323,1.011062,0.914988,-0.9536222,1.02592,0.913413,-0.9642931,1.044896,0.9663485,-0.9569597,0.01725617,
1528904080493,1.061599,0.9670857,-1.005342,1.02764,0.9433141,-1.018513,1.010438,0.9198728,-1.016229,0.9859514,0.9618617,-1.011287,0.9868418,0.9382708,-1.028233,1.005481,0.930029,-1.030652,0.9886554,0.9488735,-0.9947706,0.9964203,0.926648,-1.016037,1.019772,0.9238799,-1.017705,0.9977052,0.9373028,-0.9739702,1.006996,0.9182703,-0.9954934,1.029755,0.9191445,-0.9998376,1.006418,0.927775,-0.9565938,1.010055,0.9148715,-0.9758745,1.027258,0.9167992,-0.9819106,1.036674,0.9658593,-0.9745999,0.01832355,
1528904080519,1.06375,0.9658375,-1.01096,1.031329,0.9416424,-1.027542,1.013713,0.9182299,-1.02818,0.986571,0.9613182,-1.022045,0.9850589,0.9376373,-1.040945,1.001791,0.9264555,-1.044871,0.9900259,0.9469687,-1.005469,0.9996701,0.9260932,-1.025657,1.023107,0.925096,-1.024394,0.9980162,0.935202,-0.9844149,1.009174,0.917114,-1.005142,1.032063,0.9190742,-1.006831,1.005941,0.925483,-0.9667216,1.011451,0.9132267,-0.9857607,1.029042,0.9158359,-0.9898099,1.036545,0.9641376,-0.9819249,0.02209981,
1528904080545,1.065978,0.9616485,-1.018245,1.03542,0.9367088,-1.037651,1.01732,0.9136421,-1.041198,0.9877468,0.9563439,-1.034231,0.98439,0.9319131,-1.053138,0.9996158,0.9191254,-1.057845,0.9889603,0.9426135,-1.017374,0.9965413,0.9201359,-1.03775,1.019646,0.9167734,-1.037388,0.9980503,0.9310832,-0.9956023,1.010208,0.9117265,-1.015489,1.033258,0.9124663,-1.016631,1.005462,0.9221044,-0.9771466,1.012825,0.9093762,-0.9952886,1.030764,0.9118459,-0.9979067,1.03641,0.9605963,-0.9911916,0.02491276,
1528904080572,1.067795,0.9600964,-1.022316,1.038551,0.9350813,-1.043881,1.020646,0.9122583,-1.049925,0.9889212,0.9532968,-1.039981,0.9849277,0.9292539,-1.059448,0.9996989,0.9161013,-1.064756,0.9909807,0.9389145,-1.023309,0.9992744,0.9163926,-1.044109,1.022382,0.912804,-1.044007,0.9999254,0.9274514,-1.001415,1.012982,0.9083354,-1.021336,1.036074,0.9092101,-1.022272,1.007215,0.9185758,-0.9828682,1.015478,0.9061874,-1.000902,1.033468,0.9089919,-1.002999,1.037391,0.9579491,-0.9957992,0.02595151,
1528904080600,1.071413,0.9583903,-1.025497,1.043104,0.9340172,-1.049271,1.02504,0.912084,-1.057984,0.9916136,0.9512808,-1.044535,0.9862261,0.9276385,-1.064346,1.000032,0.9135469,-1.070287,0.9951823,0.9360536,-1.027758,1.004869,0.9135255,-1.047952,1.02804,0.910509,-1.046895,1.00281,0.9249892,-1.005523,1.016206,0.9057934,-1.024963,1.039267,0.9068634,-1.025293,1.00976,0.9163723,-0.9867421,1.0183,0.9038061,-1.004478,1.036294,0.9065633,-1.006027,1.04015,0.9558879,-0.9992147,0.02790829,
1528904080633,1.073664,0.9589809,-1.026083,1.046332,0.9345344,-1.050936,1.028835,0.9125361,-1.060578,0.9937267,0.9502192,-1.045968,0.9885257,0.9268335,-1.065886,1.002523,0.9128678,-1.07201,0.997665,0.9347571,-1.029395,1.007514,0.9119841,-1.050283,1.030647,0.9083021,-1.050094,1.004389,0.9236587,-1.007063,1.017099,0.9041253,-1.027083,1.040154,0.9044942,-1.028276,1.011596,0.914993,-0.9881463,1.019677,0.902191,-1.006215,1.037604,0.9046652,-1.008457,1.042041,0.9553692,-1.000103,0.02868922,
1528904080665,1.078998,0.9517905,-1.024381,1.052045,0.9268022,-1.049172,1.033599,0.9054201,-1.058694,0.999584,0.9462108,-1.048615,0.993337,0.9209866,-1.066211,1.006132,0.9051983,-1.069723,0.9970902,0.9339477,-1.02993,0.9983422,0.9054357,-1.051319,1.017671,0.8924172,-1.055891,1.002281,0.9243602,-1.005696,1.00922,0.8986273,-1.024732,1.030928,0.8912017,-1.028986,1.009412,0.9175826,-0.9855602,1.015735,0.9012433,-1.00188,1.03388,0.8999171,-1.004194,1.045153,0.953519,-1.000013,0.02959896,
1528904080692,1.081003,0.9538848,-1.022623,1.055748,0.9286449,-1.048741,1.038377,0.906549,-1.058582,1.002151,0.9433759,-1.047977,0.9967926,0.9177788,-1.065144,1.010285,0.9026072,-1.068379,0.9969365,0.9324985,-1.029381,0.9925559,0.9037054,-1.052444,1.007415,0.8874977,-1.060875,1.002498,0.9228169,-1.005393,1.006014,0.8960081,-1.025662,1.025594,0.8853815,-1.032073,1.010864,0.915763,-0.9847324,1.0165,0.8987422,-1.001391,1.034356,0.8962181,-1.005202,1.046447,0.9534035,-0.998563,0.03001062,
1528904080718,1.082691,0.9488795,-1.019206,1.059673,0.9210366,-1.04484,1.042572,0.8985403,-1.054414,1.006258,0.9357902,-1.049876,1.001514,0.9074228,-1.063182,1.01413,0.89114,-1.062667,0.996667,0.9297852,-1.030493,0.9885786,0.8981562,-1.050308,0.9987491,0.8776395,-1.057347,0.998427,0.9243132,-1.004844,0.9976327,0.8939456,-1.02145,1.014236,0.8782367,-1.026173,1.005314,0.9201108,-0.9823916,1.009446,0.8998903,-0.995958,1.026879,0.8940191,-0.9981712,1.045508,0.9529779,-0.9982969,0.03052583,
1528904080745,1.079451,0.9489998,-1.020368,1.057725,0.9215168,-1.047378,1.041424,0.8987388,-1.057424,1.002873,0.9306363,-1.049694,0.997323,0.9019889,-1.063197,1.008813,0.8846862,-1.063794,0.9930829,0.92478,-1.029908,0.9845813,0.8929685,-1.048914,0.9939215,0.871807,-1.056455,0.9956956,0.9197684,-1.004454,0.9949779,0.8890696,-1.020686,1.01117,0.8728647,-1.025726,1.003168,0.9162064,-0.9817967,1.007888,0.8957387,-0.9949486,1.025384,0.8901471,-0.9972512,1.042095,0.950433,-0.998547,0.03607654,
1528904080772,1.075518,0.947974,-1.021088,1.051927,0.9232047,-1.049176,1.03477,0.9016826,-1.060633,0.9975821,0.9309336,-1.046486,0.9913796,0.9030709,-1.061547,1.002314,0.8853464,-1.064386,0.9893304,0.9237502,-1.026802,0.9808475,0.8931348,-1.047426,0.9898278,0.8723586,-1.057008,0.992889,0.9173023,-1.001692,0.9908188,0.8876579,-1.019968,1.0059,0.8710517,-1.027616,1.001315,0.9123248,-0.9797328,1.004369,0.8924993,-0.9946854,1.021278,0.8863902,-0.9989548,1.039668,0.9474165,-0.9965878,0.03652873,
1528904080798,1.072871,0.9458486,-1.019422,1.046833,0.9231517,-1.047099,1.028077,0.9029988,-1.058687,0.9936864,0.932025,-1.041396,0.9866555,0.9045144,-1.056058,0.9973375,0.8864856,-1.059311,0.9864868,0.924621,-1.021671,0.9779754,0.8942604,-1.041929,0.9885896,0.8742806,-1.050757,0.9899237,0.9181625,-0.996688,0.986469,0.8891743,-1.014888,1.001483,0.8726614,-1.022945,0.9987269,0.9126292,-0.9752668,0.9995754,0.8928338,-0.9907463,1.015655,0.8856348,-0.9961332,1.038223,0.9461588,-0.993283,0.03489948,
1528904080834,1.061862,0.9624381,-1.012281,1.030356,0.9433051,-1.036854,1.010094,0.9244862,-1.048688,0.9817151,0.9459469,-1.018374,0.9749621,0.922691,-1.038648,0.9872,0.9085301,-1.048886,0.9809409,0.9320239,-1.000511,0.971936,0.9069389,-1.026488,0.9832677,0.8926122,-1.042558,0.9908814,0.9197403,-0.9800204,0.9851183,0.8962296,-1.004943,0.9987599,0.8853174,-1.020746,1.004725,0.9091583,-0.963096,1.000862,0.8930459,-0.9834687,1.012704,0.888483,-0.9971067,1.035858,0.9522302,-0.9804299,0.02790681,
1528904080865,1.060248,0.9640284,-1.007383,1.025954,0.9479116,-1.030313,1.003591,0.9311063,-1.041511,0.9798484,0.9542924,-1.008333,0.9712352,0.9320862,-1.029594,0.9816588,0.9175645,-1.041268,0.9793626,0.9394886,-0.9911566,0.9680444,0.9157978,-1.018031,0.9769415,0.9014246,-1.035623,0.9887727,0.9257408,-0.9714353,0.9787546,0.9033097,-0.9968671,0.9886926,0.8915648,-1.014727,1.002183,0.9133168,-0.9556489,0.9939048,0.8976667,-0.9758551,1.00152,0.8913912,-0.9918698,1.03569,0.9548324,-0.9738112,0.02577729,
1528904080892,1.05956,0.9625848,-1.003557,1.024287,0.947993,-1.025938,1.000669,0.9324254,-1.036392,0.9790365,0.9580257,-1.002494,0.9682379,0.9341608,-1.02212,0.9757587,0.9176804,-1.033509,0.9777608,0.9445494,-0.9844895,0.9643581,0.9190149,-1.009561,0.9693623,0.9020735,-1.02683,0.9853078,0.9320784,-0.963376,0.970995,0.9080871,-0.9864472,0.9754144,0.8928292,-1.004355,0.9974193,0.9199358,-0.9464656,0.9851805,0.9028978,-0.9642882,0.9875459,0.8929408,-0.9804229,1.034457,0.9575077,-0.9686127,0.02909025,
