time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528904156834,0.8647317,0.9579462,-0.9494379,0.834553,0.9306797,-0.9334464,0.8250489,0.9058756,-0.9205393,0.8225551,0.9471285,-0.871971,0.7997907,0.9268757,-0.8558899,0.7873578,0.9093959,-0.8544288,0.8402392,0.935704,-0.8603311,0.8139738,0.9125714,-0.8420781,0.7979024,0.8939378,-0.8401161,0.8652456,0.9254241,-0.8578786,0.8427714,0.9014,-0.8402433,0.8275658,0.8826127,-0.8378339,0.8871168,0.9122226,-0.8703272,0.8711678,0.8923597,-0.8742477,0.8642257,0.8862573,-0.8905491,0.8806143,0.953931,-0.9095748,0.07618143,
1528904156853,0.8609902,0.9605898,-0.9540546,0.828753,0.9343794,-0.9403006,0.8172134,0.9100296,-0.9282422,0.8142061,0.9493765,-0.8797699,0.7902088,0.9287199,-0.8664222,0.7779192,0.9111605,-0.8670169,0.830929,0.9376107,-0.8672358,0.8031683,0.9141157,-0.8521559,0.7870655,0.8954672,-0.8526337,0.8557281,0.9268892,-0.8632131,0.8319113,0.9025007,-0.8480164,0.8165168,0.8837681,-0.8473905,0.8781899,0.913918,-0.873455,0.8620779,0.8941242,-0.8777534,0.8556019,0.8876559,-0.8941193,0.8743819,0.9558337,-0.9134142,0.07275884,
1528904156880,0.8458531,0.9732017,-0.9693439,0.8106282,0.9485657,-0.9603071,0.7957035,0.9249923,-0.950555,0.7915007,0.9609389,-0.9009432,0.7658141,0.9400197,-0.8921725,0.7539976,0.9225966,-0.8959059,0.806572,0.9484204,-0.8870806,0.7768772,0.9246645,-0.8771785,0.761063,0.9062588,-0.8812836,0.8307308,0.936956,-0.8805414,0.8050097,0.9122411,-0.8694893,0.7895468,0.8937564,-0.8718343,0.8539405,0.9241842,-0.8870087,0.8375502,0.9044399,-0.8916965,0.8316218,0.897283,-0.9080014,0.8552247,0.9668949,-0.9272131,0.06878698,
1528904156895,0.8421263,0.9780753,-0.9749925,0.8060889,0.9540465,-0.967431,0.7901434,0.9308164,-0.9584376,0.7855796,0.9659854,-0.9084382,0.7594414,0.9451513,-0.9010303,0.7478151,0.9278274,-0.9056194,0.8000946,0.9532087,-0.8942127,0.769904,0.9295104,-0.8859286,0.7542802,0.9112352,-0.8911274,0.8239415,0.9414361,-0.8869707,0.7976583,0.9167136,-0.8773392,0.782227,0.898361,-0.8806462,0.8472836,0.9286582,-0.892072,0.8307078,0.9089229,-0.8966899,0.8248072,0.9014311,-0.9128561,0.8502734,0.9714266,-0.9323877,0.06775225,
1528904156921,0.8322519,0.9976796,-0.9911451,0.7950841,0.974305,-0.9883662,0.7776901,0.9511666,-0.9822605,0.7706383,0.9828165,-0.9297859,0.7440813,0.96167,-0.926152,0.7333441,0.9446852,-0.9332349,0.783779,0.9690181,-0.9154186,0.7530468,0.9449582,-0.9118419,0.7383131,0.9271448,-0.9201442,0.8068063,0.9566427,-0.9067256,0.7797375,0.9316031,-0.9013256,0.7649625,0.9137028,-0.9079224,0.8302736,0.9440674,-0.909363,0.8133394,0.9244245,-0.9146907,0.8076425,0.9167441,-0.930795,0.8371758,0.9886166,-0.9477845,0.06642352,
1528904156947,0.8314258,1.007297,-0.9985212,0.7921404,0.987281,-0.9994631,0.7715067,0.9662663,-0.9955242,0.7643573,0.9973348,-0.9419774,0.7361623,0.9781561,-0.9411069,0.7250756,0.9619536,-0.9493699,0.7754515,0.9824335,-0.9269439,0.7432842,0.9602233,-0.9271962,0.7289466,0.943408,-0.9377815,0.7966337,0.968724,-0.916458,0.7676671,0.9455955,-0.9148779,0.7531477,0.9289224,-0.9243385,0.8192258,0.9549063,-0.9154733,0.8000818,0.9360148,-0.919602,0.7926518,0.9265304,-0.9340585,0.8323966,0.9978921,-0.9545358,0.0656099,
1528904156974,0.8329908,1.013799,-1.002257,0.7910985,1.001095,-1.007452,0.7665055,0.9844333,-1.005925,0.7605819,1.015949,-0.9511515,0.7293411,1.002164,-0.9524398,0.7159803,0.9880314,-0.9611573,0.7680332,0.9991627,-0.9356163,0.7333781,0.9818248,-0.939643,0.7184889,0.9670321,-0.9521774,0.7855935,0.982784,-0.9239049,0.753837,0.9644053,-0.9273249,0.7392911,0.9500859,-0.9399153,0.805435,0.9660699,-0.9196081,0.7835538,0.95072,-0.9252545,0.7754128,0.9419482,-0.9398434,0.8285899,1.005364,-0.9579132,0.06760082,
1528904157002,0.8338388,1.027212,-1.005007,0.790845,1.023297,-1.014192,0.7631389,1.012168,-1.015485,0.7592328,1.043889,-0.9588535,0.7255235,1.037805,-0.9618389,0.7092108,1.027544,-0.9710808,0.7618559,1.025247,-0.943534,0.7245893,1.015562,-0.9501659,0.7078115,1.004367,-0.9639548,0.7747734,1.005335,-0.9320818,0.740934,0.9936795,-0.9401313,0.7261361,0.9826447,-0.9554629,0.7902902,0.9852432,-0.9255109,0.7656528,0.9751021,-0.9323704,0.7559813,0.9681474,-0.9470923,0.8241242,1.01902,-0.9611211,0.07152877,
1528904157034,0.8362309,1.0474,-1.005287,0.7935173,1.049241,-1.016055,0.7646691,1.041792,-1.018918,0.7626966,1.071353,-0.9598858,0.7283759,1.070442,-0.9631007,0.7105549,1.063428,-0.9725807,0.7623382,1.051626,-0.9451131,0.7238274,1.047571,-0.951458,0.7051511,1.039781,-0.9651003,0.7723014,1.029254,-0.9357737,0.7382036,1.021873,-0.9463707,0.7238097,1.013296,-0.9635124,0.7848834,1.007209,-0.9292476,0.7590513,1.000462,-0.9366465,0.7478918,0.9954373,-0.951184,0.8238676,1.038085,-0.9621785,0.07445489,
1528904157067,0.8464949,1.059048,-1.00084,0.8043195,1.063966,-1.012577,0.775147,1.058408,-1.016284,0.7735377,1.087539,-0.9558482,0.7391316,1.090822,-0.9580075,0.719718,1.086841,-0.9664711,0.7713213,1.067082,-0.9409295,0.7319847,1.067009,-0.9449994,0.7113316,1.061872,-0.956995,0.7795331,1.043038,-0.9337013,0.7459378,1.037561,-0.945942,0.7327347,1.029962,-0.9643972,0.7904627,1.020309,-0.92702,0.7644075,1.015325,-0.9348911,0.7533343,1.011339,-0.9497756,0.8324046,1.049797,-0.9583986,0.07976317,
