time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528974535644,1.108216,0.5062311,-0.8774464,1.09893,0.5113101,-0.8450468,1.093734,0.5141042,-0.8217761,1.122943,0.5450203,-0.8287559,1.119618,0.5414906,-0.8014281,1.116317,0.5350107,-0.7859086,1.139948,0.5400497,-0.8268506,1.135771,0.5358193,-0.7957546,1.130746,0.5286696,-0.7781954,1.156666,0.5318847,-0.8318136,1.154172,0.5289475,-0.8021853,1.149601,0.5228162,-0.7845035,1.171279,0.5198009,-0.8386214,1.172718,0.5174605,-0.8160637,1.170112,0.513054,-0.8017137,1.136599,0.5180341,-0.8733885,0.04726059,
1528974535671,1.100926,0.4789849,-0.9103542,1.093108,0.4850192,-0.8777394,1.089196,0.4881623,-0.8542677,1.120524,0.5161239,-0.8621026,1.117503,0.5131577,-0.8346503,1.114077,0.5071797,-0.8189637,1.13754,0.509867,-0.8608192,1.134428,0.5064861,-0.8294653,1.129704,0.5001676,-0.8115095,1.153297,0.4999037,-0.8664377,1.151808,0.4968871,-0.8367428,1.147484,0.4910154,-0.8189136,1.166676,0.4865598,-0.8738546,1.168864,0.4835714,-0.8514664,1.166296,0.4789962,-0.8371669,1.130291,0.4881442,-0.9071978,0.04719224,
1528974535698,1.091828,0.4634255,-0.9312074,1.086199,0.4696879,-0.8981996,1.08401,0.4725651,-0.8744793,1.116856,0.4979845,-0.8834698,1.114166,0.4955231,-0.8559375,1.110482,0.4899094,-0.8401909,1.13361,0.4899757,-0.8829117,1.131681,0.4872179,-0.8513947,1.127184,0.4815674,-0.8331724,1.148024,0.4780434,-0.8892698,1.147732,0.4748541,-0.8595546,1.14367,0.4692561,-0.8415847,1.159609,0.4632213,-0.8974013,1.162597,0.4593887,-0.875258,1.160098,0.4546954,-0.8609905,1.122169,0.4693435,-0.929197,0.04666099,
1528974535722,1.082325,0.4504622,-0.9463231,1.078703,0.4562708,-0.9129806,1.078258,0.4581538,-0.8890842,1.111337,0.4821061,-0.8989556,1.108622,0.4798924,-0.871404,1.104563,0.474596,-0.8556442,1.127641,0.4724133,-0.8989407,1.126415,0.4697105,-0.8673714,1.122009,0.4644832,-0.8490029,1.140687,0.458996,-0.9058467,1.141089,0.4553868,-0.8761603,1.137193,0.4500101,-0.8580865,1.150455,0.4430827,-0.9144915,1.153612,0.438335,-0.8925509,1.151054,0.4335532,-0.8783141,1.113141,0.4534448,-0.9451841,0.04561315,
1528974535763,1.057785,0.4235829,-0.9804786,1.057587,0.4273867,-0.9466789,1.059636,0.4271563,-0.9228204,1.091876,0.4506947,-0.9341514,1.089356,0.448139,-0.9066307,1.084958,0.4427489,-0.891006,1.107645,0.4390261,-0.935469,1.107918,0.4354774,-0.9039571,1.104001,0.4301801,-0.8855035,1.118859,0.4242417,-0.9436688,1.121011,0.4193559,-0.9142121,1.117974,0.4137844,-0.8960342,1.125997,0.4073679,-0.9534867,1.129886,0.4008379,-0.9321164,1.127803,0.3955508,-0.9179655,1.088413,0.4235026,-0.9813071,0.04354867,
1528974535788,1.044484,0.414464,-0.993945,1.045651,0.4170772,-0.960053,1.048565,0.4159874,-0.9363077,1.080028,0.4398359,-0.9480133,1.077757,0.4367549,-0.9205201,1.073481,0.4311481,-0.9049335,1.095635,0.4277655,-0.9500784,1.096494,0.4234102,-0.918671,1.092922,0.4177719,-0.9002417,1.106341,0.4129123,-0.9589929,1.109171,0.4071977,-0.9297262,1.106619,0.401275,-0.9115788,1.112693,0.3960912,-0.9694288,1.116828,0.3888069,-0.9483351,1.115042,0.3831692,-0.9342694,1.074918,0.4138409,-0.9957185,0.0428372,
1528974535829,1.019318,0.4020505,-1.014627,1.020829,0.4037891,-0.9806659,1.02366,0.4025798,-0.9568905,1.054496,0.4261849,-0.9681534,1.051811,0.4222246,-0.9408244,1.047335,0.4159867,-0.9255387,1.070243,0.4142795,-0.9707373,1.070704,0.4088241,-0.9395208,1.066782,0.4023682,-0.9214401,1.081157,0.3997665,-0.9802803,1.083881,0.3929877,-0.951243,1.081182,0.3863184,-0.9333837,1.087414,0.3833185,-0.9913193,1.091226,0.3752269,-0.9704587,1.089192,0.3690502,-0.9566604,1.049697,0.4017094,-1.016753,0.04151144,
1528974535856,1.007266,0.4005891,-1.023321,1.006735,0.4024825,-0.9893585,1.008164,0.4011293,-0.9654686,1.040692,0.4220532,-0.9740233,1.036693,0.4176311,-0.9470127,1.03099,0.4108173,-0.9324336,1.055863,0.4099984,-0.9759176,1.05407,0.4043134,-0.9448969,1.048219,0.3974339,-0.9275442,1.066846,0.3953092,-0.9850986,1.067395,0.3883263,-0.9560593,1.062856,0.3814007,-0.9387051,1.073265,0.3790377,-0.9960152,1.075474,0.3711435,-0.9748921,1.072046,0.3650745,-0.9613451,1.037645,0.3986416,-1.023442,0.04130624,
1528974535882,0.9924291,0.3962038,-1.037974,0.9892535,0.3982698,-1.00416,0.988728,0.3969468,-0.9802259,1.024209,0.4147203,-0.9856819,1.019207,0.4101235,-0.9589388,1.01249,0.4030148,-0.9449879,1.038857,0.4025059,-0.9869951,1.035365,0.3968915,-0.9561926,1.028009,0.3898591,-0.9395275,1.049912,0.3875778,-0.9959254,1.048834,0.3804913,-0.9669981,1.042791,0.3733942,-0.9502134,1.056473,0.3713568,-1.006893,1.057608,0.3634914,-0.9857132,1.053187,0.3574342,-0.9724665,1.023015,0.3925209,-1.036115,0.04293216,
1528974535909,0.9842715,0.3941925,-1.047197,0.9787577,0.3969985,-1.013748,0.9766154,0.3961893,-0.9898831,1.013353,0.4129923,-0.9930307,1.007342,0.4086843,-0.9664854,1.000027,0.4015392,-0.9528793,1.027979,0.4010786,-0.9935009,1.022881,0.3959376,-0.9628924,1.014521,0.3889154,-0.9467282,1.039699,0.3862635,-1.001734,1.037089,0.3796809,-0.9728369,1.029966,0.3726444,-0.9564788,1.047083,0.3701189,-1.012225,1.047211,0.3628282,-0.990839,1.042014,0.3569577,-0.9778054,1.014912,0.3903892,-1.043435,0.04411339,
1528974535936,0.9754404,0.3937219,-1.056229,0.9684355,0.3963411,-1.023068,0.9655399,0.3951637,-0.9993123,1.00073,0.4144878,-1.000557,0.9943266,0.4104277,-0.9740828,0.9869242,0.4032267,-0.9605552,1.015502,0.40317,-1.000065,1.00929,0.3982912,-0.9696479,1.000444,0.39112,-0.9538143,1.028063,0.3888685,-1.007393,1.024071,0.3827414,-0.9785959,1.016165,0.3756158,-0.9626493,1.036674,0.3730593,-1.017158,1.03578,0.3664507,-0.99561,1.029846,0.3606668,-0.9828625,1.005769,0.391187,-1.050656,0.04499342,
1528974535963,0.972164,0.3939142,-1.060676,0.9655273,0.395759,-1.027396,0.963066,0.3941641,-1.00361,0.9953624,0.4174917,-1.00527,0.9893962,0.4133968,-0.9786914,0.9825141,0.4060472,-0.9649543,1.010473,0.4069461,-1.004434,1.004302,0.4019571,-0.9740249,0.9957715,0.3944795,-0.9581442,1.023667,0.3933826,-1.011341,1.019394,0.3874104,-0.9825667,1.011535,0.3800481,-0.9666989,1.033202,0.3780601,-1.020647,1.03199,0.3718785,-0.9990144,1.025883,0.3660119,-0.9863907,1.001815,0.3937749,-1.054852,0.0448741,
1528974535989,0.9716307,0.3940616,-1.064431,0.9657208,0.3955043,-1.031013,0.9639032,0.3935469,-1.007195,0.9936008,0.4186606,-1.009253,0.9878553,0.414328,-0.9826491,0.9812084,0.4069251,-0.9688038,1.008573,0.408334,-1.008204,1.00217,0.4030576,-0.9778742,0.9936827,0.3954557,-0.9620064,1.021814,0.3951403,-1.014827,1.016955,0.3891954,-0.98613,1.008915,0.3818088,-0.9703487,1.031618,0.3801259,-1.02379,1.029791,0.3743037,-1.002093,1.023433,0.3685578,-0.9895295,1.000625,0.3948704,-1.058517,0.04418484,
1528974536029,0.9734783,0.3952782,-1.068751,0.9691378,0.3962615,-1.035148,0.9688063,0.3932481,-1.011391,0.9957337,0.4186004,-1.013657,0.9904593,0.4133516,-0.9871348,0.9838775,0.4056221,-0.9734178,1.009995,0.4080403,-1.012673,1.003379,0.4020513,-0.9825331,0.9946464,0.3942446,-0.9668846,1.022674,0.3949101,-1.019298,1.017262,0.3887849,-0.9907392,1.008878,0.381477,-0.9750791,1.032073,0.3801545,-1.028172,1.029662,0.3747841,-1.006418,1.022983,0.3693862,-0.9938532,1.001752,0.3954089,-1.062967,0.04268735,
1528974536056,0.9743943,0.3969886,-1.070169,0.9709802,0.3978034,-1.036502,0.9714038,0.3943104,-1.012816,0.9969403,0.4192247,-1.01511,0.9917767,0.4134093,-0.988701,0.985112,0.4054406,-0.9751585,1.01081,0.4085197,-1.014225,1.003952,0.4020948,-0.9842624,0.994928,0.3941045,-0.9688706,1.023191,0.3953446,-1.020928,1.01749,0.38902,-0.992485,1.008863,0.381691,-0.9769579,1.032333,0.3807005,-1.029842,1.02967,0.375459,-1.008103,1.022753,0.3701852,-0.9956137,1.002302,0.3964896,-1.064516,0.04159166,
1528974536082,0.9757508,0.3979686,-1.074872,0.9735225,0.3988785,-1.041154,0.9748847,0.3952665,-1.017514,0.9985117,0.4199291,-1.020199,0.9937586,0.4135891,-0.9938487,0.9872924,0.4053112,-0.980392,1.012262,0.409415,-1.019478,1.005503,0.4025476,-0.9896288,0.9964766,0.3942366,-0.9744031,1.024634,0.3964456,-1.026293,1.019029,0.3899195,-0.9978929,1.010471,0.3824409,-0.9823869,1.033812,0.3820731,-1.035246,1.031215,0.3769741,-1.013485,1.024299,0.3717068,-1.00099,1.003366,0.3974631,-1.069587,0.04040876,
1528974536108,0.9777048,0.397223,-1.076936,0.9764582,0.397817,-1.043185,0.9786267,0.3938819,-1.019656,1.001143,0.4190981,-1.022773,0.9968003,0.4122452,-0.9964862,0.9905748,0.4036711,-0.9830978,1.014969,0.4087746,-1.022347,1.008631,0.4014547,-0.9925268,0.9998303,0.3928505,-0.9773291,1.027369,0.396006,-1.02942,1.02225,0.3891729,-1.001003,1.01399,0.3814887,-0.985432,1.036525,0.3818474,-1.038559,1.034336,0.3766624,-1.016773,1.027686,0.371303,-1.004171,1.005293,0.3970528,-1.072246,0.03968774,
1528974536136,0.980756,0.3984081,-1.075843,0.9805933,0.3987727,-1.042079,0.9835603,0.3946594,-1.018666,1.005647,0.4199225,-1.022356,1.001913,0.4125761,-0.9961333,0.9959573,0.4036662,-0.9828448,1.019527,0.4097526,-1.022404,1.013874,0.4020317,-0.9925818,1.005342,0.3931171,-0.9774172,1.031855,0.3971307,-1.029914,1.027539,0.3900119,-1.001454,1.019656,0.3821013,-0.9858057,1.040807,0.3831271,-1.039396,1.039272,0.3778272,-1.01759,1.032961,0.3723578,-1.004866,1.008436,0.3983514,-1.072,0.0389614,
1528974536163,0.9842845,0.39883,-1.072466,0.9850132,0.399065,-1.038646,0.9883648,0.3953347,-1.015209,1.010809,0.4212385,-1.020188,1.007841,0.4138733,-0.993839,1.002437,0.4050551,-0.9802374,1.024796,0.4111221,-1.020674,1.020138,0.4033278,-0.9906486,1.012329,0.3944853,-0.9750347,1.037071,0.3985966,-1.028514,1.033855,0.3914555,-0.99988,1.026759,0.3836012,-0.9838167,1.045808,0.3846078,-1.038203,1.04513,0.3792615,-1.016339,1.039493,0.3738019,-1.003284,1.012184,0.3994364,-1.069681,0.03892988,
1528974536189,0.988959,0.3981013,-1.068537,0.9900419,0.3988258,-1.034672,0.9934001,0.3958565,-1.011123,1.017362,0.4214811,-1.01753,1.015069,0.4144736,-0.9910103,1.010055,0.4058393,-0.9771458,1.031395,0.4113611,-1.018361,1.027618,0.4039471,-0.9881035,1.02033,0.3953216,-0.9721199,1.043552,0.3987503,-1.026443,1.041351,0.3919638,-0.9976193,1.034857,0.3843168,-0.9812073,1.052072,0.3845701,-1.036257,1.052284,0.3793751,-1.014343,1.047195,0.3740255,-1.00102,1.017303,0.3990171,-1.066753,0.03913375,
1528974536229,1.001964,0.3993924,-1.055932,1.003647,0.4009714,-1.022004,1.006745,0.3996658,-0.9982502,1.03508,0.4247307,-1.008124,1.034344,0.418568,-0.9813462,1.030079,0.4101864,-0.9670947,1.049204,0.4146186,-1.009893,1.047573,0.4082249,-0.9792466,1.041332,0.3999947,-0.9626378,1.060945,0.4016593,-1.018689,1.061113,0.3956342,-0.989661,1.05575,0.3882734,-0.9727374,1.068644,0.3870004,-1.02887,1.070654,0.3821096,-1.007015,1.066434,0.3769197,-0.9933432,1.031332,0.4008292,-1.056635,0.04032118,
1528974536255,1.010933,0.4011038,-1.046797,1.013055,0.4033089,-1.012891,1.016183,0.4028695,-0.989107,1.04671,0.4267232,-1.000621,1.047201,0.4206243,-0.9739134,1.043344,0.4118923,-0.9597986,1.060829,0.4168449,-1.003085,1.060555,0.4106623,-0.972466,1.054681,0.4021315,-0.9559228,1.072374,0.4038646,-1.0125,1.074001,0.3979279,-0.9836048,1.069073,0.3902901,-0.9667073,1.079705,0.3891834,-1.023093,1.082901,0.3843658,-1.00144,1.079046,0.3790462,-0.9877354,1.040778,0.4026322,-1.048957,0.04096465,
1528974536282,1.024722,0.4062409,-1.033962,1.027502,0.408703,-1.000087,1.030745,0.4088808,-0.976313,1.064255,0.4307244,-0.9896028,1.066234,0.424338,-0.9631544,1.062777,0.4150557,-0.94934,1.078132,0.4209653,-0.993143,1.079512,0.4146311,-0.9627368,1.074026,0.4056035,-0.9463801,1.089145,0.4079589,-1.003587,1.092494,0.4017026,-0.9750695,1.087955,0.3935286,-0.9583602,1.095732,0.3933107,-1.014965,1.100351,0.3882387,-0.9937477,1.09685,0.3825994,-0.9801058,1.055003,0.40733,-1.037945,0.04232847,
1528974536308,1.033192,0.4109446,-1.023509,1.036552,0.413358,-0.9896643,1.03991,0.4138756,-0.9659085,1.075974,0.4338611,-0.9807175,1.07947,0.4267679,-0.9547293,1.076464,0.4167866,-0.9413497,1.08958,0.4244333,-0.9853076,1.092566,0.4175512,-0.9552901,1.087498,0.4078352,-0.9392533,1.100088,0.4116437,-0.9968125,1.105041,0.4047561,-0.9688399,1.100882,0.3958694,-0.9524496,1.106001,0.3972166,-1.009035,1.111835,0.3916377,-0.9883868,1.10853,0.3854861,-0.9749596,1.063865,0.4117497,-1.029204,0.04413426,
1528974536336,1.046353,0.4164889,-1.007204,1.050266,0.4189843,-0.9734166,1.053862,0.4197369,-0.9497023,1.092098,0.4375123,-0.965782,1.097182,0.4298169,-0.9403484,1.094627,0.4192745,-0.9273605,1.105263,0.4283204,-0.9712226,1.109726,0.4209002,-0.9416677,1.105013,0.4105945,-0.9259491,1.115158,0.4157736,-0.9836223,1.121449,0.4083127,-0.9562264,1.117553,0.3988165,-0.9401706,1.120328,0.401555,-0.9965537,1.12701,0.3954737,-0.9764626,1.123658,0.38885,-0.9633217,1.077156,0.416803,-1.014225,0.04648836,
1528974536362,1.053394,0.4195179,-0.99423,1.057868,0.4216677,-0.9604854,1.061806,0.4222568,-0.9368224,1.101524,0.439262,-0.9540164,1.108433,0.4312144,-0.9291606,1.106764,0.4203625,-0.9163067,1.114316,0.4303447,-0.9601927,1.120442,0.4224154,-0.9311283,1.116529,0.4116548,-0.9155151,1.123746,0.4182644,-0.9734048,1.131574,0.410353,-0.946596,1.128465,0.4003881,-0.9306748,1.128264,0.4042997,-0.9869576,1.135792,0.3976987,-0.9674112,1.132745,0.3905975,-0.9544711,1.084323,0.4197563,-1.002442,0.04945394,
1528974536389,1.060671,0.4204415,-0.9801008,1.065547,0.4219109,-0.9463734,1.069762,0.4220233,-0.9227551,1.111068,0.4386662,-0.9408267,1.120438,0.4306827,-0.9165499,1.120795,0.4203134,-0.9031072,1.123368,0.4297888,-0.947507,1.131655,0.421501,-0.9188825,1.129575,0.410879,-0.902752,1.132194,0.4183264,-0.9613023,1.141898,0.4103183,-0.9349446,1.140651,0.4004698,-0.9186347,1.135867,0.4044412,-0.9752917,1.144068,0.3972291,-0.9561524,1.141778,0.3897655,-0.9432368,1.091644,0.4205396,-0.9891181,0.05471127,
1528974536429,1.072958,0.4207134,-0.9537547,1.077493,0.4226798,-0.9199976,1.080807,0.423914,-0.8962518,1.127589,0.436551,-0.9168123,1.1418,0.4296079,-0.8942124,1.146602,0.4209338,-0.880281,1.139214,0.4275665,-0.9241339,1.152365,0.4197045,-0.8967702,1.15482,0.4102433,-0.8798555,1.146397,0.4167759,-0.9383072,1.159332,0.4092322,-0.9128369,1.161388,0.4000921,-0.8961536,1.147425,0.4019045,-0.952289,1.155177,0.3929115,-0.9333991,1.153154,0.3848396,-0.9208559,1.104077,0.4200324,-0.9640433,0.06777146,
