time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528974489254,0.9266402,0.4724022,-0.9377888,0.9095889,0.4918933,-0.9157055,0.8985364,0.50346,-0.8978731,0.9419595,0.5182009,-0.8923749,0.9284531,0.5291693,-0.8716743,0.9154536,0.5288024,-0.8609207,0.9534647,0.5083199,-0.8817159,0.9394106,0.5216461,-0.8576858,0.9242167,0.5232685,-0.8458593,0.963714,0.4904884,-0.876146,0.9519053,0.5006255,-0.8513901,0.9375776,0.5021817,-0.8389932,0.9700291,0.470797,-0.8738128,0.9622943,0.4761801,-0.8536996,0.9508175,0.4775437,-0.843996,0.9535484,0.471341,-0.92069,0.04789479,
1528974489282,0.932846,0.4714233,-0.9467574,0.9171454,0.4918121,-0.9245082,0.9071348,0.5038031,-0.9063573,0.950539,0.5173578,-0.9026074,0.9375901,0.5289139,-0.8819187,0.9247073,0.5288275,-0.8710453,0.9619904,0.507232,-0.8920262,0.9485852,0.5211102,-0.8679909,0.9335316,0.5230597,-0.8560541,0.971868,0.4892213,-0.8864272,0.9606607,0.4999447,-0.8616842,0.946452,0.5018889,-0.849229,0.977608,0.4693968,-0.8839244,0.9702113,0.4752514,-0.8638372,0.9588009,0.4770063,-0.8541313,0.9601501,0.4697499,-0.9303561,0.04671141,
1528974489309,0.941083,0.4698505,-0.9577638,0.9268209,0.4910937,-0.9353678,0.9179399,0.5034607,-0.9169055,0.9610387,0.5157443,-0.9148798,0.9486383,0.5276051,-0.8941225,0.9358661,0.5274999,-0.8831578,0.9724262,0.5054102,-0.9044691,0.9594836,0.5195099,-0.8804263,0.9444479,0.5214202,-0.8684896,0.9819971,0.4873345,-0.8989512,0.9711435,0.4984388,-0.874317,0.9568714,0.5004761,-0.8619871,0.9873338,0.4675418,-0.8963439,0.9801493,0.4739307,-0.8763948,0.9686681,0.4759771,-0.8668607,0.9686757,0.4675593,-0.9420922,0.0451457,
1528974489324,0.9426563,0.4704053,-0.9619605,0.9292142,0.4920412,-0.9394429,0.9208954,0.5045687,-0.9208351,0.9640798,0.5155061,-0.919064,0.9519933,0.5274687,-0.8982304,0.9392004,0.5273798,-0.8873264,0.9751901,0.5047498,-0.908743,0.9624668,0.5187768,-0.8846129,0.9473392,0.5206224,-0.872825,0.9843141,0.4864602,-0.9034047,0.9735506,0.4975325,-0.8787831,0.9591177,0.499562,-0.866681,0.9891969,0.4665947,-0.9009274,0.9820371,0.4730539,-0.8810359,0.9704111,0.4752246,-0.871742,0.9703674,0.4672911,-0.9465326,0.04447762,
1528974489348,0.9476987,0.4683136,-0.9699837,0.9354471,0.4903789,-0.9472042,0.9279807,0.5031837,-0.9284296,0.9713228,0.5126494,-0.9275855,0.9599177,0.524614,-0.9064288,0.9473274,0.5244846,-0.8953116,0.9823843,0.5015255,-0.9175858,0.9702835,0.515387,-0.8931162,0.9552963,0.5171163,-0.8811573,0.9912294,0.4830995,-0.912618,0.9809629,0.4940918,-0.8878231,0.9665936,0.4960657,-0.8756627,0.9958069,0.4632203,-0.9103543,0.9890252,0.4697572,-0.8904109,0.9774175,0.4720201,-0.8811458,0.9758278,0.4644247,-0.9553248,0.04387285,
1528974489375,0.9520916,0.4657805,-0.9801617,0.9407642,0.4874363,-0.9565217,0.9340233,0.499889,-0.9372473,0.9774724,0.5089715,-0.9375603,0.966924,0.5204627,-0.9157306,0.9547141,0.5200707,-0.9042124,0.9887382,0.4975004,-0.9281906,0.9774998,0.5106992,-0.9029883,0.9628648,0.5120685,-0.8905699,0.9976685,0.4789898,-0.9240028,0.9882867,0.489421,-0.8986524,0.9742739,0.4910968,-0.8860562,1.002256,0.4590781,-0.9223685,0.9962519,0.4652328,-0.9020753,0.9849528,0.4673329,-0.8924125,0.980671,0.4613928,-0.9665657,0.04389441,
1528974489411,0.9566929,0.4640016,-0.991733,0.9455815,0.4858763,-0.9681906,0.9390655,0.4985357,-0.9489735,0.9825952,0.5075536,-0.9496912,0.9725066,0.5191129,-0.9276844,0.9605949,0.5186941,-0.9158587,0.9941119,0.4961874,-0.9405198,0.9832612,0.5093468,-0.9151317,0.9688793,0.5105785,-0.9024068,1.003331,0.4778695,-0.9365128,0.9943362,0.4883824,-0.9110613,0.9805592,0.4899592,-0.8981962,1.008177,0.4580823,-0.9349278,1.00247,0.4644195,-0.914612,0.9913007,0.4664472,-0.9047947,0.9856488,0.4598142,-0.978562,0.04434492,
1528974489427,0.9579802,0.464173,-0.9954591,0.94699,0.4860872,-0.9719,0.9405462,0.4987435,-0.9526577,0.984181,0.5074492,-0.9532536,0.974256,0.519125,-0.9312071,0.9624024,0.5188961,-0.9193094,0.9956295,0.4959487,-0.9440828,0.9849839,0.5091708,-0.9186074,0.9707001,0.5105758,-0.9057859,1.004709,0.4775631,-0.9401296,0.9958832,0.4881146,-0.9146045,0.9822168,0.4898389,-0.9016345,1.009408,0.4577179,-0.9385936,1.003796,0.4640224,-0.9182241,0.9927064,0.4661193,-0.9083265,0.9869124,0.4597653,-0.9822788,0.04467584,
1528974489455,0.9634882,0.4622807,-1.007147,0.9529918,0.4844198,-0.9835688,0.9468973,0.4972609,-0.9643348,0.9907972,0.5053072,-0.9652542,0.9814399,0.5171245,-0.9430513,0.9698042,0.5170166,-0.930939,1.002271,0.4937004,-0.9562762,0.9922108,0.5070417,-0.9306416,0.9781487,0.5085495,-0.917597,1.011243,0.4752572,-0.9524904,1.002936,0.4859282,-0.9268558,0.9894742,0.4877484,-0.9136953,1.015814,0.4553834,-0.95104,1.010605,0.4617996,-0.9306078,0.9996722,0.4639843,-0.9205663,0.9926034,0.4575671,-0.9943343,0.04505885,
1528974489481,0.9653394,0.4614623,-1.012308,0.9549855,0.4838659,-0.9889167,0.9489866,0.4969139,-0.9697928,0.9929715,0.5045854,-0.9706658,0.9838049,0.5165482,-0.9484733,0.9722296,0.5165423,-0.9362981,1.004408,0.4929963,-0.9616777,0.9944898,0.5064902,-0.9360857,0.9804609,0.5080782,-0.923014,1.013308,0.4745717,-0.9578419,1.005069,0.4854124,-0.9322785,0.991601,0.4873039,-0.9191339,1.017832,0.4547361,-0.9563122,1.012668,0.461358,-0.9359487,1.001717,0.463624,-0.9259526,0.9944813,0.4566756,-0.9995052,0.04524828,
