time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528974406066,1.240133,0.4345876,-0.5268873,1.21724,0.4246517,-0.5040947,1.206441,0.4132816,-0.4863572,1.223964,0.4554701,-0.4642438,1.208069,0.4519484,-0.4416845,1.197131,0.4461938,-0.4298106,1.238909,0.4473859,-0.4547791,1.222978,0.4430808,-0.4276294,1.211105,0.4370088,-0.4132288,1.256938,0.4375256,-0.4534818,1.245178,0.4333811,-0.4261591,1.235254,0.4277573,-0.4106179,1.273098,0.4243433,-0.4572131,1.267819,0.4188799,-0.4357679,1.261724,0.4132564,-0.4228729,1.260054,0.439226,-0.5044287,0.06608627,
1528974406094,1.241204,0.4377474,-0.5300016,1.21753,0.428876,-0.5075036,1.20558,0.4184082,-0.4898864,1.224554,0.459989,-0.4680571,1.208005,0.4570652,-0.445871,1.196638,0.4517883,-0.4341746,1.239021,0.4514807,-0.4582517,1.222268,0.4477102,-0.4315103,1.20989,0.4420848,-0.4173501,1.256689,0.4411779,-0.4564869,1.244148,0.4376944,-0.4293978,1.233772,0.4326714,-0.4139418,1.272538,0.427543,-0.4597106,1.266648,0.4226073,-0.4382793,1.260087,0.4173877,-0.4254592,1.260851,0.4422008,-0.5073192,0.06555915,
1528974406120,1.243629,0.4416619,-0.5357653,1.218842,0.4342667,-0.5138212,1.2054,0.4251983,-0.4964535,1.22597,0.4663733,-0.4751485,1.208781,0.464063,-0.4533544,1.197044,0.4593175,-0.4417881,1.239765,0.4575503,-0.4647253,1.222073,0.4542049,-0.4385191,1.20919,0.4489762,-0.4246518,1.256876,0.4470354,-0.4621378,1.243222,0.4443691,-0.4354655,1.232294,0.440105,-0.420148,1.272366,0.4330257,-0.4643914,1.265514,0.4288482,-0.4430543,1.258387,0.4242408,-0.4303129,1.262745,0.4464645,-0.5126804,0.06497881,
1528974406147,1.245767,0.4451647,-0.5406023,1.220309,0.439321,-0.5189011,1.205829,0.4316652,-0.5016304,1.228127,0.4720959,-0.4810738,1.21065,0.4702985,-0.4594594,1.19872,0.4658698,-0.4479643,1.241403,0.4631244,-0.4703091,1.223092,0.4601704,-0.4444822,1.20986,0.4552232,-0.4308349,1.258031,0.4525745,-0.4671935,1.243521,0.4507284,-0.4408915,1.23214,0.447107,-0.4257306,1.273232,0.4383056,-0.4686898,1.265691,0.4349357,-0.4474183,1.2582,0.4309597,-0.4346784,1.26476,0.450425,-0.5174632,0.06403546,
1528974406173,1.246927,0.44979,-0.5465476,1.221069,0.4453046,-0.5249618,1.205846,0.4388715,-0.5077829,1.229765,0.4781241,-0.4876854,1.212193,0.4766653,-0.4661366,1.200153,0.4723828,-0.4547018,1.242741,0.4689751,-0.4767293,1.224179,0.4662319,-0.4510736,1.210748,0.4613777,-0.4375886,1.25893,0.4583031,-0.4733869,1.24392,0.4569032,-0.4473366,1.232261,0.4536455,-0.4322976,1.273824,0.4438646,-0.4744525,1.265812,0.4410028,-0.4532683,1.258066,0.4374394,-0.4405617,1.266016,0.4551588,-0.5234478,0.06303184,
1528974406213,1.248103,0.4591178,-0.5610833,1.221909,0.4558151,-0.5396637,1.205996,0.4504988,-0.5226649,1.230765,0.4886698,-0.5032058,1.212772,0.4872428,-0.4820302,1.20044,0.4828666,-0.4709531,1.243294,0.4792794,-0.4919443,1.224109,0.476444,-0.4667904,1.210244,0.4714404,-0.4538162,1.258833,0.468439,-0.488301,1.242755,0.4671963,-0.4628903,1.230469,0.4641015,-0.4483137,1.273311,0.4538591,-0.4888147,1.264249,0.4513494,-0.4680031,1.25587,0.4480905,-0.455623,1.266958,0.4644713,-0.537924,0.06125892,
1528974406230,1.248289,0.4618407,-0.5654774,1.221993,0.459051,-0.5441167,1.205911,0.4541709,-0.5271213,1.23088,0.4918251,-0.5079726,1.212748,0.4904799,-0.4869153,1.200359,0.4861161,-0.4758958,1.243481,0.4825711,-0.4965524,1.224223,0.4798033,-0.4714559,1.210311,0.474758,-0.4585554,1.258911,0.4718049,-0.4928353,1.242544,0.4706277,-0.4676147,1.230074,0.4675115,-0.4532008,1.273334,0.4573079,-0.4931664,1.263893,0.4549546,-0.4725082,1.25528,0.4517702,-0.4602706,1.26719,0.4673732,-0.5423313,0.06062486,
1528974406252,1.250278,0.4679258,-0.5785078,1.224022,0.4662855,-0.5569562,1.207596,0.4625729,-0.5399406,1.233752,0.4989451,-0.5215158,1.215679,0.497894,-0.5003879,1.203341,0.4936979,-0.4892446,1.246584,0.4898881,-0.5099854,1.227567,0.4874403,-0.4846767,1.213767,0.4825122,-0.4716187,1.261847,0.4791203,-0.5063184,1.24541,0.4781544,-0.481146,1.232858,0.4750783,-0.4667972,1.276073,0.4646085,-0.5065308,1.266309,0.4624567,-0.486007,1.257466,0.4593614,-0.4739122,1.269608,0.4736506,-0.555657,0.05964016,
1528974406279,1.251056,0.4723149,-0.5890969,1.224614,0.4719468,-0.5677085,1.207882,0.4692672,-0.5507774,1.234619,0.505141,-0.5333078,1.216093,0.5047721,-0.5125573,1.203482,0.5009309,-0.5015905,1.247315,0.4962249,-0.5213879,1.227861,0.4945541,-0.4963599,1.213763,0.4899894,-0.4834968,1.26227,0.4852917,-0.5173698,1.245189,0.4849465,-0.4926285,1.232171,0.4821371,-0.4786493,1.276181,0.4705746,-0.5170673,1.265688,0.4688961,-0.4968653,1.256344,0.4660713,-0.4850882,1.270476,0.4783486,-0.5662808,0.0586626,
1528974406305,1.252355,0.4757259,-0.599387,1.225828,0.476078,-0.5780985,1.208925,0.4739996,-0.5612478,1.236003,0.5094959,-0.5443127,1.217104,0.5094407,-0.5239179,1.204266,0.505697,-0.513184,1.248675,0.5006357,-0.5321484,1.228943,0.4993739,-0.5073324,1.214641,0.4949701,-0.4946458,1.263497,0.4894739,-0.52792,1.246081,0.4892358,-0.5034402,1.232763,0.486347,-0.4897745,1.277211,0.4745657,-0.5273783,1.266326,0.4728443,-0.5074084,1.256634,0.469923,-0.495947,1.271819,0.4819547,-0.5766618,0.05776291,
