time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528974862957,0.9411758,0.4582653,-1.02585,0.9293042,0.4791205,-1.001726,0.9235468,0.4917433,-0.9822974,0.9637415,0.511169,-0.9938972,0.9544854,0.5222236,-0.9714229,0.9454674,0.519524,-0.9575832,0.9802887,0.5044412,-0.9876462,0.9717642,0.5185624,-0.9619247,0.9605294,0.5180364,-0.9463963,0.9951335,0.4893516,-0.9851367,0.9897142,0.5012399,-0.9595045,0.9789158,0.5008433,-0.9440941,1.005501,0.471126,-0.9836879,1.003682,0.4787441,-0.9632999,0.9947052,0.4791087,-0.9513326,0.9732428,0.4624922,-1.02001,0.04316325,
1528974862986,0.9341121,0.4531285,-1.031894,0.9203711,0.4730721,-1.007971,0.9131123,0.4851591,-0.9886971,0.9529812,0.5061082,-0.997922,0.9420269,0.5163864,-0.9758433,0.9322876,0.5131219,-0.962618,0.9693339,0.4996506,-0.9907433,0.9588489,0.5128477,-0.9652215,0.9467641,0.5116761,-0.9503642,0.9844011,0.4849581,-0.987643,0.9770166,0.4960201,-0.9620885,0.9653731,0.4950261,-0.9473028,0.995063,0.4670132,-0.9859012,0.9914445,0.4739443,-0.9654958,0.9816443,0.473691,-0.9541633,0.9656221,0.4582891,-1.024336,0.04277531,
1528974863023,0.9312607,0.4491957,-1.038668,0.9159638,0.4686559,-1.01528,0.9073488,0.4804396,-0.9963886,0.9475134,0.501654,-1.002581,0.9352379,0.5115969,-0.9810437,0.9246786,0.5081643,-0.9685159,0.9634809,0.4950878,-0.9943877,0.9516827,0.5080222,-0.9692241,0.9388429,0.5069779,-0.9549822,0.978375,0.4803674,-0.9905649,0.9698038,0.4912286,-0.9651642,0.957581,0.4904727,-0.9508217,0.98883,0.4623057,-0.9884225,0.984217,0.4688657,-0.9679716,0.9740841,0.4686775,-0.956926,0.9618805,0.4543265,-1.028953,0.04296359,
1528974863041,0.9305705,0.4484654,-1.04081,0.9151483,0.4679691,-1.017529,0.9063014,0.4798279,-0.9987861,0.9466269,0.5006369,-1.004255,0.934173,0.5105168,-0.9828229,0.9233897,0.507024,-0.9705068,0.9623994,0.4939417,-0.9958563,0.9504126,0.5069233,-0.9708084,0.937365,0.5060052,-0.9567357,0.9771078,0.4790933,-0.9918583,0.9683641,0.4900248,-0.9665345,0.9559741,0.4894287,-0.9523262,0.98733,0.4609135,-0.9896101,0.9825662,0.4674977,-0.969175,0.9723519,0.4674403,-0.958209,0.9609547,0.4533176,-1.030636,0.04279432,
1528974863064,0.92817,0.4473303,-1.04686,0.9126017,0.4666699,-1.023536,0.9035565,0.4784072,-1.004804,0.9438663,0.4989963,-1.009488,0.9311787,0.5087392,-0.988122,0.920172,0.5052434,-0.9759955,0.9594408,0.4921243,-1.000904,0.9472015,0.5049897,-0.9758949,0.9339606,0.5041562,-0.9619783,0.9739724,0.477158,-0.9968278,0.964969,0.4879876,-0.9715249,0.9524158,0.4874805,-0.9574418,0.9840201,0.4588883,-0.9945974,0.9790498,0.4653778,-0.9741538,0.9687538,0.4653808,-0.9632598,0.9583068,0.4518874,-1.036174,0.04273378,
1528974863091,0.9226841,0.4493599,-1.052451,0.9062802,0.4683497,-1.029417,0.8966771,0.4797875,-1.010787,0.9368298,0.5009227,-1.014135,0.9236495,0.5103824,-0.9930075,0.9124442,0.5064758,-0.9812367,0.9523829,0.494277,-1.005314,0.9396263,0.5070148,-0.9805324,0.9261251,0.5059189,-0.9669229,0.9670941,0.4794998,-1.001056,0.9576883,0.4902961,-0.9758972,0.9449218,0.4896016,-0.9620605,0.9773803,0.4613291,-0.9987555,0.9722325,0.467843,-0.9783469,0.9618618,0.4677441,-0.9675627,0.9525297,0.4541622,-1.040914,0.04282627,
1528974863118,0.9178426,0.4499323,-1.056818,0.9001462,0.4681666,-1.034141,0.8897799,0.4790727,-1.015619,0.9295538,0.501696,-1.017633,0.9159118,0.5103524,-0.9965883,0.9048566,0.5054424,-0.9851395,0.9453998,0.4958181,-1.008854,0.9320347,0.5079609,-0.9842094,0.9184487,0.5058925,-0.9708846,0.9608393,0.4817102,-1.004622,0.9510351,0.4921512,-0.979544,0.9381924,0.4906573,-0.9659299,0.971972,0.4639816,-1.002396,0.9667196,0.4703828,-0.9820132,0.9563189,0.4697452,-0.9713389,0.9474897,0.4558426,-1.044722,0.04303119,
1528974863144,0.9126806,0.4490228,-1.059678,0.8942016,0.4672982,-1.037664,0.8833818,0.4783195,-1.0195,0.9230325,0.501904,-1.02134,0.9092277,0.5104388,-1.000542,0.8984011,0.5048862,-0.9892659,0.9390327,0.4967162,-1.012528,0.9253035,0.5089073,-0.9882644,0.9117023,0.5062227,-0.9751675,0.9549005,0.4831475,-1.008031,0.9448036,0.4938328,-0.9832583,0.9319147,0.49196,-0.9698161,0.9665579,0.465822,-1.005477,0.9611199,0.4725819,-0.9853102,0.9506147,0.4717028,-0.9748207,0.9422315,0.4559909,-1.047547,0.04295876,
1528974863171,0.905869,0.4458665,-1.064319,0.8861435,0.4641551,-1.043455,0.874716,0.4750971,-1.02566,0.9142129,0.4993586,-1.02588,0.9000894,0.50775,-1.005342,0.8893984,0.5017243,-0.9942777,0.9301988,0.4948417,-1.016843,0.9158453,0.5068541,-0.9929906,0.9021496,0.503445,-0.9802893,0.9464577,0.4818302,-1.011934,0.9357376,0.4923867,-0.9874836,0.9226431,0.4898164,-0.97448,0.9586665,0.4649665,-1.009027,0.9527982,0.4718089,-0.989074,0.9420522,0.4704601,-0.9789856,0.9352491,0.4537084,-1.051301,0.04369704,
1528974863197,0.9025367,0.442196,-1.067755,0.8816056,0.4609429,-1.048575,0.8694612,0.472109,-1.031459,0.9095644,0.4964925,-1.029408,0.895004,0.5057392,-1.009589,0.8840536,0.4999862,-0.9987514,0.9254313,0.492207,-1.019727,0.9107088,0.5050261,-0.996567,0.8967505,0.5018424,-0.9842207,0.9416374,0.4793195,-1.014056,0.9305564,0.4905528,-0.9900907,0.9172136,0.4881863,-0.9774098,0.9539179,0.4625099,-1.010471,0.9478528,0.4697889,-0.9907526,0.9369276,0.4685388,-0.9809246,0.9315914,0.4502752,-1.053303,0.04538564,
1528974863235,0.9014201,0.4378259,-1.072447,0.8789359,0.45645,-1.055092,0.8659777,0.4671247,-1.038384,0.9062721,0.4917415,-1.032092,0.8911924,0.5017596,-1.012932,0.8797876,0.4965238,-1.002414,0.9220417,0.4873993,-1.021507,0.9071187,0.5006723,-0.9986714,0.8928943,0.4977687,-0.9867022,0.9381208,0.4744902,-1.015229,0.9268202,0.4858581,-0.9913868,0.9132736,0.4835629,-0.9790406,0.9505371,0.4576293,-1.011306,0.9445453,0.4647901,-0.9915048,0.9335766,0.4634928,-0.9818231,0.9297842,0.44569,-1.055473,0.04846482,
1528974863265,0.900926,0.437382,-1.071548,0.8780745,0.4559098,-1.054694,0.8653944,0.4662356,-1.037685,0.9047489,0.4921717,-1.031721,0.8898267,0.5029001,-1.012781,0.8785239,0.498041,-1.002044,0.9208453,0.4883373,-1.020948,0.9064179,0.5023925,-0.9982286,0.8924286,0.4999092,-0.9859542,0.9371694,0.4758371,-1.014456,0.9264374,0.4879986,-0.9906968,0.9132103,0.4861279,-0.9779986,0.9500074,0.4592161,-1.010232,0.9447515,0.4669597,-0.9904186,0.934168,0.4659498,-0.9803156,0.9290473,0.4459443,-1.054242,0.04954025,
