time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529323840709,0.9511611,0.5941312,-0.9288931,0.938465,0.5670058,-0.9050148,0.9404383,0.546037,-0.8902454,0.9474815,0.599745,-0.8481766,0.9433322,0.5860207,-0.8228969,0.9387372,0.5692874,-0.8167363,0.9665248,0.5934299,-0.8439023,0.9594135,0.5763019,-0.816485,0.9511135,0.5577704,-0.8104855,0.9869179,0.586609,-0.8502051,0.9800448,0.5680311,-0.8256155,0.9712256,0.5499364,-0.8204795,1.003458,0.5754933,-0.8641112,0.9955629,0.5572632,-0.8546119,0.9856594,0.5472733,-0.8625656,0.9761501,0.6019867,-0.9029374,0.07711725,
1529323840740,0.9266475,0.5953248,-0.9393561,0.9110438,0.5694592,-0.9155474,0.9099551,0.5489842,-0.8998617,0.920347,0.6035845,-0.8587291,0.9143969,0.5906433,-0.8336717,0.9089373,0.574007,-0.827952,0.9392841,0.5967163,-0.8536481,0.9304554,0.5801408,-0.8268038,0.9213245,0.5616868,-0.8217692,0.9597101,0.5889735,-0.8591583,0.951274,0.5707453,-0.8348817,0.9417608,0.5528497,-0.8298772,0.9768834,0.5779486,-0.8714627,0.9685866,0.5604194,-0.8604127,0.9586933,0.5496469,-0.8672063,0.9513149,0.6033572,-0.9124759,0.07614576,
1529323840767,0.904739,0.5947822,-0.9448726,0.8866178,0.5702399,-0.9213477,0.883316,0.5503949,-0.9051496,0.8958232,0.6056904,-0.8645527,0.888308,0.5936686,-0.8396093,0.8821716,0.5772414,-0.8342521,0.9144924,0.5983362,-0.8585912,0.9040713,0.5824605,-0.8321574,0.8942795,0.56419,-0.8277671,0.934929,0.5900673,-0.8630778,0.9249222,0.5725915,-0.8390684,0.9147075,0.5549841,-0.835044,0.9522854,0.5784732,-0.8742806,0.9430487,0.561597,-0.8628974,0.9332077,0.5507956,-0.8696718,0.9289535,0.6030321,-0.9170392,0.07581884,
1529323840793,0.883431,0.594197,-0.9532757,0.8635201,0.5707524,-0.9299772,0.8583732,0.551645,-0.9132838,0.8719448,0.6077943,-0.8735042,0.8632302,0.5964399,-0.8489147,0.8569393,0.5799809,-0.8443731,0.8904725,0.6004578,-0.866706,0.8788782,0.5849833,-0.8409758,0.8689903,0.5665987,-0.8379109,0.9109937,0.5921379,-0.8702371,0.8997563,0.5751243,-0.8468094,0.8893843,0.5575739,-0.8444151,0.9287974,0.5805193,-0.88025,0.9189995,0.5642184,-0.8683968,0.9094574,0.5531223,-0.8750186,0.9071168,0.6033253,-0.9246644,0.07452289,
1529323840819,0.8696575,0.5927516,-0.9588767,0.8484849,0.5698642,-0.9361211,0.8421898,0.55099,-0.9195142,0.8563877,0.6066601,-0.8794631,0.846691,0.5951211,-0.8555444,0.8401363,0.5786124,-0.8521272,0.8744947,0.5990368,-0.8722312,0.8616582,0.5834432,-0.8475519,0.8514973,0.5651318,-0.8461294,0.8951322,0.5905664,-0.8751087,0.8828607,0.5737436,-0.8523475,0.8721968,0.556409,-0.8512148,0.9132636,0.5790002,-0.8842429,0.9031174,0.5632634,-0.8715915,0.8934839,0.5520052,-0.8775704,0.8928661,0.6015856,-0.9296458,0.07285753,
1529323840846,0.8557582,0.5931128,-0.9591326,0.83368,0.5711437,-0.9362756,0.8264053,0.552961,-0.9192649,0.8406816,0.60904,-0.8805255,0.8305331,0.5977074,-0.856907,0.8241876,0.5811284,-0.8541061,0.8583698,0.6016617,-0.8727453,0.8447521,0.5862449,-0.8488085,0.8348998,0.5678915,-0.8487177,0.8791494,0.5933805,-0.874805,0.866138,0.5769894,-0.8524464,0.855621,0.5596908,-0.8522273,0.8976867,0.5817394,-0.8830173,0.8872772,0.5664239,-0.8699503,0.8778293,0.5549495,-0.875671,0.8783281,0.6027893,-0.9296182,0.07102105,
1529323840883,0.8386921,0.5901215,-0.9705012,0.8149508,0.5693835,-0.9481403,0.8060369,0.5517377,-0.9312555,0.8224436,0.6058169,-0.8923723,0.8111867,0.5941446,-0.8694687,0.8043208,0.5776802,-0.8674679,0.8394879,0.5978606,-0.8843397,0.8244014,0.5822971,-0.8615824,0.8142197,0.5643619,-0.8630468,0.8600644,0.5889498,-0.885942,0.8455988,0.5725257,-0.8646526,0.8345302,0.5555671,-0.8654701,0.878538,0.5770746,-0.8935388,0.8671412,0.562184,-0.8805473,0.8573509,0.5509103,-0.8861269,0.8611618,0.5987837,-0.9404852,0.06888263,
1529323840913,0.8310027,0.5917134,-0.975177,0.8068614,0.5707153,-0.9535669,0.7976134,0.5525784,-0.937319,0.8143404,0.6043093,-0.8968621,0.8024853,0.5915358,-0.8749347,0.7952299,0.5751401,-0.874163,0.8309512,0.5957842,-0.8890462,0.8149885,0.5796367,-0.8673769,0.8043587,0.5621384,-0.8700167,0.851413,0.5864792,-0.8907396,0.8362087,0.5697109,-0.870284,0.824609,0.5531447,-0.8718746,0.8697741,0.5746219,-0.8984088,0.8579764,0.5598564,-0.8852744,0.8477015,0.5487824,-0.8903953,0.8532934,0.598415,-0.9448381,0.06710731,
1529323840940,0.8220681,0.5992964,-0.9689691,0.7997988,0.5765665,-0.9472988,0.792756,0.5572459,-0.9313375,0.8048803,0.6093209,-0.8906965,0.7932582,0.5954792,-0.8692931,0.7862703,0.5789254,-0.8691248,0.8216761,0.600924,-0.8831329,0.8060274,0.5838272,-0.8619008,0.7956059,0.5662296,-0.8649237,0.8422774,0.5921043,-0.885094,0.8273948,0.5745735,-0.8650619,0.8160098,0.5578834,-0.8670608,0.8608153,0.5805211,-0.8932819,0.8493557,0.5649948,-0.8804713,0.8391803,0.5538362,-0.8855913,0.8438213,0.6056874,-0.9388508,0.06620038,
1529323840966,0.8183457,0.6033361,-0.9687119,0.7965922,0.5806077,-0.9465554,0.7899731,0.5613663,-0.930305,0.8000334,0.6140463,-0.891099,0.7881118,0.600165,-0.8698148,0.781074,0.5835764,-0.8695159,0.8167657,0.6059363,-0.8832576,0.8007803,0.5891155,-0.8617758,0.7901186,0.5714012,-0.8640268,0.8372923,0.5973066,-0.884901,0.8219775,0.5803251,-0.8644652,0.8104091,0.5636402,-0.8657269,0.8557206,0.585263,-0.893088,0.8437631,0.5697343,-0.8806444,0.8336992,0.5586566,-0.886054,0.8395032,0.6101118,-0.9387755,0.0653284,
