time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529323475757,1.041798,0.5792176,-0.7988846,1.033923,0.5613484,-0.7663301,1.040484,0.5463904,-0.7465496,1.037636,0.6058165,-0.7243735,1.034327,0.5979463,-0.6972499,1.030683,0.5819591,-0.6895663,1.058604,0.6033424,-0.7189306,1.054591,0.5946651,-0.6878646,1.047856,0.5774168,-0.6786581,1.079764,0.5974243,-0.7234347,1.076403,0.5880466,-0.6945273,1.068887,0.5711659,-0.68601,1.100638,0.5867467,-0.7329142,1.102478,0.5778376,-0.7114282,1.095915,0.5645981,-0.7048234,1.065578,0.5941834,-0.7782163,0.06788445,
1529323475784,1.028103,0.5800326,-0.8150883,1.019278,0.5619631,-0.7827751,1.025033,0.5470688,-0.7627316,1.023988,0.6069275,-0.7403346,1.020625,0.5989752,-0.713415,1.017167,0.5827721,-0.7061739,1.04503,0.6047091,-0.7348928,1.040986,0.5958741,-0.7040298,1.034418,0.5783644,-0.6952666,1.06626,0.5991234,-0.7393945,1.062856,0.5896819,-0.7106303,1.055485,0.5726004,-0.702482,1.087283,0.5885613,-0.7488644,1.088989,0.5794397,-0.7275898,1.08233,0.5660162,-0.7215845,1.052179,0.5955514,-0.7941673,0.06734516,
1529323475812,1.012974,0.5830382,-0.8272456,1.002704,0.5644009,-0.7956039,1.00718,0.5488679,-0.7757131,1.009825,0.6087549,-0.7516907,1.005995,0.6004471,-0.7250271,1.002018,0.5841601,-0.7183213,1.03092,0.6058615,-0.7462961,1.026524,0.5966161,-0.715698,1.019418,0.5790739,-0.7075084,1.051989,0.5998405,-0.7509156,1.048246,0.5901631,-0.7222927,1.040374,0.5731857,-0.7144665,1.072865,0.5888743,-0.760617,1.074524,0.5795211,-0.7393874,1.067641,0.5662245,-0.7333803,1.037868,0.597597,-0.8057511,0.06757214,
1529323475837,1.003542,0.581158,-0.8424851,0.991822,0.5619026,-0.8116118,0.994976,0.5459694,-0.7917829,0.9995407,0.6058266,-0.766291,0.9951997,0.5973544,-0.7398587,0.9910561,0.5809654,-0.7336313,1.020816,0.6030663,-0.7606197,1.016198,0.5939716,-0.730113,1.008969,0.5764103,-0.7222322,1.041841,0.5968955,-0.7650224,1.037785,0.5871903,-0.7365119,1.029778,0.5701815,-0.7290097,1.063012,0.5859792,-0.7746422,1.064799,0.576638,-0.7533903,1.058033,0.5633152,-0.7473526,1.028432,0.595412,-0.8201215,0.06798306,
1529323475872,0.988152,0.5807806,-0.8574228,0.9746475,0.5602702,-0.8278837,0.9757081,0.5436523,-0.8083326,0.984448,0.6031397,-0.7798566,0.9802781,0.5947644,-0.7531039,0.976331,0.5785598,-0.7461479,1.006073,0.6007761,-0.7742771,1.002167,0.5920536,-0.7432669,0.9954276,0.5747374,-0.7342764,1.027018,0.594754,-0.7788724,1.0235,0.585012,-0.7499782,1.016004,0.568105,-0.7415451,1.048454,0.5845034,-0.7888777,1.051068,0.5752797,-0.7673614,1.045269,0.5618943,-0.760281,1.013383,0.5947335,-0.8340526,0.07131518,
1529323475904,0.97286,0.5823277,-0.8692282,0.9584612,0.5611941,-0.8404327,0.9578987,0.5438519,-0.8213345,0.971785,0.6025262,-0.7906315,0.9679784,0.5945917,-0.7634282,0.9635457,0.5788831,-0.755522,0.9936593,0.5993243,-0.7856424,0.9906694,0.5912048,-0.7540859,0.9837611,0.5745794,-0.7437695,1.014146,0.5924765,-0.7908821,1.011423,0.5831808,-0.7613779,1.00388,0.5669899,-0.751478,1.034872,0.5817541,-0.8016878,1.03818,0.5727279,-0.7798793,1.032886,0.5597599,-0.7715326,0.9992065,0.5942225,-0.8457426,0.07476864,
1529323475930,0.9612409,0.582921,-0.8780302,0.945848,0.5621096,-0.8494728,0.9441528,0.5448207,-0.8303045,0.9603529,0.6034617,-0.7993345,0.9563204,0.5962603,-0.7717432,0.9515294,0.5811037,-0.762884,0.9821331,0.5998497,-0.7942408,0.978987,0.5925739,-0.7622739,0.9718344,0.5766352,-0.7509329,1.002415,0.5925777,-0.7993476,0.9995179,0.5842744,-0.769258,0.9918613,0.5689344,-0.7579716,1.023012,0.5813745,-0.8100028,1.026349,0.5729825,-0.7877274,1.021381,0.56057,-0.7782396,0.9879076,0.5942832,-0.8542887,0.07691809,
1529323475957,0.9454023,0.5811622,-0.8857406,0.9288427,0.5609812,-0.8573455,0.9261549,0.5440561,-0.8379675,0.9439816,0.6032082,-0.807201,0.9394654,0.5969827,-0.7793522,0.9344134,0.5823072,-0.7697994,0.9656348,0.5995374,-0.8017997,0.9618901,0.5932369,-0.7696472,0.9544346,0.5777596,-0.7578493,0.9859932,0.5920645,-0.8065438,0.9826637,0.5847842,-0.7761443,0.9748372,0.570024,-0.7641326,1.006764,0.5805026,-0.8167747,1.009912,0.5727453,-0.7942287,1.004876,0.5606435,-0.7843727,0.9722109,0.5926892,-0.8616636,0.07860182,
1529323475985,0.9262421,0.5795265,-0.8950371,0.9084948,0.5593719,-0.8673477,0.9050051,0.5423554,-0.8482033,0.9238533,0.6012213,-0.8162133,0.91864,0.5950811,-0.7884192,0.9132433,0.5805359,-0.778822,0.9453133,0.5973378,-0.8104597,0.9406496,0.5909339,-0.7784865,0.9327261,0.5754291,-0.7670363,0.9658412,0.5898129,-0.8148965,0.9618955,0.5826584,-0.78449,0.9537818,0.5680881,-0.7723752,0.9868294,0.5781361,-0.8248445,0.9896274,0.5703567,-0.8022787,0.9843626,0.5582577,-0.7925451,0.9530191,0.5907176,-0.8702387,0.07962023,
1529323476011,0.9178461,0.5776095,-0.9013014,0.8997508,0.5574374,-0.8738511,0.8960943,0.5403889,-0.854799,0.9153322,0.5991021,-0.8223326,0.9100551,0.5931256,-0.7944651,0.9046761,0.5786942,-0.7846726,0.9368033,0.5952827,-0.8165292,0.9320794,0.5889701,-0.7845328,0.9241858,0.5734904,-0.7730342,0.9573349,0.5878649,-0.8209223,0.9533051,0.580872,-0.7904449,0.9452335,0.5664119,-0.7781458,0.9782166,0.5762635,-0.8307718,0.9806198,0.5685426,-0.8081641,0.9751641,0.5564354,-0.798548,0.9447209,0.5887232,-0.8762947,0.08036575,
1529323476038,0.9028605,0.5765747,-0.9095044,0.8836533,0.5564364,-0.8827628,0.8790414,0.5393786,-0.8639188,0.9000267,0.5975221,-0.830139,0.8944218,0.5916314,-0.8022764,0.8889776,0.5772738,-0.7924024,0.9214336,0.5936544,-0.8241847,0.9162731,0.5871122,-0.7923241,0.9082789,0.571488,-0.7811196,0.9421645,0.586414,-0.8284654,0.9378818,0.5792187,-0.798101,0.9297466,0.5645838,-0.7860928,0.9633281,0.5748008,-0.8382832,0.9656578,0.5666202,-0.8159176,0.9600317,0.5541877,-0.8069108,0.9299951,0.5875292,-0.883922,0.08154364,
1529323476072,0.8902731,0.5749128,-0.9161508,0.8701869,0.555383,-0.889616,0.8650155,0.538475,-0.870823,0.887745,0.5959762,-0.8367145,0.881669,0.5902048,-0.8090311,0.8757703,0.5758067,-0.7995833,0.908982,0.5915221,-0.8306745,0.9031701,0.5848573,-0.7991222,0.8945725,0.5691224,-0.7886848,0.9295865,0.5838503,-0.8348817,0.9246715,0.5766105,-0.8047445,0.9159163,0.5619362,-0.7933238,0.9504966,0.5717686,-0.8445696,0.9521464,0.5634813,-0.8222813,0.9458123,0.5510951,-0.8137935,0.9177561,0.585167,-0.8903791,0.08114439,
1529323476091,0.8831429,0.5778565,-0.9214544,0.8629971,0.5572489,-0.8958005,0.857687,0.5395272,-0.8777604,0.8814411,0.5951365,-0.8409992,0.8754042,0.5885887,-0.8133919,0.8695081,0.5740463,-0.8041517,0.9028046,0.5903897,-0.8353832,0.8971924,0.5826627,-0.8039232,0.8887123,0.5666989,-0.7937064,0.9234113,0.5830028,-0.8401579,0.9187118,0.5747216,-0.8101814,0.9101062,0.5597399,-0.7990192,0.9441713,0.5713549,-0.8505802,0.9457958,0.5621459,-0.8286439,0.9394718,0.5494142,-0.820686,0.911131,0.5868881,-0.8953983,0.08215562,
1529323476117,0.8762082,0.5802018,-0.926991,0.8563879,0.5587757,-0.9017061,0.851054,0.5407881,-0.8838885,0.8743857,0.5963815,-0.8462114,0.8684787,0.5897416,-0.8186602,0.863024,0.5749609,-0.8095876,0.8960304,0.5923501,-0.840765,0.8907242,0.5844879,-0.8093525,0.8827788,0.5681819,-0.7993369,0.9168726,0.5856539,-0.8457466,0.912468,0.5770104,-0.8159235,0.9043251,0.5615261,-0.8052154,0.9376929,0.5747247,-0.8563793,0.9391055,0.5652022,-0.8346767,0.9327934,0.5520864,-0.8275086,0.9042468,0.589576,-0.9008611,0.08265401,
1529323476145,0.8744319,0.5818478,-0.9312656,0.8546995,0.5602656,-0.9060279,0.8492821,0.5422202,-0.8882592,0.8727648,0.5977913,-0.8504168,0.866884,0.5911722,-0.822883,0.8614562,0.5763586,-0.8138549,0.8944606,0.5937917,-0.8450512,0.889222,0.5859197,-0.8136574,0.8813187,0.5695673,-0.8037024,0.9153207,0.5871136,-0.8501239,0.9109954,0.5783553,-0.8203547,0.9028938,0.562769,-0.809798,0.9359914,0.576138,-0.8608605,0.9372131,0.5663438,-0.8393074,0.9307599,0.5531254,-0.8325078,0.9025407,0.5912755,-0.9051722,0.08276251,
1529323476170,0.8742876,0.5800934,-0.9343038,0.8543488,0.5585076,-0.909216,0.848631,0.5405581,-0.8914007,0.8716146,0.5965443,-0.8535392,0.8652025,0.5903688,-0.8260666,0.8597096,0.5756037,-0.8170595,0.893398,0.5928696,-0.8479494,0.8877013,0.5854346,-0.8166098,0.8797671,0.5690639,-0.8068277,0.9143583,0.5864447,-0.8528004,0.909543,0.5781156,-0.8230541,0.9013445,0.5625144,-0.8127195,0.9349277,0.575517,-0.8631997,0.9352189,0.5659187,-0.8416309,0.9283527,0.5526958,-0.8355025,0.9021833,0.5898188,-0.9079762,0.08293095,
1529323476197,0.8762105,0.5812098,-0.9366995,0.8559738,0.5596943,-0.9118031,0.8501482,0.5417348,-0.8940575,0.873207,0.5977819,-0.8559017,0.8664989,0.5917782,-0.8285283,0.8608675,0.576992,-0.8197019,0.8951986,0.5940303,-0.8501819,0.8895324,0.5867102,-0.8188742,0.88158,0.5703102,-0.8092336,0.9161552,0.5874062,-0.8549342,0.9113237,0.5788828,-0.8253579,0.9030608,0.5630817,-0.815505,0.9365903,0.5762372,-0.865286,0.9365667,0.5661921,-0.8440798,0.9293779,0.5528404,-0.8388213,0.9040913,0.590839,-0.9101721,0.08298635,
1529323476223,0.8803251,0.5827211,-0.9380758,0.8604817,0.5606648,-0.9133331,0.8549574,0.5425271,-0.895665,0.8768795,0.5988858,-0.8571891,0.8701568,0.5926703,-0.8299268,0.8648717,0.5776495,-0.8213589,0.8990877,0.5957171,-0.851468,0.8935899,0.5881404,-0.8202875,0.886063,0.571398,-0.8109981,0.9201912,0.5896646,-0.8562481,0.9154947,0.5808364,-0.8268496,0.9075857,0.564639,-0.8174714,0.9407677,0.5790762,-0.8666168,0.9406388,0.568879,-0.8456247,0.9335473,0.5553035,-0.8410276,0.9080421,0.5929283,-0.9114696,0.08278452,
1529323476250,0.8881277,0.584464,-0.9402746,0.8685671,0.5620279,-0.9156244,0.8630036,0.5437882,-0.897999,0.8844818,0.6002793,-0.8593203,0.8777901,0.5940793,-0.8319483,0.8726903,0.5791366,-0.823094,0.9069096,0.5974064,-0.8536257,0.9017413,0.5897275,-0.8223308,0.8945868,0.5729336,-0.8127989,0.9280103,0.591784,-0.8584673,0.9235057,0.582895,-0.8290172,0.9158962,0.5666141,-0.8195069,0.9486601,0.5817399,-0.8688545,0.948643,0.5717719,-0.8476973,0.9418378,0.5581245,-0.8427433,0.9157729,0.5950238,-0.9136499,0.08339129,
