time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529323600475,0.8626223,0.6304756,-0.8980584,0.8345527,0.6122773,-0.8789886,0.8242593,0.5952383,-0.8629566,0.8430723,0.6435392,-0.8201557,0.8295283,0.6312739,-0.7974486,0.821641,0.6153125,-0.7927374,0.8602237,0.6367314,-0.8107402,0.8434547,0.6218454,-0.7862389,0.8321975,0.6044607,-0.7827287,0.8809817,0.6284811,-0.8109394,0.8651978,0.6130847,-0.7878989,0.8533108,0.5966316,-0.7833414,0.8989927,0.6154949,-0.8188437,0.885972,0.599538,-0.8102126,0.8772858,0.588818,-0.8189231,0.8853541,0.6377717,-0.8652886,0.07307919,
1529323600508,0.8672593,0.6406116,-0.913637,0.8389589,0.6231723,-0.8941116,0.8281527,0.6066477,-0.8778368,0.8494879,0.6549332,-0.835296,0.8362799,0.6435835,-0.81192,0.8282945,0.6278905,-0.8065553,0.8669284,0.6480516,-0.8260806,0.8507192,0.6339805,-0.8007282,0.8394154,0.6168104,-0.7964718,0.8875211,0.6396261,-0.8266408,0.8721238,0.6249217,-0.8029117,0.8602014,0.6086786,-0.7977384,0.9052153,0.6261592,-0.8349211,0.8922545,0.6103683,-0.8261109,0.8835342,0.599807,-0.8349035,0.8908437,0.6479729,-0.8812631,0.0743796,
1529323600533,0.871549,0.6472579,-0.9221456,0.8427093,0.6308304,-0.9024941,0.8313103,0.6148448,-0.8860893,0.8548833,0.6623279,-0.8435735,0.8417103,0.651625,-0.8198804,0.8335435,0.6361522,-0.8142109,0.8724089,0.6552357,-0.8344365,0.8563395,0.6417403,-0.8086888,0.8448795,0.6247804,-0.804096,0.8928766,0.6465616,-0.8351219,0.8775609,0.6323537,-0.8110896,0.8655074,0.6162868,-0.8057695,0.9104176,0.6327429,-0.8434094,0.8974533,0.6171834,-0.8341256,0.8884495,0.6065789,-0.8425626,0.8957454,0.6543233,-0.889892,0.07500335,
1529323600561,0.8754958,0.6539885,-0.9344887,0.8455733,0.6391383,-0.9150666,0.8326313,0.6242146,-0.8986794,0.8594507,0.6702058,-0.8559085,0.8460901,0.6601608,-0.8319827,0.8376631,0.6449743,-0.8259172,0.876929,0.6629145,-0.8466936,0.8607018,0.6499412,-0.8207824,0.8490343,0.6331784,-0.8159897,0.8973956,0.6540372,-0.8472061,0.8820506,0.6403947,-0.8229107,0.869825,0.6245322,-0.8173735,0.9149638,0.6399156,-0.855086,0.902074,0.6246911,-0.844868,0.8926647,0.6138843,-0.8525202,0.9002178,0.6608538,-0.9021208,0.07583278,
1529323600587,0.8809377,0.6583943,-0.9435208,0.8503557,0.6450409,-0.9239283,0.8358979,0.6314911,-0.907334,0.8652915,0.6767456,-0.8654621,0.8518915,0.6669699,-0.841383,0.8434924,0.6519002,-0.834937,0.882704,0.6697136,-0.8561217,0.8663452,0.6569895,-0.8301597,0.8546965,0.6402417,-0.8251082,0.9033396,0.6610216,-0.8562761,0.8880725,0.6478951,-0.8316526,0.8758922,0.6321347,-0.8257537,0.9211007,0.6469296,-0.8634409,0.9084255,0.6321334,-0.8520447,0.8987703,0.6209301,-0.8586801,0.9059373,0.666092,-0.9113559,0.07560115,
1529323600615,0.885075,0.663011,-0.9546642,0.8540648,0.6510952,-0.9347054,0.8379123,0.6390948,-0.9180653,0.8709261,0.6828185,-0.8767773,0.8576126,0.6732349,-0.8525814,0.8493109,0.6581814,-0.8459704,0.8886908,0.6760178,-0.8675544,0.8726864,0.6635181,-0.8412656,0.8611704,0.6467736,-0.8358378,0.9095339,0.6673557,-0.8678138,0.8948522,0.6544101,-0.8427846,0.8828764,0.6386163,-0.8365325,0.9275093,0.6534215,-0.8746776,0.9154664,0.63893,-0.8618431,0.9055102,0.6274344,-0.867206,0.9109582,0.6712363,-0.9230027,0.07544471,
1529323600640,0.8870747,0.6646825,-0.9620533,0.8558309,0.6536001,-0.9419836,0.8390968,0.6422368,-0.925351,0.874146,0.6843835,-0.8840247,0.8608255,0.6745297,-0.8598644,0.8523809,0.659533,-0.8532602,0.8918729,0.6773577,-0.8750111,0.8758096,0.6646708,-0.8487686,0.8641114,0.6480373,-0.8433272,0.9127061,0.6683047,-0.8754543,0.898122,0.6550269,-0.8505042,0.8860468,0.6392668,-0.8443321,0.9306244,0.654516,-0.8822567,0.9187501,0.6402097,-0.868597,0.9083215,0.6285985,-0.8727763,0.9135917,0.672484,-0.9305444,0.07531745,
1529323600674,0.8909197,0.6666123,-0.9703715,0.8596266,0.6568058,-0.9496768,0.8420323,0.6468524,-0.9327842,0.8792986,0.6884519,-0.8929669,0.8662289,0.6787168,-0.8684858,0.8579307,0.6638794,-0.861217,0.8971212,0.6818412,-0.8840722,0.8812673,0.6693681,-0.8574492,0.8696978,0.6528333,-0.8512459,0.918124,0.6729231,-0.8844835,0.9039249,0.6599228,-0.859046,0.892046,0.6442865,-0.852074,0.9361842,0.6593139,-0.8909237,0.9247413,0.6453625,-0.8761753,0.9141381,0.6334159,-0.8789234,0.9180826,0.6753781,-0.9395235,0.07526312,
1529323600693,0.8936833,0.669358,-0.976167,0.8624308,0.6596507,-0.9553812,0.8447824,0.6495978,-0.9385892,0.8836149,0.6886702,-0.8979575,0.8706231,0.6781795,-0.8737182,0.8621013,0.6632462,-0.8669527,0.9013871,0.681293,-0.8895485,0.885583,0.6679797,-0.863292,0.8737512,0.6514325,-0.8576937,0.9222891,0.6718247,-0.8905243,0.9082817,0.6578721,-0.8654962,0.8962109,0.6421417,-0.8591181,0.9401698,0.6583529,-0.8974484,0.9290427,0.6442295,-0.882352,0.9180419,0.632463,-0.8843642,0.9215186,0.6765668,-0.9454081,0.07495347,
1529323600720,0.8983076,0.6762466,-0.9767888,0.8672902,0.6669217,-0.955534,0.8501554,0.6568276,-0.9382979,0.8895569,0.6957835,-0.8985083,0.8767376,0.6853147,-0.8741673,0.8681325,0.6704401,-0.8674216,0.9072346,0.6881609,-0.8903444,0.891471,0.6748978,-0.8640576,0.8794887,0.6584526,-0.858547,0.9280787,0.6784157,-0.8915111,0.914207,0.6645324,-0.8663917,0.9020071,0.6489165,-0.8600152,0.9458433,0.6649537,-0.8984232,0.9349819,0.6512321,-0.8825822,0.9237729,0.6395069,-0.8836164,0.9266891,0.6830918,-0.946348,0.07437692,
