time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529323561213,1.06812,0.6117289,-0.8520699,1.038023,0.6007013,-0.8309289,1.028382,0.5873973,-0.8125219,1.061586,0.6350478,-0.7721102,1.052374,0.6279374,-0.7463105,1.045712,0.6124045,-0.7393868,1.080275,0.6297364,-0.7636734,1.068543,0.6206279,-0.7349587,1.058258,0.6037498,-0.7280477,1.100891,0.6205832,-0.7650961,1.090096,0.6102332,-0.7372977,1.079484,0.5946994,-0.7288887,1.119996,0.606897,-0.7718744,1.112421,0.594283,-0.7539423,1.102424,0.5816828,-0.7539574,1.097127,0.6206053,-0.8209985,0.07921138,
1529323561240,1.04774,0.6193859,-0.8631557,1.014625,0.6124336,-0.844582,1.001073,0.6015351,-0.8270057,1.041267,0.642967,-0.7827967,1.031402,0.6360047,-0.756793,1.024059,0.6210649,-0.7490261,1.059599,0.6369392,-0.7738836,1.047228,0.6278629,-0.7449133,1.036366,0.6116377,-0.7371285,1.079968,0.6279355,-0.7746556,1.068554,0.6186783,-0.7464645,1.057359,0.604117,-0.7367938,1.09854,0.6132648,-0.7808267,1.090323,0.6011276,-0.7623632,1.079924,0.588788,-0.7610111,1.077189,0.626842,-0.8306043,0.08360989,
1529323561274,1.024098,0.6263747,-0.8736602,0.9886947,0.624069,-0.8579962,0.9700795,0.6170259,-0.8422866,1.018412,0.6499084,-0.7926978,1.00792,0.6434438,-0.7662802,0.9998641,0.6295027,-0.7572451,1.03662,0.6431596,-0.7835338,1.023917,0.634497,-0.7539662,1.012566,0.6192878,-0.74475,1.056732,0.6339457,-0.7839656,1.045063,0.625559,-0.7553414,1.033486,0.6120321,-0.74446,1.075101,0.6186041,-0.7896792,1.067194,0.6071988,-0.7700263,1.056707,0.5953302,-0.7663549,1.054144,0.6321812,-0.8398976,0.09096621,
1529323561307,1.005556,0.6303456,-0.8821822,0.969107,0.6316836,-0.868731,0.9461448,0.6294694,-0.8561487,1.000452,0.6543665,-0.8010316,0.9896688,0.6483688,-0.7743804,0.9812853,0.6350016,-0.7648144,1.018436,0.6472718,-0.7917293,1.005387,0.6390075,-0.761961,0.9937373,0.6243469,-0.7522428,1.0385,0.6377842,-0.7918777,1.0267,0.6298981,-0.7630687,1.01491,0.6168557,-0.7518371,1.05711,0.6223348,-0.7970621,1.049875,0.6117488,-0.7765515,1.039474,0.600274,-0.7715111,1.035943,0.635231,-0.8477371,0.09801746,
1529323561333,0.9898542,0.6322836,-0.8879544,0.9530944,0.635389,-0.8756575,0.9288056,0.6356331,-0.8651,0.9843905,0.6559398,-0.8066292,0.9732612,0.6501267,-0.7800515,0.964605,0.6368788,-0.770677,1.002083,0.648483,-0.7971727,0.9885178,0.6403053,-0.7675992,0.9765465,0.6257551,-0.75825,1.022145,0.6386222,-0.7970768,1.010044,0.6306824,-0.7684267,0.9979768,0.6176414,-0.7576009,1.040965,0.6231978,-0.8019472,1.034098,0.6130074,-0.7810473,1.023755,0.6017669,-0.7753347,1.020035,0.6362575,-0.8529696,0.1009894,
1529323561360,0.9683661,0.6346467,-0.8962876,0.9312624,0.6400737,-0.8859801,0.9060484,0.6432043,-0.8782446,0.9616832,0.6578096,-0.8149582,0.9497695,0.6521465,-0.7885845,0.9405006,0.6392506,-0.7793075,0.9787798,0.6497619,-0.8051552,0.9641506,0.6417978,-0.7759238,0.9515017,0.6276921,-0.7667661,0.9985781,0.6393249,-0.8045885,0.9855486,0.6316281,-0.7761993,0.9728683,0.6190476,-0.7655042,1.017388,0.6236775,-0.8089185,1.010308,0.6140572,-0.7876928,0.9998308,0.6032904,-0.7811491,0.997781,0.6373141,-0.860504,0.1048387,
1529323561386,0.9513389,0.6350552,-0.9014013,0.9143304,0.6410372,-0.8910626,0.8891975,0.6444852,-0.8832364,0.944462,0.6587671,-0.8203889,0.9321566,0.6534642,-0.7941568,0.9225719,0.6406949,-0.7851118,0.9613192,0.6504707,-0.8104626,0.9461814,0.642951,-0.7814242,0.9331642,0.6290475,-0.772572,0.9809197,0.6394819,-0.8097489,0.9673836,0.631909,-0.7816069,0.95433,0.6194171,-0.7713234,0.9996313,0.6236497,-0.8138477,0.9922909,0.614311,-0.7925986,0.9815928,0.6037717,-0.7860017,0.9805404,0.6373929,-0.8656183,0.1037143,
1529323561412,0.9409266,0.6338761,-0.9050651,0.9039108,0.6402143,-0.8949739,0.8787382,0.643992,-0.8874099,0.9334961,0.6578805,-0.824295,0.920864,0.6526229,-0.7982262,0.9111286,0.6398581,-0.7893602,0.9502145,0.6496069,-0.8142159,0.9346822,0.6422702,-0.7853634,0.921482,0.6284352,-0.776702,0.9697447,0.6384001,-0.81331,0.9558323,0.6308675,-0.785345,0.9425957,0.6184199,-0.7752516,0.9885821,0.6225705,-0.8171397,0.9811783,0.6134064,-0.7958298,0.9704371,0.6029716,-0.7891045,0.9698778,0.6361908,-0.8691321,0.103344,
1529323561439,0.9215456,0.6316721,-0.9115641,0.8845532,0.6383554,-0.9016113,0.8594452,0.6421947,-0.8939523,0.9128996,0.6560219,-0.831306,0.8996047,0.6509563,-0.8055713,0.8894662,0.6382743,-0.7971092,0.9292293,0.6474021,-0.8209206,0.9128811,0.6402263,-0.7925614,0.8992364,0.6264903,-0.7845017,0.9485252,0.6357247,-0.8196468,0.9338233,0.6282259,-0.7921072,0.9201292,0.6158854,-0.7825303,0.9670903,0.6196237,-0.8231193,0.9589113,0.6105121,-0.8021046,0.9477482,0.6002412,-0.7958349,0.9497669,0.633637,-0.8754233,0.1014652,
1529323561473,0.9050571,0.626791,-0.9160038,0.8680885,0.6331539,-0.9057696,0.8428534,0.6372846,-0.898505,0.8960834,0.6513553,-0.8361884,0.8826411,0.645901,-0.8105589,0.8725016,0.6331764,-0.8020095,0.9124025,0.6428819,-0.8257689,0.8958847,0.63539,-0.7975444,0.8822302,0.6216093,-0.7893574,0.9317045,0.6312461,-0.8244339,0.9168128,0.6234256,-0.7970334,0.9031302,0.6110499,-0.7873386,0.9502238,0.615172,-0.8278595,0.9417046,0.6057075,-0.8071289,0.9304894,0.5953328,-0.8009366,0.9331771,0.6292509,-0.8801249,0.1010311,
