time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528889362859,0.8170732,1.320642,-0.5572075,0.7971255,1.329972,-0.5286148,0.7936726,1.330151,-0.5055808,0.7827007,1.357864,-0.529088,0.7753496,1.338147,-0.5234846,0.7838086,1.326653,-0.5315751,0.79436,1.356132,-0.5165567,0.7848173,1.3336,-0.5149134,0.7944872,1.321701,-0.5257509,0.8111376,1.352709,-0.5051498,0.7996229,1.332008,-0.5045503,0.8058708,1.319583,-0.5166993,0.8262348,1.347725,-0.4959749,0.8141247,1.334297,-0.4958744,0.8170874,1.325129,-0.5069129,0.8280485,1.340925,-0.540518,0.02802213,
1528889362928,0.8183228,1.321196,-0.5560253,0.7988272,1.331144,-0.527324,0.7956394,1.332021,-0.5042129,0.7836187,1.358887,-0.5287899,0.7765508,1.339285,-0.5224001,0.7852018,1.327622,-0.5300004,0.7955433,1.357646,-0.516295,0.7863009,1.335086,-0.5138415,0.7959964,1.322999,-0.5244424,0.8124876,1.354819,-0.5049645,0.8012172,1.334074,-0.5035405,0.8074703,1.321362,-0.5153877,0.8277447,1.35045,-0.4957026,0.8156932,1.33705,-0.4947836,0.8184966,1.327434,-0.5054846,0.8291285,1.342098,-0.5402145,0.02816546,
1528889362978,0.8189952,1.321134,-0.5564853,0.7994331,1.330992,-0.5278043,0.7961373,1.331789,-0.5046884,0.7840655,1.358899,-0.5293037,0.7768316,1.339371,-0.5228922,0.785557,1.327656,-0.5303032,0.7959987,1.357543,-0.5167111,0.7866565,1.335055,-0.5143299,0.796374,1.32298,-0.5249193,0.8128936,1.354653,-0.5052916,0.8015387,1.333991,-0.503925,0.8078152,1.321303,-0.5157767,0.828132,1.350288,-0.4958619,0.815932,1.337028,-0.4948482,0.8185509,1.327383,-0.5055649,0.8297243,1.341966,-0.5405794,0.02802046,
1528889363006,0.8191522,1.321434,-0.5568703,0.7997462,1.331331,-0.5280836,0.7965153,1.332222,-0.5049458,0.7842036,1.359247,-0.5296011,0.776991,1.33976,-0.5230376,0.7856858,1.328003,-0.530411,0.7962343,1.357923,-0.5170701,0.7869325,1.335444,-0.5145481,0.7966089,1.323351,-0.5251517,0.8131996,1.355122,-0.5057185,0.8018674,1.334473,-0.5041808,0.8080863,1.321749,-0.5160196,0.8285095,1.350816,-0.4963704,0.816322,1.337556,-0.4951979,0.8188806,1.327847,-0.5058698,0.8298847,1.342331,-0.5411049,0.02799211,
1528889363032,0.8204497,1.320286,-0.5576016,0.8010558,1.330244,-0.5288154,0.7977974,1.331237,-0.5056764,0.7854003,1.35823,-0.5303323,0.7781253,1.338831,-0.5235862,0.786803,1.326982,-0.5308293,0.7975074,1.356913,-0.5178118,0.7882001,1.334478,-0.515149,0.7978549,1.322344,-0.5257257,0.8145177,1.354169,-0.5064856,0.8031948,1.333555,-0.5048084,0.8093978,1.320794,-0.5166141,0.8298694,1.349911,-0.4971635,0.8176785,1.336667,-0.4958633,0.8201985,1.326898,-0.5064845,0.831175,1.341247,-0.5419149,0.02777854,
1528889363058,0.8207585,1.320715,-0.557777,0.8012881,1.330543,-0.5290073,0.7979663,1.331378,-0.5058717,0.7856779,1.358692,-0.5303755,0.7782379,1.339341,-0.5237105,0.7869273,1.327468,-0.5308915,0.7977977,1.357174,-0.5178176,0.7884043,1.334777,-0.5153397,0.7980716,1.322696,-0.5259665,0.8147533,1.354299,-0.5064371,0.8033702,1.333749,-0.5049456,0.8096159,1.321088,-0.516832,0.830057,1.349887,-0.4971218,0.8178401,1.336664,-0.4959934,0.8204217,1.326982,-0.5066771,0.831508,1.341537,-0.5419047,0.0276249,
1528889363085,0.8217944,1.320617,-0.5573832,0.8022463,1.330618,-0.5287123,0.7987809,1.33163,-0.5055881,0.7861961,1.358821,-0.5306314,0.7786332,1.339583,-0.523762,0.787356,1.327586,-0.5306841,0.7982773,1.357354,-0.5179837,0.7888925,1.334976,-0.5153668,0.7986569,1.322813,-0.5258106,0.8151534,1.354632,-0.5064327,0.8038071,1.334118,-0.5048316,0.8102016,1.321407,-0.5165749,0.8303982,1.350317,-0.497003,0.81821,1.337081,-0.495842,0.8209383,1.327289,-0.5063862,0.8322423,1.341585,-0.5417035,0.02786933,
1528889363112,0.8229885,1.320818,-0.5572697,0.8031451,1.331164,-0.5289088,0.799336,1.332411,-0.5058413,0.7870277,1.359679,-0.5312696,0.7790184,1.340724,-0.5241339,0.7876921,1.32845,-0.5306107,0.7990413,1.35811,-0.5184333,0.7893783,1.335886,-0.515653,0.7991409,1.3235,-0.5258316,0.8157616,1.355389,-0.5066378,0.8042293,1.335051,-0.5049158,0.8107246,1.322191,-0.5164249,0.8308746,1.351049,-0.4970073,0.8185534,1.337944,-0.4957968,0.8213654,1.327949,-0.5061215,0.8333035,1.341847,-0.5416448,0.02765494,
1528889363139,0.8239005,1.321501,-0.5573364,0.8037167,1.332186,-0.529326,0.7995594,1.333589,-0.50634,0.7878369,1.361103,-0.5318999,0.7792661,1.342453,-0.5245846,0.7877845,1.329869,-0.5306559,0.7997496,1.359346,-0.5188593,0.7896583,1.337329,-0.5159822,0.799319,1.324675,-0.525925,0.8162484,1.356548,-0.5068499,0.8043801,1.336459,-0.5049959,0.8109425,1.323337,-0.5161549,0.8312404,1.352084,-0.4969823,0.8186795,1.339234,-0.4956909,0.8214822,1.328984,-0.5057656,0.8342324,1.342488,-0.5416436,0.02727174,
1528889363174,0.8254689,1.322375,-0.5595703,0.8045789,1.33325,-0.5321734,0.7999402,1.33449,-0.5093343,0.7896838,1.363059,-0.5341281,0.7800636,1.344943,-0.5268156,0.7881669,1.331931,-0.5325152,0.8013371,1.360801,-0.5207853,0.7903059,1.339249,-0.5179608,0.7996757,1.326184,-0.5276196,0.8175216,1.357585,-0.5084572,0.8048689,1.338056,-0.5065826,0.8112904,1.324584,-0.517372,0.832359,1.35264,-0.4982512,0.8192533,1.340371,-0.4969008,0.8217231,1.329868,-0.5068034,0.8361328,1.342985,-0.5432242,0.02612489,
