time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528889571079,1.218739,0.9266095,-0.6085597,1.227689,0.943673,-0.5780497,1.227833,0.9448187,-0.5547519,1.214491,0.9191397,-0.5410883,1.192452,0.920396,-0.537604,1.183872,0.9191005,-0.5515124,1.215099,0.9009261,-0.5378264,1.19059,0.9064715,-0.5311619,1.178608,0.9082649,-0.5453415,1.22623,0.8747777,-0.5379491,1.214601,0.8746054,-0.5138767,1.197057,0.8786628,-0.5070578,1.218138,0.855217,-0.5492501,1.210125,0.8499916,-0.5286223,1.199996,0.8501611,-0.5175949,1.220888,0.8939628,-0.5882303,0.05103445,
1528889571104,1.218586,0.9271754,-0.6128651,1.227909,0.9443495,-0.5825561,1.228239,0.9457253,-0.5592287,1.214503,0.9204235,-0.5449817,1.192537,0.9220128,-0.5409796,1.183521,0.9206243,-0.5546198,1.215261,0.902078,-0.5412695,1.190991,0.9079747,-0.5333935,1.178114,0.9099691,-0.5467743,1.225046,0.876298,-0.5418011,1.212358,0.877287,-0.5191252,1.194464,0.8822906,-0.5163888,1.216796,0.8567436,-0.5529303,1.207731,0.8527222,-0.5325757,1.196575,0.8544617,-0.5231676,1.220316,0.8946854,-0.5922137,0.05148752,
1528889571122,1.216962,0.9278961,-0.6167046,1.226149,0.9453961,-0.5865704,1.226426,0.9469052,-0.5632519,1.213091,0.9217947,-0.5485647,1.191129,0.9233066,-0.5442522,1.181862,0.9217263,-0.5577031,1.214135,0.9033801,-0.544549,1.18993,0.9091679,-0.5360897,1.176614,0.9110849,-0.5490559,1.22318,0.8780454,-0.5451998,1.209607,0.8796327,-0.5233867,1.191811,0.8847166,-0.5227118,1.215356,0.8582934,-0.5561231,1.205451,0.8551136,-0.5361617,1.193645,0.8576818,-0.5278915,1.21897,0.8955689,-0.5957238,0.05148518,
1528889571144,1.214218,0.9303222,-0.6224023,1.224108,0.9474154,-0.5923193,1.224726,0.9486153,-0.5689744,1.211597,0.9239124,-0.5539743,1.189697,0.9257762,-0.5487337,1.179665,0.9244052,-0.5616536,1.21257,0.9053406,-0.5500406,1.18862,0.9114347,-0.5402774,1.17445,0.9137921,-0.5522446,1.220254,0.8802497,-0.5513811,1.206245,0.8822635,-0.5298208,1.188513,0.8876275,-0.5293912,1.212341,0.8606625,-0.5622523,1.201662,0.8584598,-0.5428915,1.189295,0.8623508,-0.5363868,1.216122,0.8978719,-0.6016209,0.05167452,
1528889571178,1.215137,0.931554,-0.6273262,1.224921,0.948531,-0.5971549,1.225365,0.9497651,-0.5737816,1.212059,0.9256761,-0.5586131,1.190174,0.9278718,-0.5529194,1.179686,0.9265759,-0.5654992,1.213168,0.9068607,-0.5543139,1.189483,0.9131826,-0.5433847,1.174679,0.9159139,-0.554432,1.219571,0.8821194,-0.5561382,1.204962,0.884588,-0.5346538,1.187368,0.8900768,-0.5344213,1.211896,0.8626839,-0.5668885,1.200492,0.8615657,-0.5481376,1.187823,0.8663858,-0.5431541,1.216541,0.8992646,-0.6064255,0.05189299,
1528889571197,1.214204,0.9339003,-0.630542,1.224308,0.9506762,-0.6003669,1.224948,0.9518743,-0.5769715,1.211612,0.9279945,-0.5616523,1.189838,0.9303707,-0.555487,1.179022,0.9292206,-0.5678111,1.212847,0.9090634,-0.5572335,1.189533,0.915497,-0.5454065,1.174325,0.9184816,-0.5558174,1.218721,0.8844012,-0.5594708,1.204502,0.8868262,-0.5371449,1.186921,0.8923063,-0.5354284,1.210634,0.8652906,-0.5702347,1.198886,0.8648759,-0.5519117,1.186152,0.8703182,-0.5480169,1.215413,0.9016375,-0.6097137,0.05202233,
1528889571224,1.208766,0.9352919,-0.6387657,1.219201,0.951692,-0.6085351,1.220098,0.9526075,-0.5851082,1.206928,0.9289446,-0.5696639,1.185252,0.9313201,-0.5627725,1.173894,0.9302968,-0.5746289,1.208557,0.9097551,-0.5651916,1.185699,0.9159749,-0.5519655,1.169838,0.9192459,-0.561252,1.213402,0.8855179,-0.5682167,1.198976,0.8879079,-0.5455574,1.181486,0.8932811,-0.5432624,1.20586,0.8664705,-0.5788896,1.194316,0.8662686,-0.5605451,1.181604,0.8718458,-0.5568925,1.210187,0.902912,-0.6182036,0.05236784,
1528889571239,1.208267,0.9360775,-0.6407999,1.218919,0.9524832,-0.6106334,1.219995,0.9535364,-0.5871954,1.20664,0.9299124,-0.5715485,1.185046,0.9324061,-0.5643659,1.173479,0.9314228,-0.5760335,1.208374,0.910645,-0.5669644,1.185791,0.9169296,-0.5532174,1.169721,0.9203044,-0.5620959,1.212741,0.8865032,-0.5701925,1.198293,0.8890199,-0.5474455,1.180845,0.8944346,-0.5449991,1.205246,0.8675255,-0.5807663,1.193687,0.8676473,-0.5625377,1.180962,0.8734189,-0.5591875,1.209578,0.9037657,-0.6201792,0.05270104,
1528889571264,1.203958,0.9377234,-0.6499509,1.215229,0.953787,-0.6197931,1.2168,0.9547627,-0.5963531,1.203141,0.9310924,-0.5805039,1.18169,0.9336832,-0.5725287,1.169582,0.9328988,-0.5836539,1.205015,0.9116551,-0.5760573,1.182922,0.9178454,-0.5614043,1.166505,0.9214395,-0.5695678,1.208434,0.8877507,-0.5799063,1.193788,0.8902544,-0.5570771,1.176402,0.8956994,-0.5544432,1.20141,0.8687404,-0.5903971,1.190245,0.8687664,-0.5719835,1.17755,0.8745477,-0.5683626,1.205227,0.9053198,-0.6296062,0.05356142,
1528889571279,1.203384,0.9402052,-0.651534,1.214929,0.9563267,-0.6215264,1.216768,0.9572743,-0.5981037,1.203277,0.9336119,-0.581956,1.181894,0.9360945,-0.5735437,1.16951,0.9352257,-0.5843488,1.205307,0.9141605,-0.577574,1.183356,0.9201978,-0.5626194,1.166783,0.9236714,-0.570531,1.208515,0.8903905,-0.5815591,1.193694,0.8929508,-0.5588554,1.176277,0.8983093,-0.5564584,1.201917,0.8711526,-0.5918978,1.191068,0.8709641,-0.5732384,1.178371,0.8765261,-0.569142,1.204947,0.9077858,-0.6311468,0.05393177,
