time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528889552931,0.7777011,0.9577124,-0.861297,0.7658082,0.9485095,-0.8288302,0.7695386,0.9357052,-0.8100343,0.7514861,0.9788826,-0.814539,0.7439808,0.9583071,-0.8185826,0.7504987,0.9517727,-0.8322216,0.7648923,0.9714415,-0.8065202,0.7541023,0.9504985,-0.8149047,0.7607982,0.9451963,-0.8316705,0.7827618,0.9629931,-0.8015369,0.7703291,0.9446204,-0.8099548,0.7740806,0.9402345,-0.8275437,0.7986854,0.9539962,-0.7985864,0.7855685,0.942416,-0.8037624,0.785293,0.9411928,-0.8183988,0.7924317,0.9699762,-0.8396297,0.03336105,
1528889552958,0.7785056,0.9584681,-0.8614898,0.7668997,0.9486454,-0.8291737,0.7710564,0.9355968,-0.8106282,0.7527705,0.9786605,-0.8142302,0.7455224,0.9579386,-0.8185664,0.7519932,0.951512,-0.8323028,0.7663411,0.9713048,-0.8063908,0.7557161,0.9502742,-0.8150168,0.7622437,0.9451848,-0.8319272,0.7843394,0.9630296,-0.8016635,0.7720492,0.9445996,-0.8102471,0.7756739,0.9404904,-0.8279252,0.8004664,0.9541121,-0.7989623,0.7873548,0.9425175,-0.8041829,0.7866373,0.9418162,-0.8188366,0.7934937,0.9705555,-0.8396872,0.03296193,
1528889552991,0.7793807,0.9615672,-0.8615738,0.7678372,0.9519942,-0.8292945,0.7718126,0.9382055,-0.8112925,0.7559713,0.979584,-0.8131573,0.7480581,0.9593353,-0.8185108,0.7539465,0.9535526,-0.8327991,0.7693403,0.9715549,-0.8058587,0.757909,0.9513251,-0.8152314,0.7639744,0.9468594,-0.8324999,0.7870885,0.9625359,-0.8017167,0.7739127,0.9449024,-0.8106538,0.7769415,0.9413742,-0.8285586,0.8030708,0.9528773,-0.7995556,0.7892259,0.9418957,-0.8045112,0.7875482,0.9418591,-0.8190823,0.7955657,0.9712518,-0.8396897,0.03189459,
1528889553024,0.7812302,0.9642008,-0.8619534,0.7688161,0.9574618,-0.8295001,0.7718585,0.9440111,-0.811092,0.7583705,0.9833394,-0.8146591,0.7495801,0.9635279,-0.8200762,0.7551869,0.9576519,-0.8344331,0.7710376,0.9748929,-0.8069952,0.7588977,0.9551272,-0.816347,0.7652026,0.9501518,-0.8333913,0.7881377,0.9650964,-0.8021966,0.7742774,0.9480402,-0.8110573,0.7775487,0.9440524,-0.8288245,0.8035358,0.9546784,-0.7993203,0.7890565,0.944244,-0.8040501,0.7873362,0.943745,-0.8185965,0.7976675,0.9723037,-0.8400714,0.03176194,
1528889553050,0.7822862,0.9653505,-0.8634049,0.7690444,0.9587451,-0.8314251,0.7717746,0.945029,-0.8131849,0.7603966,0.9831914,-0.8154504,0.751487,0.9637299,-0.8214781,0.7569365,0.9585809,-0.8361531,0.7728692,0.9745836,-0.8078768,0.7605436,0.9551262,-0.8175874,0.7668211,0.9504496,-0.8347132,0.7898557,0.9645753,-0.8031211,0.7757614,0.9478285,-0.8121164,0.7789206,0.9440836,-0.8299509,0.80524,0.9539249,-0.8002783,0.7904615,0.9435598,-0.8047187,0.7882637,0.9430649,-0.8191743,0.7994406,0.9723827,-0.841031,0.03051828,
1528889553078,0.7831414,0.9672104,-0.8653498,0.7679912,0.9612023,-0.8344103,0.7696856,0.9470688,-0.8163815,0.7630183,0.9833622,-0.8161687,0.7535816,0.9646153,-0.8230034,0.7590373,0.9601998,-0.8378952,0.7750689,0.9741481,-0.8087075,0.7620198,0.9554494,-0.8189811,0.7681529,0.9510574,-0.8362129,0.7916499,0.963428,-0.804015,0.7768606,0.947486,-0.8132635,0.779824,0.9440809,-0.8311813,0.8067137,0.9521693,-0.8011944,0.7912754,0.9421731,-0.8051957,0.7884766,0.9414574,-0.8194972,0.8016593,0.9719799,-0.8419104,0.02736146,
1528889553104,0.783093,0.9692522,-0.8670872,0.7661852,0.9645663,-0.8373694,0.7673994,0.9503665,-0.8194671,0.7646529,0.9823498,-0.8162357,0.7553633,0.963848,-0.8235586,0.7609651,0.9600129,-0.8385501,0.7767257,0.9730313,-0.8088872,0.7635282,0.954516,-0.8194,0.7694509,0.9504409,-0.8367671,0.7933563,0.9622824,-0.804314,0.7783283,0.9464747,-0.8134484,0.7809501,0.9433065,-0.8314317,0.8086418,0.9509637,-0.801531,0.7928416,0.9406762,-0.8046237,0.7890137,0.9395747,-0.8186101,0.8031721,0.9716868,-0.8423958,0.02232965,
1528889553132,0.7841367,0.972314,-0.8692133,0.7644119,0.9726408,-0.8408417,0.7628402,0.9602289,-0.8219018,0.7665323,0.9817132,-0.8166127,0.7571851,0.9634304,-0.8241113,0.7631989,0.959615,-0.8389406,0.7784747,0.9721458,-0.809114,0.764872,0.9538777,-0.8196557,0.7706074,0.9497331,-0.8370593,0.7949729,0.9611509,-0.8044207,0.7795017,0.9455613,-0.8133272,0.7818098,0.9422882,-0.8313094,0.8102762,0.9496162,-0.8014173,0.7940062,0.9392242,-0.803536,0.7892137,0.9374504,-0.817127,0.8051149,0.9707906,-0.8427391,0.01705365,
1528889553170,0.7868301,0.9761559,-0.8712414,0.7667646,0.9825261,-0.8438545,0.7633948,0.9724002,-0.8241394,0.768319,0.9816378,-0.8172232,0.7587892,0.9635376,-0.8246629,0.7652928,0.9594098,-0.8391867,0.7801507,0.9717243,-0.8095564,0.765999,0.9537511,-0.8199806,0.7714494,0.9494113,-0.8374268,0.796489,0.9604188,-0.8047111,0.7804304,0.9450808,-0.8132147,0.7822561,0.9415484,-0.8311909,0.8117707,0.9486378,-0.8015238,0.7950243,0.9382648,-0.8025165,0.789184,0.9357265,-0.8155748,0.8070049,0.9701483,-0.8433961,0.01996934,
1528889553196,0.7888979,0.9778843,-0.8725138,0.769271,0.9881044,-0.8456917,0.7645507,0.9803022,-0.8251623,0.7691368,0.9818649,-0.8178353,0.7593412,0.9638112,-0.8249832,0.766066,0.9591748,-0.8392421,0.7808994,0.9717216,-0.8100041,0.7663292,0.9538872,-0.8201802,0.7715473,0.9492284,-0.8376188,0.7971195,0.960214,-0.8049762,0.7806423,0.9450029,-0.8130918,0.7821027,0.9411219,-0.8310322,0.8123327,0.9482906,-0.8016415,0.7953868,0.9380834,-0.8020498,0.7891667,0.9351439,-0.8148674,0.8079791,0.9696995,-0.8439766,0.02543436,
