time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528889301230,1.170471,0.8114387,-0.5181242,1.171914,0.8031766,-0.4830717,1.183397,0.7945041,-0.4646133,1.152921,0.8284895,-0.4611157,1.150705,0.807283,-0.4575903,1.153134,0.7993982,-0.4717409,1.169705,0.8262252,-0.4577469,1.163659,0.8023798,-0.4572988,1.165552,0.7948887,-0.4743844,1.190945,0.8251166,-0.4578469,1.182882,0.8021976,-0.4544472,1.180394,0.7918314,-0.469444,1.20979,0.8214151,-0.4615768,1.201025,0.8047888,-0.4564467,1.195185,0.7969079,-0.4671449,1.185621,0.8287994,-0.501951,0.03147313,
1528889301257,1.170353,0.8118758,-0.5190782,1.171385,0.8034432,-0.4840684,1.182624,0.7944381,-0.4656321,1.153185,0.8288843,-0.462319,1.15053,0.8075486,-0.4592202,1.153037,0.7997759,-0.4734075,1.170016,0.8262551,-0.4589338,1.163484,0.8024294,-0.4589472,1.165291,0.7951573,-0.4761064,1.191167,0.8246934,-0.4589516,1.182587,0.8018768,-0.4560181,1.180049,0.792043,-0.4712448,1.209916,0.8206525,-0.4625745,1.200724,0.8041639,-0.4577467,1.194749,0.7965856,-0.4685917,1.186002,0.8288288,-0.5028037,0.0310536,
1528889301283,1.170634,0.8119755,-0.5187237,1.171599,0.8035769,-0.4837112,1.18282,0.7946065,-0.4652423,1.153394,0.8287896,-0.4620324,1.150814,0.8073955,-0.4590124,1.15338,0.7996174,-0.4731947,1.17024,0.8261901,-0.4586828,1.163805,0.8023043,-0.4588573,1.165675,0.7951112,-0.4760391,1.191377,0.8247218,-0.458632,1.182864,0.8018461,-0.4558095,1.18041,0.7921078,-0.4710766,1.210148,0.8207682,-0.4621997,1.200998,0.8042374,-0.457436,1.195054,0.7966694,-0.4683082,1.186275,0.8289218,-0.5024165,0.03090414,
1528889301299,1.171107,0.812007,-0.5187037,1.17214,0.8037393,-0.4836579,1.183439,0.7949593,-0.4651475,1.153571,0.8288161,-0.4620759,1.151225,0.807417,-0.4589714,1.153919,0.799593,-0.4731164,1.170459,0.8264097,-0.4587029,1.164292,0.8024486,-0.4587929,1.16626,0.7952092,-0.4759431,1.19162,0.8252101,-0.4585801,1.183351,0.8022339,-0.4555835,1.180996,0.7923439,-0.4707569,1.210411,0.8214599,-0.4621332,1.20144,0.8048448,-0.4572691,1.195624,0.7970937,-0.4680857,1.186531,0.8291748,-0.502431,0.03092549,
1528889301324,1.172491,0.8118336,-0.5192129,1.17371,0.8036985,-0.4841353,1.185204,0.7952266,-0.465612,1.154528,0.8288867,-0.4628162,1.152564,0.8074356,-0.459629,1.155436,0.7995593,-0.4737164,1.171446,0.8268636,-0.4593108,1.165683,0.8027887,-0.4591822,1.167788,0.7954099,-0.4762552,1.192622,0.8260057,-0.4591869,1.184751,0.8029227,-0.4560599,1.182616,0.7929478,-0.4711909,1.211406,0.8225753,-0.4626917,1.202685,0.805859,-0.4577734,1.197138,0.7979128,-0.468593,1.187519,0.8295305,-0.5030543,0.0311539,
1528889301351,1.174305,0.8116931,-0.520391,1.175549,0.8036,-0.4853082,1.187141,0.7952538,-0.4668106,1.156009,0.8289078,-0.4642268,1.154203,0.8074182,-0.4610792,1.15725,0.7995603,-0.4751406,1.172949,0.8270907,-0.4605474,1.167332,0.8029549,-0.4602962,1.169525,0.7954832,-0.4773068,1.194133,0.8263821,-0.4603456,1.186417,0.8032988,-0.4571477,1.184416,0.7933002,-0.4722757,1.212899,0.8230698,-0.463797,1.204263,0.8063369,-0.458851,1.198895,0.798307,-0.4696919,1.18913,0.8296615,-0.5042633,0.03132753,
1528889301383,1.175664,0.8120545,-0.5214884,1.176848,0.8040628,-0.4863822,1.188438,0.7957279,-0.4679004,1.157358,0.8295149,-0.4656154,1.155501,0.8079907,-0.4626291,1.158647,0.8002011,-0.4767093,1.174306,0.8277251,-0.4617817,1.168581,0.8035815,-0.4615024,1.170768,0.7960603,-0.4784798,1.195477,0.8269483,-0.4614941,1.187655,0.8039306,-0.4582443,1.185651,0.793949,-0.4733677,1.214211,0.8235502,-0.4648938,1.205479,0.8068821,-0.45988,1.200124,0.7988109,-0.4706921,1.19054,0.8300621,-0.5054208,0.03138668,
1528889301405,1.176216,0.8117563,-0.5212933,1.17788,0.8037548,-0.4861782,1.18974,0.7957613,-0.4677055,1.157804,0.8293927,-0.4651868,1.156429,0.8079246,-0.4618494,1.159426,0.8000437,-0.4759071,1.17469,0.828034,-0.4614201,1.169493,0.8038502,-0.4607124,1.171729,0.7961782,-0.477621,1.195907,0.8276654,-0.4614044,1.188599,0.8043978,-0.4577338,1.186653,0.7940342,-0.4725868,1.214674,0.8246807,-0.4649234,1.206353,0.8078153,-0.4596347,1.201083,0.7993328,-0.4702099,1.190652,0.8303798,-0.505388,0.03169485,
1528889301432,1.175684,0.8126645,-0.5215922,1.177466,0.8044466,-0.4865126,1.189326,0.7963543,-0.4680765,1.157587,0.8301615,-0.4652832,1.156192,0.8087033,-0.4620103,1.159032,0.8008901,-0.4761374,1.174442,0.8287672,-0.461595,1.169181,0.8045512,-0.4608778,1.171298,0.7968638,-0.47778,1.195653,0.8282967,-0.4617802,1.188309,0.804966,-0.4582156,1.186275,0.794667,-0.4730841,1.214406,0.8253179,-0.4653636,1.206075,0.8084324,-0.4601505,1.200724,0.8000051,-0.4707449,1.1902,0.8312578,-0.5056688,0.03167519,
1528889301457,1.175027,0.8131944,-0.5215546,1.176973,0.804718,-0.4865191,1.188817,0.7965314,-0.4680888,1.157391,0.8305628,-0.4649311,1.155998,0.8091244,-0.4616479,1.158528,0.8013785,-0.4758525,1.174152,0.8291243,-0.461401,1.168872,0.8049241,-0.4606929,1.170877,0.7973203,-0.4776282,1.19536,0.8285744,-0.46183,1.187995,0.8051313,-0.4582951,1.185812,0.7947551,-0.4730971,1.214098,0.8255993,-0.46554,1.205781,0.8086579,-0.4603969,1.200298,0.8002509,-0.4709679,1.189598,0.8318082,-0.5056345,0.03164134,
1528889301484,1.174618,0.8137153,-0.5213597,1.176522,0.8052876,-0.4862805,1.1882,0.7970915,-0.4677238,1.15726,0.8314099,-0.4644322,1.155724,0.8100653,-0.4607499,1.157949,0.8021398,-0.4748752,1.173925,0.8297949,-0.4610719,1.168486,0.8056182,-0.4601033,1.17038,0.7978747,-0.4769585,1.195153,0.829115,-0.4616041,1.187634,0.8056051,-0.4577067,1.185229,0.7948209,-0.4722098,1.213909,0.826027,-0.4653685,1.205546,0.8091177,-0.4600116,1.199884,0.8005396,-0.4703815,1.189346,0.8322402,-0.5054705,0.03149265,
1528889301502,1.174132,0.8143803,-0.5212891,1.175926,0.8059157,-0.486223,1.187536,0.7975708,-0.4676929,1.157028,0.8320933,-0.4642146,1.155249,0.8107238,-0.4604072,1.157451,0.8026318,-0.4744334,1.17375,0.8303012,-0.4608611,1.168025,0.8061113,-0.4597466,1.169744,0.7981659,-0.4765233,1.195009,0.8294973,-0.461324,1.187248,0.8060564,-0.4570758,1.184597,0.795007,-0.4713571,1.213757,0.8261653,-0.4652219,1.205278,0.809343,-0.4596939,1.199451,0.8007311,-0.4699419,1.18912,0.8326671,-0.5053803,0.03124378,
1528889301524,1.173413,0.8148047,-0.5215558,1.174637,0.8063909,-0.4864739,1.185935,0.7978337,-0.4678588,1.156189,0.8329195,-0.4644678,1.15389,0.8115618,-0.460342,1.156079,0.8030856,-0.4741438,1.172905,0.8308618,-0.460831,1.166577,0.8067261,-0.459243,1.168114,0.7982485,-0.4757813,1.194282,0.8299338,-0.4607551,1.18599,0.8067652,-0.4553288,1.18292,0.7949497,-0.4689126,1.21309,0.8259766,-0.4648013,1.2044,0.8094583,-0.45881,1.198325,0.8007418,-0.4688297,1.188738,0.8327235,-0.5055087,0.03095883,
1528889301542,1.173099,0.8154748,-0.5215197,1.174268,0.8075188,-0.4863502,1.185647,0.7992281,-0.4676858,1.155674,0.834041,-0.4646866,1.153429,0.8125468,-0.4601734,1.155751,0.8036354,-0.4736594,1.172459,0.8322733,-0.4607558,1.16615,0.8080471,-0.4584865,1.167613,0.7989864,-0.4747123,1.193912,0.8315638,-0.4605464,1.185691,0.8084254,-0.4541361,1.182465,0.7958488,-0.4670228,1.212759,0.8275719,-0.4646407,1.204209,0.8111268,-0.4581114,1.198146,0.8020408,-0.4677925,1.188366,0.8335524,-0.5056329,0.03080436,
1528889301570,1.172405,0.8163285,-0.5221025,1.17318,0.8093146,-0.4867059,1.184498,0.8014725,-0.4679362,1.153987,0.8360972,-0.4659182,1.151599,0.8145707,-0.4606501,1.154227,0.8049332,-0.4735687,1.170834,0.8347925,-0.4612139,1.164229,0.8105112,-0.4573634,1.165521,0.8000454,-0.4727424,1.192434,0.8346184,-0.4602903,1.18403,0.8120252,-0.4512818,1.180473,0.7977609,-0.4622653,1.211422,0.8301457,-0.4644569,1.202986,0.814142,-0.4566576,1.196967,0.8043016,-0.4655702,1.187373,0.8346887,-0.5064539,0.0309846,
1528889301590,1.171677,0.8176484,-0.5221574,1.172277,0.8107327,-0.4867782,1.183757,0.80272,-0.4683253,1.153056,0.8376893,-0.4661385,1.150292,0.8161016,-0.4606941,1.15293,0.8061763,-0.4733778,1.16981,0.8365076,-0.4609467,1.162584,0.812218,-0.4561629,1.163618,0.8007891,-0.470857,1.191558,0.8365048,-0.4595566,1.182712,0.8145672,-0.4490082,1.178796,0.7995865,-0.4588234,1.210649,0.8313987,-0.4638776,1.202101,0.8157732,-0.4552384,1.195892,0.8055665,-0.4635406,1.186748,0.8357829,-0.5064582,0.03142841,
1528889301617,1.169231,0.8193005,-0.5240705,1.169975,0.8118057,-0.4889268,1.181817,0.8033639,-0.4709165,1.150528,0.8393506,-0.4683098,1.147492,0.8176452,-0.4633668,1.150313,0.8078436,-0.4761482,1.167115,0.8388685,-0.4620122,1.159093,0.814867,-0.4558452,1.159732,0.8022656,-0.4696069,1.188978,0.8389264,-0.460474,1.179572,0.8179603,-0.4482888,1.175341,0.8023399,-0.456835,1.208259,0.8329923,-0.4650652,1.199597,0.8178489,-0.4556085,1.193243,0.8073404,-0.4633464,1.184452,0.8373857,-0.5082031,0.03224849,
1528889301633,1.167567,0.8212245,-0.5248379,1.168426,0.8136299,-0.4897814,1.180481,0.8050117,-0.4720263,1.149009,0.8412438,-0.4690738,1.145822,0.8195299,-0.4642218,1.148652,0.8097188,-0.4770077,1.165549,0.8412091,-0.4622034,1.157092,0.8175064,-0.4550357,1.157362,0.8042119,-0.4681696,1.187504,0.841369,-0.4606822,1.177873,0.8211668,-0.4474062,1.173411,0.805239,-0.4551665,1.206894,0.8348477,-0.4655247,1.198267,0.8200283,-0.4554861,1.191753,0.8093275,-0.4627954,1.182924,0.8391526,-0.5089497,0.03255791,
1528889301658,1.16497,0.8232887,-0.526435,1.165587,0.8156391,-0.4914685,1.177566,0.8065698,-0.4739021,1.147057,0.8433397,-0.4706599,1.143288,0.821666,-0.4660184,1.145884,0.8118924,-0.4788846,1.163532,0.8432007,-0.4634093,1.154221,0.8198356,-0.4556705,1.153903,0.8061178,-0.4683595,1.185485,0.8429924,-0.4618498,1.175138,0.823525,-0.4477023,1.17007,0.8074175,-0.4546151,1.204825,0.8355587,-0.4668738,1.195856,0.8210732,-0.4565268,1.188973,0.8104184,-0.4635426,1.18094,0.8405466,-0.510443,0.03251019,
1528889301674,1.163837,0.8247281,-0.5266227,1.164173,0.8171794,-0.4916762,1.176044,0.8079401,-0.4741393,1.146046,0.8448099,-0.4710027,1.142025,0.8231756,-0.4665434,1.144569,0.8134887,-0.4794945,1.162467,0.8445654,-0.4635588,1.152783,0.8213139,-0.4557355,1.152265,0.8075031,-0.4683143,1.184386,0.844201,-0.4618554,1.173668,0.8250194,-0.4474059,1.168336,0.8088615,-0.4539683,1.203694,0.8364052,-0.4668355,1.19452,0.8220748,-0.4564255,1.187515,0.8114836,-0.463396,1.180039,0.8416549,-0.5105528,0.0324057,
1528889301689,1.160519,0.8278413,-0.5284975,1.160854,0.8205713,-0.4935778,1.172828,0.8111722,-0.4762229,1.14351,0.8482516,-0.4732289,1.139224,0.8266131,-0.4691001,1.141724,0.8170512,-0.4821742,1.159906,0.8479285,-0.4656414,1.149772,0.824805,-0.4576622,1.14893,0.8107789,-0.4700302,1.181708,0.847131,-0.4640701,1.170534,0.8281304,-0.4495244,1.164842,0.8118657,-0.4557339,1.20094,0.8389934,-0.4690295,1.191478,0.8248413,-0.4585746,1.184275,0.8143327,-0.465472,1.177233,0.8444498,-0.5125951,0.03220939,
1528889301705,1.158251,0.830506,-0.5313118,1.158267,0.8232753,-0.4964513,1.170051,0.8135216,-0.4791578,1.142198,0.8504972,-0.4760197,1.137566,0.8289194,-0.4723922,1.139794,0.819717,-0.4857757,1.158585,0.8497904,-0.4683863,1.148023,0.8267254,-0.4606581,1.146754,0.8128778,-0.4731854,1.180315,0.8485458,-0.4668398,1.168787,0.8295949,-0.4523855,1.162594,0.8133973,-0.4584965,1.199348,0.8400258,-0.471916,1.189624,0.8259256,-0.4615928,1.182074,0.8156149,-0.4684934,1.175634,0.8464152,-0.5153293,0.03158551,
1528889301723,1.155419,0.8345165,-0.5358826,1.153463,0.8281668,-0.500981,1.164104,0.8181486,-0.4831238,1.139302,0.8549566,-0.48135,1.133735,0.8335723,-0.4781054,1.135978,0.8244246,-0.4915463,1.155489,0.8538649,-0.4728546,1.143826,0.8314923,-0.4652409,1.142231,0.8177439,-0.4778721,1.177212,0.8520023,-0.4705184,1.164551,0.8341221,-0.4552421,1.15738,0.8179101,-0.4603011,1.195945,0.842456,-0.4750755,1.185495,0.8290827,-0.4643981,1.177505,0.8188347,-0.4709375,1.173574,0.8492514,-0.5194137,0.03002329,
1528889301739,1.154471,0.837133,-0.5382362,1.151402,0.8315301,-0.5033596,1.161448,0.8214753,-0.4852472,1.138503,0.8579241,-0.4843373,1.132493,0.8366243,-0.4814578,1.134897,0.8275703,-0.4949441,1.154538,0.8566598,-0.4753529,1.142328,0.834673,-0.4679908,1.14076,0.8211224,-0.4808121,1.176232,0.8546093,-0.4724851,1.162908,0.8374974,-0.4566637,1.155234,0.8213769,-0.4610843,1.194814,0.84446,-0.4767062,1.183976,0.8315871,-0.4657241,1.17572,0.821358,-0.471955,1.173113,0.851293,-0.5215628,0.02891544,
1528889301771,1.14577,0.8446897,-0.5478175,1.141055,0.8391104,-0.513254,1.150218,0.8283564,-0.4951506,1.130919,0.8643724,-0.4942025,1.124149,0.8431349,-0.4927592,1.126388,0.8348473,-0.5067675,1.146715,0.8628959,-0.4840916,1.133503,0.8416066,-0.4770663,1.131402,0.8285199,-0.4902635,1.168199,0.85948,-0.4812436,1.154022,0.8425884,-0.4661602,1.145833,0.8270936,-0.471509,1.186363,0.8486232,-0.4853505,1.174894,0.8360565,-0.4747435,1.166209,0.826422,-0.4813304,1.165493,0.857289,-0.5304258,0.02729386,
1528889301791,1.149397,0.84851,-0.5506118,1.144116,0.843216,-0.5161734,1.153144,0.8324925,-0.4980083,1.136056,0.8680367,-0.4964035,1.129137,0.8469011,-0.494756,1.130963,0.8386823,-0.5088367,1.152185,0.8670663,-0.485858,1.138927,0.8463725,-0.4775302,1.136046,0.8329852,-0.4902521,1.173472,0.8628736,-0.4839849,1.159467,0.846063,-0.4687108,1.151093,0.8306365,-0.473982,1.191494,0.8518716,-0.4883569,1.180144,0.83935,-0.477765,1.171355,0.8298815,-0.484473,1.170013,0.8607228,-0.5331976,0.02544761,
1528889301807,1.144945,0.8511223,-0.5532485,1.139258,0.8461623,-0.518892,1.148207,0.8355462,-0.5006442,1.132622,0.8706929,-0.4986313,1.12563,0.8496059,-0.4966657,1.127213,0.8412892,-0.5106919,1.148885,0.8701099,-0.4879853,1.135552,0.8497717,-0.4786889,1.132245,0.8359693,-0.490821,1.170082,0.865234,-0.4867644,1.156207,0.8482779,-0.4717708,1.147874,0.832907,-0.4773847,1.188016,0.8542814,-0.4912473,1.176696,0.841746,-0.4808551,1.167924,0.832397,-0.4878031,1.166329,0.86315,-0.5358269,0.02397258,
1528889301831,1.133658,0.8541639,-0.5586072,1.126665,0.8507512,-0.5243552,1.134998,0.8407911,-0.5055207,1.121901,0.8761737,-0.503109,1.114324,0.8557557,-0.4987339,1.115213,0.8461247,-0.5119203,1.138296,0.8758427,-0.492821,1.124525,0.8567259,-0.4811983,1.12034,0.8418304,-0.4916095,1.159505,0.8700277,-0.4918341,1.145651,0.8539659,-0.4758828,1.136996,0.8384898,-0.4806722,1.177323,0.8587365,-0.4958771,1.166082,0.8468381,-0.484744,1.157126,0.8372871,-0.4911571,1.155739,0.8662211,-0.5411064,0.0214671,
1528889301857,1.135563,0.8583702,-0.5671518,1.12737,0.8562092,-0.533019,1.135182,0.8471016,-0.5136396,1.126538,0.8844676,-0.5084569,1.118725,0.8661662,-0.4986618,1.11749,0.8541901,-0.5095783,1.143402,0.8835189,-0.5000057,1.130041,0.8665674,-0.4839225,1.123952,0.8503872,-0.4908139,1.164143,0.8764629,-0.5002747,1.15107,0.8615556,-0.4826033,1.142083,0.8458652,-0.485894,1.181973,0.8649986,-0.5043762,1.171496,0.8538662,-0.4918018,1.162272,0.8439236,-0.4970785,1.158969,0.870728,-0.5498393,0.01948741,
1528889301874,1.133434,0.8590846,-0.5708271,1.124408,0.85699,-0.5368458,1.131734,0.848111,-0.5171701,1.124605,0.8871072,-0.5113968,1.116452,0.8695883,-0.4990202,1.114256,0.8561049,-0.5077935,1.141403,0.8856645,-0.5033095,1.128,0.8695709,-0.4859516,1.121467,0.8531423,-0.4915962,1.162032,0.8783699,-0.5035304,1.149001,0.8641042,-0.4852695,1.139953,0.8484008,-0.4880427,1.179879,0.8667804,-0.5074227,1.169502,0.856068,-0.4943589,1.160287,0.8459719,-0.4992438,1.157014,0.8717802,-0.5532922,0.02138441,
1528889301897,1.123003,0.8617914,-0.5793468,1.112022,0.8606573,-0.545756,1.117963,0.8525573,-0.5252918,1.114721,0.8939654,-0.5189655,1.106274,0.8795647,-0.5016603,1.102614,0.8646683,-0.5057095,1.13113,0.8913819,-0.5113258,1.117576,0.8775516,-0.4916979,1.110323,0.8609032,-0.4948973,1.151662,0.8832978,-0.5112814,1.138689,0.8704675,-0.4918509,1.129406,0.8547974,-0.4933938,1.169515,0.8714374,-0.5146352,1.159329,0.8617225,-0.5005959,1.150023,0.8513613,-0.5045352,1.147019,0.874851,-0.5613321,0.02767231,
1528889301914,1.120571,0.8638951,-0.5874259,1.108041,0.8642184,-0.5542277,1.112896,0.8573289,-0.5330541,1.112339,0.8997149,-0.5272584,1.104214,0.8882515,-0.5071645,1.100105,0.8730757,-0.5081224,1.128581,0.8968117,-0.5196322,1.115348,0.8848121,-0.4986464,1.108071,0.8680173,-0.5003814,1.149203,0.8886133,-0.5192142,1.136607,0.8771449,-0.498654,1.127396,0.8613872,-0.4989014,1.167207,0.8767405,-0.5220426,1.157378,0.8678981,-0.5072092,1.148191,0.8571802,-0.5103388,1.144758,0.8776744,-0.5692422,0.0321428,
1528889301938,1.111316,0.8638692,-0.5999196,1.096212,0.8659762,-0.5677389,1.099382,0.8605702,-0.5458949,1.101669,0.9034081,-0.5408649,1.093543,0.8946512,-0.5194793,1.089438,0.8795832,-0.5187132,1.117541,0.900488,-0.532649,1.104205,0.8901333,-0.5112085,1.097391,0.8733097,-0.5124766,1.138218,0.892252,-0.5312632,1.12547,0.8819748,-0.5102086,1.116482,0.8661273,-0.5096863,1.156477,0.8805845,-0.5330036,1.146595,0.8726186,-0.5177459,1.137649,0.8615636,-0.5203214,1.135315,0.8785168,-0.5809697,0.03462993,
1528889301972,1.113373,0.8650529,-0.6122471,1.094836,0.8693945,-0.5819749,1.095308,0.8656664,-0.5596033,1.102389,0.9086865,-0.5548399,1.093659,0.9027835,-0.5331475,1.089309,0.8879316,-0.5313715,1.117589,0.9054155,-0.5456759,1.10354,0.8968836,-0.5246746,1.09702,0.8800347,-0.5260431,1.138194,0.8970354,-0.5428377,1.124649,0.888817,-0.5212635,1.115294,0.87326,-0.5194358,1.156404,0.8853301,-0.5431294,1.146001,0.8790455,-0.5273781,1.137014,0.8678766,-0.5290196,1.137345,0.8804048,-0.5921386,0.03645222,
1528889301990,1.113968,0.8658707,-0.6171744,1.094765,0.8717389,-0.5875714,1.094542,0.8690267,-0.5650178,1.103098,0.9105498,-0.5607043,1.094168,0.9041934,-0.5404254,1.090438,0.888857,-0.5403299,1.118465,0.9073474,-0.5514325,1.104313,0.8987805,-0.5309392,1.098215,0.8818153,-0.5328143,1.139189,0.8995446,-0.5483281,1.125471,0.8921961,-0.5266092,1.116053,0.876737,-0.5243324,1.157314,0.8881837,-0.5482877,1.14672,0.8831683,-0.5320561,1.137596,0.8719759,-0.5326164,1.138224,0.8811796,-0.5970071,0.03193079,
