time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529498200734,1.192458,0.6283338,-0.7187511,1.184774,0.6495086,-0.6873545,1.183067,0.6581302,-0.6626756,1.216848,0.6747358,-0.6742132,1.200265,0.6715721,-0.6545653,1.18955,0.6571122,-0.6550044,1.228643,0.6612567,-0.6666389,1.206332,0.6579216,-0.6467317,1.190941,0.6440229,-0.6490859,1.241832,0.6434145,-0.6639659,1.220909,0.6425502,-0.643021,1.202706,0.6326939,-0.6422507,1.251482,0.6256199,-0.6634408,1.237097,0.6292064,-0.6455698,1.221297,0.6254762,-0.6430572,1.226891,0.6284006,-0.7073386,0.01009526,
1529498200762,1.1905,0.6342879,-0.7433208,1.182726,0.6596163,-0.7151819,1.180977,0.6717631,-0.6919777,1.21581,0.6828382,-0.7027902,1.199408,0.6802138,-0.682653,1.188935,0.66553,-0.6818295,1.227048,0.6692162,-0.6949469,1.204462,0.6646311,-0.6764016,1.190661,0.6494536,-0.6800314,1.239981,0.6517267,-0.6913313,1.217806,0.6493829,-0.6726586,1.200571,0.6379332,-0.6742494,1.25009,0.6352074,-0.6894341,1.234168,0.6386237,-0.6732174,1.218556,0.6336123,-0.6723647,1.225754,0.6346666,-0.7319437,0.01432404,
1529498200787,1.188054,0.6338258,-0.7595029,1.180133,0.6619072,-0.7341228,1.177823,0.6767679,-0.7125217,1.215366,0.6823696,-0.7200959,1.19889,0.6809373,-0.6994921,1.187736,0.6668119,-0.6975015,1.224987,0.6672299,-0.7124406,1.201824,0.6612666,-0.6960854,1.189519,0.6455023,-0.7019216,1.236964,0.6494696,-0.7085102,1.213843,0.6449567,-0.6941328,1.199535,0.6321313,-0.7014173,1.246577,0.6336459,-0.705897,1.22907,0.6348833,-0.6941667,1.216841,0.6267259,-0.7005675,1.223952,0.6331478,-0.7474897,0.02056666,
1529498200814,1.180844,0.6311156,-0.7797735,1.172596,0.661024,-0.7567122,1.170037,0.6776141,-0.7364026,1.208794,0.6798642,-0.7411238,1.192555,0.6785011,-0.7200772,1.181259,0.6645308,-0.7174435,1.217524,0.6637558,-0.7340205,1.194446,0.6557409,-0.7195122,1.184199,0.6394041,-0.7272948,1.229239,0.646197,-0.7301924,1.206147,0.6394173,-0.7190273,1.195191,0.6259613,-0.7296371,1.238903,0.6312097,-0.7271418,1.221014,0.6304344,-0.7181511,1.211768,0.6207665,-0.7269061,1.217354,0.630345,-0.7672753,0.02562353,
1529498200840,1.173801,0.625618,-0.7937645,1.165535,0.6567056,-0.7724822,1.163219,0.6740348,-0.7527797,1.202586,0.6736795,-0.7550395,1.186406,0.6718638,-0.7339729,1.175053,0.657853,-0.7314866,1.210997,0.657419,-0.7483028,1.188003,0.6486116,-0.7345493,1.178543,0.6321825,-0.7430655,1.22236,0.6397899,-0.7447157,1.199523,0.6319293,-0.7352555,1.190445,0.6183056,-0.7472658,1.23188,0.6250367,-0.7414781,1.213896,0.6231284,-0.733856,1.206371,0.6128318,-0.7434955,1.210769,0.6244505,-0.7806445,0.02924542,
1529498200868,1.166864,0.6198765,-0.8071808,1.158154,0.6507631,-0.7859368,1.155775,0.6676581,-0.7658796,1.194968,0.6667252,-0.7669643,1.178506,0.663592,-0.7463883,1.167387,0.6492143,-0.7448554,1.20364,0.6507562,-0.7605703,1.180682,0.6412673,-0.7474486,1.171658,0.6250163,-0.7567247,1.214999,0.6331511,-0.7573863,1.192408,0.6245463,-0.7488842,1.184421,0.6110717,-0.7617643,1.224493,0.6182973,-0.754398,1.206523,0.6155782,-0.7476952,1.200148,0.605437,-0.7582338,1.204006,0.6186007,-0.7934353,0.03028255,
1529498200907,1.152916,0.604167,-0.8327666,1.142005,0.6329458,-0.8096877,1.138168,0.6482961,-0.7885991,1.177997,0.6506314,-0.7896846,1.161259,0.6461985,-0.7692439,1.150265,0.6316825,-0.7680713,1.187067,0.6348136,-0.7837749,1.164025,0.6239501,-0.7713658,1.155331,0.6078666,-0.7812699,1.198957,0.6173793,-0.7813022,1.176473,0.6072999,-0.7739646,1.169286,0.5941367,-0.7876853,1.208847,0.6024958,-0.7789341,1.190685,0.5984352,-0.7735549,1.18522,0.5890688,-0.7853158,1.189743,0.6042058,-0.8182865,0.02904756,
1529498200933,1.146721,0.5938485,-0.8442495,1.134253,0.6212876,-0.8202584,1.129301,0.6359309,-0.7988868,1.169766,0.6409605,-0.8001103,1.15312,0.636181,-0.7793791,1.142258,0.6216008,-0.777787,1.179148,0.6249694,-0.7944411,1.156262,0.6130772,-0.7823896,1.147913,0.5970321,-0.7926475,1.19164,0.6079476,-0.7922161,1.169354,0.5969666,-0.7853014,1.162503,0.5839866,-0.7993857,1.202038,0.5933054,-0.790072,1.183899,0.5885878,-0.7851193,1.178638,0.5797173,-0.7973961,1.183359,0.5952609,-0.8296751,0.02860838,
1529498200960,1.137689,0.5796411,-0.8592715,1.124937,0.606631,-0.834903,1.119909,0.6210278,-0.8133874,1.160054,0.6277479,-0.8155877,1.143754,0.6230912,-0.7944958,1.133084,0.6084319,-0.7924393,1.169745,0.6118502,-0.8098715,1.147196,0.5996912,-0.7974271,1.138958,0.5834358,-0.8074382,1.182566,0.5950859,-0.8077153,1.160536,0.5837054,-0.8003407,1.153705,0.5703166,-0.8140582,1.193296,0.5805404,-0.8056216,1.175189,0.5755629,-0.8003932,1.169635,0.5666409,-0.812537,1.174295,0.5820376,-0.8452471,0.02776787,
1529498200987,1.131403,0.5719063,-0.8693782,1.118902,0.5977349,-0.8436431,1.11391,0.6109552,-0.8213822,1.153889,0.6182513,-0.8237029,1.137137,0.6134398,-0.8030912,1.126052,0.5989847,-0.8017298,1.163255,0.6021724,-0.8180853,1.140197,0.5906414,-0.8059214,1.131284,0.5749345,-0.8162543,1.175673,0.58497,-0.8162062,1.153219,0.574313,-0.8089868,1.145768,0.5615745,-0.8229934,1.186037,0.5699123,-0.81449,1.167744,0.5655956,-0.8092478,1.161583,0.5575097,-0.8216873,1.16761,0.5731759,-0.8548878,0.02601804,
1529498201014,1.123157,0.5593984,-0.8823694,1.110715,0.5842713,-0.8556415,1.105653,0.5966983,-0.8329657,1.145589,0.6049349,-0.8358248,1.128606,0.600012,-0.8155357,1.117456,0.5856033,-0.8146843,1.154932,0.5888032,-0.8301982,1.131579,0.577693,-0.8179011,1.122048,0.5622749,-0.8281429,1.167242,0.5714446,-0.828414,1.144434,0.5613251,-0.8207364,1.136001,0.5488711,-0.8344759,1.177419,0.5560863,-0.8269933,1.158965,0.5521992,-0.8212885,1.151926,0.5444793,-0.8335211,1.15913,0.5603085,-0.8679521,0.0244257,
1529498201041,1.1179,0.5525335,-0.8902369,1.105741,0.5767466,-0.8627588,1.100701,0.5884197,-0.8397117,1.141082,0.5962436,-0.8422421,1.123671,0.5913241,-0.822448,1.112108,0.5772356,-0.8223739,1.150115,0.5800419,-0.8365557,1.12617,0.5699592,-0.8240681,1.115459,0.5552214,-0.8341931,1.161867,0.5621852,-0.8349487,1.138434,0.5531338,-0.8268306,1.128604,0.541368,-0.8402971,1.171496,0.5463272,-0.8338584,1.152772,0.5432902,-0.8276483,1.144551,0.5362622,-0.8396043,1.153564,0.5520427,-0.8753728,0.02357554,
1529498201068,1.111354,0.5474762,-0.8979288,1.100477,0.5709178,-0.8692542,1.096256,0.5817277,-0.8456618,1.136847,0.5888397,-0.8490374,1.119629,0.5838187,-0.829227,1.107653,0.5701101,-0.8296553,1.145793,0.5726353,-0.8436569,1.121788,0.5636122,-0.8301096,1.109624,0.5496473,-0.8396926,1.156997,0.5542805,-0.8427125,1.133376,0.5463203,-0.8332384,1.121812,0.5353202,-0.8459682,1.166032,0.537899,-0.8424093,1.147383,0.535679,-0.8349613,1.137718,0.5293772,-0.8462256,1.147257,0.5452669,-0.8837802,0.02282687,
1529498201106,1.095186,0.5376008,-0.9120475,1.084691,0.5599756,-0.8823634,1.080444,0.5698531,-0.8583727,1.121506,0.5755453,-0.8608496,1.103835,0.5702003,-0.8415805,1.091521,0.5568635,-0.8428727,1.129779,0.5587331,-0.8562855,1.105353,0.5498228,-0.8436611,1.093217,0.5365843,-0.8542139,1.140326,0.5399513,-0.8561989,1.116475,0.5322533,-0.8476857,1.105278,0.5220815,-0.8613508,1.148861,0.5233159,-0.8566046,1.130155,0.5213196,-0.8495491,1.120724,0.5155689,-0.8612762,1.13087,0.5334191,-0.8977233,0.02305843,
1529498201125,1.084313,0.533265,-0.9202001,1.072903,0.5552313,-0.8905308,1.067862,0.5648298,-0.8665767,1.109252,0.5705086,-0.8677373,1.09093,0.5651135,-0.8490878,1.078657,0.5517968,-0.8508434,1.117279,0.5535347,-0.8631944,1.092432,0.5445611,-0.8514959,1.080712,0.5313379,-0.8625305,1.127763,0.5346931,-0.8630271,1.103653,0.5269655,-0.8553641,1.092958,0.5168186,-0.8694447,1.136285,0.5180002,-0.8633663,1.117379,0.5160067,-0.856843,1.108289,0.5103225,-0.868855,1.119761,0.5287586,-0.9049708,0.02310695,
1529498201148,1.072348,0.5315635,-0.9294667,1.058928,0.5519297,-0.8994662,1.052414,0.5603492,-0.875452,1.093647,0.5686475,-0.8749639,1.074464,0.5631027,-0.85729,1.062488,0.5496514,-0.8597262,1.101947,0.5518034,-0.8699251,1.076655,0.5429061,-0.8587638,1.065,0.5296722,-0.8698644,1.112802,0.5330229,-0.8694325,1.088432,0.5253299,-0.8619535,1.07766,0.5151547,-0.8759534,1.121571,0.5162371,-0.8698328,1.102489,0.5141881,-0.8633029,1.093245,0.5085447,-0.8751951,1.10674,0.5274336,-0.9125576,0.02152282,
