time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529497993702,1.200725,0.5354708,-0.9030839,1.188117,0.5286821,-0.8669567,1.181468,0.5232354,-0.8417747,1.20096,0.574096,-0.8368645,1.196611,0.5671238,-0.8079438,1.193105,0.5548279,-0.794117,1.220948,0.5722733,-0.8326298,1.214754,0.5646083,-0.7997255,1.208452,0.5513834,-0.7839028,1.243357,0.5680754,-0.8372306,1.240468,0.5638792,-0.8049597,1.235277,0.553633,-0.787141,1.262686,0.5576235,-0.8451566,1.263417,0.5541635,-0.8205584,1.259587,0.5462905,-0.8062164,1.227186,0.5550712,-0.8886048,0.05835041,
1529497993730,1.194214,0.5387976,-0.9039681,1.180274,0.5352108,-0.8678458,1.171728,0.5322707,-0.8428023,1.19774,0.5795199,-0.8394005,1.192776,0.5736892,-0.8103139,1.188495,0.5620254,-0.7961819,1.217619,0.5767903,-0.8352826,1.21083,0.5708297,-0.802084,1.203752,0.5587485,-0.7857029,1.239647,0.5703317,-0.839816,1.236194,0.5662986,-0.8075942,1.230175,0.5562507,-0.7899551,1.258433,0.5584211,-0.8474718,1.258799,0.554646,-0.8229486,1.254165,0.5467365,-0.8089029,1.222631,0.5570059,-0.8904526,0.05779223,
1529497993755,1.184713,0.544065,-0.9033269,1.169294,0.5450053,-0.8676265,1.15929,0.5453106,-0.8429523,1.193145,0.5863546,-0.8408181,1.187107,0.5814614,-0.8117738,1.181514,0.5703473,-0.7976908,1.212607,0.5818878,-0.836663,1.204635,0.5773385,-0.8034895,1.196159,0.5663338,-0.7870302,1.233727,0.5724329,-0.8408384,1.22893,0.5683587,-0.8088281,1.221339,0.5585642,-0.7916892,1.251307,0.5584985,-0.84793,1.250503,0.5543859,-0.8234789,1.2444,0.5467482,-0.8099129,1.215402,0.5594614,-0.8906129,0.05629697,
1529497993781,1.172037,0.5506668,-0.9022056,1.156328,0.5557604,-0.8669761,1.146024,0.5589306,-0.842625,1.184821,0.5943209,-0.8418528,1.17815,0.5906302,-0.8128577,1.171618,0.5799408,-0.7989196,1.203914,0.5886447,-0.8377481,1.195281,0.585701,-0.8046566,1.18575,0.5754416,-0.7883645,1.22408,0.5769988,-0.8416511,1.218367,0.5735834,-0.8098273,1.209514,0.5641713,-0.7931316,1.240399,0.5615358,-0.8482255,1.238573,0.5578158,-0.8238224,1.231345,0.5507814,-0.8104842,1.204792,0.5635735,-0.8904082,0.05483297,
1529497993808,1.167344,0.5561993,-0.9076297,1.151627,0.5647628,-0.8731098,1.141971,0.5697536,-0.8488183,1.182773,0.600671,-0.8492531,1.174669,0.5976548,-0.8206831,1.166925,0.5870256,-0.8074166,1.201267,0.5939988,-0.8448298,1.190945,0.5922108,-0.8122751,1.179988,0.582438,-0.7966396,1.220512,0.5806775,-0.8480021,1.212833,0.577955,-0.8166714,1.202285,0.5689018,-0.8008131,1.235837,0.5642729,-0.8536793,1.232105,0.5614203,-0.8295338,1.223169,0.554986,-0.8169498,1.201506,0.5668607,-0.8961003,0.05133317,
1529497993837,1.159069,0.5604962,-0.9086391,1.143916,0.5730802,-0.875185,1.136193,0.5791782,-0.8505685,1.178585,0.6055087,-0.852376,1.168518,0.6032563,-0.8250951,1.158864,0.5916181,-0.8145969,1.195838,0.596778,-0.8473026,1.182906,0.5957333,-0.8163655,1.169435,0.5853062,-0.8035991,1.213416,0.5812073,-0.8493609,1.202568,0.5789574,-0.8196168,1.188938,0.5695232,-0.8067549,1.227012,0.5637285,-0.8538101,1.220378,0.5622572,-0.8306779,1.20849,0.5563942,-0.8206631,1.194635,0.567444,-0.8967744,0.04430188,
1529497993875,1.153288,0.5621597,-0.9126534,1.140207,0.5766309,-0.8792682,1.135814,0.5811762,-0.8538803,1.175288,0.6079888,-0.8586503,1.16308,0.606989,-0.8332134,1.151811,0.5948329,-0.8259197,1.190903,0.5967505,-0.8524697,1.175223,0.5964833,-0.8235823,1.159576,0.5859011,-0.8141679,1.206223,0.5791569,-0.8532342,1.191661,0.5773367,-0.825967,1.175273,0.5678018,-0.8172908,1.217904,0.5608911,-0.8563441,1.207832,0.5606411,-0.8352174,1.193419,0.5552582,-0.8293815,1.188774,0.5659547,-0.9003049,0.03498857,
1529497993902,1.144704,0.5616342,-0.9145921,1.13328,0.5783512,-0.8817924,1.130817,0.5832906,-0.8563753,1.168034,0.6099428,-0.8637755,1.15585,0.6100422,-0.8390126,1.144635,0.5975211,-0.8327731,1.18281,0.5978632,-0.8570396,1.16618,0.5974162,-0.829645,1.150284,0.5856025,-0.8229821,1.197052,0.5796163,-0.857057,1.180427,0.5769288,-0.8324808,1.163558,0.5657635,-0.8288642,1.208338,0.5616729,-0.8591637,1.196338,0.5617432,-0.8399372,1.18136,0.5556753,-0.8376515,1.18006,0.5650085,-0.9027379,0.03083017,
1529497993927,1.139438,0.5618537,-0.9145455,1.12939,0.5819453,-0.8833472,1.127577,0.5883489,-0.85826,1.166132,0.6095492,-0.86494,1.154002,0.6118646,-0.8400805,1.141627,0.600921,-0.8328413,1.179173,0.5960907,-0.8574868,1.161587,0.5967292,-0.8313127,1.144861,0.5853969,-0.8265339,1.190939,0.5762788,-0.8568147,1.172169,0.5737046,-0.8349903,1.15501,0.5626916,-0.8353845,1.200818,0.5579873,-0.8579541,1.186862,0.5585318,-0.841079,1.17182,0.5526652,-0.8425487,1.174824,0.562181,-0.9018088,0.03164792,
1529497993954,1.133365,0.5645032,-0.9160339,1.125573,0.5875632,-0.8867328,1.124737,0.5940496,-0.8617162,1.16186,0.6085109,-0.8650394,1.148582,0.6121498,-0.8407296,1.134646,0.6028889,-0.8338234,1.172374,0.5938508,-0.8568634,1.1527,0.5957422,-0.8327085,1.134838,0.5855608,-0.8303521,1.181123,0.5727014,-0.855562,1.159729,0.5709898,-0.8373359,1.142672,0.5608901,-0.8417898,1.189139,0.554038,-0.8556911,1.17322,0.5556002,-0.8418251,1.15905,0.5503352,-0.8472201,1.167341,0.5600551,-0.9004334,0.03089204,
