time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529498182535,1.167191,0.5448514,-0.8400868,1.163063,0.5325882,-0.8043761,1.170981,0.5197293,-0.7835143,1.182431,0.5527288,-0.7841761,1.176509,0.5283587,-0.7888533,1.173587,0.5232569,-0.8062506,1.198562,0.5482951,-0.7872367,1.186758,0.5230265,-0.7935027,1.181463,0.5193686,-0.8134959,1.218327,0.5451681,-0.7921271,1.205424,0.5201451,-0.7908517,1.195127,0.5116273,-0.8065721,1.234273,0.5405659,-0.8013798,1.222683,0.5228008,-0.795845,1.210922,0.5164466,-0.8053439,1.200467,0.5577013,-0.8289666,0.02315542,
1529498182562,1.161306,0.5573478,-0.8427205,1.155912,0.5475355,-0.8063131,1.161961,0.5361642,-0.7837389,1.17841,0.5662842,-0.7868678,1.172711,0.5417721,-0.7902486,1.170537,0.5358486,-0.8074668,1.194659,0.5615153,-0.7904799,1.182684,0.5363059,-0.7957628,1.177096,0.5323868,-0.8156106,1.213979,0.5579346,-0.7962646,1.200813,0.5336655,-0.7953747,1.19067,0.5263689,-0.811739,1.229555,0.553077,-0.8054977,1.217606,0.5358893,-0.8002546,1.206154,0.5303277,-0.8105136,1.195792,0.5696176,-0.8325791,0.02523198,
1529498182587,1.154935,0.5685196,-0.8458225,1.149328,0.5610079,-0.8087342,1.154132,0.5511602,-0.785023,1.174498,0.5793655,-0.7892864,1.168304,0.5545413,-0.7893096,1.165611,0.5463498,-0.8054898,1.190542,0.573603,-0.7942858,1.177969,0.5482684,-0.7975434,1.171704,0.54313,-0.8168957,1.209343,0.569297,-0.8009749,1.195774,0.5455121,-0.7988952,1.185451,0.5379473,-0.8149947,1.224542,0.5637072,-0.8105433,1.212396,0.547061,-0.8043462,1.200773,0.5414049,-0.8143061,1.190211,0.5799021,-0.8371339,0.02395403,
1529498182613,1.150973,0.5757673,-0.8456296,1.145221,0.57107,-0.8079106,1.148338,0.5635148,-0.7829256,1.173616,0.5905111,-0.78707,1.167185,0.5663817,-0.7805333,1.162713,0.5544224,-0.793713,1.188758,0.5828346,-0.7937539,1.176126,0.5575015,-0.7932472,1.169784,0.5500367,-0.8117411,1.207133,0.5772709,-0.8018736,1.193372,0.5540765,-0.7975013,1.182644,0.5457029,-0.8128335,1.221915,0.5707314,-0.811769,1.209911,0.5548331,-0.8039123,1.198065,0.5486788,-0.8132364,1.187079,0.5863771,-0.838588,0.02014167,
1529498182640,1.149899,0.588567,-0.8532395,1.144443,0.5887002,-0.8149382,1.145444,0.5852931,-0.7887313,1.179242,0.6126179,-0.7934667,1.174852,0.5937392,-0.7737463,1.167905,0.577022,-0.775768,1.192958,0.6011087,-0.7994802,1.180265,0.5776266,-0.7877271,1.169858,0.5641891,-0.8000239,1.209464,0.5920631,-0.8099105,1.195926,0.5705124,-0.7979406,1.183141,0.5584285,-0.8083794,1.222932,0.5828029,-0.8206844,1.211666,0.5688027,-0.8084182,1.198682,0.5609318,-0.8143874,1.186811,0.5973642,-0.8486921,0.02722023,
1529498182667,1.145958,0.5966185,-0.8586918,1.140122,0.6006953,-0.8205754,1.139808,0.600327,-0.7941198,1.176152,0.6257052,-0.7998785,1.17129,0.6115719,-0.7762829,1.16365,0.5952632,-0.7738865,1.189166,0.611749,-0.8043343,1.175333,0.5909384,-0.7884043,1.163718,0.5761437,-0.7975224,1.204486,0.5998546,-0.8143704,1.189452,0.5805572,-0.8007554,1.176114,0.5684406,-0.8104157,1.217244,0.5887436,-0.8241834,1.204821,0.5767661,-0.8113011,1.191703,0.5693422,-0.8174672,1.182813,0.6032642,-0.8541861,0.03167792,
1529498182709,1.146227,0.6087952,-0.8769908,1.140999,0.6199808,-0.8401428,1.140359,0.6245686,-0.8140975,1.17894,0.6456913,-0.8230399,1.172809,0.638142,-0.7972958,1.163683,0.6233622,-0.7924836,1.191328,0.6296468,-0.8241075,1.176428,0.6148285,-0.8027937,1.162999,0.5996038,-0.807385,1.204425,0.6133993,-0.8324058,1.18767,0.5985371,-0.8160321,1.173273,0.5865508,-0.8241268,1.21571,0.5995733,-0.8401513,1.20217,0.5914081,-0.8260668,1.188933,0.5844123,-0.8321965,1.183,0.6120714,-0.8727813,0.03182186,
1529498182734,1.146607,0.6114234,-0.8851264,1.141141,0.6273056,-0.8501025,1.140618,0.6348896,-0.8248134,1.178315,0.6535547,-0.8353119,1.171152,0.6478907,-0.8101021,1.161885,0.6330128,-0.8057795,1.192181,0.6391214,-0.8339889,1.178053,0.6283826,-0.8096021,1.164377,0.6128208,-0.8106655,1.205229,0.6215042,-0.8400912,1.189073,0.6094195,-0.8208529,1.174243,0.5964181,-0.8261921,1.216441,0.6066666,-0.8461912,1.203503,0.6007127,-0.8303943,1.190023,0.5928801,-0.8347101,1.183428,0.6148444,-0.8808503,0.02860271,
1529498182760,1.13712,0.6155477,-0.8870544,1.132174,0.6347858,-0.8536879,1.132171,0.6445769,-0.8291932,1.168219,0.6619385,-0.8421357,1.160231,0.6575399,-0.817293,1.150913,0.6426595,-0.8131822,1.183238,0.6492462,-0.8392338,1.169711,0.642472,-0.8126051,1.155591,0.6273769,-0.8098919,1.196554,0.6313424,-0.8430666,1.181314,0.6228158,-0.820816,1.165828,0.6093616,-0.8221799,1.207659,0.6155013,-0.8475655,1.195741,0.6123179,-0.8297151,1.181522,0.6042302,-0.8305138,1.173553,0.6192183,-0.8829983,0.02472404,
1529498182787,1.132666,0.6200127,-0.8929136,1.129344,0.6406263,-0.8602651,1.130824,0.6505737,-0.835934,1.164686,0.6657965,-0.8497553,1.155766,0.6614041,-0.825305,1.14571,0.6468529,-0.821835,1.180297,0.6544496,-0.8462752,1.167156,0.6506511,-0.8187751,1.152302,0.6367906,-0.8143228,1.193419,0.6362971,-0.8489337,1.179195,0.631258,-0.8245847,1.162927,0.6189317,-0.8227646,1.203863,0.6193268,-0.8526359,1.193378,0.6187695,-0.8331798,1.178687,0.6119457,-0.8309079,1.16904,0.6224054,-0.8890858,0.020838,
