time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529498082584,1.18712,0.7603524,-1.04133,1.187752,0.7981706,-1.033417,1.181383,0.8145372,-1.024642,1.20724,0.8174906,-1.025318,1.186113,0.8290652,-1.037185,1.173687,0.8208406,-1.048373,1.207036,0.8216507,-1.000274,1.195105,0.8492787,-1.005615,1.180221,0.8526101,-1.019694,1.195685,0.8068753,-0.9739498,1.198562,0.8329817,-0.9456113,1.199597,0.8547471,-0.926924,1.174149,0.7975956,-0.986219,1.164518,0.8050982,-1.000578,1.15889,0.7944965,-1.012951,1.193816,0.7670496,-1.015933,0.02573247,
1529498082601,1.19374,0.7456659,-1.050446,1.194036,0.7820215,-1.037609,1.189998,0.7999507,-1.025721,1.218965,0.8003553,-1.028695,1.196251,0.8128658,-1.032247,1.182052,0.8053329,-1.041521,1.224476,0.7996083,-1.00442,1.211417,0.8272125,-1.001377,1.193865,0.8314134,-1.01054,1.218797,0.7820393,-0.9810493,1.220999,0.8053461,-0.9569655,1.217723,0.8214605,-0.9452244,1.19614,0.7712981,-0.9879764,1.182784,0.7795262,-0.9983225,1.174208,0.7702179,-1.009833,1.207938,0.7479546,-1.025862,0.01848671,
1529498082625,1.205667,0.7141153,-1.054988,1.204515,0.7493775,-1.039605,1.204203,0.7674218,-1.02537,1.238586,0.7675377,-1.036915,1.222475,0.7861089,-1.017701,1.212574,0.7975216,-1.005894,1.246786,0.7624425,-1.022383,1.224475,0.7766445,-1.011418,1.206183,0.7671896,-1.013756,1.252383,0.7467027,-1.006898,1.233289,0.760759,-0.9971546,1.215073,0.752948,-1.002366,1.245982,0.7281241,-0.9984394,1.228531,0.735047,-0.9972827,1.215804,0.7267655,-1.005064,1.234948,0.7139478,-1.04108,0.03681573,
1529498082651,1.221863,0.695504,-1.064731,1.223043,0.7318376,-1.051346,1.225891,0.7504581,-1.034563,1.257879,0.7446132,-1.043915,1.242838,0.7623527,-1.023299,1.231623,0.7633712,-1.015476,1.265781,0.7350237,-1.030107,1.24233,0.7425178,-1.0166,1.226826,0.7295496,-1.020037,1.272422,0.7184844,-1.017827,1.250155,0.7270259,-1.006278,1.233649,0.7167681,-1.011732,1.273376,0.7016731,-1.009258,1.256417,0.7081145,-1.004655,1.242638,0.7003394,-1.010973,1.254812,0.6910325,-1.04986,0.02374629,
1529498082687,1.234079,0.670728,-1.086544,1.232282,0.7065096,-1.07384,1.233835,0.7262665,-1.056612,1.270112,0.7183229,-1.065314,1.249454,0.722863,-1.048945,1.234309,0.7134831,-1.044067,1.277185,0.7085383,-1.052443,1.25162,0.7119346,-1.040082,1.238729,0.6966455,-1.043701,1.284507,0.693001,-1.040237,1.260466,0.6977012,-1.030783,1.24666,0.6844845,-1.037289,1.28798,0.6776837,-1.030877,1.26943,0.6843286,-1.025514,1.25843,0.6745363,-1.031533,1.269662,0.6665647,-1.070323,0.01791727,
1529498082704,1.237238,0.6601459,-1.102424,1.227448,0.6906142,-1.081332,1.222661,0.7037728,-1.059025,1.271843,0.7132498,-1.083155,1.248585,0.7199661,-1.074412,1.231351,0.7117612,-1.076125,1.271426,0.7026657,-1.069572,1.244668,0.7035559,-1.068833,1.240731,0.6867028,-1.078136,1.275459,0.6908493,-1.054263,1.251727,0.6946682,-1.054029,1.243773,0.6779696,-1.062843,1.275128,0.6762611,-1.042281,1.257534,0.6812464,-1.044547,1.2524,0.6681864,-1.052866,1.269882,0.660592,-1.084185,0.02077911,
1529498082730,1.226321,0.6576629,-1.121706,1.213375,0.692537,-1.111886,1.204557,0.7165877,-1.106182,1.262802,0.7110472,-1.100775,1.239542,0.7192844,-1.093817,1.232362,0.7090036,-1.099355,1.261077,0.7014669,-1.087262,1.23269,0.7063934,-1.08711,1.222914,0.6911784,-1.094719,1.262669,0.6886591,-1.070901,1.239001,0.6940219,-1.072858,1.2305,0.679078,-1.083757,1.261142,0.6748985,-1.058775,1.244087,0.681771,-1.062252,1.238384,0.6704697,-1.072062,1.25843,0.6582994,-1.101178,0.02961824,
1529498082757,1.2124,0.6641729,-1.136356,1.200422,0.7006981,-1.132925,1.192414,0.7255121,-1.130916,1.247601,0.7147499,-1.119934,1.225554,0.7182584,-1.125064,1.224331,0.7033453,-1.130169,1.245385,0.7137982,-1.102623,1.219733,0.7258893,-1.111172,1.207749,0.7128689,-1.119126,1.237582,0.7018845,-1.0864,1.215817,0.708413,-1.097469,1.210374,0.6922785,-1.106643,1.231019,0.6920127,-1.072702,1.216741,0.6994284,-1.082727,1.212575,0.6864918,-1.090698,1.238181,0.6668918,-1.109721,0.03886651,
1529498082783,1.203945,0.6683734,-1.148987,1.189825,0.7025392,-1.144068,1.178033,0.7261153,-1.137178,1.240789,0.7186614,-1.134763,1.220878,0.7226934,-1.145365,1.21244,0.7066772,-1.150748,1.238411,0.7249024,-1.116138,1.220432,0.7400765,-1.130464,1.206464,0.7282053,-1.140284,1.22172,0.7134386,-1.103425,1.204281,0.7165772,-1.120247,1.201253,0.6984097,-1.124899,1.211285,0.7075586,-1.090022,1.200026,0.7128814,-1.10525,1.1964,0.6990247,-1.111156,1.223765,0.6752114,-1.117835,0.04178366,
1529498082810,1.184735,0.6789871,-1.161089,1.170826,0.7130749,-1.160656,1.159137,0.7355351,-1.156801,1.219809,0.7285399,-1.146293,1.201659,0.7301906,-1.160062,1.192673,0.7142906,-1.165677,1.216702,0.7385644,-1.127299,1.202882,0.7526914,-1.144089,1.190685,0.7391208,-1.154219,1.197467,0.7280802,-1.117718,1.182099,0.7309133,-1.136978,1.174435,0.7125952,-1.142712,1.184023,0.7229595,-1.105663,1.175321,0.7271045,-1.123413,1.172098,0.7132173,-1.130036,1.19995,0.6882496,-1.128072,0.04067935,
