time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529498369521,0.8753279,1.002461,-0.7849747,0.8573884,1.03489,-0.792082,0.8410035,1.054182,-0.7859529,0.8677912,1.069512,-0.7593601,0.8417652,1.076291,-0.7599756,0.8284473,1.064396,-0.7630346,0.8639699,1.061571,-0.7427024,0.8360922,1.06048,-0.7494965,0.8292704,1.042244,-0.7562784,0.8636981,1.046209,-0.7261747,0.8407417,1.039641,-0.7357848,0.8413534,1.021207,-0.7440245,0.8641163,1.034007,-0.7122669,0.8480742,1.030834,-0.7218004,0.8514395,1.016709,-0.7281225,0.8844284,1.014943,-0.7477283,0.02805777,
1529498369541,0.8837446,0.9841104,-0.8083986,0.8650866,1.015742,-0.8163557,0.8475368,1.033896,-0.8103522,0.8723516,1.050829,-0.783237,0.8462304,1.056542,-0.7854388,0.8336658,1.044054,-0.7893008,0.8678635,1.042926,-0.7666723,0.8401706,1.041307,-0.7750499,0.8335771,1.023162,-0.7824929,0.8670811,1.027817,-0.7499489,0.844323,1.021209,-0.760852,0.8448899,1.003037,-0.7697914,0.8669933,1.01523,-0.7361792,0.8518395,1.01167,-0.7466936,0.8564626,0.9980109,-0.7533003,0.8902706,0.9969096,-0.7704856,0.0271798,
1529498369565,0.8943621,0.9595801,-0.8255005,0.8750265,0.9900478,-0.8356842,0.8564017,1.007402,-0.8309929,0.8795285,1.026698,-0.8016331,0.8535159,1.031623,-0.8053096,0.8416859,1.018586,-0.8095312,0.874512,1.019382,-0.7847856,0.8467155,1.017994,-0.7943149,0.8395252,1.000204,-0.802196,0.8732632,1.005082,-0.7675755,0.8498015,0.9993841,-0.7791487,0.8488214,0.9814516,-0.7885243,0.8727276,0.9920746,-0.7537048,0.8576183,0.9887075,-0.7647879,0.862146,0.9752799,-0.7718567,0.8982667,0.9734305,-0.7870447,0.0283241,
1529498369579,0.8963786,0.9517304,-0.8345781,0.8766976,0.9815823,-0.8455521,0.8578382,0.9986266,-0.8409438,0.8806971,1.019016,-0.811448,0.8547159,1.022996,-0.8150214,0.8435712,1.009282,-0.818877,0.8761312,1.012434,-0.7942704,0.8480638,1.011059,-0.8034183,0.8404714,0.9933033,-0.8110161,0.8752027,0.9986853,-0.7767235,0.8511347,0.9933036,-0.7877978,0.8492028,0.9753634,-0.7969888,0.8748879,0.9857327,-0.7626213,0.8592812,0.9824257,-0.7734176,0.8631264,0.9688554,-0.7806321,0.9002927,0.9664691,-0.7961167,0.02835555,
1529498369606,0.9054774,0.919759,-0.8591389,0.8851404,0.948303,-0.8720745,0.8660593,0.9653306,-0.8683556,0.8887194,0.9883991,-0.8366634,0.8625802,0.9924066,-0.8391083,0.8511844,0.97863,-0.8417884,0.8853477,0.9831188,-0.8186744,0.8561487,0.9830341,-0.8260188,0.8463773,0.9659567,-0.8326831,0.8855255,0.9703028,-0.8004082,0.859861,0.9662086,-0.8094709,0.8554533,0.9484049,-0.8179382,0.8860908,0.9572611,-0.7858697,0.8692784,0.9542893,-0.7953346,0.8717116,0.9404286,-0.8024676,0.9102517,0.9364423,-0.8202523,0.03322582,
1529498369631,0.912668,0.9038696,-0.8696756,0.8921425,0.9315865,-0.8841848,0.8731422,0.9490126,-0.8816884,0.8956709,0.9739079,-0.8482703,0.8693317,0.9788591,-0.8497453,0.8569341,0.9657779,-0.8514111,0.8931015,0.9694496,-0.8298576,0.8632232,0.9704129,-0.8357933,0.8518711,0.9539334,-0.8414241,0.8941109,0.9572908,-0.8111139,0.8678288,0.9537282,-0.8186573,0.8623917,0.9358177,-0.8261585,0.8953781,0.944544,-0.7961126,0.8779382,0.9417279,-0.8044732,0.8796215,0.9275891,-0.8111427,0.9182472,0.9222123,-0.8310269,0.03821635,
1529498369661,0.9172528,0.8793612,-0.8894747,0.8964248,0.9074451,-0.9034536,0.8779304,0.9256471,-0.9014304,0.902195,0.9495426,-0.8673748,0.8757808,0.9549294,-0.8675349,0.8629321,0.9421898,-0.8684074,0.9006344,0.9451046,-0.8488763,0.8706015,0.9462547,-0.8532987,0.8589631,0.9297133,-0.8581241,0.9026004,0.9330343,-0.8301386,0.8762075,0.9296477,-0.8362476,0.8705202,0.9115431,-0.8432013,0.9046272,0.9204568,-0.8150905,0.8865322,0.9181812,-0.8223585,0.8870032,0.9038752,-0.8290499,0.9251364,0.8975825,-0.8512011,0.03986384,
1529498369699,0.9284832,0.8609923,-0.9003867,0.908427,0.8903906,-0.913468,0.8905485,0.9094458,-0.9122403,0.9136515,0.929144,-0.8747774,0.8870745,0.9336407,-0.8748715,0.87465,0.9205478,-0.8765025,0.912055,0.9235061,-0.8568735,0.8826064,0.923223,-0.8617841,0.8727556,0.9058346,-0.8673919,0.9140236,0.9106382,-0.8387972,0.8884742,0.9064714,-0.8455507,0.8843858,0.8881932,-0.8532566,0.9160677,0.897911,-0.8241805,0.8980315,0.8961191,-0.8316667,0.8982697,0.8820523,-0.8390305,0.936442,0.8768861,-0.8613568,0.04065969,
1529498369726,0.9383255,0.842605,-0.9090257,0.9186988,0.8734629,-0.9193685,0.9016464,0.893152,-0.9165865,0.9266483,0.9084877,-0.8791447,0.9000965,0.9120779,-0.8780144,0.8881956,0.8985568,-0.8800654,0.9258339,0.901906,-0.8618484,0.8965399,0.9011923,-0.865913,0.8872692,0.8836666,-0.8720688,0.9282875,0.8881147,-0.8446539,0.902793,0.8840406,-0.8509194,0.8988574,0.8660517,-0.8594376,0.9306522,0.8749756,-0.8307829,0.9123079,0.8738657,-0.8377516,0.9118166,0.8601377,-0.8458394,0.9486127,0.8558262,-0.8698213,0.03929276,
1529498369752,0.9448709,0.8291485,-0.9150985,0.9252805,0.8607576,-0.9231396,0.9086852,0.8805893,-0.9189091,0.9350183,0.8927475,-0.8820901,0.908591,0.8949093,-0.8800633,0.8976388,0.8807063,-0.8826135,0.9349964,0.8856266,-0.8653077,0.9058303,0.8842516,-0.8686457,0.8971547,0.8665968,-0.8752767,0.9380458,0.8712938,-0.8488335,0.912452,0.8672029,-0.8545755,0.9084488,0.8495234,-0.863729,0.9408171,0.8578188,-0.8355432,0.9221606,0.8571034,-0.8419657,0.9210905,0.8437469,-0.8506593,0.9570565,0.84038,-0.8758816,0.03793946,
