time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529498177373,0.9694806,0.833051,-0.8810601,0.9420776,0.8594062,-0.8798257,0.9267856,0.8775756,-0.8688805,0.9588798,0.9025281,-0.8711115,0.9359178,0.9050761,-0.8568262,0.9268447,0.8915242,-0.8486186,0.968137,0.9019246,-0.8542919,0.9409685,0.8986591,-0.8412209,0.9321589,0.8802137,-0.8372832,0.9813859,0.8946162,-0.8383504,0.9551327,0.8886521,-0.8275551,0.943601,0.8708326,-0.825374,0.9927716,0.8865666,-0.8250712,0.9737635,0.8816522,-0.8208698,0.9713885,0.8663268,-0.8251156,0.9938266,0.8574306,-0.8621402,0.02459893,
1529498177402,0.9813081,0.8051473,-0.8891726,0.9547151,0.8320068,-0.8855203,0.9406817,0.8498996,-0.8727167,0.9733273,0.8740548,-0.8753861,0.9514728,0.8754922,-0.8598996,0.94328,0.860957,-0.8525985,0.983413,0.8732053,-0.8594207,0.9568307,0.8704368,-0.8453048,0.9476045,0.8521134,-0.8417386,0.9974012,0.8656181,-0.8442144,0.9710218,0.8619052,-0.8317621,0.9576303,0.8456511,-0.8288996,1.009088,0.85647,-0.8316755,0.9895402,0.8532676,-0.8260918,0.9845468,0.8385395,-0.8302682,1.007087,0.8280931,-0.8704173,0.02310315,
1529498177427,0.9915639,0.7858384,-0.8930894,0.9659816,0.8131948,-0.8869759,0.9526991,0.8303933,-0.8725262,0.9859953,0.8531138,-0.8736416,0.9644445,0.8529945,-0.858058,0.956423,0.8375877,-0.8526098,0.9961131,0.8511927,-0.8581157,0.969498,0.8481774,-0.844259,0.9596648,0.829899,-0.8421831,1.010105,0.8425375,-0.8434228,0.9835746,0.8398277,-0.830814,0.9695641,0.8241514,-0.8292025,1.021515,0.8319939,-0.8315113,1.001182,0.8304689,-0.82515,0.9926897,0.8171196,-0.8292544,1.018237,0.8063089,-0.8727596,0.02150093,
1529498177455,1.003486,0.7598798,-0.8996604,0.9799784,0.7877961,-0.8894339,0.9683201,0.8036511,-0.8723283,1.002125,0.8238263,-0.872763,0.9808438,0.8217945,-0.857437,0.9728075,0.805691,-0.8546382,1.012269,0.8199834,-0.8578593,0.9858022,0.8163295,-0.8445811,0.9756405,0.798131,-0.8451219,1.025961,0.8092743,-0.8442749,0.9998595,0.806401,-0.8322524,0.9860733,0.790642,-0.8334932,1.03694,0.7970089,-0.8335436,1.016515,0.7969472,-0.8264967,1.005266,0.7855581,-0.8309393,1.031485,0.7760913,-0.877724,0.01836401,
1529498177502,1.017368,0.7279706,-0.9061713,0.9960311,0.755558,-0.8911457,0.9858637,0.7695512,-0.8716705,1.021069,0.7877662,-0.871281,0.9999428,0.7852635,-0.8556134,0.9907351,0.7696118,-0.8545061,1.030986,0.7806028,-0.8574734,1.00476,0.7759398,-0.8445817,0.9942398,0.7582774,-0.8479496,1.04412,0.7672697,-0.8460464,1.018837,0.7628368,-0.8353804,1.007489,0.7468367,-0.8412898,1.054652,0.7532333,-0.8372849,1.034576,0.7529391,-0.8302867,1.023764,0.7424542,-0.8369484,1.046924,0.7392721,-0.8835763,0.01784239,
1529498177519,1.019508,0.7209901,-0.9083134,0.9986858,0.7483052,-0.8920082,0.9890353,0.7619054,-0.8720247,1.024584,0.7802015,-0.8723127,1.003733,0.7779356,-0.8560385,0.9942646,0.7624967,-0.8546528,1.03463,0.7720757,-0.8589542,1.008751,0.7668387,-0.8458316,0.9984607,0.7491537,-0.8496657,1.047832,0.7582593,-0.8483278,1.023058,0.7529548,-0.837963,1.012797,0.7368081,-0.8449437,1.058531,0.7441031,-0.8401681,1.038762,0.7432652,-0.8332905,1.028901,0.7325728,-0.8407562,1.049885,0.7314575,-0.8861671,0.01815152,
1529498177546,1.029374,0.6929685,-0.9253371,1.008928,0.7189901,-0.9061787,0.9995848,0.7318479,-0.8855108,1.036011,0.7514163,-0.8877827,1.015666,0.7493931,-0.8703358,1.005821,0.7342775,-0.8679487,1.046686,0.7418888,-0.8751972,1.021367,0.7357396,-0.861155,1.011056,0.7181139,-0.8651497,1.060417,0.727574,-0.8660055,1.036309,0.7212437,-0.8551582,1.02669,0.7051876,-0.8628436,1.071632,0.713149,-0.8590627,1.052303,0.7115921,-0.8516351,1.043053,0.700948,-0.8596182,1.060865,0.7028639,-0.904984,0.01879416,
1529498177573,1.032718,0.6832577,-0.9331509,1.011822,0.7093295,-0.9144132,1.002053,0.7227268,-0.8942422,1.039972,0.7419265,-0.8951768,1.020072,0.740105,-0.8770888,1.010255,0.7250673,-0.8740191,1.051112,0.7325566,-0.8828827,1.026122,0.7265934,-0.8678594,1.01563,0.708926,-0.8710125,1.065178,0.7181606,-0.874146,1.041476,0.7115857,-0.8626788,1.032219,0.6953253,-0.8700933,1.076709,0.7037473,-0.8675994,1.057696,0.7018182,-0.8598923,1.049136,0.6908363,-0.8679214,1.064924,0.6933981,-0.913083,0.02194811,
1529498177601,1.036435,0.6713985,-0.9462412,1.015119,0.6973327,-0.9277475,1.005095,0.7109682,-0.907829,1.044524,0.7298579,-0.9070092,1.025306,0.7279685,-0.888184,1.015679,0.7128942,-0.88466,1.056326,0.7208263,-0.8951654,1.031891,0.7151949,-0.878858,1.021086,0.6975815,-0.8810683,1.070799,0.7062522,-0.8871363,1.047614,0.6995411,-0.8746796,1.038362,0.6831501,-0.8816175,1.082695,0.6917884,-0.881272,1.064164,0.6894995,-0.873073,1.056249,0.6782047,-0.881075,1.069514,0.6816127,-0.9263531,0.02554457,
1529498177626,1.038502,0.6661107,-0.9549179,1.016909,0.6914449,-0.9358445,1.006743,0.7049322,-0.9158498,1.046576,0.7246585,-0.9151843,1.027898,0.7227203,-0.8957367,1.018502,0.7076243,-0.8916869,1.058985,0.7157533,-0.9036545,1.035083,0.7100094,-0.8863599,1.024177,0.6923724,-0.8878914,1.073933,0.7012591,-0.8962142,1.051213,0.6942165,-0.8829154,1.041865,0.6776916,-0.8894076,1.086242,0.6869096,-0.890924,1.068075,0.6842216,-0.8822173,1.060398,0.6727209,-0.8900656,1.071979,0.6768181,-0.9357221,0.0270067,
1529498177653,1.041144,0.6635862,-0.9622355,1.019446,0.6886333,-0.9428922,1.009267,0.7019706,-0.9227966,1.049408,0.7219812,-0.9218688,1.031079,0.7199287,-0.9021941,1.021889,0.7047232,-0.898157,1.062211,0.7134554,-0.9105206,1.038604,0.7082193,-0.8924732,1.027363,0.6907489,-0.893328,1.077431,0.6989495,-0.9033341,1.05492,0.6923401,-0.8891077,1.044949,0.6758803,-0.894839,1.089895,0.6844652,-0.8983899,1.071971,0.681953,-0.8890805,1.064042,0.6704516,-0.8965924,1.074858,0.6743465,-0.9432169,0.02782089,
1529498177691,1.046443,0.664809,-0.9755546,1.025177,0.6897709,-0.9555838,1.015247,0.702997,-0.9352742,1.055609,0.722839,-0.934702,1.037534,0.7207981,-0.9150086,1.028461,0.7054857,-0.9112557,1.068718,0.7145144,-0.9234902,1.045355,0.7101418,-0.9048516,1.03357,0.692992,-0.905167,1.084083,0.6998723,-0.9164596,1.061616,0.6944657,-0.9009329,1.05023,0.6784434,-0.9053348,1.096479,0.6850294,-0.911828,1.078715,0.6833636,-0.9014955,1.06973,0.6721622,-0.9081686,1.080446,0.6750663,-0.9568709,0.02752639,
1529498177719,1.049661,0.6668516,-0.9818814,1.02852,0.6919394,-0.9619123,1.018562,0.7052315,-0.9416534,1.059085,0.724806,-0.9409437,1.040912,0.7229167,-0.9214167,1.03176,0.7076241,-0.9178284,1.072135,0.7164294,-0.9296269,1.0487,0.7124102,-0.911072,1.036708,0.6953932,-0.9114202,1.087409,0.7016741,-0.9224731,1.064801,0.6968216,-0.9066865,1.052809,0.6810722,-0.9106641,1.099648,0.6866646,-0.9177992,1.081829,0.6854233,-0.9072301,1.072369,0.674439,-0.9136131,1.08361,0.6767858,-0.9630477,0.02734121,
1529498177746,1.056168,0.6706377,-0.995028,1.035317,0.6955577,-0.9745358,1.025665,0.7087075,-0.9540407,1.066093,0.7284012,-0.9538923,1.048262,0.7263936,-0.9341189,1.039265,0.7110252,-0.9305083,1.079368,0.7198825,-0.9428087,1.056305,0.7155918,-0.9239697,1.044441,0.698485,-0.9243817,1.094827,0.7051361,-0.9360001,1.072484,0.7001669,-0.9197716,1.060265,0.6844635,-0.9234792,1.107169,0.690126,-0.9316489,1.0895,0.6888133,-0.9206914,1.079783,0.6778985,-0.9268472,1.090443,0.6805267,-0.9767217,0.02727835,
1529498177773,1.06036,0.6739366,-1.004167,1.03937,0.698569,-0.9834819,1.029826,0.711584,-0.9628651,1.069746,0.7318853,-0.9631337,1.052272,0.7295691,-0.9431223,1.043684,0.7140038,-0.939405,1.083328,0.72348,-0.952229,1.060691,0.7185283,-0.9331952,1.049333,0.7010873,-0.9336944,1.099139,0.7090406,-0.9456921,1.077139,0.703458,-0.9292784,1.065239,0.6874491,-0.9329265,1.11182,0.6943234,-0.9415523,1.094313,0.6925417,-0.9304622,1.08483,0.6813709,-0.9365649,1.094656,0.6844297,-0.986284,0.02735496,
1529498177799,1.063893,0.6762104,-1.011366,1.042731,0.7005523,-0.9905202,1.033178,0.7133222,-0.9697766,1.072342,0.7342136,-0.9703026,1.054857,0.7316855,-0.9503615,1.046483,0.715996,-0.9467214,1.086002,0.7258524,-0.9593422,1.063414,0.7204849,-0.9404396,1.05233,0.7028712,-0.941134,1.101963,0.7116169,-0.9528078,1.079973,0.7057065,-0.9364495,1.068204,0.6895703,-0.9401053,1.114817,0.6970657,-0.9486641,1.097275,0.6950489,-0.9375852,1.087844,0.6837963,-0.9436605,1.097879,0.6870764,-0.9934767,0.02675305,
1529498177827,1.068557,0.6791469,-1.021439,1.047544,0.7029003,-0.9997432,1.03831,0.7152423,-0.9786267,1.076182,0.7374782,-0.9807388,1.059008,0.7348461,-0.9605796,1.050966,0.7190403,-0.9568014,1.090131,0.7290382,-0.9698564,1.067948,0.7230593,-0.9507567,1.057222,0.7052211,-0.9515587,1.106436,0.7151331,-0.9635675,1.084751,0.7087644,-0.9468787,1.073061,0.6924831,-0.9503308,1.119618,0.7008533,-0.9596188,1.102234,0.6985216,-0.9482172,1.092708,0.6871862,-0.9540648,1.102292,0.690677,-1.004306,0.0255133,
1529498177856,1.072355,0.6809264,-1.029131,1.051442,0.7042727,-1.006915,1.042583,0.7162967,-0.9854941,1.079176,0.7397881,-0.9890289,1.062313,0.7371485,-0.9686418,1.054586,0.7212565,-0.9646545,1.093435,0.7315681,-0.9781765,1.071633,0.7253772,-0.9587145,1.061136,0.7073918,-0.9592762,1.11005,0.7179792,-0.9720091,1.088674,0.7114046,-0.9548851,1.07705,0.6949718,-0.9579292,1.123536,0.7039456,-0.9681412,1.106328,0.7014173,-0.9564074,1.096724,0.6899452,-0.9619353,1.105942,0.6931953,-1.012631,0.02455526,
1529498177890,1.076044,0.6815158,-1.034461,1.05537,0.7046272,-1.011768,1.046909,0.7165065,-0.9901371,1.082297,0.7410983,-0.9952615,1.065767,0.7387103,-0.9745563,1.05821,0.7228518,-0.9701831,1.096772,0.7328589,-0.984409,1.075373,0.7263648,-0.9646577,1.065133,0.7082285,-0.9651355,1.113571,0.7195211,-0.9783854,1.092495,0.7125568,-0.9610616,1.08107,0.6959264,-0.9639821,1.127278,0.7057616,-0.9745733,1.110205,0.7029037,-0.9627182,1.100666,0.6912647,-0.9681355,1.10936,0.6945043,-1.018768,0.0237935,
1529498177907,1.077686,0.6812205,-1.035525,1.057238,0.7042283,-1.012515,1.049003,0.7160251,-0.9907582,1.084064,0.7408766,-0.9964361,1.067732,0.738529,-0.9755591,1.060205,0.7226877,-0.9710875,1.098635,0.7325757,-0.9856786,1.077437,0.7259818,-0.9657488,1.067213,0.7078344,-0.9661989,1.115489,0.7192577,-0.979817,1.094572,0.712172,-0.962343,1.083143,0.6955293,-0.9652207,1.129254,0.7055435,-0.9761269,1.112272,0.7025964,-0.9641433,1.102675,0.6909623,-0.9695034,1.110994,0.6943157,-1.020204,0.02359728,
1529498177934,1.083628,0.6814382,-1.042071,1.063765,0.704134,-1.018248,1.056159,0.7156937,-0.9961479,1.090581,0.7410805,-1.002937,1.0749,0.7387024,-0.9815282,1.067514,0.7228748,-0.9767917,1.105468,0.7326624,-0.9925935,1.084922,0.7257236,-0.9721096,1.074805,0.7075151,-0.972452,1.12251,0.7193865,-0.9873183,1.102134,0.7118628,-0.9694155,1.090795,0.695133,-0.9722157,1.136449,0.7057856,-0.9841022,1.119793,0.7024739,-0.9718009,1.110195,0.6907851,-0.9771038,1.117151,0.6947622,-1.027716,0.02356183,
1529498177959,1.084752,0.6809685,-1.043356,1.065275,0.7035731,-1.019124,1.057978,0.7150288,-0.9968649,1.092263,0.7404268,-1.004016,1.07686,0.7380525,-0.9823607,1.06941,0.72228,-0.9775345,1.107202,0.7317691,-0.9938772,1.086896,0.7246143,-0.9732283,1.076735,0.7064335,-0.973677,1.124205,0.7183728,-0.9889156,1.104003,0.7105476,-0.9709921,1.092674,0.693839,-0.9739951,1.138122,0.7047574,-0.9859456,1.121557,0.701203,-0.9736575,1.111988,0.6895682,-0.9791555,1.118391,0.694157,-1.029356,0.02359932,
1529498177985,1.087003,0.6804256,-1.045306,1.067867,0.7029805,-1.020743,1.060816,0.7144279,-0.9983901,1.095232,0.7397603,-1.005742,1.080191,0.7374877,-0.9837635,1.072703,0.7217999,-0.9787185,1.110245,0.7308153,-0.9958765,1.090261,0.723418,-0.9750052,1.080118,0.7052308,-0.9755031,1.127237,0.7172935,-0.9913107,1.107287,0.7090889,-0.9733711,1.09607,0.6923478,-0.9766139,1.14116,0.703691,-0.9886516,1.124742,0.6998301,-0.9763948,1.115317,0.6881958,-0.9821382,1.120879,0.6934967,-1.031724,0.02413759,
1529498178014,1.090071,0.6793451,-1.04827,1.071116,0.7020815,-1.023706,1.064062,0.7137197,-1.001432,1.098928,0.7386198,-1.00872,1.083984,0.736506,-0.9865854,1.076342,0.7209404,-0.9813654,1.113876,0.7294037,-0.9989452,1.093931,0.7219304,-0.978036,1.083693,0.7037963,-0.9785991,1.130759,0.7157438,-0.9945128,1.110802,0.7074182,-0.9766381,1.099529,0.6907327,-0.9800185,1.144596,0.7020919,-0.9919338,1.128158,0.6981399,-0.9797655,1.118727,0.6865786,-0.9856647,1.124109,0.6921977,-1.034853,0.02460873,
1529498178039,1.091609,0.6783764,-1.050167,1.072717,0.7012652,-1.025717,1.065702,0.7130123,-1.003474,1.101018,0.7372766,-1.010297,1.086194,0.734954,-0.9880568,1.078512,0.7193815,-0.9828736,1.115949,0.7280263,-1.000698,1.09607,0.7204028,-0.9797623,1.085807,0.7022873,-0.9804133,1.132768,0.714251,-0.9964286,1.112849,0.7057051,-0.978671,1.101617,0.6890363,-0.9822825,1.146563,0.7005882,-0.9939603,1.130137,0.6964806,-0.9819017,1.12077,0.6849697,-0.9880089,1.125889,0.6910028,-1.036723,0.02508036,
1529498178077,1.092776,0.6765739,-1.051327,1.073766,0.6996249,-1.027129,1.066614,0.7115217,-1.004998,1.102337,0.7352335,-1.011367,1.087424,0.7326859,-0.9891686,1.079718,0.7170829,-0.9840626,1.11718,0.7259285,-1.001816,1.097186,0.7180548,-0.9810804,1.086999,0.6999071,-0.9819522,1.133925,0.712115,-0.9975442,1.113892,0.7033153,-0.9800973,1.102789,0.686622,-0.9840199,1.147683,0.6984912,-0.9950305,1.131157,0.6942226,-0.9832272,1.121937,0.6827215,-0.989583,1.127179,0.6890802,-1.037718,0.02531655,
1529498178096,1.093215,0.6748739,-1.051794,1.074156,0.697935,-1.027644,1.066966,0.7098779,-1.005545,1.102824,0.7334599,-1.011827,1.087932,0.7307973,-0.9895904,1.080261,0.7151781,-0.9844551,1.117669,0.7241166,-1.002349,1.097696,0.7160293,-0.9816661,1.087603,0.6978328,-0.9826273,1.134405,0.7103074,-0.9981532,1.114378,0.7012596,-0.9808615,1.10342,0.6845051,-0.9849555,1.148189,0.6967518,-0.9956664,1.131649,0.6923069,-0.9839991,1.122573,0.6807684,-0.9905013,1.12769,0.68742,-1.038227,0.02548747,
1529498178120,1.093095,0.6741012,-1.050565,1.073957,0.6971323,-1.026444,1.066697,0.7090701,-1.004364,1.102467,0.7327071,-1.010678,1.087473,0.7299949,-0.9884918,1.079817,0.7143655,-0.9833483,1.117288,0.723332,-1.001163,1.097234,0.7151045,-0.9806054,1.087222,0.6968685,-0.9816586,1.134006,0.7095397,-0.9969339,1.113914,0.7003254,-0.9798459,1.103103,0.6835183,-0.9841144,1.14781,0.6960373,-0.9943884,1.131215,0.6914782,-0.9828857,1.12229,0.6799126,-0.9895349,1.127512,0.6867223,-1.036958,0.02533493,
1529498178147,1.092129,0.6715718,-1.049417,1.07284,0.6942458,-1.025086,1.065549,0.7058975,-1.002874,1.101028,0.7300762,-1.009276,1.085975,0.7271572,-0.987169,1.078437,0.7114376,-0.9821454,1.115889,0.72068,-0.9997732,1.095832,0.7121561,-0.9793618,1.085992,0.6938456,-0.9806117,1.132658,0.7069391,-0.995603,1.112588,0.6974044,-0.978748,1.102009,0.6805249,-0.9832939,1.146547,0.6935313,-0.9930969,1.12996,0.6887459,-0.9817573,1.12124,0.6771464,-0.9886087,1.126453,0.6843965,-1.035772,0.02502943,
