time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529667426096,1.162046,0.5372723,-0.8573584,1.161979,0.5213161,-0.8255423,1.170643,0.5077076,-0.8086822,1.179294,0.5486609,-0.7963121,1.174894,0.5259473,-0.7866533,1.17079,0.5119001,-0.7945022,1.197826,0.5461508,-0.797248,1.191196,0.5224589,-0.7810931,1.183078,0.505412,-0.7842996,1.216503,0.5427961,-0.8070132,1.212199,0.5218522,-0.7884141,1.203704,0.5050188,-0.7868358,1.231368,0.5362067,-0.8203488,1.229741,0.5209508,-0.8048524,1.221874,0.5086641,-0.8010467,1.192166,0.5504378,-0.8483829,0.01478752,
1529667426123,1.14742,0.528563,-0.8618569,1.145062,0.5137109,-0.8296455,1.152914,0.5006548,-0.8121272,1.162627,0.5420327,-0.8005223,1.157938,0.5195956,-0.7905779,1.154238,0.5054228,-0.7984068,1.181103,0.5396204,-0.8005381,1.173788,0.5163717,-0.7841727,1.165887,0.4992649,-0.7875203,1.200347,0.5362346,-0.809207,1.195333,0.515985,-0.790222,1.186752,0.4992313,-0.788914,1.216322,0.5294932,-0.8215693,1.214985,0.5151193,-0.8051469,1.207493,0.5028789,-0.8005274,1.177816,0.5421729,-0.8519236,0.01458549,
1529667426150,1.135079,0.5227991,-0.8650715,1.130798,0.5086273,-0.8327855,1.137871,0.4958287,-0.8148841,1.149399,0.537177,-0.8033969,1.14442,0.5149599,-0.7931387,1.140896,0.5006197,-0.800772,1.167938,0.5347924,-0.8028409,1.160257,0.5119326,-0.7860466,1.15242,0.4947447,-0.7890905,1.187386,0.5312439,-0.8109596,1.18189,0.5114251,-0.7917569,1.17322,0.494734,-0.7905453,1.203905,0.5243965,-0.8227503,1.202617,0.5105861,-0.8057955,1.195345,0.4984208,-0.8005874,1.165891,0.5363587,-0.8544124,0.01520704,
1529667426179,1.115052,0.5181379,-0.8733026,1.109081,0.5043521,-0.8411677,1.115368,0.4915259,-0.8230665,1.128052,0.5326788,-0.8114278,1.122268,0.5105615,-0.8015113,1.118768,0.4963317,-0.8094015,1.146481,0.5297641,-0.8103814,1.137677,0.5068962,-0.7943362,1.129588,0.4900041,-0.7981993,1.166204,0.5259013,-0.8177069,1.159671,0.5061598,-0.7988123,1.150566,0.4896631,-0.7980268,1.183092,0.5187968,-0.8288292,1.181138,0.5051471,-0.8118666,1.173394,0.4931753,-0.8069406,1.146172,0.5313637,-0.8617632,0.01487913,
1529667426204,1.100861,0.5137274,-0.8782039,1.093382,0.4999423,-0.8463841,1.098741,0.486895,-0.8281773,1.112634,0.5276864,-0.8160057,1.106043,0.505572,-0.806529,1.102472,0.4914508,-0.8146136,1.131021,0.5244474,-0.8143528,1.121287,0.501709,-0.7984957,1.112903,0.4849127,-0.8022985,1.150829,0.5201852,-0.8211452,1.143319,0.5005327,-0.8025528,1.133817,0.4842387,-0.8021091,1.167825,0.5127507,-0.8318207,1.164994,0.4990945,-0.8150474,1.15674,0.4872926,-0.8105633,1.132143,0.526062,-0.8656703,0.01478692,
1529667426251,1.074703,0.5057209,-0.8874816,1.065098,0.4908957,-0.8566985,1.068907,0.4770388,-0.8386269,1.084177,0.5169189,-0.8238633,1.076794,0.4947084,-0.8149301,1.073133,0.4806635,-0.8231471,1.102216,0.5127348,-0.8220991,1.091274,0.4893116,-0.8081567,1.082742,0.4728876,-0.81327,1.121806,0.5078452,-0.8285865,1.11233,0.4867891,-0.813193,1.102305,0.4710751,-0.8160425,1.138813,0.5008467,-0.8384713,1.133529,0.4860474,-0.8237572,1.123964,0.4745478,-0.8222814,1.105749,0.5168238,-0.872961,0.01645062,
1529667426284,1.055506,0.4978195,-0.8939571,1.044448,0.4820904,-0.864069,1.047063,0.4677653,-0.8460473,1.062262,0.507553,-0.8293403,1.054497,0.485237,-0.8205866,1.051048,0.4710058,-0.8286211,1.080125,0.503013,-0.8273436,1.068578,0.4791226,-0.8146392,1.060315,0.4627902,-0.8205135,1.099671,0.4979143,-0.8335616,1.089106,0.4760059,-0.8205308,1.079243,0.4607123,-0.8255147,1.116841,0.4913678,-0.8427287,1.109941,0.4758602,-0.8298238,1.099918,0.4647115,-0.8306729,1.085967,0.5087126,-0.8777927,0.01816735,
1529667426311,1.035711,0.4922565,-0.8999289,1.023403,0.4751543,-0.8712036,1.024611,0.460127,-0.853449,1.04005,0.4993427,-0.8341091,1.03198,0.4769458,-0.8255088,1.028744,0.4626217,-0.8334455,1.057909,0.4945444,-0.8320712,1.04607,0.4701931,-0.8203503,1.03811,0.4539188,-0.8267634,1.077504,0.4895097,-0.8383083,1.06643,0.4668498,-0.8272039,1.056932,0.4518991,-0.8336775,1.094802,0.4834882,-0.8472279,1.086955,0.4672445,-0.8360792,1.076928,0.4563637,-0.8386685,1.065455,0.5024433,-0.8821974,0.0205777,
1529667426337,1.025041,0.4885851,-0.9044678,1.011829,0.470177,-0.8768792,1.011954,0.4545169,-0.8595307,1.026891,0.4933145,-0.8377911,1.01869,0.4708599,-0.8296261,1.015779,0.4567071,-0.8379214,1.044781,0.4884631,-0.835488,1.032843,0.463813,-0.8246804,1.02528,0.4477425,-0.8319069,1.064583,0.4836817,-0.8414968,1.053385,0.4605834,-0.8316054,1.044313,0.4458986,-0.8391049,1.082064,0.4780762,-0.850259,1.073802,0.4613359,-0.8403364,1.063976,0.4506959,-0.8441847,1.053889,0.4982942,-0.8853287,0.02205435,
1529667426364,1.015465,0.4839512,-0.908004,1.000598,0.4661838,-0.8808177,0.999464,0.4509431,-0.8631091,1.014324,0.4897274,-0.8412979,1.005728,0.467423,-0.8329592,1.003251,0.4529573,-0.8408818,1.032118,0.4848108,-0.8383566,1.019742,0.4601696,-0.8281252,1.012697,0.4440007,-0.8356926,1.05211,0.4800059,-0.8434772,1.040402,0.4568886,-0.8343744,1.03186,0.4421759,-0.8424754,1.069921,0.474439,-0.8512591,1.060935,0.457771,-0.842037,1.051359,0.4472214,-0.8467201,1.043562,0.4939684,-0.8876673,0.02263724,
1529667426390,1.002502,0.4793852,-0.9132894,0.9858704,0.4622678,-0.8866746,0.9832031,0.4474728,-0.8686616,0.9977944,0.486194,-0.8469204,0.9886733,0.4639847,-0.8387582,0.9866787,0.4493224,-0.8464817,1.015399,0.4810384,-0.84335,1.002504,0.4562795,-0.8344582,0.9961685,0.4402571,-0.842945,1.035538,0.4761413,-0.8474346,1.023205,0.4528781,-0.8397501,1.015284,0.4382934,-0.8487628,1.053596,0.4705662,-0.8540657,1.043691,0.4538499,-0.8461165,1.034413,0.4435453,-0.8519244,1.029623,0.4897366,-0.8916173,0.02252669,
1529667426417,0.9944893,0.4784374,-0.917137,0.9772084,0.4605471,-0.8914371,0.9738834,0.4453751,-0.8737854,0.9871846,0.4836171,-0.8509862,0.9780277,0.4610512,-0.8436353,0.9764105,0.4464347,-0.8515798,1.004699,0.4785351,-0.8469747,0.9918172,0.4533358,-0.8393303,0.9860072,0.4374444,-0.8484569,1.025007,0.473953,-0.8504779,1.012687,0.4502866,-0.8440961,1.005329,0.4359224,-0.8539025,1.04329,0.4687378,-0.8566001,1.033201,0.4516512,-0.8498084,1.024303,0.4415821,-0.8565187,1.020542,0.4886203,-0.89434,0.02237403,
1529667426451,0.9847765,0.4775557,-0.9219842,0.9670334,0.4589952,-0.8970593,0.9631352,0.4435658,-0.879676,0.9753906,0.4817037,-0.8559518,0.9662926,0.4589022,-0.8489164,0.9650464,0.4441596,-0.8567346,0.9929324,0.4767811,-0.8516613,0.9802867,0.4511784,-0.8448063,0.9750407,0.4352456,-0.8542287,1.0134,0.4725576,-0.8548082,1.00133,0.4484674,-0.8494973,0.9945997,0.4341746,-0.8598647,1.031902,0.4677981,-0.8604829,1.021838,0.4503455,-0.8546524,1.013376,0.4403796,-0.8620383,1.009961,0.4879053,-0.8983103,0.02302848,
1529667426484,0.9781068,0.4767106,-0.9243702,0.9595801,0.4585487,-0.8997068,0.9549693,0.4434256,-0.8821918,0.9665985,0.4816281,-0.8589128,0.9572129,0.4588138,-0.8519074,0.9561502,0.4438025,-0.8593131,0.9840754,0.4768411,-0.8539366,0.971216,0.4512308,-0.8470656,0.9661575,0.4349659,-0.8561143,1.004657,0.4726461,-0.8563619,0.9924625,0.4485507,-0.8510754,0.9860356,0.4340056,-0.8613161,1.023455,0.4678419,-0.8613408,1.013351,0.4503504,-0.8554134,1.005043,0.4401276,-0.8626333,1.002528,0.4873996,-0.9001111,0.02291226,
1529667426511,0.9705372,0.4800341,-0.9261822,0.9521805,0.4605385,-0.9024352,0.9476969,0.4445001,-0.8857049,0.9587103,0.4818167,-0.860412,0.949176,0.4587673,-0.8540571,0.9478475,0.4439275,-0.8617731,0.9762115,0.4767924,-0.8555443,0.9632686,0.450954,-0.8493154,0.9579781,0.434917,-0.8586407,0.996827,0.4726923,-0.8581189,0.984604,0.4483605,-0.8533393,0.9779757,0.4339944,-0.8637,1.015718,0.4679929,-0.8634762,1.005757,0.4501319,-0.8580801,0.9973556,0.4400475,-0.8653862,0.9947325,0.4895761,-0.9014007,0.02393912,
1529667426537,0.9668992,0.4812517,-0.9260588,0.9489497,0.4607224,-0.9028569,0.9446263,0.4441031,-0.886629,0.9549403,0.4811037,-0.8600221,0.9453992,0.4579028,-0.8536973,0.9438426,0.4430005,-0.8612659,0.9725702,0.4761112,-0.8551955,0.9597325,0.4500753,-0.8487477,0.9542038,0.4338846,-0.8576747,0.9932577,0.4722743,-0.8578781,0.9812136,0.4477038,-0.8527147,0.974395,0.4330438,-0.8625312,1.012279,0.4677691,-0.8636085,1.002687,0.4495736,-0.8580526,0.9942609,0.4391415,-0.8648648,0.9908905,0.4902534,-0.9010743,0.02539914,
1529667426563,0.9633383,0.4824592,-0.9252327,0.9456015,0.4614015,-0.9022985,0.9412078,0.4445502,-0.8863,0.9514595,0.4813451,-0.8588844,0.942044,0.4581084,-0.8522795,0.9404089,0.4431208,-0.8596451,0.9692199,0.4765153,-0.8540562,0.9565961,0.4503898,-0.8470263,0.950945,0.4339453,-0.855406,0.9899785,0.4729763,-0.8567839,0.9782095,0.4482911,-0.8508956,0.9713154,0.4332433,-0.8600569,1.009129,0.4686713,-0.8627769,0.9999598,0.4503044,-0.8567431,0.9916154,0.4394783,-0.8630319,0.987235,0.4913225,-0.9001926,0.02670515,
1529667426590,0.9589165,0.4831291,-0.9237131,0.9393035,0.464591,-0.9000497,0.9332691,0.4492736,-0.8830757,0.9457294,0.4866721,-0.8575444,0.9356257,0.4642608,-0.8496497,0.933964,0.4489209,-0.8562176,0.9632358,0.4818652,-0.8519216,0.9497957,0.4567127,-0.8434373,0.9440966,0.4399375,-0.8510373,0.9840159,0.4778317,-0.8536931,0.9714879,0.4540963,-0.8460181,0.964479,0.4385345,-0.8541616,1.00328,0.4727357,-0.8588553,0.9935902,0.4552576,-0.8513473,0.9852039,0.4441134,-0.8569542,0.9828063,0.4928058,-0.8986074,0.0268694,
1529667426625,0.9540275,0.4869651,-0.9224079,0.9333137,0.4694201,-0.8989472,0.926482,0.4547056,-0.8817602,0.939564,0.491976,-0.8567888,0.9294073,0.4695906,-0.8488922,0.9279528,0.4541501,-0.8553044,0.956792,0.4873892,-0.8505305,0.9431646,0.4624144,-0.8420785,0.9377449,0.4455718,-0.8497263,0.9775962,0.4832904,-0.8515901,0.9648684,0.4597641,-0.8438492,0.9580767,0.4441139,-0.8520119,0.9970147,0.4780158,-0.8560487,0.9871612,0.4607413,-0.8484128,0.978862,0.4495554,-0.8540615,0.977513,0.4972562,-0.8968494,0.02650256,
1529667426657,0.9468099,0.4947282,-0.9203444,0.9269118,0.474492,-0.8983627,0.9204949,0.458235,-0.8823714,0.9328313,0.493999,-0.8537762,0.9236995,0.4708564,-0.8464897,0.9225637,0.455556,-0.853289,0.9503832,0.4900562,-0.8477087,0.938014,0.4642463,-0.8396245,0.9330845,0.4474398,-0.8475919,0.971527,0.4870792,-0.8492743,0.9602127,0.4626423,-0.8418604,0.9539579,0.4469469,-0.8502538,0.9912865,0.482989,-0.8545877,0.9827888,0.4647169,-0.8473927,0.975016,0.4532134,-0.8531134,0.9700465,0.5044935,-0.8940468,0.02927867,
1529667426684,0.9403826,0.5027423,-0.9190084,0.9209905,0.480815,-0.8981701,0.9144367,0.4637048,-0.8830636,0.926531,0.4988898,-0.8515608,0.9177176,0.4757394,-0.8438367,0.9167026,0.4603866,-0.8504415,0.9443921,0.4955494,-0.8454092,0.9325496,0.469708,-0.8361619,0.9276342,0.4524713,-0.8431602,0.9659327,0.4934081,-0.8471217,0.9555436,0.4688153,-0.8382499,0.9494348,0.4524446,-0.8453652,0.9860852,0.4900632,-0.8530542,0.9788415,0.4714908,-0.8449662,0.9715508,0.4592869,-0.8497918,0.9634967,0.5116512,-0.892322,0.03286868,
1529667426712,0.9317139,0.5143934,-0.917089,0.9116586,0.4926223,-0.8966267,0.9039046,0.475773,-0.8816749,0.9169778,0.5111202,-0.8490446,0.9076676,0.4885448,-0.8400949,0.9064536,0.4728702,-0.84578,0.9349449,0.5081392,-0.8424516,0.9227463,0.4830081,-0.8313708,0.9175521,0.4652982,-0.8368253,0.9568032,0.506189,-0.843819,0.9464722,0.4822075,-0.8327618,0.9402263,0.4651412,-0.8379279,0.9773254,0.5027668,-0.8497825,0.9706196,0.4845538,-0.8402928,0.9635853,0.4718114,-0.8439637,0.9546335,0.5234945,-0.8900787,0.03610222,
