time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529667495378,1.119801,0.5292736,-0.8499279,1.108737,0.5104443,-0.8212084,1.106269,0.4956696,-0.8027197,1.12223,0.5375098,-0.7821522,1.112369,0.5172184,-0.7692317,1.107665,0.5014699,-0.7727767,1.141562,0.533356,-0.7794083,1.130056,0.5127086,-0.7600751,1.121018,0.4955886,-0.758191,1.162151,0.5281471,-0.7860941,1.153609,0.5089437,-0.766279,1.144414,0.4925824,-0.7626202,1.179356,0.520327,-0.7972844,1.174753,0.5053581,-0.7819315,1.166322,0.4931908,-0.778704,1.147722,0.5394837,-0.8326667,0.03053155,
1529667495404,1.112864,0.52576,-0.8533328,1.100832,0.5077143,-0.8245049,1.098099,0.4932075,-0.8059605,1.113816,0.5342553,-0.7866105,1.103137,0.5135158,-0.7753454,1.09853,0.4980576,-0.7800905,1.132958,0.5295831,-0.7832033,1.120292,0.5084752,-0.7650214,1.1108,0.4915196,-0.7637967,1.153472,0.5239381,-0.789137,1.143671,0.50447,-0.7700781,1.133904,0.4883313,-0.7669507,1.170526,0.5157514,-0.7996458,1.164667,0.5007159,-0.7846855,1.155734,0.4888255,-0.7816876,1.14064,0.5355213,-0.8356742,0.02632434,
1529667495439,1.10116,0.5234381,-0.8599613,1.088802,0.5058298,-0.8310358,1.08628,0.49139,-0.8124702,1.101386,0.5322776,-0.7937974,1.090293,0.511354,-0.7827379,1.085447,0.4958229,-0.7871001,1.120246,0.5269381,-0.7904255,1.106945,0.5051274,-0.7735165,1.097285,0.4881993,-0.7731091,1.140431,0.5209197,-0.7960791,1.129464,0.5006188,-0.7786901,1.119251,0.4845232,-0.7770994,1.157346,0.5127393,-0.8060363,1.150154,0.4972832,-0.7921728,1.140606,0.4856346,-0.7902929,1.128834,0.5330508,-0.8420946,0.02576798,
1529667495473,1.092582,0.5202023,-0.8656491,1.079285,0.5017372,-0.8377181,1.076453,0.4865512,-0.8198537,1.090701,0.5266249,-0.7992666,1.078983,0.5055118,-0.7894219,1.074155,0.4903291,-0.7947757,1.109304,0.5206847,-0.7956471,1.095098,0.498308,-0.7803869,1.085224,0.481564,-0.7814361,1.129439,0.5144213,-0.8009828,1.117373,0.4933784,-0.7854059,1.106818,0.4774667,-0.785548,1.146495,0.5065173,-0.8105098,1.138327,0.4906354,-0.7977396,1.128427,0.4791888,-0.7970071,1.119729,0.5287184,-0.8466021,0.02546482,
1529667495499,1.085338,0.5175436,-0.8668396,1.07208,0.498004,-0.8396454,1.069457,0.4821119,-0.8224119,1.082338,0.5219957,-0.8004397,1.070436,0.5006206,-0.7917539,1.065838,0.485783,-0.7980996,1.101001,0.5161355,-0.7964358,1.086578,0.4936422,-0.7813202,1.076582,0.4769503,-0.7821783,1.121274,0.5099272,-0.8017209,1.109171,0.4886855,-0.7862527,1.098621,0.4727623,-0.7862176,1.138469,0.5022386,-0.8112904,1.130443,0.4861619,-0.7985274,1.120709,0.474581,-0.7975318,1.112032,0.5254628,-0.8472311,0.02485283,
1529667495525,1.074616,0.5156292,-0.8686961,1.061599,0.4947592,-0.8423882,1.059134,0.4780534,-0.8259072,1.070704,0.5177731,-0.8018816,1.058425,0.4964493,-0.7934991,1.0536,0.4817428,-0.7999824,1.089417,0.5115838,-0.7980552,1.074771,0.488911,-0.7832443,1.064605,0.4722885,-0.7840157,1.109685,0.5053827,-0.8035778,1.097404,0.4837877,-0.7885869,1.086799,0.4678677,-0.7886074,1.12692,0.4979856,-0.8133632,1.118767,0.4815836,-0.801058,1.109041,0.4699665,-0.800321,1.100876,0.5227678,-0.8486246,0.02676457,
1529667495551,1.068768,0.514497,-0.8695784,1.055684,0.4929056,-0.8439113,1.053264,0.4757121,-0.8279315,1.063539,0.5154814,-0.8025525,1.050842,0.4943246,-0.7942947,1.045794,0.479692,-0.800788,1.082179,0.5090297,-0.7985976,1.067126,0.4864606,-0.7840644,1.056789,0.4699795,-0.7851319,1.10247,0.5026925,-0.8040257,1.089799,0.4810918,-0.7894318,1.079042,0.4653041,-0.7899125,1.119812,0.495299,-0.8137587,1.11139,0.4788443,-0.8017665,1.101536,0.4673414,-0.8014773,1.0945,0.5209711,-0.8490027,0.02843232,
1529667495578,1.062561,0.5127383,-0.8714476,1.049558,0.490575,-0.8462382,1.04718,0.4731454,-0.8304558,1.055786,0.5132324,-0.8043828,1.043178,0.4919231,-0.7961434,1.03827,0.477125,-0.8024207,1.074443,0.5069786,-0.8001676,1.059465,0.4841465,-0.7859831,1.049387,0.467515,-0.7872791,1.094948,0.5009714,-0.8052478,1.082359,0.4791144,-0.7909496,1.071861,0.4631473,-0.7916073,1.112607,0.4938833,-0.814724,1.104237,0.4772064,-0.8030277,1.094559,0.4655547,-0.8030536,1.087627,0.5195071,-0.8502935,0.02968475,
1529667495605,1.061178,0.5118,-0.8712598,1.047691,0.4899167,-0.8460789,1.045054,0.4726192,-0.8301743,1.052951,0.5130304,-0.804356,1.040105,0.4918364,-0.7960119,1.035134,0.476915,-0.802003,1.071436,0.5067708,-0.7996665,1.056085,0.4841554,-0.7856518,1.045995,0.4675684,-0.7872232,1.092029,0.5006161,-0.8042231,1.079066,0.4789764,-0.7900143,1.06851,0.4630588,-0.7908641,1.109869,0.4933316,-0.813242,1.101193,0.4768221,-0.8016242,1.091424,0.4652596,-0.8019307,1.085755,0.5186478,-0.8496571,0.03017408,
1529667495640,1.05885,0.5110788,-0.8709668,1.045638,0.4887196,-0.8460968,1.043362,0.4711882,-0.8303655,1.049485,0.5117601,-0.8040994,1.036948,0.4902921,-0.7956657,1.032049,0.4751792,-0.8013279,1.067947,0.5057704,-0.7991627,1.052907,0.4828278,-0.7853487,1.043117,0.4660668,-0.78704,1.088669,0.4998801,-0.8035151,1.075953,0.4778525,-0.7897391,1.065695,0.4617672,-0.7909794,1.106737,0.4928745,-0.8123496,1.098187,0.4760165,-0.8012231,1.088576,0.4643443,-0.8020141,1.082785,0.5181915,-0.8489438,0.03141787,
