time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529667387175,1.17896,0.6519175,-0.8391593,1.172266,0.6559923,-0.8041079,1.17231,0.6538128,-0.7803742,1.202739,0.6815709,-0.78785,1.190681,0.6680633,-0.7699261,1.181502,0.6540139,-0.7703112,1.21782,0.6716839,-0.7861646,1.201973,0.6592178,-0.7649386,1.188222,0.6457468,-0.7638892,1.232875,0.658122,-0.7912474,1.21877,0.6477902,-0.7694329,1.203997,0.6364094,-0.7659343,1.243489,0.6430454,-0.7982632,1.232996,0.6369598,-0.7807305,1.21973,0.6306177,-0.7774765,1.21321,0.6558188,-0.8332325,0.01363009,
1529667387202,1.178634,0.6510545,-0.837393,1.172483,0.6547719,-0.8021682,1.172658,0.6526315,-0.7784045,1.202816,0.6808919,-0.7862561,1.191045,0.6674615,-0.7680068,1.181869,0.6534039,-0.7680327,1.218018,0.6709498,-0.7847893,1.202591,0.6584753,-0.7631699,1.188854,0.6450282,-0.7616761,1.232879,0.6573034,-0.7901984,1.218996,0.6467549,-0.7683541,1.204267,0.6353276,-0.7648655,1.243351,0.6422921,-0.7974224,1.232919,0.636034,-0.7799081,1.219672,0.6296524,-0.7766838,1.212742,0.655269,-0.8319493,0.01389316,
1529667387236,1.178028,0.6501619,-0.835362,1.172038,0.653744,-0.8000776,1.17231,0.6517673,-0.7762905,1.201635,0.6807642,-0.7845219,1.190281,0.6669938,-0.7662876,1.181528,0.6526674,-0.7663494,1.217138,0.671227,-0.7831371,1.202147,0.6583296,-0.761461,1.188789,0.6445125,-0.7599261,1.232359,0.6580468,-0.7885976,1.218874,0.6471735,-0.7667507,1.204468,0.6353363,-0.7634371,1.243193,0.6433641,-0.7958574,1.233056,0.6369436,-0.7782668,1.220009,0.6301873,-0.7750661,1.212004,0.6553364,-0.8301871,0.01358693,
1529667387257,1.177936,0.6493763,-0.8347785,1.171821,0.6529462,-0.7995138,1.172048,0.6509913,-0.7757266,1.201015,0.6802483,-0.783957,1.189656,0.6663439,-0.7658862,1.181057,0.6519313,-0.7661526,1.216598,0.670826,-0.7824853,1.201574,0.6577691,-0.7609574,1.18832,0.6438367,-0.7595912,1.231905,0.6577722,-0.7878599,1.218301,0.6467516,-0.7662178,1.203949,0.6347723,-0.7631589,1.242916,0.6432046,-0.7950234,1.232679,0.6367213,-0.7775493,1.219646,0.6298563,-0.7745494,1.211831,0.6548665,-0.8294981,0.01317984,
1529667387282,1.176467,0.6505659,-0.833216,1.17021,0.6542114,-0.7979888,1.170423,0.6523178,-0.774199,1.19901,0.6818527,-0.7825657,1.18764,0.6678054,-0.7646459,1.179243,0.6532806,-0.7650654,1.214644,0.6725287,-0.7810208,1.199523,0.6592414,-0.7597363,1.186412,0.6451535,-0.7586262,1.230062,0.659629,-0.7862648,1.216284,0.648427,-0.7648638,1.202014,0.6362851,-0.7621105,1.241219,0.6452063,-0.7932965,1.230752,0.6386489,-0.7760194,1.217733,0.6316471,-0.7733444,1.210297,0.6564236,-0.827858,0.01273311,
1529667387311,1.175031,0.6517164,-0.833326,1.168812,0.6548606,-0.7980307,1.168887,0.652702,-0.7742496,1.197466,0.6824641,-0.7824197,1.18577,0.6683649,-0.764616,1.177182,0.6539295,-0.7649581,1.21301,0.6729308,-0.7808612,1.197599,0.659622,-0.7596231,1.184278,0.6457096,-0.758303,1.228226,0.6598405,-0.7861665,1.214117,0.6485288,-0.764883,1.199689,0.6365515,-0.7619724,1.239182,0.645359,-0.7932712,1.228358,0.6386709,-0.7761955,1.215229,0.6318036,-0.7735956,1.208772,0.6573958,-0.8278517,0.01251529,
1529667387335,1.174238,0.6520745,-0.8330488,1.167902,0.6551682,-0.79777,1.167865,0.6529747,-0.7739877,1.196516,0.6827312,-0.7822976,1.184526,0.668524,-0.7646725,1.17583,0.6541317,-0.7650089,1.211994,0.6731744,-0.7805908,1.196287,0.6598932,-0.7594284,1.182832,0.646085,-0.7579515,1.227023,0.6599201,-0.7858204,1.212488,0.6485525,-0.7647734,1.197933,0.6366622,-0.7618698,1.237899,0.6454071,-0.7928029,1.226659,0.6386981,-0.7759803,1.213422,0.6319277,-0.773566,1.207963,0.6576031,-0.8274145,0.01205834,
1529667387362,1.17386,0.651713,-0.8326414,1.16716,0.6552406,-0.7974799,1.166945,0.6533285,-0.7736713,1.19556,0.6830861,-0.7822534,1.183416,0.6689054,-0.7647021,1.174839,0.6544387,-0.7650411,1.211093,0.6736994,-0.7802505,1.195201,0.6605452,-0.7591493,1.181813,0.6466665,-0.7576894,1.226121,0.6603968,-0.7852151,1.211249,0.6490839,-0.764395,1.196706,0.6371109,-0.7616771,1.237134,0.6459013,-0.7918757,1.225551,0.6392828,-0.7753,1.212281,0.6324567,-0.7732092,1.207598,0.6575122,-0.8268211,0.01174858,
1529667387390,1.173641,0.6515899,-0.8320894,1.166871,0.654954,-0.7969322,1.166598,0.6528715,-0.7731357,1.195272,0.6827466,-0.7814889,1.182907,0.6686887,-0.763963,1.174205,0.6543,-0.7642891,1.210742,0.6732373,-0.7794065,1.194658,0.6602533,-0.7583113,1.181142,0.6465004,-0.7568057,1.225634,0.6597633,-0.784355,1.210544,0.6485498,-0.7635839,1.195896,0.6367025,-0.7608325,1.236537,0.6451601,-0.7910054,1.224767,0.6385794,-0.7745103,1.211432,0.6318619,-0.7724425,1.207335,0.6571538,-0.8260766,0.01175401,
1529667387423,1.173308,0.6515369,-0.8325657,1.166574,0.6549023,-0.7974077,1.166352,0.6528131,-0.7736075,1.194953,0.6828042,-0.781979,1.182618,0.6688181,-0.7643541,1.173982,0.6543809,-0.764535,1.210498,0.6733673,-0.7799083,1.194504,0.6605038,-0.7586236,1.181045,0.6467157,-0.7568534,1.225433,0.6599042,-0.7848899,1.210458,0.6487847,-0.7639444,1.19588,0.6369013,-0.7609562,1.236337,0.6452814,-0.7915854,1.224633,0.6387336,-0.7750072,1.211348,0.6319543,-0.7728255,1.207042,0.6571065,-0.8265865,0.01195744,
1529667387444,1.172517,0.651699,-0.8329608,1.165647,0.655327,-0.7978712,1.16547,0.6533487,-0.7740664,1.193852,0.6836083,-0.7826358,1.181548,0.6696929,-0.7649965,1.173059,0.6551744,-0.765206,1.209375,0.6742148,-0.780488,1.193289,0.6613239,-0.7593489,1.179944,0.6474068,-0.7577549,1.224402,0.6608325,-0.7852852,1.209291,0.6497232,-0.7644889,1.194777,0.6377168,-0.7617068,1.235447,0.646255,-0.791784,1.223608,0.6397582,-0.775329,1.210343,0.6328868,-0.7733818,1.206284,0.657554,-0.8269523,0.01180828,
1529667387468,1.172168,0.6514257,-0.8338811,1.165425,0.655183,-0.798791,1.165419,0.6532428,-0.7749866,1.193843,0.6833625,-0.7836093,1.181769,0.6694627,-0.7658362,1.173358,0.6549051,-0.7659947,1.20943,0.6740255,-0.7815911,1.193598,0.6611037,-0.7603233,1.180344,0.6471125,-0.7586752,1.224494,0.6607085,-0.786508,1.209626,0.6495597,-0.7656063,1.195196,0.6374707,-0.7628008,1.235578,0.6461901,-0.7930906,1.223954,0.6396798,-0.7765115,1.210752,0.6327337,-0.7745011,1.206023,0.6573297,-0.8280749,0.01210982,
1529667387485,1.171662,0.6516631,-0.8343705,1.164917,0.6555524,-0.7993034,1.165004,0.6536551,-0.7755039,1.193342,0.6837597,-0.7841715,1.181385,0.6698427,-0.7664151,1.17312,0.6552109,-0.7666761,1.208973,0.6744905,-0.7822026,1.193227,0.6615017,-0.7609854,1.180091,0.6473921,-0.7594689,1.224136,0.6612846,-0.7871202,1.209366,0.6501126,-0.7662424,1.195025,0.6379062,-0.7635908,1.235303,0.646824,-0.793708,1.223762,0.6403223,-0.7771118,1.210617,0.6332739,-0.7751948,1.205577,0.6576662,-0.8286334,0.01209146,
1529667387510,1.170728,0.6525728,-0.8363669,1.163988,0.6564486,-0.8013148,1.164252,0.6544148,-0.7775465,1.192273,0.6848085,-0.7861563,1.180388,0.6708395,-0.7686064,1.172305,0.6561466,-0.769311,1.207826,0.6754613,-0.7842711,1.191983,0.6622088,-0.7635053,1.178986,0.6479452,-0.7626957,1.223189,0.6624531,-0.7890825,1.208437,0.6512132,-0.7683869,1.19415,0.6388985,-0.7661721,1.234483,0.6480571,-0.7956343,1.223017,0.6415579,-0.7790749,1.209903,0.6344457,-0.7774039,1.204685,0.6586747,-0.8306176,0.01164808,
1529667387536,1.170635,0.6530375,-0.8358415,1.163897,0.6569685,-0.8007995,1.164337,0.6549507,-0.7770555,1.192114,0.6855401,-0.7853818,1.180774,0.6715565,-0.7676814,1.172941,0.656777,-0.7685636,1.20777,0.6763828,-0.7836794,1.192406,0.6628668,-0.763042,1.179752,0.6483372,-0.7627968,1.223444,0.6636968,-0.7885923,1.209213,0.6522644,-0.7678853,1.195179,0.639678,-0.7660813,1.234962,0.6494699,-0.7952827,1.223908,0.6428096,-0.7786654,1.210938,0.6354622,-0.7772377,1.204538,0.6595451,-0.8301691,0.01222633,
1529667387563,1.17042,0.6538397,-0.8356975,1.163491,0.6575745,-0.8006467,1.163712,0.6555856,-0.7768954,1.192317,0.6859748,-0.7845706,1.181413,0.6721079,-0.7665321,1.17369,0.65729,-0.7672253,1.208043,0.6768644,-0.783204,1.193135,0.6632358,-0.762426,1.180702,0.6485544,-0.7622579,1.22382,0.6643076,-0.7884958,1.210034,0.6526526,-0.7677164,1.196202,0.6398833,-0.7660711,1.235458,0.650243,-0.7955317,1.224812,0.6433875,-0.7787806,1.211981,0.6358503,-0.7773254,1.204469,0.6604109,-0.8301063,0.01399871,
1529667387591,1.168783,0.6563766,-0.8362937,1.161431,0.6604803,-0.8013316,1.161098,0.6590627,-0.7775118,1.191083,0.6891174,-0.7848797,1.180573,0.6758823,-0.7661914,1.172998,0.6609955,-0.7663317,1.206984,0.6800876,-0.7836524,1.192605,0.6669742,-0.7621976,1.180368,0.6521673,-0.7614118,1.222824,0.6674327,-0.7891704,1.209538,0.6560161,-0.7679468,1.195919,0.6431117,-0.7659253,1.234527,0.6533475,-0.7963659,1.224285,0.6465859,-0.7793206,1.211611,0.6388789,-0.777573,1.203053,0.6630568,-0.8308029,0.01644229,
1529667387615,1.168059,0.6577397,-0.8359748,1.160372,0.6614118,-0.8009651,1.159207,0.660252,-0.7771162,1.190964,0.6903872,-0.783475,1.180958,0.6779211,-0.7641299,1.173347,0.6631067,-0.7638637,1.207039,0.6811996,-0.7825424,1.193434,0.6687471,-0.7599962,1.181211,0.654083,-0.7580616,1.222882,0.6683419,-0.7885504,1.210432,0.6571324,-0.7666084,1.196933,0.6442802,-0.763774,1.234587,0.6542149,-0.7962043,1.225237,0.6474613,-0.7784889,1.212765,0.6397512,-0.7758676,1.202357,0.664369,-0.8304782,0.01958889,
1529667387649,1.165674,0.6617004,-0.8350387,1.158308,0.6630827,-0.799729,1.156551,0.6610398,-0.7759116,1.191087,0.6921293,-0.7801048,1.182203,0.680729,-0.7595325,1.174325,0.6661656,-0.758123,1.207513,0.6826324,-0.7802208,1.195933,0.6712798,-0.7554349,1.183806,0.6571616,-0.7504225,1.22297,0.66948,-0.7878093,1.212482,0.6583942,-0.7645957,1.199301,0.6456609,-0.7600164,1.234318,0.6553463,-0.7970018,1.227039,0.6483394,-0.778138,1.215165,0.6405793,-0.7736992,1.200219,0.6677351,-0.829963,0.02566359,
1529667387669,1.163682,0.663939,-0.8335693,1.156208,0.664911,-0.7982426,1.153842,0.6631626,-0.7744066,1.19077,0.6951319,-0.7779545,1.183468,0.6854793,-0.7555764,1.175828,0.6712234,-0.7517657,1.207706,0.685992,-0.7785504,1.198557,0.6765423,-0.7516468,1.187351,0.6630386,-0.7435546,1.223068,0.6726862,-0.786864,1.214781,0.662538,-0.7621495,1.202501,0.6498404,-0.7553568,1.2343,0.6583069,-0.79679,1.228705,0.6514236,-0.7773124,1.217441,0.6434237,-0.7718642,1.198515,0.6702117,-0.8289235,0.03257285,
