time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529667530152,1.166384,0.5504111,-0.6267904,1.163192,0.5345438,-0.5946655,1.165973,0.5211972,-0.5750388,1.183835,0.5600169,-0.5630701,1.177239,0.5395498,-0.5497502,1.17176,0.5247759,-0.5548344,1.204935,0.5583465,-0.5627093,1.200482,0.5410467,-0.5382203,1.19269,0.5245528,-0.5313041,1.222385,0.5513313,-0.5740377,1.220577,0.5350224,-0.5496038,1.214255,0.5199951,-0.5394834,1.23586,0.5421191,-0.588401,1.235738,0.5288171,-0.5705509,1.22937,0.5172144,-0.5632347,1.197138,0.5597751,-0.6172405,0.02131943,
1529667530179,1.163687,0.5525257,-0.6349839,1.157397,0.5368856,-0.6032065,1.157871,0.5235986,-0.5832696,1.18243,0.5649071,-0.5673172,1.178467,0.549509,-0.5460856,1.172934,0.5343029,-0.5434437,1.202643,0.5618538,-0.5679879,1.201177,0.5505295,-0.5387297,1.195771,0.5373374,-0.5254717,1.218962,0.5519993,-0.5794137,1.217391,0.537183,-0.5537359,1.21225,0.5235307,-0.5409419,1.23181,0.5417144,-0.5936435,1.229917,0.5281918,-0.5762984,1.222171,0.5166699,-0.5703524,1.19508,0.5606413,-0.6239625,0.04390408,
1529667530206,1.16384,0.5524768,-0.6404014,1.155752,0.5375317,-0.6087093,1.154893,0.524685,-0.5884597,1.182764,0.5682579,-0.5714445,1.1809,0.5580007,-0.5462425,1.176657,0.5449382,-0.5366768,1.202254,0.5639523,-0.5720905,1.202019,0.5565611,-0.5412148,1.198248,0.5465467,-0.5248567,1.218056,0.5523962,-0.583043,1.216082,0.5384672,-0.5567802,1.211394,0.5258462,-0.5427154,1.23079,0.5413378,-0.5969638,1.227452,0.5276645,-0.5802929,1.218521,0.516369,-0.576037,1.195389,0.5603564,-0.6284671,0.05971038,
1529667530241,1.162335,0.5530744,-0.6502479,1.152262,0.5389845,-0.6187508,1.149969,0.5266335,-0.5982728,1.180896,0.5719882,-0.5805346,1.180804,0.5671338,-0.553182,1.178451,0.5587692,-0.5384282,1.199599,0.5662798,-0.5806199,1.199675,0.5619535,-0.5490286,1.196809,0.5547581,-0.53092,1.215087,0.5534397,-0.5907289,1.212446,0.5407192,-0.5638473,1.207934,0.5293548,-0.5486679,1.227265,0.5409468,-0.6045305,1.221706,0.5269049,-0.5893453,1.211415,0.5161319,-0.5875789,1.193969,0.560545,-0.6372071,0.0736566,
1529667530274,1.161814,0.5531355,-0.6622799,1.150585,0.5395937,-0.6309195,1.147279,0.5276973,-0.6102855,1.179614,0.5726349,-0.5923049,1.179603,0.5681835,-0.5649194,1.177495,0.5604627,-0.5496454,1.19763,0.5664259,-0.5919441,1.196326,0.5613409,-0.5606456,1.192475,0.5534278,-0.5429626,1.213923,0.5543078,-0.6014445,1.211531,0.5428303,-0.5738952,1.20708,0.532045,-0.5582992,1.225806,0.5409475,-0.6151989,1.219455,0.5268525,-0.6007241,1.208753,0.5163623,-0.6001726,1.193403,0.5605242,-0.6485862,0.07525799,
1529667530300,1.160103,0.5552106,-0.6777097,1.14839,0.5421319,-0.6462884,1.144543,0.5305933,-0.6255562,1.177191,0.5736079,-0.6078267,1.175328,0.5672104,-0.5810351,1.171887,0.5579461,-0.5668933,1.195174,0.567028,-0.6075082,1.191757,0.5594714,-0.5771248,1.186055,0.5493571,-0.5611487,1.212577,0.5563736,-0.6167641,1.21086,0.5461931,-0.5885124,1.206722,0.536136,-0.5724282,1.224741,0.5428474,-0.6302528,1.219133,0.5293685,-0.6149759,1.208542,0.5188328,-0.6136652,1.191855,0.5621918,-0.6640466,0.07026522,
1529667530339,1.158972,0.5541556,-0.6898,1.14715,0.5411919,-0.6583554,1.143322,0.5296839,-0.6376375,1.173646,0.5718694,-0.6203739,1.168917,0.5620786,-0.5954127,1.163386,0.5498291,-0.5847599,1.191475,0.5648679,-0.6197783,1.184778,0.5536909,-0.59158,1.176478,0.5406239,-0.5794719,1.209334,0.5551414,-0.6284554,1.204863,0.5433223,-0.6014607,1.198183,0.5315174,-0.5875851,1.222578,0.5424125,-0.6411201,1.216923,0.5295758,-0.6250945,1.206484,0.5190074,-0.6227709,1.190295,0.5613338,-0.6758377,0.06003695,
1529667530367,1.157455,0.5528162,-0.7031454,1.145576,0.5393382,-0.6719176,1.14169,0.527565,-0.6513788,1.169121,0.5694984,-0.6341014,1.16182,0.5570493,-0.61141,1.155054,0.5430787,-0.60432,1.187114,0.5623456,-0.6331417,1.177895,0.5484986,-0.6073331,1.168096,0.5337707,-0.5990909,1.205532,0.5533121,-0.6411927,1.198746,0.5396979,-0.6160421,1.189696,0.5260568,-0.6059883,1.219697,0.5414205,-0.6531728,1.213973,0.5288354,-0.6367268,1.203745,0.5182086,-0.6336476,1.188193,0.5603404,-0.6886386,0.05132059,
1529667530392,1.156544,0.552735,-0.7137318,1.144852,0.5389832,-0.6825295,1.140963,0.5270506,-0.6620997,1.166662,0.5679026,-0.6454337,1.157404,0.5534561,-0.6250737,1.149956,0.5387453,-0.6211106,1.184805,0.5605086,-0.6442552,1.173929,0.5450867,-0.6202016,1.163339,0.5299717,-0.6140337,1.203466,0.5517377,-0.6519196,1.195299,0.5371841,-0.6280374,1.185105,0.5231103,-0.6201129,1.217956,0.5402818,-0.6635183,1.212316,0.5280377,-0.6464683,1.20234,0.5175282,-0.642138,1.186843,0.5598613,-0.6991416,0.04356317,
1529667530420,1.157464,0.5489603,-0.7241553,1.146566,0.5348245,-0.6927972,1.142923,0.5228518,-0.6723526,1.166677,0.5630941,-0.6569096,1.156238,0.5468336,-0.63914,1.14884,0.5316936,-0.6384737,1.184995,0.5557759,-0.6556797,1.173086,0.5389521,-0.6331544,1.162175,0.5235296,-0.6285141,1.204102,0.5475826,-0.6630616,1.195543,0.5324261,-0.6397789,1.185058,0.5181872,-0.6326349,1.218911,0.5366426,-0.674508,1.213938,0.5246672,-0.656748,1.204605,0.5141962,-0.6509978,1.187343,0.5562738,-0.7098879,0.03551011,
1529667530455,1.158074,0.5467387,-0.738207,1.148129,0.5321561,-0.7067046,1.145105,0.5199096,-0.6863973,1.166522,0.5591058,-0.6722652,1.155075,0.5411325,-0.6581014,1.148294,0.5262955,-0.6617588,1.185145,0.5522265,-0.6706502,1.172378,0.5345809,-0.6492313,1.161152,0.5191284,-0.645425,1.205043,0.5446898,-0.6776795,1.197029,0.529766,-0.6539526,1.186728,0.5157427,-0.6461275,1.219987,0.5340075,-0.6892625,1.216668,0.5227918,-0.6702238,1.208881,0.5126495,-0.6619589,1.187547,0.553894,-0.7243341,0.02565162,
1529667530485,1.158992,0.5451207,-0.7458351,1.149458,0.5302414,-0.7143397,1.146818,0.5177072,-0.6942092,1.166417,0.5564073,-0.6807243,1.154398,0.5376339,-0.6686467,1.147942,0.5232939,-0.6742101,1.184975,0.5495366,-0.6786569,1.171419,0.531323,-0.6581347,1.159871,0.5159401,-0.6547105,1.205341,0.5422912,-0.6851509,1.197484,0.527549,-0.6610658,1.187407,0.5138526,-0.6522221,1.220206,0.5315391,-0.6966854,1.217284,0.5205683,-0.67729,1.210057,0.5106983,-0.6681932,1.188096,0.5519364,-0.7318841,0.02079512,
1529667530513,1.160833,0.5426438,-0.7587663,1.151995,0.5274034,-0.7272292,1.149798,0.5146687,-0.7072055,1.168752,0.5533169,-0.6937664,1.156884,0.534394,-0.6821791,1.150621,0.5203209,-0.6884714,1.187273,0.5464056,-0.6920267,1.17375,0.5278415,-0.6719452,1.162175,0.5123607,-0.6690451,1.207788,0.5394226,-0.6986966,1.20041,0.5246309,-0.674447,1.190611,0.5109471,-0.6652428,1.222484,0.5288473,-0.7105142,1.219992,0.5179468,-0.6909735,1.213124,0.5081166,-0.681554,1.189826,0.5494769,-0.7451599,0.01958551,
1529667530539,1.163556,0.5401951,-0.767189,1.155065,0.5252995,-0.7353901,1.153041,0.512792,-0.7152123,1.172799,0.5513874,-0.7020106,1.161237,0.5328608,-0.689187,1.154545,0.5185274,-0.694388,1.19118,0.5442464,-0.7008069,1.178051,0.5259223,-0.6803173,1.166509,0.5104789,-0.6772832,1.211526,0.5371003,-0.7078633,1.204529,0.5224185,-0.6834693,1.194816,0.5087522,-0.6741612,1.225955,0.5264192,-0.7198834,1.223596,0.5155319,-0.7003752,1.216629,0.5056779,-0.6910584,1.19284,0.5468907,-0.7540976,0.02165201,
1529667530566,1.16554,0.5378953,-0.7789439,1.15731,0.5225376,-0.7472979,1.155556,0.5096534,-0.7273573,1.175237,0.5483549,-0.7134172,1.163777,0.5299615,-0.7004013,1.156908,0.5157097,-0.7055688,1.193536,0.5409882,-0.71254,1.180519,0.5225919,-0.6921347,1.168902,0.5071793,-0.6893802,1.213707,0.5337112,-0.7199109,1.206738,0.5187332,-0.6957215,1.196928,0.5049634,-0.6867014,1.227895,0.5230771,-0.7321744,1.225244,0.5118393,-0.7129947,1.217796,0.5018046,-0.7043087,1.194872,0.5443684,-0.7659328,0.02265489,
1529667530593,1.166139,0.5385746,-0.7886761,1.158044,0.5230589,-0.757085,1.156496,0.509939,-0.7372844,1.176754,0.5490302,-0.7228469,1.165325,0.5310694,-0.708936,1.158016,0.516719,-0.7132028,1.194815,0.5411379,-0.7224371,1.181791,0.5228424,-0.7019982,1.170015,0.5075638,-0.6994064,1.214572,0.5334297,-0.7301421,1.207204,0.5181266,-0.706359,1.196994,0.5042917,-0.6979468,1.228494,0.5227242,-0.742517,1.225246,0.5111879,-0.723741,1.217079,0.5010976,-0.7158546,1.19564,0.544618,-0.7758505,0.025064,
1529667530620,1.168344,0.5373971,-0.8009716,1.160501,0.5211432,-0.7696939,1.159096,0.5076331,-0.7501101,1.179758,0.5473217,-0.7345237,1.168886,0.5295452,-0.7195337,1.161475,0.5149355,-0.7226192,1.197791,0.5393707,-0.7346889,1.185389,0.5208619,-0.7139251,1.173925,0.5054365,-0.7109295,1.217094,0.5315931,-0.7430264,1.209503,0.5153936,-0.7199914,1.199177,0.5011462,-0.7125114,1.231047,0.5213687,-0.7556424,1.227369,0.5091707,-0.7374789,1.218795,0.4987756,-0.7305058,1.198035,0.5437024,-0.7882212,0.02854364,
1529667530654,1.170384,0.5356804,-0.8135318,1.162141,0.518801,-0.7826967,1.160398,0.5050256,-0.7632688,1.182831,0.5452347,-0.7460439,1.17297,0.5279715,-0.7294377,1.165687,0.513074,-0.7309364,1.200947,0.5374648,-0.7467086,1.189667,0.519065,-0.725094,1.17879,0.5034337,-0.7213597,1.219687,0.5295509,-0.7558811,1.211951,0.5123911,-0.7337776,1.20156,0.4976269,-0.7276456,1.233833,0.5199221,-0.7687448,1.229736,0.5069526,-0.7514145,1.220705,0.4961945,-0.7457901,1.200537,0.5422227,-0.8006447,0.03373637,
1529667530673,1.171563,0.5346991,-0.8176067,1.162634,0.5173305,-0.7872535,1.16049,0.5032744,-0.7680282,1.18375,0.5441281,-0.749222,1.174416,0.5274189,-0.7312803,1.167239,0.512372,-0.7310375,1.201909,0.536422,-0.7499382,1.191158,0.518183,-0.7277256,1.180709,0.5024703,-0.7231452,1.220379,0.5283537,-0.7594067,1.212261,0.5105211,-0.738076,1.201823,0.4954529,-0.7329109,1.234776,0.5190508,-0.7722492,1.230088,0.5054479,-0.7556876,1.220726,0.4944915,-0.7511494,1.201851,0.5413725,-0.8041387,0.03868628,
1529667530699,1.175909,0.5335901,-0.8337437,1.16585,0.5157231,-0.8040788,1.163391,0.5011554,-0.7852795,1.188394,0.5432528,-0.764032,1.180115,0.5277873,-0.74404,1.173119,0.5128733,-0.7413062,1.206584,0.5355227,-0.76469,1.196959,0.5181005,-0.7410881,1.187106,0.5025475,-0.7350056,1.224298,0.526677,-0.7747745,1.215634,0.5080467,-0.7545821,1.204976,0.4927422,-0.7510101,1.238799,0.5175663,-0.7875958,1.233171,0.5031858,-0.7722503,1.223227,0.4921989,-0.7693874,1.206623,0.5403452,-0.8194813,0.04653611,
1529667530726,1.176205,0.5342732,-0.8432521,1.164708,0.5153909,-0.814819,1.161865,0.4998988,-0.7968774,1.188492,0.5424134,-0.7720261,1.18122,0.5277377,-0.7507513,1.174497,0.5131006,-0.7463692,1.206784,0.5347842,-0.7724223,1.198319,0.517989,-0.7477617,1.189023,0.5026342,-0.7405548,1.223931,0.5255044,-0.7828952,1.215129,0.5063261,-0.7634128,1.204468,0.4908825,-0.7607208,1.238432,0.5164806,-0.7959718,1.232117,0.5013343,-0.7819384,1.221773,0.4904644,-0.780741,1.207089,0.5404564,-0.8277388,0.05371153,
1529667530752,1.177701,0.5353997,-0.8526769,1.16524,0.5156763,-0.8253187,1.162431,0.4993594,-0.8081936,1.19051,0.5424249,-0.780081,1.185152,0.5293729,-0.756731,1.179306,0.5156028,-0.7491608,1.208858,0.5347795,-0.78039,1.202273,0.5188966,-0.7543756,1.193992,0.5038813,-0.7454062,1.225091,0.5248729,-0.7914622,1.216238,0.5050222,-0.7729666,1.205575,0.4894413,-0.771497,1.239724,0.5161457,-0.8047575,1.23313,0.5003586,-0.7918575,1.222607,0.4896558,-0.792015,1.208766,0.5410467,-0.8362245,0.0635094,
1529667530779,1.180643,0.5363951,-0.8658141,1.167362,0.5155535,-0.8398119,1.164903,0.4983057,-0.8236554,1.193186,0.5426795,-0.7917277,1.190016,0.5315967,-0.7667325,1.185572,0.5189356,-0.7564384,1.211905,0.535285,-0.7916704,1.207802,0.5206758,-0.7642552,1.201126,0.5061153,-0.7532693,1.227299,0.5247877,-0.8031359,1.218693,0.5041829,-0.785886,1.208287,0.4884063,-0.7861638,1.242559,0.5166849,-0.8164285,1.236315,0.5002382,-0.8044726,1.225962,0.4895828,-0.8058991,1.211631,0.5420095,-0.848017,0.07328662,
1529667530805,1.184148,0.5361282,-0.8730783,1.170133,0.5146998,-0.8479267,1.167252,0.4971516,-0.8322186,1.197271,0.5415478,-0.7982651,1.195847,0.5315266,-0.7725518,1.192688,0.5197244,-0.7606813,1.216253,0.5346403,-0.7980895,1.214266,0.5211339,-0.7696984,1.209234,0.5073013,-0.7568825,1.231449,0.5243319,-0.8094826,1.224183,0.5037867,-0.7910764,1.214612,0.4875014,-0.789729,1.246355,0.5160721,-0.8235896,1.240096,0.4990628,-0.8128657,1.229743,0.4887882,-0.8157136,1.215232,0.5417003,-0.854643,0.07920906,
1529667530839,1.186489,0.5381615,-0.8815442,1.172642,0.5156295,-0.8573222,1.17017,0.4973804,-0.8423998,1.20152,0.5419992,-0.8063213,1.202238,0.532716,-0.7802691,1.200519,0.5215169,-0.7674307,1.220496,0.5354675,-0.8064352,1.220669,0.5227565,-0.7775218,1.217254,0.5095587,-0.763425,1.235696,0.5254549,-0.8180215,1.23234,0.5063673,-0.7950644,1.226663,0.4908965,-0.7854096,1.249573,0.5169676,-0.8334702,1.243351,0.4993346,-0.8241231,1.232932,0.4894307,-0.8279625,1.217919,0.543462,-0.8629932,0.0844041,
1529667530859,1.187677,0.5394675,-0.886382,1.173948,0.5162643,-0.8627599,1.171748,0.497627,-0.8482978,1.203145,0.5423627,-0.8109361,1.204566,0.5332577,-0.784856,1.203387,0.5221661,-0.7718297,1.222167,0.5361105,-0.811128,1.222973,0.5234224,-0.7822437,1.219995,0.5101164,-0.7681359,1.237701,0.5265992,-0.8226736,1.235751,0.5080302,-0.7989722,1.231482,0.4930547,-0.7877127,1.25136,0.5182104,-0.8385745,1.245543,0.5003144,-0.8295349,1.235289,0.4902892,-0.8335361,1.219205,0.5448294,-0.8676121,0.08631665,
