time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528901617589,0.8134329,1.359467,-0.6490525,0.7761065,1.369707,-0.6370186,0.7517242,1.370037,-0.6279957,0.7729665,1.368819,-0.5797832,0.7448916,1.366875,-0.5761194,0.7310874,1.360582,-0.5856621,0.7772925,1.349086,-0.5703453,0.7454172,1.348321,-0.5667498,0.7293313,1.34413,-0.5788679,0.7876797,1.325374,-0.56881,0.7577012,1.322449,-0.5649589,0.7416507,1.319377,-0.5767924,0.7978774,1.303115,-0.572895,0.7753728,1.299838,-0.5683147,0.7620085,1.299562,-0.5772032,0.8194818,1.338634,-0.6120516,0.04803546,
1528901617629,0.8174956,1.348449,-0.667732,0.7801982,1.359304,-0.6562704,0.7555817,1.359875,-0.6478807,0.7742165,1.358122,-0.5995036,0.7458679,1.357819,-0.5932627,0.7296227,1.353403,-0.6000587,0.7769762,1.337387,-0.5907863,0.7445309,1.337425,-0.5850537,0.726207,1.334742,-0.5944166,0.7859538,1.313518,-0.5902575,0.7555506,1.311266,-0.5867882,0.7388244,1.309073,-0.5981119,0.7955097,1.291218,-0.5942804,0.7727278,1.288499,-0.5899373,0.7590846,1.28873,-0.5985069,0.8204242,1.326867,-0.6318313,0.05479707,
1528901617654,0.8195481,1.343099,-0.6743176,0.7824881,1.354439,-0.6626592,0.7578199,1.355204,-0.6544051,0.7752585,1.351979,-0.6063753,0.7470101,1.352434,-0.5987881,0.7299628,1.349114,-0.6042756,0.7770329,1.330479,-0.5984671,0.744541,1.330695,-0.5918494,0.7256926,1.328822,-0.6003363,0.7850361,1.306528,-0.5991031,0.7544678,1.304634,-0.5960858,0.7375708,1.303202,-0.6073968,0.7940722,1.284158,-0.6035414,0.771175,1.281615,-0.5994999,0.7575321,1.282395,-0.6080598,0.8208047,1.320447,-0.6395514,0.05767201,
1528901617682,0.8227803,1.335449,-0.6845248,0.7858756,1.346995,-0.6726557,0.7611885,1.347855,-0.6644258,0.7780693,1.344321,-0.6166891,0.7500178,1.345235,-0.6077884,0.7324805,1.342624,-0.6120203,0.7791034,1.322323,-0.6093022,0.7466302,1.322491,-0.6019235,0.7274889,1.321023,-0.6097518,0.7863553,1.298404,-0.6107674,0.7556629,1.296707,-0.6081047,0.7386472,1.295718,-0.6193721,0.7950694,1.275905,-0.6152509,0.7721151,1.27334,-0.6112397,0.7583223,1.274372,-0.6195794,0.8229901,1.312455,-0.6504655,0.05998217,
1528901617709,0.8272793,1.324257,-0.6989872,0.7904028,1.336417,-0.6876217,0.7655535,1.337952,-0.6799057,0.7810433,1.33366,-0.6321421,0.7530838,1.33505,-0.6228213,0.7353694,1.333076,-0.6266896,0.7809422,1.311212,-0.6253079,0.7483902,1.311522,-0.6181314,0.7293038,1.310552,-0.6261048,0.7872604,1.287327,-0.6273882,0.7563871,1.286128,-0.6255552,0.7394761,1.285749,-0.6370533,0.7954838,1.264573,-0.6317855,0.7723796,1.262133,-0.628176,0.7585214,1.263495,-0.6364392,0.82565,1.301065,-0.6656215,0.06137427,
1528901617735,0.8315122,1.315821,-0.7096814,0.7946602,1.328768,-0.6990758,0.7696865,1.330988,-0.6919352,0.7838469,1.325924,-0.6438768,0.7558438,1.32764,-0.6348227,0.7382124,1.325973,-0.6390525,0.782922,1.303379,-0.6373112,0.7502745,1.304045,-0.6307623,0.7313982,1.303442,-0.6392179,0.7886145,1.279474,-0.6396052,0.7575963,1.27879,-0.6384907,0.7407812,1.278817,-0.6501607,0.7964364,1.256535,-0.6438487,0.7731704,1.254368,-0.6407375,0.7593652,1.255966,-0.6490855,0.8283715,1.29263,-0.6766632,0.06174412,
1528901617762,0.8372334,1.303345,-0.7248772,0.8005615,1.317306,-0.7149489,0.7755017,1.320122,-0.7083783,0.7883422,1.314022,-0.6598409,0.7604321,1.316289,-0.6506175,0.742758,1.315189,-0.6548204,0.7863945,1.291332,-0.6537306,0.7537537,1.292565,-0.6474773,0.7350023,1.292551,-0.6562297,0.7912307,1.267395,-0.6565008,0.7600929,1.267453,-0.6558322,0.7433071,1.268097,-0.6675321,0.7984325,1.244211,-0.6609221,0.775031,1.242418,-0.6583273,0.7613881,1.244436,-0.6668407,0.8324099,1.279867,-0.6923623,0.06296766,
1528901617788,0.8389494,1.294808,-0.7342236,0.8027718,1.309019,-0.7233201,0.7778195,1.310987,-0.7162682,0.7908683,1.304318,-0.6680571,0.7635893,1.306426,-0.6570603,0.7456776,1.305518,-0.6601726,0.7887703,1.281417,-0.6620338,0.7566593,1.28237,-0.6538116,0.7377177,1.282514,-0.6618748,0.7929029,1.257623,-0.6659998,0.7618643,1.257687,-0.6646098,0.7450444,1.258615,-0.6761526,0.7997572,1.234465,-0.6712157,0.7764551,1.232659,-0.6685966,0.7629924,1.234993,-0.6772691,0.8337948,1.270508,-0.7024004,0.06488252,
1528901617821,0.8416543,1.282258,-0.7450574,0.8063659,1.29645,-0.7318121,0.781736,1.297618,-0.7237104,0.7961504,1.288869,-0.6765751,0.7698239,1.290725,-0.6632585,0.7516283,1.290371,-0.6646401,0.7933381,1.265658,-0.6721689,0.7616503,1.266486,-0.6625152,0.7425338,1.267359,-0.6699181,0.7965568,1.242165,-0.6779907,0.7655671,1.24267,-0.6759414,0.7485809,1.24457,-0.6870943,0.8026356,1.219315,-0.6847552,0.7793738,1.217969,-0.6820642,0.7660787,1.221239,-0.6906536,0.8365417,1.256328,-0.7148892,0.06669553,
1528901617841,0.8430508,1.273823,-0.7541937,0.8081713,1.287437,-0.7395507,0.783833,1.287664,-0.7306214,0.7991745,1.279377,-0.6845114,0.7737915,1.28056,-0.6691996,0.7554995,1.279881,-0.668789,0.7964078,1.256181,-0.6805063,0.7650321,1.256271,-0.669825,0.7458306,1.256744,-0.6767743,0.7997563,1.232784,-0.6865835,0.7687916,1.232621,-0.683833,0.7515702,1.234189,-0.69461,0.8060138,1.210158,-0.6935543,0.7828515,1.2085,-0.6906301,0.7695121,1.211637,-0.6991857,0.8388423,1.247581,-0.7241974,0.06845877,
