time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528901582863,1.14915,0.8660049,-0.8742243,1.119951,0.8554019,-0.8478246,1.102847,0.8469334,-0.8299407,1.142874,0.8782401,-0.7912834,1.130562,0.8657897,-0.7676641,1.122376,0.8511343,-0.7603136,1.163213,0.8713522,-0.7844572,1.148298,0.8572155,-0.7582142,1.136829,0.8411957,-0.7510732,1.18713,0.8617949,-0.7877827,1.175347,0.8464092,-0.7629447,1.164315,0.8304833,-0.755846,1.208585,0.8499851,-0.7963213,1.20245,0.8367532,-0.7774557,1.193156,0.8242712,-0.7724466,1.180494,0.8707905,-0.8434666,0.07243593,
1528901582894,1.140544,0.870317,-0.8718246,1.111389,0.8595868,-0.8454427,1.094487,0.8508571,-0.8275036,1.134218,0.8816038,-0.7887398,1.121549,0.8692994,-0.765265,1.113228,0.8546486,-0.7581149,1.154721,0.8746291,-0.7820156,1.139629,0.8604746,-0.7559488,1.128108,0.8443829,-0.7491521,1.178752,0.8649834,-0.7855251,1.166928,0.8493323,-0.7609289,1.155887,0.833258,-0.7543657,1.200303,0.853344,-0.7942356,1.194203,0.8399404,-0.7755303,1.184874,0.827387,-0.7708883,1.172116,0.8746487,-0.8410655,0.07197478,
1528901582962,1.126284,0.8780625,-0.8705838,1.096924,0.8681823,-0.8441233,1.080147,0.8597828,-0.8259244,1.117965,0.8920512,-0.78818,1.104901,0.8807662,-0.7644424,1.096391,0.8664287,-0.7568621,1.138155,0.8850135,-0.7808508,1.122447,0.871635,-0.7548033,1.110733,0.8557034,-0.7479536,1.162081,0.8751678,-0.7835404,1.149471,0.8602497,-0.7588998,1.13817,0.8443859,-0.7522447,1.183678,0.8633018,-0.7913266,1.176787,0.8505818,-0.772423,1.167213,0.8382407,-0.7676626,1.156943,0.8831311,-0.8394499,0.07125746,
1528901583030,1.114434,0.8881091,-0.8730568,1.086798,0.8777826,-0.8450973,1.072378,0.8681744,-0.825578,1.105606,0.9053311,-0.791932,1.091869,0.8942025,-0.7686887,1.083015,0.8797263,-0.7619274,1.125712,0.8975403,-0.7844024,1.109453,0.883997,-0.7590594,1.097425,0.8678992,-0.7534158,1.14903,0.88676,-0.7869849,1.135348,0.8714824,-0.7634258,1.123435,0.8555406,-0.7583383,1.16977,0.874308,-0.7943914,1.16112,0.8615319,-0.7765462,1.150539,0.8495106,-0.7735518,1.144519,0.8941353,-0.8426632,0.06555911,
1528901583122,1.103954,0.8924681,-0.876969,1.078942,0.881644,-0.8469622,1.067403,0.8711198,-0.8261099,1.094033,0.9133044,-0.7984973,1.079207,0.9006257,-0.7770442,1.07034,0.8853931,-0.772416,1.114001,0.9051434,-0.7906865,1.096648,0.8902835,-0.7670915,1.084444,0.87378,-0.7634304,1.1369,0.8938361,-0.7928945,1.121851,0.877684,-0.7709635,1.109421,0.8616765,-0.7675959,1.157004,0.8810148,-0.7996156,1.146732,0.8680354,-0.7828445,1.135461,0.8564028,-0.7809684,1.133152,0.9004148,-0.8479073,0.0556362,
1528901583161,1.096797,0.8965977,-0.8800551,1.071869,0.8871262,-0.849601,1.060971,0.8769228,-0.8283153,1.084008,0.9206216,-0.8038983,1.067622,0.908158,-0.7836815,1.058211,0.8929776,-0.7802854,1.103132,0.9119217,-0.7950223,1.083853,0.897833,-0.7726004,1.070884,0.8817603,-0.770024,1.125374,0.89966,-0.7959074,1.108195,0.8845689,-0.7748306,1.094828,0.8692088,-0.7722178,1.144957,0.8858917,-0.8012325,1.132826,0.8740006,-0.7848675,1.120823,0.86308,-0.7835361,1.124553,0.9044119,-0.8507806,0.0507173,
1528901583228,1.085249,0.9045848,-0.8842878,1.06224,0.897336,-0.8520932,1.054167,0.8870747,-0.8297711,1.070268,0.9320436,-0.8115435,1.052596,0.9201482,-0.7919215,1.042396,0.9054625,-0.788803,1.088072,0.9222685,-0.8019247,1.066922,0.9086244,-0.7808984,1.053208,0.8931009,-0.7794152,1.108801,0.9082773,-0.8020819,1.088944,0.893235,-0.7832121,1.074615,0.8785198,-0.781894,1.127194,0.8938603,-0.8059156,1.112169,0.8825727,-0.7917571,1.099468,0.8725592,-0.7928126,1.110999,0.9123772,-0.8559428,0.04642268,
1528901583302,1.071791,0.9119495,-0.8854796,1.05123,0.9095374,-0.8511761,1.045917,0.9011876,-0.8275266,1.054356,0.9468971,-0.8193907,1.035978,0.9345207,-0.8023884,1.027581,0.9187636,-0.8031452,1.070675,0.9365318,-0.8092425,1.047898,0.9215379,-0.7929585,1.036234,0.9051098,-0.7968498,1.090639,0.9229622,-0.8071858,1.068692,0.9078755,-0.7931579,1.055643,0.8926188,-0.7974051,1.108628,0.908801,-0.8080237,1.091469,0.8990347,-0.7964923,1.079653,0.8893552,-0.8013223,1.095605,0.9220476,-0.859143,0.03520731,
1528901583334,1.060812,0.9252072,-0.886924,1.040177,0.923216,-0.852972,1.034897,0.9130596,-0.8301606,1.042359,0.953589,-0.8199424,1.022863,0.9397345,-0.8074563,1.015667,0.9246979,-0.8133263,1.056983,0.9410145,-0.8106794,1.032932,0.9250662,-0.8006698,1.02318,0.9101665,-0.8106311,1.075788,0.926044,-0.8088468,1.052661,0.9107395,-0.8009338,1.041811,0.8975378,-0.811779,1.092664,0.9111124,-0.8097448,1.074163,0.9016815,-0.8019242,1.063481,0.8938349,-0.81071,1.083546,0.9296794,-0.8593901,0.02808244,
1528901583388,1.039026,0.9408928,-0.8923423,1.016886,0.9375653,-0.8601832,1.010708,0.9244728,-0.8390942,1.018703,0.9600451,-0.8233268,0.9982938,0.9455069,-0.8148091,0.9916462,0.9320942,-0.8242226,1.031886,0.9460397,-0.8147371,1.006812,0.9306981,-0.8087577,0.9979411,0.9181415,-0.8220308,1.049508,0.9293102,-0.8141725,1.025693,0.9145861,-0.8109845,1.016589,0.9043991,-0.8256871,1.065455,0.9136631,-0.815811,1.046266,0.9046166,-0.8111939,1.036851,0.899204,-0.8227122,1.060539,0.9390503,-0.8630867,0.02534977,
