time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528901567014,0.8271385,0.8933814,-0.8681132,0.7974619,0.8678424,-0.8585507,0.7859341,0.8459505,-0.8517035,0.7810873,0.8710418,-0.8047562,0.7610359,0.8510415,-0.7968928,0.751098,0.8361793,-0.8012308,0.796171,0.8569114,-0.7961689,0.7726824,0.8338141,-0.7900621,0.7602521,0.8184702,-0.7972648,0.8183424,0.8469136,-0.7930155,0.7968159,0.8248059,-0.7862903,0.7840939,0.8100617,-0.7930447,0.8395812,0.8359072,-0.8025664,0.8254508,0.8205689,-0.8089014,0.8209367,0.8185461,-0.8241149,0.8377728,0.8816429,-0.8335144,0.06210095,
1528901567091,0.826772,0.9018521,-0.8716646,0.79722,0.8764223,-0.8612628,0.7854009,0.854874,-0.8536751,0.7807797,0.8794186,-0.8088747,0.7611283,0.8588247,-0.8007879,0.7512889,0.8435182,-0.8040375,0.796313,0.8661516,-0.7992985,0.7734793,0.8423597,-0.7921757,0.7610217,0.8261173,-0.7975706,0.818825,0.8573633,-0.7948515,0.7979968,0.8350869,-0.7861637,0.785182,0.8193654,-0.7906847,0.8403199,0.8464445,-0.8041345,0.8265057,0.8300998,-0.8094385,0.8214928,0.8264716,-0.824268,0.8374673,0.8911629,-0.8368764,0.06129007,
1528901567136,0.8273796,0.9111476,-0.8746605,0.7979973,0.8860782,-0.8627514,0.7856376,0.8651594,-0.8540523,0.7811279,0.8908881,-0.8117963,0.7616169,0.8703032,-0.8031848,0.7518957,0.8547664,-0.805751,0.7968585,0.878168,-0.8015141,0.774361,0.854214,-0.7936186,0.7620819,0.8375311,-0.7981416,0.8193938,0.8697841,-0.7966526,0.7988367,0.8473913,-0.7873006,0.7861507,0.8312228,-0.7907825,0.8409856,0.8590821,-0.8045325,0.8270332,0.8420379,-0.8081611,0.8214647,0.8367025,-0.8222605,0.8378714,0.902121,-0.8397713,0.05982932,
1528901567175,0.8290458,0.9146683,-0.8762773,0.7996824,0.8901033,-0.8632318,0.7870864,0.8697348,-0.8535399,0.7826011,0.8966367,-0.8130753,0.7635555,0.8759671,-0.8038259,0.7543761,0.8600811,-0.8060825,0.798403,0.8845955,-0.8021392,0.776454,0.8604057,-0.793721,0.764752,0.8432615,-0.7980288,0.82087,0.8768483,-0.7967094,0.8006133,0.854422,-0.7869476,0.7883661,0.8378927,-0.7902521,0.8426654,0.8662419,-0.8037099,0.8289968,0.8488576,-0.8067424,0.8237178,0.8428379,-0.820665,0.8393318,0.9074395,-0.841006,0.05844111,
1528901567294,0.837747,0.9281474,-0.8809279,0.805663,0.9091609,-0.8654506,0.7910995,0.8915906,-0.8533583,0.789803,0.9207652,-0.8168836,0.7703307,0.9021879,-0.806264,0.7620177,0.8862966,-0.8095993,0.8042347,0.9086126,-0.8045349,0.7815554,0.8864833,-0.7955145,0.7708949,0.8697219,-0.802002,0.8252252,0.899774,-0.7983871,0.8032916,0.8796085,-0.7889999,0.7914057,0.8638303,-0.7946149,0.8464901,0.8870236,-0.8025886,0.8316535,0.8704638,-0.803692,0.8261717,0.8633527,-0.8169638,0.8471712,0.9234741,-0.844903,0.05280744,
1528901567334,0.8399569,0.9357868,-0.8812637,0.8076259,0.9178658,-0.8651764,0.7930459,0.9006429,-0.8526411,0.7925898,0.9300261,-0.8168046,0.7730378,0.9117057,-0.8063482,0.7648875,0.895949,-0.8103164,0.8067334,0.9176971,-0.8045353,0.783757,0.8960594,-0.7957692,0.7731974,0.8796352,-0.8029851,0.8274308,0.9084189,-0.7985677,0.8050132,0.8888315,-0.789376,0.7929668,0.8734035,-0.7954199,0.8484184,0.895309,-0.802254,0.8329874,0.879176,-0.8024745,0.8269409,0.8717977,-0.8153235,0.8496503,0.931144,-0.8452995,0.05105203,
1528901567388,0.8459006,0.9448044,-0.8826967,0.813329,0.9284908,-0.8656589,0.7989142,0.9118448,-0.8522434,0.7992644,0.942529,-0.8176968,0.779513,0.9247428,-0.8069248,0.7712774,0.9090634,-0.8108627,0.8129936,0.9303567,-0.8052132,0.7895133,0.9095497,-0.7961416,0.7788041,0.8933105,-0.8033862,0.8334132,0.9205033,-0.799219,0.8104699,0.9016242,-0.7897778,0.7981014,0.886393,-0.7955974,0.8541039,0.9071093,-0.8016765,0.8379223,0.8914423,-0.7999925,0.8306973,0.8831081,-0.8115979,0.8559454,0.941038,-0.8465616,0.04983867,
1528901567462,0.8517748,0.9548594,-0.8874305,0.8193212,0.9389305,-0.870014,0.8052891,0.9222348,-0.8562793,0.8066877,0.9551657,-0.8211117,0.7864792,0.9379669,-0.8100434,0.7775434,0.9225118,-0.8135598,0.820299,0.9428284,-0.8088045,0.7961364,0.922877,-0.7991478,0.7845293,0.9069131,-0.8057095,0.8405646,0.9320073,-0.8034645,0.8172465,0.9134642,-0.7942305,0.8045608,0.8985648,-0.8002093,0.8609017,0.9185851,-0.8053423,0.8440431,0.903541,-0.8021995,0.8356464,0.8948038,-0.8126901,0.8626664,0.9516763,-0.8510388,0.05093973,
1528901567493,0.8560008,0.9594741,-0.8883179,0.8237308,0.9434019,-0.8707589,0.8100327,0.9266084,-0.8568336,0.8113713,0.9613034,-0.8215728,0.7909311,0.944379,-0.8104614,0.7818306,0.9289601,-0.8137995,0.8250723,0.949043,-0.8092058,0.8007197,0.9293636,-0.7994043,0.7889371,0.9134033,-0.8057357,0.8453413,0.9379361,-0.8040918,0.8219973,0.9193392,-0.7952882,0.8095011,0.9044562,-0.8016863,0.8656418,0.9246875,-0.805583,0.8486214,0.9098485,-0.8020474,0.8399069,0.9008817,-0.8121561,0.8672645,0.9570696,-0.8516936,0.05150555,
1528901567534,0.8671424,0.9642911,-0.8881579,0.8349921,0.9485456,-0.8702095,0.821628,0.9317228,-0.8560517,0.8234998,0.9673013,-0.8208775,0.8027796,0.9506457,-0.8095428,0.7931079,0.9354151,-0.8123878,0.837103,0.9549987,-0.8085746,0.8123101,0.9358772,-0.7982355,0.799747,0.9201263,-0.8037564,0.8572108,0.9434549,-0.8037466,0.8334811,0.9253185,-0.7945405,0.8203847,0.9106563,-0.8003207,0.8772575,0.930024,-0.8051476,0.8597604,0.9156044,-0.800628,0.8500351,0.9062978,-0.8095554,0.8788868,0.962041,-0.851559,0.05228345,
1528901567574,0.8756995,0.9698552,-0.8916912,0.8429636,0.9560743,-0.8733565,0.8292491,0.9400287,-0.8586833,0.8329159,0.9768902,-0.8239114,0.811437,0.9618412,-0.8111948,0.8004022,0.9472337,-0.8123261,0.8459026,0.9644309,-0.8113205,0.8201078,0.9471983,-0.7994127,0.8060628,0.9320449,-0.8030555,0.8653713,0.9519135,-0.8064911,0.8406507,0.9353743,-0.7960967,0.8262898,0.9212634,-0.8002651,0.8846257,0.9374837,-0.8077782,0.866251,0.9240646,-0.8027501,0.8555336,0.9147022,-0.8106624,0.8876678,0.9679943,-0.8548821,0.0550732,
1528901567614,0.8858687,0.9752967,-0.8945146,0.8527825,0.9638696,-0.875342,0.8387319,0.9488943,-0.8599,0.8451237,0.9865848,-0.8256978,0.823315,0.9735278,-0.8110708,0.8111373,0.9597783,-0.8102839,0.8576753,0.9739131,-0.8130195,0.8313709,0.9586658,-0.7993116,0.8162004,0.9442347,-0.8012535,0.8765602,0.9605579,-0.808277,0.8512517,0.9457779,-0.796248,0.8357786,0.9323565,-0.7986389,0.8949461,0.9451299,-0.8097094,0.8759644,0.9327624,-0.8041584,0.8646157,0.9236126,-0.8115208,0.8986011,0.9737189,-0.8576663,0.05780729,
1528901567689,0.8976622,0.9833037,-0.8986851,0.8640348,0.9755967,-0.8787468,0.8491607,0.9623625,-0.8625274,0.8612375,1.001205,-0.8276116,0.839407,0.9928162,-0.8094647,0.8254892,0.981568,-0.8051063,0.873068,0.9880259,-0.8148019,0.8463913,0.9775693,-0.7973983,0.8292383,0.9653704,-0.7958462,0.8908452,0.9729483,-0.8103437,0.8650942,0.9623423,-0.7947786,0.8477788,0.9510296,-0.7935308,0.9078593,0.9556971,-0.8117384,0.8882509,0.9458804,-0.8030363,0.874915,0.9373093,-0.80729,0.9117589,0.9818158,-0.8617399,0.06501055,
1528901567720,0.9056759,0.9857994,-0.8997132,0.8723304,0.9787467,-0.8789425,0.8573381,0.9662269,-0.8622043,0.8713056,1.006367,-0.8279285,0.8500645,0.9995428,-0.8083718,0.835997,0.989114,-0.8025917,0.8833691,0.9934656,-0.8149492,0.8572768,0.9847063,-0.7957072,0.8398198,0.9732441,-0.792461,0.9010208,0.9781172,-0.8106295,0.8757615,0.9688969,-0.7933438,0.8581945,0.9582259,-0.7904365,0.9179208,0.9605554,-0.811873,0.8986667,0.9516326,-0.801151,0.8846855,0.9431858,-0.8032305,0.920584,0.9851342,-0.8630672,0.06732699,
1528901567761,0.9226531,0.98843,-0.9005812,0.8901265,0.9815606,-0.8783565,0.8755362,0.9696919,-0.8607407,0.8915876,1.011058,-0.8276064,0.8717092,1.005107,-0.8062518,0.8580768,0.9952995,-0.7985026,0.9044594,0.9988464,-0.8147601,0.8797238,0.9909545,-0.7932588,0.8625369,0.9798924,-0.7877257,0.9224738,0.9838314,-0.8108444,0.8984225,0.9752718,-0.791431,0.8811201,0.9649119,-0.7862547,0.9396806,0.9665362,-0.8121941,0.9213767,0.9581157,-0.7991254,0.9072034,0.9496449,-0.7983687,0.9393259,0.9893017,-0.8645279,0.06952818,
1528901567815,0.9379818,0.9883887,-0.9015895,0.9069612,0.9802411,-0.8774946,0.8930545,0.9685409,-0.8590725,0.9094183,1.011382,-0.8279071,0.8909779,1.004883,-0.8051964,0.8782143,0.995443,-0.7954938,0.92362,1.000026,-0.8152861,0.9008053,0.9916247,-0.7915103,0.8845352,0.980804,-0.783065,0.9422952,0.9862025,-0.8119588,0.919991,0.9776943,-0.7901677,0.9035374,0.9678025,-0.7818102,0.9600134,0.969637,-0.8138331,0.9431398,0.9614296,-0.798123,0.9295355,0.9532017,-0.79342,0.956104,0.9911887,-0.8666775,0.07061303,
1528901567885,0.9556843,0.9901639,-0.9015405,0.9264315,0.980523,-0.8757205,0.9134999,0.96833,-0.8568407,0.9310942,1.011487,-0.8259528,0.9142584,1.004652,-0.8018831,0.902398,0.9959158,-0.7904143,0.9464428,0.9999558,-0.8143227,0.9257927,0.9909808,-0.7884881,0.9106479,0.9806855,-0.7774945,0.9655646,0.9866507,-0.8122953,0.9454242,0.9779361,-0.7883215,0.9301383,0.9685277,-0.7774369,0.9835072,0.9705691,-0.8154308,0.9687519,0.9625543,-0.7972928,0.9563,0.9547886,-0.7895746,0.975628,0.9929363,-0.8678833,0.0727784,
1528901567921,0.9655424,0.9899819,-0.9014278,0.9375463,0.9797082,-0.8744334,0.9254894,0.9674606,-0.8549963,0.9433141,1.011546,-0.825112,0.9276335,1.004848,-0.8001524,0.9165477,0.9964502,-0.7876735,0.9595858,1.000527,-0.8139316,0.9404793,0.9915174,-0.7868239,0.926307,0.9813873,-0.7744313,0.9792606,0.9878428,-0.8124757,0.9607119,0.9790502,-0.7872079,0.9464092,0.9696403,-0.775045,0.9977295,0.9723168,-0.8160466,0.9846246,0.9643646,-0.7965915,0.973189,0.9566237,-0.787383,0.9867377,0.9937801,-0.8685994,0.0738425,
1528901567960,0.9819386,0.9921227,-0.9031724,0.9558634,0.9818166,-0.874262,0.9449341,0.9700388,-0.8538432,0.9642718,1.014581,-0.8258891,0.9505163,1.008329,-0.7996171,0.9406997,1.000563,-0.7857143,0.981948,1.004384,-0.8155252,0.9654978,0.9957519,-0.7864732,0.9529967,0.9861331,-0.7720041,1.002274,0.9925318,-0.8150982,0.9864403,0.984131,-0.7878282,0.9738594,0.9751145,-0.7736014,1.021243,0.9777713,-0.819492,1.010599,0.9702924,-0.7984025,1.000722,0.9628159,-0.7872678,1.005339,0.9973072,-0.871883,0.07477451,
1528901568015,0.9970974,0.9924976,-0.9045205,0.9721709,0.9841051,-0.8739746,0.9618083,0.9740146,-0.8523519,0.9836028,1.02003,-0.8277037,0.9714833,1.016309,-0.8000938,0.9627829,1.010422,-0.7845929,1.002577,1.011059,-0.8175535,0.9887872,1.005249,-0.7863487,0.9780818,0.997695,-0.7693833,1.023319,0.9997315,-0.8174931,1.010116,0.9937791,-0.7881727,0.9992759,0.9863899,-0.7717192,1.042609,0.9852556,-0.8219315,1.034227,0.979665,-0.7993137,1.025661,0.973111,-0.7866007,1.022554,1.000131,-0.8747426,0.07692657,
