time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528902025158,1.166487,0.7433063,-0.5501312,1.161674,0.7527317,-0.511124,1.156463,0.7494596,-0.484791,1.200216,0.7528245,-0.4773893,1.202254,0.7538686,-0.4456917,1.202484,0.7544075,-0.4261453,1.188658,0.7329997,-0.476674,1.166446,0.7375098,-0.4478143,1.14882,0.7397517,-0.4344674,1.191601,0.7086279,-0.4796797,1.168261,0.7120192,-0.4713714,1.15635,0.7142496,-0.490137,1.191639,0.6876992,-0.4859954,1.176547,0.6920145,-0.4744874,1.164421,0.6965159,-0.4852828,1.188238,0.720229,-0.5313911,0.07471115,
1528902025184,1.166487,0.7433063,-0.5501312,1.161674,0.7527317,-0.511124,1.156463,0.7494596,-0.484791,1.200216,0.7528245,-0.4773893,1.202254,0.7538686,-0.4456917,1.202484,0.7544075,-0.4261453,1.188658,0.7329997,-0.476674,1.166446,0.7375098,-0.4478143,1.14882,0.7397517,-0.4344674,1.191601,0.7086279,-0.4796797,1.168261,0.7120192,-0.4713714,1.15635,0.7142496,-0.490137,1.191639,0.6876992,-0.4859954,1.176547,0.6920145,-0.4744874,1.164421,0.6965159,-0.4852828,1.188238,0.720229,-0.5313911,0.07471115,
1528902025210,1.166487,0.7433063,-0.5501312,1.161674,0.7527317,-0.511124,1.156463,0.7494596,-0.484791,1.200216,0.7528245,-0.4773893,1.202254,0.7538686,-0.4456917,1.202484,0.7544075,-0.4261453,1.188658,0.7329997,-0.476674,1.166446,0.7375098,-0.4478143,1.14882,0.7397517,-0.4344674,1.191601,0.7086279,-0.4796797,1.168261,0.7120192,-0.4713714,1.15635,0.7142496,-0.490137,1.191639,0.6876992,-0.4859954,1.176547,0.6920145,-0.4744874,1.164421,0.6965159,-0.4852828,1.188238,0.720229,-0.5313911,0.07471115,
1528902025244,1.166487,0.7433063,-0.5501312,1.161674,0.7527317,-0.511124,1.156463,0.7494596,-0.484791,1.200216,0.7528245,-0.4773893,1.202254,0.7538686,-0.4456917,1.202484,0.7544075,-0.4261453,1.188658,0.7329997,-0.476674,1.166446,0.7375098,-0.4478143,1.14882,0.7397517,-0.4344674,1.191601,0.7086279,-0.4796797,1.168261,0.7120192,-0.4713714,1.15635,0.7142496,-0.490137,1.191639,0.6876992,-0.4859954,1.176547,0.6920145,-0.4744874,1.164421,0.6965159,-0.4852828,1.188238,0.720229,-0.5313911,0.07471115,
1528902025264,1.166487,0.7433063,-0.5501312,1.161674,0.7527317,-0.511124,1.156463,0.7494596,-0.484791,1.200216,0.7528245,-0.4773893,1.202254,0.7538686,-0.4456917,1.202484,0.7544075,-0.4261453,1.188658,0.7329997,-0.476674,1.166446,0.7375098,-0.4478143,1.14882,0.7397517,-0.4344674,1.191601,0.7086279,-0.4796797,1.168261,0.7120192,-0.4713714,1.15635,0.7142496,-0.490137,1.191639,0.6876992,-0.4859954,1.176547,0.6920145,-0.4744874,1.164421,0.6965159,-0.4852828,1.188238,0.720229,-0.5313911,0.07471115,
1528902025291,1.166487,0.7433063,-0.5501312,1.161674,0.7527317,-0.511124,1.156463,0.7494596,-0.484791,1.200216,0.7528245,-0.4773893,1.202254,0.7538686,-0.4456917,1.202484,0.7544075,-0.4261453,1.188658,0.7329997,-0.476674,1.166446,0.7375098,-0.4478143,1.14882,0.7397517,-0.4344674,1.191601,0.7086279,-0.4796797,1.168261,0.7120192,-0.4713714,1.15635,0.7142496,-0.490137,1.191639,0.6876992,-0.4859954,1.176547,0.6920145,-0.4744874,1.164421,0.6965159,-0.4852828,1.188238,0.720229,-0.5313911,0.07471115,
1528902025317,1.166487,0.7433063,-0.5501312,1.161674,0.7527317,-0.511124,1.156463,0.7494596,-0.484791,1.200216,0.7528245,-0.4773893,1.202254,0.7538686,-0.4456917,1.202484,0.7544075,-0.4261453,1.188658,0.7329997,-0.476674,1.166446,0.7375098,-0.4478143,1.14882,0.7397517,-0.4344674,1.191601,0.7086279,-0.4796797,1.168261,0.7120192,-0.4713714,1.15635,0.7142496,-0.490137,1.191639,0.6876992,-0.4859954,1.176547,0.6920145,-0.4744874,1.164421,0.6965159,-0.4852828,1.188238,0.720229,-0.5313911,0.07471115,
1528902025344,1.166487,0.7433063,-0.5501312,1.161674,0.7527317,-0.511124,1.156463,0.7494596,-0.484791,1.200216,0.7528245,-0.4773893,1.202254,0.7538686,-0.4456917,1.202484,0.7544075,-0.4261453,1.188658,0.7329997,-0.476674,1.166446,0.7375098,-0.4478143,1.14882,0.7397517,-0.4344674,1.191601,0.7086279,-0.4796797,1.168261,0.7120192,-0.4713714,1.15635,0.7142496,-0.490137,1.191639,0.6876992,-0.4859954,1.176547,0.6920145,-0.4744874,1.164421,0.6965159,-0.4852828,1.188238,0.720229,-0.5313911,0.07471115,
1528902025370,1.166487,0.7433063,-0.5501312,1.161674,0.7527317,-0.511124,1.156463,0.7494596,-0.484791,1.200216,0.7528245,-0.4773893,1.202254,0.7538686,-0.4456917,1.202484,0.7544075,-0.4261453,1.188658,0.7329997,-0.476674,1.166446,0.7375098,-0.4478143,1.14882,0.7397517,-0.4344674,1.191601,0.7086279,-0.4796797,1.168261,0.7120192,-0.4713714,1.15635,0.7142496,-0.490137,1.191639,0.6876992,-0.4859954,1.176547,0.6920145,-0.4744874,1.164421,0.6965159,-0.4852828,1.188238,0.720229,-0.5313911,0.07471115,
1528902025397,1.166487,0.7433063,-0.5501312,1.161674,0.7527317,-0.511124,1.156463,0.7494596,-0.484791,1.200216,0.7528245,-0.4773893,1.202254,0.7538686,-0.4456917,1.202484,0.7544075,-0.4261453,1.188658,0.7329997,-0.476674,1.166446,0.7375098,-0.4478143,1.14882,0.7397517,-0.4344674,1.191601,0.7086279,-0.4796797,1.168261,0.7120192,-0.4713714,1.15635,0.7142496,-0.490137,1.191639,0.6876992,-0.4859954,1.176547,0.6920145,-0.4744874,1.164421,0.6965159,-0.4852828,1.188238,0.720229,-0.5313911,0.07471115,
