time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528901678765,1.189023,0.928826,-0.6310489,1.167557,0.9113016,-0.6018208,1.16088,0.8941942,-0.5837961,1.187165,0.9321754,-0.5476869,1.177588,0.9224632,-0.5205878,1.169916,0.9129745,-0.5064337,1.207509,0.9201901,-0.5436127,1.197775,0.9071518,-0.5129968,1.189247,0.8960569,-0.4967864,1.220769,0.901001,-0.5618911,1.201773,0.8790317,-0.5627947,1.191258,0.870659,-0.5782458,1.239626,0.8917871,-0.5687634,1.224415,0.8760066,-0.5651218,1.212715,0.870351,-0.5749462,1.219163,0.9266585,-0.6040683,0.0801205,
1528901678791,1.179392,0.9291837,-0.6463569,1.156474,0.9138064,-0.6169645,1.148455,0.8978595,-0.598429,1.176544,0.9349755,-0.5632136,1.165304,0.9260467,-0.536611,1.156301,0.9164349,-0.5234004,1.196753,0.9222147,-0.5584991,1.18562,0.9098293,-0.5282023,1.175842,0.8987745,-0.5127003,1.210036,0.9021213,-0.5755776,1.19062,0.8809053,-0.5758414,1.180068,0.8728889,-0.5914095,1.228358,0.8922048,-0.5821617,1.212617,0.8771387,-0.5780512,1.200937,0.8716605,-0.5879284,1.209404,0.9265198,-0.6188904,0.07769109,
1528901678851,1.17452,0.9317833,-0.6718843,1.150355,0.9189175,-0.6422628,1.141044,0.9043914,-0.6231276,1.168987,0.9442571,-0.5898741,1.154869,0.9373028,-0.5642271,1.143799,0.9283259,-0.5522544,1.188313,0.9305423,-0.5835447,1.174202,0.9207354,-0.5537072,1.162045,0.9107782,-0.539233,1.205796,0.9136624,-0.589955,1.189055,0.8983859,-0.5791315,1.176884,0.8877822,-0.591994,1.219492,0.8969124,-0.6028177,1.203151,0.8831019,-0.595646,1.190304,0.8763996,-0.6031556,1.203276,0.9296126,-0.643483,0.07485625,
1528901678873,1.168392,0.9342651,-0.6830418,1.14483,0.921602,-0.6527915,1.135645,0.9074931,-0.6332397,1.163528,0.9497514,-0.6017307,1.148415,0.9427227,-0.5768923,1.136611,0.9330322,-0.5663681,1.182882,0.9360037,-0.5951943,1.167912,0.9265555,-0.5658212,1.154871,0.9163748,-0.552381,1.202279,0.9206495,-0.5997974,1.186685,0.9072733,-0.5853647,1.172757,0.8952452,-0.5949951,1.215592,0.9021033,-0.6118589,1.201061,0.8886634,-0.599749,1.18725,0.8802118,-0.6025091,1.197407,0.9333572,-0.6550362,0.07158905,
1528901678896,1.151624,0.9295649,-0.697538,1.126895,0.918115,-0.6676757,1.116542,0.9048977,-0.648061,1.144991,0.9472029,-0.6169911,1.128407,0.9404062,-0.5931842,1.11578,0.9305601,-0.5838835,1.163735,0.9330408,-0.6096842,1.146934,0.9239333,-0.5813321,1.132689,0.9137428,-0.5692441,1.183793,0.917837,-0.6128936,1.167728,0.905522,-0.5970386,1.152656,0.8929607,-0.6042863,1.1976,0.8986955,-0.6234267,1.1844,0.8862541,-0.6077472,1.170787,0.8769714,-0.6051947,1.180024,0.9288363,-0.668793,0.06912229,
1528901678937,1.14397,0.9262985,-0.7202421,1.117737,0.9155748,-0.6913137,1.105713,0.9028857,-0.6722909,1.132174,0.9469447,-0.6417387,1.112267,0.9405759,-0.6208474,1.097829,0.9308331,-0.6146832,1.149015,0.93138,-0.6328172,1.128487,0.923547,-0.6067986,1.111912,0.914271,-0.5973118,1.168334,0.9148085,-0.6339647,1.150112,0.9054043,-0.6111591,1.132752,0.8947209,-0.6057504,1.182125,0.8949829,-0.6421298,1.169523,0.8856064,-0.6234063,1.156896,0.8780098,-0.6156116,1.169311,0.9249193,-0.6902079,0.06451257,
1528901678963,1.142467,0.9219724,-0.7320549,1.117176,0.9114713,-0.7023154,1.105884,0.8991632,-0.6824795,1.128697,0.9481171,-0.6561004,1.108236,0.9413505,-0.6360533,1.093943,0.9309877,-0.6305846,1.145281,0.9336195,-0.6459674,1.123604,0.9260399,-0.6210177,1.106657,0.9163885,-0.6126642,1.164472,0.9170403,-0.6457114,1.146111,0.9090808,-0.6208149,1.12998,0.9000418,-0.6108217,1.179359,0.8977989,-0.6516539,1.166778,0.8898435,-0.6322092,1.154104,0.8827882,-0.6241913,1.166871,0.9240286,-0.7020363,0.06203599,
1528901678990,1.137878,0.9169811,-0.7452822,1.112765,0.9055346,-0.7158055,1.102062,0.8926367,-0.6960346,1.121066,0.9445775,-0.670518,1.100585,0.9367988,-0.6510102,1.086707,0.9255901,-0.6464317,1.137054,0.930596,-0.6599889,1.114368,0.9218355,-0.6365768,1.097322,0.9111309,-0.630054,1.155859,0.9140701,-0.6592185,1.136446,0.9056335,-0.6345373,1.120896,0.8970853,-0.6233649,1.17183,0.8959481,-0.6637444,1.157986,0.887836,-0.6453651,1.144652,0.8804754,-0.6389698,1.160862,0.9209057,-0.7148159,0.06149894,
1528901679026,1.132013,0.909179,-0.7680696,1.107235,0.8969511,-0.7386552,1.097251,0.8834235,-0.7190024,1.115111,0.9366935,-0.6932313,1.095192,0.9282323,-0.67318,1.08154,0.9170227,-0.6678734,1.13046,0.9224434,-0.6832813,1.107382,0.9120177,-0.661054,1.090508,0.9004014,-0.6560939,1.148245,0.9053305,-0.6835054,1.127028,0.8944769,-0.6611705,1.111009,0.884799,-0.6518829,1.164488,0.8882856,-0.6874849,1.14863,0.8789943,-0.6717178,1.134489,0.8711612,-0.6683478,1.154814,0.9138018,-0.7375509,0.06316589,
1528901679056,1.130874,0.904709,-0.7778503,1.104905,0.8929379,-0.749261,1.094343,0.8792957,-0.7301484,1.113317,0.9319902,-0.7030182,1.092776,0.9238919,-0.6833659,1.07867,0.9131488,-0.678327,1.127782,0.9170324,-0.6930115,1.103792,0.9068859,-0.6716303,1.086467,0.8956863,-0.6675091,1.144894,0.8992397,-0.6931221,1.12241,0.8882104,-0.6723749,1.105513,0.8783321,-0.665339,1.160533,0.881702,-0.6969667,1.143849,0.8725263,-0.6818871,1.12942,0.8651044,-0.6786169,1.153121,0.9083079,-0.7467027,0.06385239,
1528901679083,1.12707,0.8967444,-0.7940298,1.100416,0.8861241,-0.7656389,1.089344,0.87286,-0.7465919,1.110811,0.9240569,-0.7189716,1.089914,0.9167281,-0.6992252,1.075389,0.9067543,-0.6936369,1.124835,0.9084337,-0.7091162,1.100453,0.8988028,-0.6878229,1.082786,0.8881744,-0.6835164,1.141496,0.8901416,-0.7092717,1.118392,0.8792012,-0.6895213,1.100928,0.8692718,-0.6842948,1.15646,0.8719023,-0.7134153,1.13945,0.8627303,-0.6985721,1.124903,0.8556132,-0.6949456,1.149829,0.8992235,-0.7627437,0.06440335,
1528901679109,1.123205,0.892512,-0.8052951,1.095968,0.8834906,-0.7768579,1.083923,0.8714358,-0.7575004,1.108003,0.9206365,-0.7306134,1.086631,0.9139204,-0.7110311,1.071874,0.9044387,-0.7051206,1.121968,0.9047968,-0.7206922,1.097187,0.8955638,-0.6995339,1.079323,0.885331,-0.6946883,1.138616,0.8863589,-0.72058,1.115242,0.8756948,-0.7010933,1.097592,0.8659204,-0.6960177,1.153429,0.8676358,-0.7246079,1.136386,0.8583852,-0.7098163,1.121802,0.8513529,-0.7062259,1.146712,0.8947522,-0.7740133,0.06307154,
1528901679136,1.121553,0.8916763,-0.8225249,1.092719,0.8830758,-0.7956616,1.079627,0.8706096,-0.7773151,1.104602,0.9172469,-0.7471781,1.08223,0.9114163,-0.7282774,1.066808,0.902849,-0.7227497,1.117584,0.9003309,-0.7372764,1.091776,0.8917966,-0.7169735,1.073322,0.8823977,-0.7127526,1.133637,0.8810468,-0.7371141,1.109553,0.8708545,-0.7181506,1.091473,0.8617575,-0.7136206,1.147808,0.8616307,-0.7414933,1.130217,0.8523371,-0.7273948,1.115309,0.8457185,-0.7246715,1.144043,0.8912227,-0.7901435,0.06466141,
1528901679163,1.120319,0.8917159,-0.833813,1.091034,0.8836863,-0.807334,1.077725,0.8711005,-0.7893027,1.104295,0.9155899,-0.7575308,1.082101,0.9102354,-0.7381372,1.066554,0.9023602,-0.7318648,1.117127,0.8983024,-0.7478309,1.091702,0.8903809,-0.7265947,1.073186,0.8816646,-0.7212892,1.132906,0.8786911,-0.7479891,1.109376,0.8690099,-0.7279164,1.091387,0.8604689,-0.7219366,1.146599,0.8588078,-0.7530413,1.129333,0.8494398,-0.7385582,1.114454,0.842954,-0.7354602,1.14293,0.8895463,-0.8013127,0.06634056,
1528901679190,1.119427,0.8915563,-0.8434324,1.089757,0.8840693,-0.8172117,1.076001,0.8717325,-0.7993493,1.104258,0.9141691,-0.7664078,1.082248,0.9089655,-0.7467592,1.066675,0.9012604,-0.7403659,1.117106,0.8967198,-0.7568523,1.092065,0.8891379,-0.7350131,1.073555,0.8807316,-0.7292238,1.13279,0.8768694,-0.7572725,1.10973,0.8673346,-0.7366463,1.091777,0.8589234,-0.7304459,1.146201,0.8567202,-0.7628188,1.129331,0.8472377,-0.7479655,1.1145,0.8407953,-0.7446823,1.142324,0.8882603,-0.8108668,0.06661762,
1528901679226,1.115419,0.8935595,-0.8594025,1.085258,0.8876917,-0.8333178,1.070895,0.8764479,-0.8151693,1.100606,0.9174291,-0.7826192,1.078528,0.9128836,-0.7629248,1.062909,0.9053197,-0.7565141,1.113583,0.9001583,-0.7726207,1.088619,0.8932546,-0.7504765,1.070117,0.8850386,-0.7444144,1.12922,0.8802125,-0.7727036,1.10594,0.8710003,-0.7524341,1.087767,0.8625155,-0.7469306,1.142622,0.8598608,-0.7778833,1.12562,0.8506282,-0.7631398,1.11067,0.8442955,-0.7604071,1.138651,0.8903351,-0.8265348,0.06586193,
1528901679256,1.11596,0.8941142,-0.8670364,1.084666,0.8905388,-0.8417946,1.068822,0.8808925,-0.823905,1.101451,0.9181542,-0.7899626,1.079193,0.9144249,-0.7704379,1.063278,0.9071646,-0.7645007,1.113727,0.9006727,-0.7797689,1.088418,0.8949848,-0.7578113,1.069537,0.8873921,-0.7521856,1.128817,0.8801768,-0.7795123,1.105225,0.8720295,-0.7593522,1.086662,0.8641142,-0.7545073,1.141594,0.8592081,-0.7845554,1.124435,0.8506508,-0.7695997,1.109317,0.8448135,-0.7668566,1.138948,0.8896132,-0.8335503,0.06519069,
1528901679285,1.118081,0.8978271,-0.8781931,1.085279,0.8961712,-0.8546191,1.067545,0.8880124,-0.8376899,1.102474,0.9195054,-0.8002422,1.079798,0.9163915,-0.7810948,1.063508,0.9097027,-0.7755178,1.113937,0.9014291,-0.7901547,1.088174,0.8965412,-0.7684835,1.068958,0.8897047,-0.7630723,1.128424,0.8803489,-0.7899997,1.104468,0.8728257,-0.7699411,1.085644,0.8655961,-0.7649432,1.140638,0.8589475,-0.795375,1.123193,0.8506047,-0.7805542,1.107953,0.8451216,-0.7777411,1.14022,0.8908578,-0.8437642,0.0659707,
1528901679309,1.119544,0.8989856,-0.8832239,1.086004,0.899621,-0.8605812,1.067164,0.8932517,-0.84403,1.104079,0.9211368,-0.8050522,1.08126,0.9187511,-0.7861623,1.064779,0.9121532,-0.7812836,1.115061,0.9030979,-0.79471,1.089043,0.8993558,-0.7733325,1.069545,0.8929455,-0.7685918,1.129177,0.8816692,-0.7941449,1.105036,0.8752366,-0.7741244,1.085943,0.8685007,-0.7697001,1.140972,0.8598419,-0.7992289,1.123466,0.8522931,-0.784106,1.108101,0.8472513,-0.7812435,1.14133,0.8910062,-0.8481531,0.06557488,
1528901679336,1.123459,0.8973991,-0.8897005,1.088809,0.900906,-0.8689556,1.068449,0.8969253,-0.8533818,1.106311,0.9205229,-0.8118035,1.082921,0.9193568,-0.7936412,1.066119,0.9131836,-0.7895322,1.11661,0.9025565,-0.8007658,1.090011,0.9004594,-0.7800224,1.070179,0.8947525,-0.7760142,1.130327,0.8806958,-0.7992625,1.10582,0.8757432,-0.7793556,1.086455,0.8697245,-0.7752895,1.14176,0.8582871,-0.8036524,1.124072,0.851651,-0.788361,1.108565,0.8470809,-0.7855577,1.144095,0.8884851,-0.8533316,0.06592818,
1528901679362,1.126808,0.8962426,-0.8933157,1.092012,0.9012002,-0.8730741,1.07122,0.8984807,-0.8577837,1.10998,0.920469,-0.815514,1.086504,0.9201815,-0.7975162,1.069559,0.9143393,-0.7936044,1.120103,0.9025683,-0.8041161,1.093585,0.9016454,-0.7832783,1.073633,0.8964431,-0.7793453,1.133515,0.8804102,-0.8022476,1.109139,0.8764831,-0.7820481,1.089667,0.8709439,-0.77798,1.144567,0.8575124,-0.8063985,1.127004,0.8514,-0.7908258,1.111426,0.8471335,-0.7879719,1.147206,0.8871213,-0.8566352,0.0661304,
1528901679390,1.13002,0.8950816,-0.8967825,1.095277,0.9008756,-0.8765928,1.074264,0.8991544,-0.8614113,1.113837,0.9205204,-0.8192096,1.090365,0.9208885,-0.8012377,1.073325,0.9153517,-0.7972926,1.123872,0.9026353,-0.8075652,1.097506,0.9025245,-0.7865301,1.077492,0.8977368,-0.7823951,1.137039,0.8802782,-0.805462,1.112843,0.8770732,-0.7849479,1.093318,0.8719192,-0.7806011,1.14777,0.8570602,-0.809426,1.13037,0.8513434,-0.7935299,1.114782,0.8473006,-0.7903712,1.150473,0.8861446,-0.8600821,0.06613962,
1528901679425,1.136738,0.8904597,-0.9004399,1.101826,0.8974549,-0.8807155,1.080175,0.8980823,-0.8661929,1.120926,0.9184049,-0.8236963,1.097368,0.9193656,-0.8057601,1.080309,0.9141079,-0.8013974,1.131154,0.9009095,-0.8114762,1.104856,0.90149,-0.7902466,1.084872,0.8969871,-0.7854857,1.144429,0.8786734,-0.8087125,1.120363,0.8761415,-0.7878748,1.100883,0.8712361,-0.7827667,1.155257,0.8552817,-0.8119713,1.138105,0.8499558,-0.7955834,1.122652,0.845934,-0.7915876,1.157521,0.8827973,-0.8635331,0.066748,
1528901679457,1.139546,0.8878298,-0.9022214,1.104256,0.8952861,-0.8832698,1.082095,0.8971106,-0.8695658,1.122868,0.9160117,-0.8257695,1.099041,0.9169196,-0.8080655,1.08197,0.9117366,-0.8035715,1.133146,0.8986531,-0.8133507,1.106575,0.8991137,-0.7923129,1.086609,0.8946308,-0.7873102,1.146607,0.8765796,-0.8103265,1.122297,0.873922,-0.7896912,1.10284,0.8689603,-0.7843837,1.157728,0.8532312,-0.8133078,1.140488,0.8477235,-0.7969834,1.125125,0.843533,-0.7927078,1.160209,0.8805506,-0.8649656,0.06759576,
