time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529581039787,0.9656245,0.3866699,-1.051048,0.9601898,0.3652223,-1.018171,0.9637042,0.3441253,-1.000404,0.9822992,0.3830217,-0.9817078,0.9685763,0.3605224,-0.9722273,0.958786,0.3497499,-0.9850028,0.9971998,0.3714999,-0.9856594,0.9778144,0.3475131,-0.9755646,0.9630678,0.3373916,-0.9889907,1.01393,0.3617579,-0.9969779,0.9958339,0.3390948,-0.9852091,0.978829,0.3291652,-0.9951625,1.026773,0.352417,-1.011122,1.013632,0.3361148,-0.9991466,0.9978784,0.3300506,-1.00403,0.998108,0.3871808,-1.038893,0.01711814,
1529581039829,0.9508606,0.3558382,-1.076789,0.9391032,0.3287506,-1.05015,0.9382808,0.3049712,-1.035999,0.9632882,0.3349296,-1.007481,0.9499295,0.3098916,-1.001297,0.9407901,0.2990712,-1.014542,0.9797215,0.3249171,-1.012187,0.961513,0.2975293,-1.005474,0.9475147,0.2872434,-1.019238,0.9977114,0.3182492,-1.024869,0.9807705,0.2920925,-1.018266,0.9648578,0.2823715,-1.029935,1.012158,0.3128414,-1.040125,0.9998577,0.2931354,-1.032646,0.9848756,0.2866977,-1.039145,0.9837647,0.3523557,-1.061871,0.02239423,
1529581039862,0.9421231,0.3132997,-1.096647,0.9261131,0.284306,-1.074413,0.9212129,0.2598082,-1.061849,0.9531963,0.2826581,-1.027846,0.942535,0.2549467,-1.020116,0.9340194,0.242359,-1.031022,0.9697257,0.2741646,-1.032056,0.9538429,0.2438644,-1.024108,0.9408591,0.2310873,-1.035749,0.9888852,0.2696786,-1.0445,0.974676,0.2403529,-1.037375,0.9600634,0.2263667,-1.046464,1.005193,0.2667985,-1.059498,0.9953135,0.245493,-1.053465,0.9815266,0.2387002,-1.06131,0.9751955,0.3077219,-1.07965,0.03766647,
1529581039890,0.9471933,0.2822672,-1.104204,0.9259957,0.2543446,-1.084968,0.9155834,0.2305832,-1.073795,0.95614,0.2393031,-1.041893,0.9450748,0.2092883,-1.035549,0.9366707,0.1973412,-1.04447,0.9728365,0.2309277,-1.045132,0.9582319,0.1978346,-1.033916,0.9454428,0.1802641,-1.037419,0.9913523,0.2266319,-1.059348,0.979396,0.1936311,-1.050491,0.9677054,0.1755603,-1.052343,1.007103,0.2249716,-1.074601,0.9974772,0.2004964,-1.070139,0.9850338,0.1885665,-1.074043,0.9806072,0.2707362,-1.08812,0.04908842,
1529581039920,0.954215,0.2504447,-1.102213,0.9321695,0.2207908,-1.086769,0.9200445,0.1968012,-1.077589,0.959538,0.2005537,-1.045087,0.9486495,0.1718611,-1.046704,0.9419063,0.1649135,-1.06145,0.9767712,0.1935237,-1.04677,0.9643581,0.1596176,-1.034466,0.9544344,0.1414058,-1.035154,0.9910596,0.1934398,-1.062632,0.9717743,0.1631456,-1.059498,0.9612191,0.1528627,-1.066977,1.013778,0.1919295,-1.074013,1.006519,0.1660461,-1.069865,0.9968894,0.1524235,-1.073257,0.9867262,0.2380363,-1.085219,0.04189549,
1529581039948,0.9598417,0.2341245,-1.104965,0.9371299,0.2035407,-1.092593,0.9240213,0.1795111,-1.084737,0.9575019,0.1841172,-1.047721,0.9478971,0.1551053,-1.05021,0.9441667,0.1479308,-1.06561,0.9756383,0.177869,-1.046586,0.9631761,0.1435595,-1.035534,0.9543511,0.1242313,-1.036559,0.9924564,0.1784381,-1.061387,0.9747627,0.1471021,-1.062982,0.9659232,0.1360506,-1.072608,1.016894,0.1781544,-1.068318,1.010927,0.1517113,-1.06583,1.003067,0.1372918,-1.07058,0.9893804,0.2227749,-1.0837,0.04205941,
1529581039975,0.9696833,0.2196123,-1.110089,0.9452832,0.190808,-1.096692,0.9312115,0.1678259,-1.087541,0.9582658,0.1769383,-1.049691,0.9474659,0.1478543,-1.05147,0.9450859,0.1383492,-1.066383,0.9765633,0.1700658,-1.045673,0.9615249,0.1361742,-1.037499,0.9520612,0.1168766,-1.042086,0.9947387,0.1691028,-1.057388,0.9761869,0.1382284,-1.058119,0.9677125,0.1256958,-1.067572,1.019404,0.1673435,-1.061517,1.010802,0.1419658,-1.059463,1.001904,0.1280231,-1.065795,0.9959674,0.2103521,-1.084547,0.03884618,
1529581040003,0.9750341,0.2177807,-1.109519,0.9525786,0.1876803,-1.0957,0.9403296,0.1635617,-1.086893,0.9662556,0.1706084,-1.053798,0.9553719,0.1422899,-1.059042,0.9518198,0.1343717,-1.075392,0.9844546,0.1628972,-1.052328,0.9692536,0.1287335,-1.051545,0.9591738,0.1114321,-1.06182,1.001619,0.1630046,-1.062814,0.9824156,0.1325364,-1.063636,0.9718703,0.1187407,-1.072471,1.025397,0.1612628,-1.069932,1.014617,0.1382269,-1.072966,1.003639,0.1283748,-1.083692,1.001835,0.2064824,-1.087233,0.03341214,
1529581040039,0.9858111,0.2232307,-1.108914,0.9628941,0.195931,-1.090744,0.9503499,0.1727809,-1.080398,0.9845634,0.1726929,-1.056798,0.9686987,0.1470034,-1.062641,0.9599091,0.1404066,-1.078569,1.00063,0.163148,-1.060599,0.9795679,0.1347779,-1.064582,0.9641438,0.1216641,-1.076599,1.017003,0.1609678,-1.072985,0.9942533,0.1351769,-1.076974,0.9788938,0.1263495,-1.090147,1.036518,0.1581237,-1.085269,1.021806,0.1382806,-1.086509,1.007193,0.1317647,-1.095338,1.015932,0.2065867,-1.094903,0.0338056,
1529581040102,0.996527,0.2468848,-1.0974,0.9805143,0.2213373,-1.071382,0.9739813,0.1979755,-1.057096,1.013598,0.1991239,-1.044731,0.9990244,0.170936,-1.043173,0.9874982,0.1577905,-1.052997,1.031252,0.1909706,-1.05105,1.014843,0.1588015,-1.044996,0.9997744,0.1416704,-1.050103,1.047571,0.1885696,-1.066701,1.032024,0.1582081,-1.062245,1.0162,0.1426696,-1.067885,1.060296,0.1881375,-1.084436,1.049767,0.1642011,-1.07919,1.038348,0.1497764,-1.079106,1.032232,0.2326324,-1.091249,0.04259502,
