time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529581082347,1.105334,0.5465959,-0.7383171,1.101713,0.5239587,-0.7064065,1.107191,0.502149,-0.6898323,1.105121,0.5478477,-0.6698146,1.088333,0.5249442,-0.6634724,1.080878,0.5126272,-0.6766768,1.1239,0.538197,-0.6660674,1.104112,0.51477,-0.6512597,1.088986,0.5002543,-0.6597784,1.143528,0.5281309,-0.673364,1.126846,0.5066514,-0.6568154,1.110556,0.4937412,-0.6636574,1.156573,0.5167341,-0.6866238,1.143097,0.5010393,-0.6739314,1.128157,0.4938774,-0.6793096,1.131646,0.5489876,-0.7216282,0.0312284,
1529581082380,1.092017,0.5424666,-0.7678342,1.083389,0.5189833,-0.7373352,1.083841,0.4958907,-0.7215809,1.089515,0.5354037,-0.7008878,1.068997,0.5147957,-0.6984268,1.060401,0.5052854,-0.7133029,1.106557,0.5222586,-0.6979048,1.08269,0.5004692,-0.6873627,1.06564,0.4895742,-0.6980148,1.128108,0.5107831,-0.7037614,1.112273,0.4892506,-0.6834553,1.094722,0.477178,-0.6852036,1.138258,0.4987563,-0.7186587,1.124749,0.4826909,-0.7042006,1.109022,0.4757804,-0.7059325,1.117891,0.5380812,-0.751115,0.02657413,
1529581082411,1.079211,0.5325183,-0.8025467,1.066164,0.5082906,-0.7740806,1.062802,0.4846991,-0.759459,1.073049,0.5172563,-0.7372305,1.050981,0.4979937,-0.7376395,1.04217,0.4905375,-0.7535744,1.088398,0.5026054,-0.735808,1.06206,0.481576,-0.7294526,1.04487,0.4731182,-0.7419569,1.111989,0.4906625,-0.7402387,1.101158,0.4678745,-0.7146604,1.090286,0.452368,-0.7013506,1.121424,0.4794423,-0.7561979,1.107942,0.4625982,-0.7424967,1.091883,0.4550142,-0.7429172,1.104432,0.523817,-0.7855635,0.02223426,
1529581082451,1.066166,0.5267631,-0.8402994,1.047526,0.5021155,-0.8155311,1.040078,0.4780951,-0.8034451,1.051803,0.5028111,-0.7782366,1.028358,0.484948,-0.7815494,1.019258,0.4789485,-0.7980689,1.064858,0.48716,-0.7796364,1.03629,0.4683088,-0.7811755,1.021142,0.4638041,-0.7976213,1.089488,0.4741241,-0.7809374,1.077464,0.4499327,-0.7571014,1.069452,0.4343588,-0.7420598,1.099953,0.4640148,-0.7973314,1.085226,0.4458107,-0.7856852,1.069615,0.4367418,-0.7851501,1.088527,0.5125293,-0.8228998,0.02151942,
1529581082482,1.055668,0.5119301,-0.8736269,1.032951,0.487992,-0.8516941,1.022603,0.4642401,-0.8412927,1.034394,0.4843292,-0.8141511,1.01018,0.4673697,-0.818967,1.001098,0.461914,-0.8357123,1.046272,0.4682835,-0.8171769,1.017299,0.4516009,-0.8240051,1.004742,0.4498481,-0.8428353,1.069538,0.4538426,-0.8169459,1.052507,0.4287538,-0.7973845,1.041992,0.4127336,-0.7844681,1.081746,0.4442027,-0.832423,1.064867,0.4258821,-0.8237457,1.048992,0.4174221,-0.8251643,1.075867,0.4948977,-0.8552754,0.02233833,
1529581082508,1.053506,0.4956732,-0.8983792,1.029462,0.4701441,-0.8801106,1.018927,0.4455596,-0.8718168,1.026396,0.4672908,-0.8408732,1.002578,0.4497591,-0.8470979,0.9943476,0.4437261,-0.864068,1.038704,0.451382,-0.8437488,1.010712,0.4342875,-0.8537617,1.00023,0.4326896,-0.873658,1.05971,0.4372733,-0.8443121,1.035537,0.4122254,-0.8356125,1.018145,0.3967227,-0.8336841,1.074581,0.428275,-0.8570824,1.055363,0.4110987,-0.8539925,1.040599,0.4074513,-0.8622369,1.071613,0.4789392,-0.8781079,0.02583736,
1529581082536,1.0486,0.4705881,-0.9304188,1.025882,0.4421178,-0.9146699,1.016298,0.416768,-0.90706,1.021104,0.4392181,-0.8741583,0.9989187,0.4191487,-0.8811235,0.991217,0.4114463,-0.8977427,1.035097,0.4248405,-0.8770539,1.009171,0.4050499,-0.8890412,1.000095,0.4023521,-0.9092898,1.055542,0.4135338,-0.8794446,1.030525,0.3897615,-0.8819484,1.013254,0.3774587,-0.8914502,1.0729,0.406097,-0.8896308,1.054003,0.3888468,-0.8909221,1.040717,0.3858913,-0.9018202,1.067033,0.456184,-0.9085559,0.02727992,
1529581082565,1.041491,0.4606231,-0.9628212,1.019948,0.430317,-0.9486112,1.010321,0.4048543,-0.9407021,1.01493,0.4273614,-0.9066237,0.9948342,0.4047669,-0.9136811,0.9881813,0.395301,-0.9298302,1.030481,0.4148815,-0.9104188,1.007664,0.3932226,-0.9255193,1.000374,0.3895708,-0.9466137,1.050391,0.4071586,-0.9160202,1.029468,0.3894512,-0.9319164,1.019531,0.386787,-0.9527692,1.069188,0.4008855,-0.9219716,1.050923,0.384854,-0.9286704,1.040384,0.384457,-0.9425467,1.060651,0.448517,-0.9392036,0.02645023,
1529581082591,1.035159,0.4547987,-0.9779168,1.014612,0.4229705,-0.9656802,1.006002,0.3968235,-0.9588431,1.007961,0.420186,-0.922572,0.9892169,0.3967587,-0.9306728,0.9837047,0.3869917,-0.9471039,1.02459,0.4089376,-0.9278749,1.006252,0.3900966,-0.947868,1.004596,0.3919625,-0.9702715,1.044775,0.4029908,-0.9334369,1.027726,0.3888612,-0.9539371,1.02284,0.3913932,-0.9763618,1.063518,0.3973666,-0.9374466,1.046345,0.3831154,-0.9478277,1.038309,0.3854991,-0.9631144,1.054078,0.4437019,-0.9530214,0.02704885,
1529581082624,1.026333,0.4511005,-0.9977196,1.007805,0.416886,-0.9889625,0.9998753,0.3898454,-0.9851332,1.004553,0.4084144,-0.9455765,0.9856639,0.385526,-0.9554297,0.9788423,0.3773394,-0.9723197,1.021151,0.39903,-0.9541181,1.002356,0.3833757,-0.9759609,1.000193,0.3893434,-0.997461,1.040899,0.3948753,-0.961689,1.024082,0.3851002,-0.9829874,1.021637,0.3949954,-1.003733,1.059514,0.3905689,-0.9680232,1.042031,0.3781603,-0.9797875,1.033888,0.3838308,-0.9938203,1.046825,0.4383477,-0.9752653,0.02762197,
