time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529580956918,0.7878019,0.5367047,-0.8798327,0.7733034,0.5158204,-0.8537591,0.7743295,0.5002588,-0.8363483,0.7470012,0.5414777,-0.8254697,0.7362174,0.5185231,-0.8205973,0.7365297,0.5032538,-0.8273705,0.7617198,0.5368291,-0.8141506,0.7474484,0.5115036,-0.811009,0.7455238,0.4954087,-0.8211178,0.7829213,0.5322968,-0.8090593,0.7698593,0.5081621,-0.8071592,0.7668039,0.4934894,-0.8184391,0.8029017,0.5269265,-0.8081475,0.7919848,0.5095498,-0.8073702,0.7878239,0.5007641,-0.8185205,0.7958565,0.548042,-0.8526443,0.03896663,
1529580956976,0.7909675,0.5331038,-0.8996787,0.7748603,0.5124326,-0.8742585,0.7740673,0.4964918,-0.8570633,0.7505307,0.5397686,-0.8446224,0.7376965,0.5177062,-0.8394327,0.7363985,0.5022265,-0.8456135,0.765067,0.5342892,-0.8330874,0.7484379,0.5101737,-0.8288535,0.7444627,0.4938029,-0.8378593,0.786088,0.5284435,-0.8280493,0.7710644,0.5053692,-0.8250964,0.7665709,0.4906276,-0.8356615,0.8060014,0.5216564,-0.8274602,0.7939016,0.5048467,-0.8257597,0.78855,0.4956702,-0.8360862,0.7999736,0.5437378,-0.872039,0.03978604,
1529580957038,0.798575,0.5187,-0.9293305,0.7816274,0.4981481,-0.9038079,0.776989,0.4825163,-0.8864872,0.760197,0.5270181,-0.8713404,0.7453725,0.506438,-0.8629256,0.7408506,0.4905482,-0.8660216,0.7754778,0.5211234,-0.8598553,0.7568555,0.4987161,-0.8502368,0.7484577,0.481632,-0.8536983,0.7964652,0.5146862,-0.8558233,0.7795697,0.492923,-0.8473431,0.7713282,0.4768874,-0.8525646,0.8167577,0.5066606,-0.8565163,0.8042289,0.4898998,-0.8504544,0.7961105,0.4786005,-0.8559695,0.8087974,0.5290097,-0.9018943,0.0423006,
1529580957093,0.808108,0.4986455,-0.9530437,0.7872015,0.4836237,-0.9263226,0.7764053,0.472118,-0.9082253,0.7752787,0.5166495,-0.893176,0.7577404,0.4999498,-0.8815001,0.7499664,0.4849469,-0.881711,0.7906018,0.5093908,-0.8817331,0.7696385,0.4913749,-0.8680911,0.7581475,0.4757306,-0.8681903,0.810935,0.5005847,-0.8778503,0.7918417,0.4832714,-0.864083,0.7798889,0.4684502,-0.8636851,0.8300468,0.4893206,-0.8790987,0.8163017,0.4752628,-0.8689023,0.8058143,0.4643162,-0.8695101,0.8220793,0.5090874,-0.926401,0.0395804,
1529580957148,0.8173165,0.4807232,-0.9828559,0.7945694,0.4736187,-0.9543362,0.7811365,0.4680678,-0.9351798,0.7873996,0.5112467,-0.9272655,0.7693555,0.4973904,-0.9135424,0.7617694,0.4824637,-0.9125252,0.8025251,0.5050765,-0.9147931,0.7810211,0.4901481,-0.8991718,0.7694574,0.4746795,-0.8982425,0.8220226,0.4958804,-0.9097288,0.8018922,0.4816889,-0.8944381,0.7894073,0.46737,-0.8928664,0.8402463,0.4839647,-0.9087039,0.8252786,0.4729769,-0.8968853,0.8142287,0.4627092,-0.8968842,0.8330259,0.4945664,-0.958431,0.03309929,
1529580957202,0.8277593,0.4641156,-1.010255,0.8062683,0.4597614,-0.9802972,0.794332,0.4555432,-0.9598705,0.8017471,0.4992601,-0.9559541,0.7841163,0.4862952,-0.9411103,0.7766535,0.4713757,-0.9393691,0.8172131,0.4930362,-0.9440647,0.7961966,0.4784366,-0.9279248,0.7851014,0.4627,-0.9272031,0.8363203,0.4834437,-0.9396608,0.8161728,0.4693657,-0.9245069,0.8038801,0.4548638,-0.9232256,0.8541623,0.471542,-0.9384351,0.8388454,0.4610402,-0.9268444,0.8277712,0.4508713,-0.9274367,0.8452075,0.4792449,-0.9876677,0.03136089,
1529580957232,0.8338695,0.4555826,-1.018179,0.8134445,0.4502757,-0.9876423,0.8021451,0.4453881,-0.9669997,0.810572,0.4886672,-0.9616051,0.7932784,0.4751252,-0.946918,0.7856563,0.4602337,-0.9458613,0.8261856,0.4814709,-0.9506184,0.8054646,0.4662061,-0.9348468,0.7941912,0.4505756,-0.934938,0.8452088,0.4711914,-0.9472792,0.8253535,0.4564563,-0.9324587,0.8128468,0.4420705,-0.9317908,0.8625914,0.4590375,-0.9472281,0.8472921,0.4482321,-0.9360404,0.8360581,0.4383438,-0.9373564,0.8524473,0.4694955,-0.9956412,0.0306447,
1529580957310,0.8539371,0.4373144,-1.046007,0.83633,0.4275868,-1.014881,0.8281211,0.4185532,-0.9942605,0.8383609,0.4613142,-0.9815769,0.8222346,0.447254,-0.9661716,0.8135448,0.4330716,-0.9663671,0.8541163,0.451681,-0.9734808,0.8343603,0.436255,-0.9566698,0.821788,0.4217628,-0.9571522,0.8726336,0.4391345,-0.9741373,0.8539097,0.4233285,-0.9589499,0.8404627,0.4098061,-0.9586267,0.8889475,0.4264815,-0.9778237,0.8745919,0.4151269,-0.9660013,0.8625653,0.4061544,-0.9669261,0.8751286,0.4455973,-1.023262,0.03465971,
1529580957365,0.8728769,0.4227785,-1.063599,0.8559099,0.4125287,-1.032277,0.848051,0.4031396,-1.01168,0.8611834,0.4447649,-0.9966148,0.8460202,0.4316241,-0.9795444,0.8370386,0.417682,-0.9787302,0.8774475,0.4351054,-0.98952,0.85887,0.4208226,-0.9704701,0.8460767,0.4066399,-0.9694593,0.895932,0.4222276,-0.9916746,0.8783954,0.4070247,-0.9745535,0.8649541,0.3936552,-0.9729049,0.9122194,0.4093723,-0.9968601,0.8991119,0.398135,-0.9834899,0.8871373,0.3890698,-0.9829997,0.8956496,0.4296703,-1.041416,0.03766255,
1529580957419,0.893929,0.4177946,-1.082992,0.8784062,0.4071052,-1.051091,0.8717229,0.3973835,-1.030243,0.8855143,0.4408658,-1.014965,0.8715326,0.4286205,-0.996648,0.862854,0.4145905,-0.9953917,0.9023226,0.4315929,-1.008598,0.8850693,0.4182994,-0.9879885,0.8725095,0.404024,-0.9860936,0.921181,0.4187795,-1.011459,0.9052494,0.4042867,-0.9925193,0.8921965,0.3908114,-0.9901667,0.9372998,0.4057144,-1.017716,0.925404,0.3946663,-1.003293,0.9136562,0.3854431,-1.002368,0.9178606,0.4252559,-1.061808,0.03986682,
