time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528897313852,1.154352,0.8426942,-0.8567488,1.148794,0.8527223,-0.8202384,1.148175,0.8534406,-0.7953569,1.187881,0.8532298,-0.8024532,1.1714,0.8378071,-0.7937969,1.162169,0.8290036,-0.8052356,1.198565,0.8389744,-0.8050408,1.176946,0.8250962,-0.7983589,1.166998,0.8181531,-0.8136606,1.210683,0.8227764,-0.8122241,1.189407,0.8117124,-0.8034459,1.175948,0.8066034,-0.8162947,1.219852,0.8073736,-0.8200172,1.204161,0.8019027,-0.8087399,1.190995,0.7999322,-0.8161141,1.193211,0.8328129,-0.850296,0.02984282,
1528897313877,1.143332,0.8438822,-0.8615979,1.13696,0.8546039,-0.8254116,1.135747,0.8561194,-0.8005468,1.176257,0.8541803,-0.8067552,1.159993,0.8383344,-0.7984123,1.15113,0.8293301,-0.8100004,1.187087,0.8400294,-0.8095989,1.165623,0.8255732,-0.8037112,1.156254,0.8185909,-0.8193727,1.198888,0.8240117,-0.8173985,1.177524,0.8124801,-0.8110679,1.165953,0.8077907,-0.825728,1.208398,0.8091165,-0.8248724,1.192067,0.8033589,-0.8155637,1.180134,0.8013166,-0.8248469,1.182497,0.8341563,-0.8546095,0.03230623,
1528897313935,1.116945,0.8452895,-0.8752662,1.108029,0.8583179,-0.840425,1.105507,0.8617041,-0.8158258,1.147023,0.8591896,-0.819814,1.131889,0.8422378,-0.8123704,1.124786,0.8326563,-0.8246723,1.158995,0.8459084,-0.8219211,1.138752,0.8298541,-0.8173674,1.131405,0.8221121,-0.8337585,1.171725,0.8304375,-0.8294711,1.151246,0.8174838,-0.8262113,1.142861,0.8127468,-0.8427934,1.182039,0.8164361,-0.8361102,1.165332,0.8095059,-0.8304551,1.15684,0.8065948,-0.8427126,1.156805,0.8382894,-0.8661546,0.03596796,
1528897313971,1.098113,0.8482633,-0.8851215,1.087859,0.862201,-0.8511722,1.085007,0.8650512,-0.8266219,1.12423,0.8633433,-0.8286248,1.108835,0.8467749,-0.8227342,1.10378,0.8374298,-0.8361318,1.136696,0.850273,-0.8288087,1.116135,0.8346631,-0.8245269,1.109558,0.8263068,-0.8409429,1.149837,0.8344511,-0.8349491,1.129101,0.8217887,-0.8318295,1.121237,0.8162794,-0.8484349,1.160199,0.8199493,-0.8409045,1.143124,0.8133775,-0.8360766,1.135446,0.8103604,-0.8487898,1.137123,0.8410863,-0.8732581,0.03472475,
1528897314019,1.083658,0.8474983,-0.8927186,1.072993,0.8610476,-0.8587891,1.069928,0.8631587,-0.8342314,1.109378,0.8614259,-0.8355587,1.093482,0.8452597,-0.8301287,1.088082,0.8366247,-0.8438345,1.121281,0.8481375,-0.8358495,1.100451,0.832993,-0.83249,1.09442,0.8252032,-0.849377,1.13419,0.8321272,-0.841844,1.113284,0.8199887,-0.8395557,1.105978,0.8150131,-0.8566023,1.144258,0.8174371,-0.8478178,1.127028,0.8112385,-0.8437897,1.119903,0.808658,-0.856956,1.12233,0.8393825,-0.8801712,0.03355389,
1528897314051,1.074046,0.8450478,-0.8983257,1.061643,0.858785,-0.8651483,1.057709,0.8603671,-0.8407661,1.096391,0.8602974,-0.840325,1.080227,0.8442879,-0.835773,1.075913,0.8355274,-0.8497717,1.108559,0.8472397,-0.8390253,1.087373,0.8324023,-0.8358116,1.081627,0.8241501,-0.8525721,1.121852,0.8311402,-0.8436909,1.100668,0.8191588,-0.8411844,1.093397,0.8133494,-0.8579861,1.132288,0.8160458,-0.8488333,1.114831,0.810158,-0.8446779,1.10742,0.8075173,-0.8576853,1.111913,0.837259,-0.8834653,0.0320859,
1528897314078,1.065935,0.845759,-0.9016896,1.052837,0.8595266,-0.8687845,1.048338,0.8610427,-0.8445165,1.08678,0.8608988,-0.8433447,1.070382,0.8450152,-0.8394226,1.066572,0.836327,-0.85361,1.098718,0.8476397,-0.8418505,1.077434,0.8329779,-0.8396865,1.072546,0.8249904,-0.8568221,1.11195,0.8314391,-0.8461187,1.090685,0.8196806,-0.8446383,1.084284,0.8141456,-0.861857,1.122373,0.8163319,-0.8508641,1.104745,0.8105868,-0.8474203,1.097933,0.8079313,-0.8607352,1.103263,0.8377274,-0.8859026,0.03203211,
1528897314104,1.056517,0.8448595,-0.9070305,1.041657,0.8581259,-0.8746386,1.035949,0.8592057,-0.850651,1.074001,0.8602509,-0.8477269,1.057433,0.8444076,-0.8447022,1.054499,0.8357664,-0.8591002,1.085797,0.8468019,-0.8457996,1.064596,0.8322074,-0.8452474,1.061077,0.8246658,-0.8628932,1.099223,0.8306893,-0.8493152,1.078129,0.8190086,-0.8493967,1.073243,0.8137741,-0.8671799,1.109942,0.8156402,-0.8533873,1.09231,0.8099311,-0.8511124,1.086679,0.8073995,-0.864972,1.092867,0.837099,-0.8894043,0.0310625,
1528897314131,1.051527,0.8448104,-0.9102173,1.03602,0.8584734,-0.8782864,1.029629,0.8598307,-0.8544694,1.067377,0.8605283,-0.8509888,1.050529,0.8448837,-0.8486809,1.04838,0.8359848,-0.8630818,1.078907,0.8469431,-0.8484408,1.057397,0.8326239,-0.8484904,1.054382,0.8246375,-0.8660586,1.09216,0.8304716,-0.851324,1.070719,0.8191575,-0.8519668,1.066062,0.8137515,-0.8697889,1.102674,0.8152201,-0.8548926,1.084775,0.8098379,-0.853096,1.079304,0.8070921,-0.8670217,1.087235,0.8366682,-0.8915696,0.03153421,
1528897314157,1.043678,0.8461375,-0.9142972,1.027607,0.8588526,-0.8822322,1.020946,0.8596838,-0.8584695,1.05849,0.8624228,-0.8552238,1.041803,0.8464469,-0.8531725,1.040059,0.8372618,-0.8674669,1.070237,0.8489499,-0.8524631,1.048781,0.8343005,-0.8527391,1.045825,0.826159,-0.870272,1.083737,0.8326652,-0.8551763,1.062265,0.8210131,-0.8559592,1.057487,0.8153808,-0.8737158,1.09448,0.8175853,-0.858631,1.076525,0.8119228,-0.8569411,1.070922,0.8089049,-0.8708029,1.079334,0.8389032,-0.8955079,0.03080601,
1528897314186,1.041762,0.8442834,-0.9167087,1.024319,0.8569442,-0.8853033,1.016545,0.8579612,-0.8618683,1.054587,0.8597916,-0.8571036,1.0379,0.8436465,-0.8560572,1.036668,0.834789,-0.8706076,1.066268,0.8465036,-0.8539141,1.044818,0.8317332,-0.8550613,1.042374,0.823679,-0.8727227,1.079933,0.8303248,-0.8562447,1.058447,0.8185706,-0.8577679,1.054094,0.8129903,-0.8756587,1.090926,0.8151932,-0.8593946,1.072826,0.809554,-0.8581829,1.067266,0.8070483,-0.8721722,1.076802,0.8369179,-0.896659,0.03191046,
1528897314220,1.038586,0.8414824,-0.9191363,1.019442,0.8528084,-0.8881258,1.01043,0.8533723,-0.865106,1.049769,0.8544923,-0.8578485,1.033341,0.8379579,-0.8574154,1.032,0.8298391,-0.8723605,1.061764,0.8411937,-0.855294,1.040778,0.826021,-0.8576707,1.038712,0.8193797,-0.8759366,1.075979,0.8255765,-0.8580993,1.054986,0.8134718,-0.8608254,1.05123,0.8093566,-0.8792188,1.087496,0.8110113,-0.8616832,1.069687,0.8048847,-0.8613163,1.06479,0.8034136,-0.8756695,1.073432,0.8341332,-0.8982766,0.03273733,
1528897314251,1.036565,0.8438002,-0.9214187,1.016047,0.855264,-0.8912619,1.005615,0.8561977,-0.8688299,1.045593,0.8545882,-0.8589414,1.028761,0.8383089,-0.8592739,1.027814,0.8301173,-0.8742156,1.057283,0.8409618,-0.8563734,1.036119,0.8261573,-0.8597486,1.034726,0.8196075,-0.8780974,1.071378,0.8251617,-0.8590701,1.05032,0.8134131,-0.8626877,1.047296,0.8094419,-0.8812273,1.082837,0.8104522,-0.8626916,1.064949,0.804565,-0.8629541,1.060591,0.8032616,-0.8774719,1.070614,0.8347925,-0.8992215,0.03466978,
