time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528897370266,0.8563192,0.8418836,-0.9036505,0.8221915,0.8320928,-0.8885857,0.8000236,0.8256332,-0.8786762,0.815236,0.8607372,-0.8480554,0.7973982,0.840786,-0.8431041,0.7943621,0.8241675,-0.847875,0.8282901,0.854731,-0.8332781,0.805711,0.8336093,-0.8276785,0.7979656,0.8159945,-0.8338522,0.8483971,0.8473468,-0.8234918,0.8269542,0.828154,-0.8154777,0.8168961,0.8116844,-0.8202579,0.8681349,0.8371469,-0.8193239,0.8519583,0.8229059,-0.8118496,0.8421839,0.8113056,-0.8160577,0.8689927,0.85346,-0.8695148,0.03135151,
1528897370292,0.8574307,0.8418634,-0.901408,0.8227456,0.8338956,-0.8865554,0.800346,0.8284667,-0.8765708,0.8170452,0.8634543,-0.8480214,0.7999367,0.842764,-0.8436756,0.7977811,0.8259587,-0.8483902,0.8296397,0.8579574,-0.8329805,0.8076007,0.8361387,-0.828434,0.8008133,0.8182507,-0.8349987,0.8492067,0.8508011,-0.8225702,0.8277448,0.831193,-0.8156091,0.8180466,0.8145295,-0.8206709,0.8683217,0.8408787,-0.8175179,0.8516678,0.8267087,-0.81112,0.8420031,0.815093,-0.8157651,0.8702397,0.8550386,-0.8676031,0.02840806,
1528897370318,0.8624076,0.8424135,-0.9091935,0.8272225,0.8371017,-0.8943258,0.8047497,0.8330566,-0.8838824,0.8240823,0.8668407,-0.8569889,0.8072693,0.8462609,-0.8540115,0.8064129,0.8296628,-0.8597172,0.8363037,0.8604668,-0.8422997,0.8147184,0.8385525,-0.8402201,0.809464,0.8209161,-0.8486865,0.8550457,0.8524374,-0.8317621,0.8334458,0.832855,-0.827594,0.8246771,0.8164636,-0.8349606,0.8730369,0.8422048,-0.8261846,0.855512,0.8288375,-0.8219622,0.8465317,0.817892,-0.828904,0.8762124,0.8553066,-0.8754537,0.02445892,
1528897370346,0.8657264,0.8410709,-0.9119449,0.8301958,0.8371679,-0.8974781,0.8076782,0.8337687,-0.8869529,0.8279713,0.8666503,-0.8601589,0.8111171,0.8464203,-0.8576701,0.8110797,0.8300663,-0.8638123,0.840034,0.8596808,-0.8457227,0.8188998,0.837846,-0.8450063,0.8150936,0.82052,-0.8546485,0.8583803,0.8511536,-0.835138,0.8370183,0.8315784,-0.8326722,0.8295406,0.8154844,-0.8417214,0.8758118,0.8408599,-0.8292398,0.8580514,0.8278784,-0.8262824,0.8498577,0.8172742,-0.8344872,0.8798903,0.8537034,-0.8780177,0.02368044,
1528897370372,0.8685014,0.8374622,-0.913617,0.8328351,0.834064,-0.8993835,0.810419,0.8306512,-0.8886772,0.8308463,0.8620017,-0.8619987,0.8141712,0.8416877,-0.8607966,0.8147829,0.8257605,-0.8678062,0.8425332,0.8542882,-0.8478921,0.8217863,0.8324232,-0.8491031,0.8192226,0.8157973,-0.8600847,0.8604245,0.8450788,-0.8374184,0.8392791,0.8254112,-0.8371022,0.8330043,0.8100078,-0.8478682,0.877372,0.8344595,-0.8314984,0.8595152,0.8215346,-0.8302337,0.8520745,0.8115424,-0.8397284,0.8824993,0.8487781,-0.8792576,0.02187605,
1528897370399,0.872766,0.8328054,-0.9178362,0.8369843,0.8306831,-0.9036555,0.8146558,0.8277734,-0.892688,0.8360058,0.8577259,-0.8658903,0.8191435,0.8378995,-0.8651869,0.8202681,0.8224625,-0.8728732,0.8473901,0.8493472,-0.8522204,0.8267668,0.8280441,-0.8545612,0.8253975,0.8121201,-0.8665242,0.8648633,0.8394823,-0.8418656,0.8436376,0.8204062,-0.8427375,0.838387,0.8056958,-0.8547071,0.8813169,0.8284665,-0.8359509,0.8631851,0.8162374,-0.835477,0.8563244,0.8067173,-0.8457657,0.8871254,0.8430426,-0.8832894,0.02126808,
1528897370426,0.8750427,0.8342229,-0.9213828,0.839409,0.8315833,-0.9069355,0.8173913,0.827979,-0.8956137,0.8383046,0.8571841,-0.8685719,0.8213751,0.8375491,-0.8688181,0.822716,0.8226327,-0.8773204,0.8495839,0.8480709,-0.8553606,0.8289436,0.8271106,-0.858832,0.827893,0.811899,-0.8716434,0.8669133,0.8376378,-0.845456,0.8456224,0.8188696,-0.8473958,0.8407307,0.8048704,-0.8602335,0.8832067,0.8263439,-0.8399891,0.8649489,0.8144276,-0.8401864,0.8583131,0.8053902,-0.8510102,0.8893486,0.8428109,-0.8865815,0.01978835,
1528897370452,0.8791357,0.834776,-0.9276184,0.8438927,0.8322468,-0.912249,0.8225769,0.8282082,-0.8999262,0.8428347,0.8595433,-0.8752856,0.8254208,0.8405318,-0.8755238,0.8266738,0.8257322,-0.8841313,0.8539655,0.8497849,-0.8622801,0.8332329,0.8293029,-0.8661856,0.832446,0.8144014,-0.8793632,0.8708627,0.8389676,-0.852371,0.8493803,0.8207805,-0.8547905,0.8447928,0.8071194,-0.8680519,0.8867103,0.8273368,-0.8468711,0.8682401,0.8160241,-0.8474653,0.8619286,0.8072461,-0.8586466,0.8934516,0.8434584,-0.8933036,0.01650441,
1528897370479,0.8821949,0.8341919,-0.9327303,0.847123,0.8326471,-0.9168566,0.8262054,0.8289863,-0.903879,0.8466464,0.8613621,-0.881106,0.8290544,0.8427531,-0.8808134,0.8303927,0.8277223,-0.8890026,0.8579139,0.8513082,-0.8683056,0.8377932,0.8308007,-0.8724353,0.8381125,0.8159688,-0.8856933,0.8745989,0.8405006,-0.858303,0.8537917,0.8223338,-0.86142,0.8506248,0.8088237,-0.8752095,0.8901427,0.8289591,-0.8524594,0.8719448,0.8178017,-0.8536864,0.8667257,0.8090649,-0.8653948,0.8969047,0.8437187,-0.8988762,0.0155061,
1528897370506,0.8842505,0.836004,-0.9368899,0.8492246,0.8354915,-0.9208759,0.8284627,0.8322169,-0.9076148,0.8496447,0.8635197,-0.8856016,0.8322464,0.8449241,-0.8858952,0.8338507,0.8300496,-0.8944309,0.8606482,0.853116,-0.8730637,0.8409305,0.8327765,-0.878173,0.8420361,0.8184348,-0.891909,0.8769227,0.8418745,-0.8631899,0.8565573,0.8239105,-0.867603,0.8544461,0.8110152,-0.8821295,0.8919964,0.8300787,-0.8572462,0.8739744,0.8191499,-0.8595406,0.8695883,0.8109097,-0.8718985,0.8991963,0.8450328,-0.9030685,0.01440635,
