time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528897573577,1.076427,0.8307961,-0.8933457,1.067212,0.8192707,-0.8577206,1.061657,0.8114946,-0.8345003,1.104432,0.8508373,-0.8243217,1.106766,0.8350736,-0.8015735,1.104564,0.8188375,-0.795103,1.123211,0.8461925,-0.8273883,1.122066,0.8276834,-0.8018788,1.115942,0.8097383,-0.7953695,1.142847,0.8416554,-0.8393717,1.144055,0.8256004,-0.8142416,1.138187,0.8088251,-0.8057767,1.158691,0.8331305,-0.8547417,1.16245,0.8213903,-0.8356789,1.157145,0.8089871,-0.8278918,1.112644,0.8442807,-0.8835304,0.05871167,
1528897573604,1.073258,0.8307975,-0.8950269,1.064459,0.8183741,-0.8595992,1.058909,0.8101698,-0.8365175,1.101763,0.849244,-0.8256423,1.103888,0.8331112,-0.8033574,1.101302,0.816627,-0.7981521,1.120809,0.8447088,-0.8290096,1.119904,0.825982,-0.8038521,1.113599,0.8079286,-0.7981906,1.140659,0.8403558,-0.8414448,1.142652,0.8240831,-0.8166436,1.136783,0.8071495,-0.8087778,1.155977,0.8318613,-0.8572632,1.159856,0.8196509,-0.8387314,1.154107,0.8070368,-0.8317725,1.109496,0.8438982,-0.8852503,0.05753922,
1528897573639,1.070403,0.8312333,-0.8956302,1.061543,0.8189728,-0.8601646,1.055647,0.8110598,-0.8370607,1.098629,0.8502443,-0.8262246,1.100636,0.8343978,-0.8037275,1.098089,0.8179694,-0.7983226,1.11777,0.8456002,-0.8296293,1.116779,0.8269168,-0.8045298,1.110431,0.8088253,-0.799015,1.13769,0.8412466,-0.8420331,1.139629,0.8250108,-0.8172812,1.13368,0.8080412,-0.809567,1.152994,0.8326887,-0.8577944,1.156821,0.8205086,-0.8392231,1.15105,0.8079111,-0.8322821,1.106548,0.8444626,-0.8858675,0.05787638,
1528897573671,1.068603,0.8311894,-0.8956728,1.059597,0.8189368,-0.8602443,1.053444,0.8111302,-0.8371707,1.096658,0.8499193,-0.8261703,1.098109,0.8339205,-0.8039114,1.095271,0.8173775,-0.7992381,1.11599,0.8455132,-0.8295832,1.11468,0.8269467,-0.8046365,1.108105,0.8088159,-0.799732,1.136101,0.841136,-0.8421146,1.13799,0.8249493,-0.8174919,1.131821,0.807918,-0.8102453,1.151429,0.8325576,-0.8579958,1.155274,0.8203908,-0.8395431,1.149278,0.8077687,-0.8329306,1.104888,0.8443173,-0.8859506,0.05681055,
1528897573697,1.066959,0.8319029,-0.8957592,1.057596,0.8201594,-0.8602539,1.051033,0.8127966,-0.8371456,1.094129,0.8513954,-0.8262149,1.095371,0.8355484,-0.8038806,1.092386,0.8190348,-0.7992104,1.113299,0.8467001,-0.8293423,1.111479,0.8281602,-0.8044327,1.104703,0.8100567,-0.7995383,1.133421,0.8421608,-0.8414538,1.134577,0.8260633,-0.8167898,1.127995,0.8091033,-0.8098423,1.148942,0.8333826,-0.8569576,1.152193,0.8213469,-0.8383456,1.14581,0.8088464,-0.8319324,1.103001,0.8450515,-0.8857433,0.05646308,
1528897573724,1.065405,0.8326638,-0.8956509,1.055565,0.8212601,-0.8601646,1.048657,0.8141342,-0.8370825,1.091586,0.852833,-0.8259305,1.092833,0.8372258,-0.8033272,1.090069,0.8207772,-0.7981998,1.110737,0.8481827,-0.8288108,1.108784,0.8296954,-0.8037577,1.102207,0.811565,-0.7985414,1.131027,0.8438989,-0.8405544,1.131999,0.8280467,-0.8156368,1.125608,0.8111126,-0.8083798,1.146858,0.8352592,-0.8557438,1.149926,0.8234998,-0.8369166,1.143614,0.810995,-0.8304246,1.101233,0.8461723,-0.8852727,0.05719195,
1528897573750,1.062297,0.8344429,-0.8944159,1.051978,0.8235672,-0.8588996,1.044849,0.8167298,-0.8357988,1.087863,0.8552877,-0.8248415,1.088697,0.8395457,-0.8023936,1.085745,0.8230345,-0.7975472,1.107008,0.8506761,-0.8274702,1.104578,0.8322141,-0.802528,1.097794,0.8140869,-0.7976403,1.127387,0.8462831,-0.8389167,1.127835,0.8305192,-0.8140033,1.121181,0.8136008,-0.806915,1.143427,0.8375686,-0.8537971,1.146183,0.8260385,-0.8348131,1.139697,0.8136208,-0.8283325,1.098176,0.8480415,-0.8838989,0.05635044,
1528897573777,1.061002,0.8335057,-0.894303,1.05038,0.8228016,-0.8588223,1.043187,0.8159865,-0.835737,1.085127,0.8550851,-0.8248665,1.085569,0.8387842,-0.8029101,1.082681,0.8220709,-0.7988334,1.104266,0.851028,-0.8271955,1.101314,0.8321962,-0.8026851,1.094641,0.8138563,-0.7983974,1.124847,0.8469763,-0.8382655,1.124578,0.8308769,-0.8136888,1.117799,0.8137209,-0.8072925,1.14144,0.8388031,-0.8527381,1.14383,0.8274555,-0.8336233,1.137354,0.8149535,-0.8272686,1.096531,0.8480439,-0.8835185,0.05439371,
1528897573812,1.058803,0.8337398,-0.8952364,1.048541,0.822747,-0.859737,1.04168,0.815685,-0.8366268,1.083017,0.8544204,-0.8258913,1.08305,0.8373982,-0.8048155,1.080021,0.8204932,-0.8023609,1.102288,0.8508035,-0.8284175,1.099138,0.8315198,-0.8045578,1.092432,0.8130241,-0.8014271,1.122877,0.8468131,-0.8398059,1.122274,0.8298689,-0.8161752,1.115114,0.8124254,-0.811425,1.139559,0.8390837,-0.8545012,1.14179,0.8272442,-0.8358594,1.134968,0.8145642,-0.8303652,1.094382,0.8484203,-0.8846905,0.05164551,
1528897573831,1.056651,0.8351566,-0.8971734,1.046668,0.823764,-0.8617156,1.04028,0.8162756,-0.8386076,1.081317,0.8542311,-0.8280445,1.080532,0.8362722,-0.8079165,1.077161,0.8193161,-0.8066227,1.100721,0.8508616,-0.8306953,1.097047,0.8311581,-0.8073014,1.090085,0.8126901,-0.8047537,1.121254,0.8466289,-0.8423877,1.120193,0.829007,-0.8193492,1.112675,0.8115422,-0.8153095,1.137748,0.8390092,-0.857286,1.139585,0.8266598,-0.8389782,1.132471,0.8139515,-0.8338434,1.092625,0.8493233,-0.8868429,0.04891328,
1528897573857,1.056912,0.8399302,-0.8983603,1.047198,0.8282021,-0.8629359,1.041201,0.8203533,-0.8398504,1.083289,0.8564718,-0.8294192,1.0816,0.8380085,-0.8099594,1.07748,0.8211796,-0.8094504,1.102655,0.852554,-0.8324693,1.098271,0.8326054,-0.8095297,1.090537,0.8143841,-0.8075142,1.122727,0.8474349,-0.8447596,1.120925,0.829126,-0.8223848,1.112602,0.8118635,-0.8189248,1.138536,0.8393595,-0.8601224,1.139642,0.8262011,-0.8423565,1.131876,0.813652,-0.8376131,1.093669,0.8523978,-0.8884977,0.04733907,
1528897573884,1.054584,0.8419217,-0.9021569,1.045415,0.8307747,-0.8663995,1.040043,0.8231362,-0.8431029,1.081622,0.8585284,-0.8341941,1.079375,0.8395389,-0.8156574,1.07501,0.822822,-0.8164811,1.101061,0.8547943,-0.8373752,1.096297,0.8346857,-0.8149487,1.0883,0.8165258,-0.8137903,1.121059,0.8495691,-0.8498361,1.118947,0.8312101,-0.8278237,1.11023,0.8140382,-0.8250568,1.136617,0.8413552,-0.8652761,1.137407,0.8282539,-0.8476245,1.129222,0.8158506,-0.8432882,1.091609,0.8542762,-0.8930884,0.04394895,
1528897573911,1.053926,0.8423097,-0.9040101,1.044678,0.8307351,-0.8684093,1.039313,0.822774,-0.8452218,1.08038,0.8577195,-0.8358283,1.077526,0.8383226,-0.8179735,1.072932,0.8217841,-0.8196954,1.09987,0.8539865,-0.8388267,1.094512,0.8336459,-0.8169618,1.086217,0.8156292,-0.8166633,1.119948,0.8486093,-0.8512385,1.117345,0.8299527,-0.8296182,1.108306,0.8129039,-0.8274564,1.135485,0.8403034,-0.8667012,1.135893,0.8268486,-0.8492901,1.127441,0.814536,-0.8453294,1.090875,0.8542171,-0.8945931,0.04222352,
