time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528897323479,0.7657399,0.8371829,-0.9054335,0.7383403,0.8200577,-0.8844492,0.7234563,0.8066905,-0.8695663,0.7507364,0.8488297,-0.8273214,0.7417135,0.8351014,-0.8049207,0.7350365,0.8198545,-0.7990518,0.7674785,0.8397384,-0.8196498,0.7541962,0.8217751,-0.797214,0.7440649,0.8047803,-0.7939203,0.7883874,0.8324407,-0.8201599,0.7758583,0.8160883,-0.7981083,0.7650467,0.8002747,-0.7929214,0.8089408,0.8216278,-0.8261186,0.801923,0.8078172,-0.8092493,0.7928658,0.7954942,-0.8056611,0.7889021,0.8439707,-0.8739518,0.07266153,
1528897323504,0.7681305,0.8394719,-0.9087546,0.7404709,0.8221472,-0.8882807,0.7253652,0.8086368,-0.873742,0.7520041,0.8494938,-0.830799,0.7426076,0.8351406,-0.8090797,0.7358807,0.819615,-0.8041065,0.7686642,0.8405029,-0.8229791,0.7550058,0.8222764,-0.8010451,0.7447552,0.8052132,-0.7979538,0.7896255,0.833328,-0.8232867,0.7767742,0.8168843,-0.8014845,0.7658608,0.8010715,-0.7964391,0.8102217,0.822646,-0.8291426,0.8029783,0.8088733,-0.8122244,0.7939845,0.7965674,-0.8082609,0.7908868,0.8456151,-0.8769393,0.07127549,
1528897323560,0.7775433,0.8455315,-0.9203213,0.7488614,0.8294297,-0.9002504,0.7326136,0.8169547,-0.8859383,0.7551509,0.8563088,-0.8451413,0.7433733,0.8411826,-0.8261598,0.7367868,0.8251082,-0.8252788,0.7713002,0.8479376,-0.8359015,0.7552906,0.8296827,-0.8169848,0.7451659,0.8124068,-0.8178764,0.7925435,0.8406821,-0.8344631,0.7775581,0.8241593,-0.8151071,0.7664382,0.8080411,-0.8141983,0.8130904,0.8294456,-0.8389704,0.8033091,0.8153328,-0.8247064,0.7934502,0.8033156,-0.8254935,0.797843,0.8518539,-0.8879449,0.06134721,
1528897323598,0.7855206,0.8508863,-0.9295529,0.7562559,0.8360887,-0.9093426,0.7397151,0.8242812,-0.8947953,0.7593248,0.8616988,-0.8574148,0.7455905,0.8448294,-0.8420218,0.7394904,0.8288234,-0.8445971,0.7746503,0.8534279,-0.8475893,0.7564982,0.8341852,-0.8330619,0.7472509,0.8173898,-0.8384172,0.7958091,0.8458757,-0.8447576,0.7785999,0.8286475,-0.8288277,0.7676073,0.8127968,-0.8316878,0.8158923,0.8341724,-0.8483046,0.8036859,0.81984,-0.8373013,0.7939327,0.8090141,-0.8423387,0.8045392,0.8570189,-0.8970554,0.05040378,
1528897323646,0.7948532,0.853508,-0.9382578,0.7647036,0.8393221,-0.9189546,0.7475837,0.8277179,-0.9049068,0.7646909,0.8621803,-0.8690191,0.7491499,0.8440465,-0.8564861,0.7429514,0.8282444,-0.8602375,0.7791572,0.8535433,-0.8588743,0.759151,0.8334156,-0.8479482,0.7502784,0.81712,-0.8551571,0.8000504,0.8455837,-0.8548105,0.7809715,0.8275343,-0.8421232,0.7700872,0.8120782,-0.8470576,0.8198669,0.8337173,-0.8576199,0.8059624,0.8190312,-0.8496332,0.7966776,0.8090593,-0.8568933,0.8123007,0.8583456,-0.9052329,0.04491197,
1528897323677,0.801445,0.851688,-0.9443008,0.771035,0.8376828,-0.9252756,0.7536185,0.8263011,-0.9113876,0.7693092,0.8596926,-0.8769113,0.753363,0.8407197,-0.8657216,0.747543,0.8248287,-0.8697701,0.7836851,0.8513573,-0.8664252,0.763433,0.8303758,-0.8569973,0.7551792,0.8140069,-0.8646846,0.8045112,0.8436178,-0.8617904,0.7851347,0.8246192,-0.850919,0.7749029,0.8090444,-0.8568578,0.8243631,0.8321224,-0.864223,0.8101049,0.8169036,-0.8583752,0.8016673,0.8073119,-0.8670793,0.8180797,0.8568366,-0.9111285,0.04208441,
1528897323704,0.8084891,0.8524113,-0.9480643,0.7780418,0.8386188,-0.9289296,0.7602934,0.827589,-0.9151243,0.7761478,0.8596083,-0.8812909,0.7598825,0.8402714,-0.8706735,0.753849,0.8243492,-0.87453,0.7905632,0.8512563,-0.8708792,0.7700039,0.8299238,-0.8619504,0.7614661,0.8134755,-0.8693165,0.8113843,0.8434222,-0.8663015,0.7918016,0.8239561,-0.8561773,0.7815118,0.8083551,-0.862155,0.8312298,0.8321632,-0.8687022,0.8167517,0.8167256,-0.863452,0.8082574,0.807085,-0.8721471,0.8251317,0.85728,-0.9150095,0.04123016,
1528897323732,0.8192734,0.8527917,-0.9528562,0.788675,0.8394484,-0.9336296,0.7705801,0.8288438,-0.9199096,0.7867736,0.8587711,-0.8866685,0.7702372,0.8391148,-0.8770434,0.7643236,0.823355,-0.8815656,0.8011771,0.8501093,-0.8764048,0.7803807,0.8284945,-0.8684435,0.7718675,0.812271,-0.876299,0.821915,0.8419436,-0.871982,0.8021449,0.8220503,-0.8630328,0.7920079,0.8066981,-0.8698153,0.8416296,0.8308334,-0.8743857,0.8268914,0.8153402,-0.8699006,0.8184388,0.8059996,-0.87897,0.8359324,0.856808,-0.9199406,0.03923685,
1528897323758,0.8251937,0.8524618,-0.955542,0.7946351,0.8393301,-0.9360904,0.7762545,0.8291602,-0.9223804,0.7924226,0.8589081,-0.889963,0.7758486,0.8390664,-0.8807813,0.7701375,0.8232817,-0.8854895,0.8068494,0.8503702,-0.8795797,0.7860084,0.8285971,-0.8719114,0.7775248,0.8122731,-0.8796927,0.8276083,0.8421618,-0.8750671,0.807834,0.8220173,-0.8664815,0.7977585,0.8065838,-0.8732746,0.8473431,0.8311794,-0.8772258,0.8325754,0.8155679,-0.8729147,0.8241166,0.8061546,-0.8819303,0.8417191,0.8568653,-0.9227782,0.03785392,
1528897323785,0.8333562,0.8535788,-0.9584947,0.803626,0.8392408,-0.9386119,0.7857295,0.8284082,-0.9247451,0.8010615,0.8580599,-0.8930151,0.7849607,0.8374045,-0.8844481,0.7794259,0.8215541,-0.8893217,0.8158195,0.8495824,-0.8829709,0.7954993,0.8269072,-0.8758263,0.787089,0.8104892,-0.8836272,0.8367103,0.8417372,-0.8788513,0.8173416,0.8207451,-0.8706834,0.8072764,0.8051416,-0.877285,0.856595,0.8312439,-0.8814837,0.8421134,0.8150432,-0.8777733,0.8336202,0.8055693,-0.8867937,0.8500428,0.8580447,-0.9260187,0.03662694,
