time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528897516163,1.120837,0.8361108,-0.8679075,1.109451,0.8221576,-0.8338082,1.102801,0.8126805,-0.8115184,1.141451,0.8629346,-0.7953044,1.145965,0.8541262,-0.7687412,1.146411,0.8414927,-0.756226,1.161946,0.858438,-0.7959956,1.165005,0.8460296,-0.7662566,1.162889,0.8311775,-0.7524773,1.181997,0.8540151,-0.8060195,1.186409,0.8435185,-0.7775145,1.184841,0.8301388,-0.7627108,1.199021,0.8449998,-0.8197449,1.205387,0.8368342,-0.7987487,1.204793,0.8266217,-0.7866027,1.154338,0.8523104,-0.8537564,0.07608729,
1528897516190,1.116026,0.8367448,-0.8705403,1.103473,0.825048,-0.8360103,1.095704,0.8172091,-0.8134617,1.136139,0.8653412,-0.7988418,1.139546,0.8564881,-0.7724264,1.13892,0.8432328,-0.760628,1.156245,0.8604952,-0.7990528,1.15755,0.8484679,-0.7693475,1.153933,0.83329,-0.7563167,1.176373,0.8554052,-0.80859,1.17927,0.8456948,-0.7797904,1.176469,0.8325146,-0.7649761,1.193098,0.845752,-0.8215272,1.19788,0.8386729,-0.7998074,1.196356,0.8292008,-0.7870839,1.149686,0.852453,-0.8566872,0.07304928,
1528897516240,1.106269,0.8365026,-0.879065,1.093136,0.8282065,-0.8437718,1.086286,0.8218246,-0.8205154,1.125412,0.8664476,-0.8087019,1.12621,0.8569026,-0.7829039,1.123539,0.842311,-0.7734725,1.144945,0.8617513,-0.8083007,1.142727,0.850292,-0.7790836,1.136514,0.8343562,-0.7685337,1.165561,0.8558636,-0.817174,1.165569,0.8470527,-0.7884837,1.160048,0.8332287,-0.7753587,1.182349,0.8452615,-0.8292088,1.184707,0.8392634,-0.8071557,1.180186,0.829409,-0.7957433,1.140452,0.8508383,-0.8656321,0.06340756,
1528897516271,1.100508,0.8315445,-0.8822342,1.08669,0.8254573,-0.8467553,1.079262,0.8205363,-0.8232768,1.118558,0.8627472,-0.8126576,1.117826,0.8531378,-0.7873152,1.114244,0.8379839,-0.7795051,1.137938,0.8583784,-0.8118272,1.133839,0.8475046,-0.7831807,1.126513,0.8311397,-0.7745093,1.158835,0.8518819,-0.8201821,1.157158,0.8435029,-0.7918425,1.150237,0.8292014,-0.7802001,1.176046,0.8402507,-0.8316723,1.177099,0.8338478,-0.8100756,1.170768,0.8232727,-0.8005128,1.134979,0.8453962,-0.8688611,0.05868697,
1528897516295,1.092832,0.8336406,-0.8865362,1.077675,0.8289814,-0.8513869,1.069223,0.8250178,-0.8281066,1.110329,0.864651,-0.8170325,1.108411,0.8548191,-0.7919298,1.104031,0.8396206,-0.7847097,1.129579,0.8598692,-0.8157489,1.124219,0.8491412,-0.7874007,1.116041,0.8328938,-0.7794038,1.150406,0.852446,-0.8235704,1.147449,0.8438766,-0.7955357,1.139491,0.8295288,-0.7847264,1.167493,0.8401819,-0.8345414,1.167428,0.8335452,-0.8131518,1.160067,0.8229879,-0.8043757,1.127503,0.8463456,-0.8726153,0.05751693,
1528897516336,1.08535,0.8292886,-0.8908833,1.069716,0.8263522,-0.8557631,1.060761,0.8236145,-0.8324757,1.102145,0.8608425,-0.8223153,1.09875,0.8503951,-0.7976243,1.093953,0.8350364,-0.7909719,1.12158,0.8563936,-0.820843,1.114991,0.8456597,-0.7928056,1.10644,0.8293924,-0.7852018,1.142717,0.8484869,-0.8283154,1.138857,0.8396224,-0.8005749,1.130384,0.8251244,-0.7904273,1.16009,0.8358269,-0.8389175,1.159558,0.8288195,-0.8177468,1.15171,0.8182155,-0.8094921,1.120341,0.8418883,-0.8772123,0.05435719,
1528897516362,1.080044,0.8271785,-0.8955259,1.064056,0.8246581,-0.8605326,1.054819,0.82221,-0.8373178,1.096399,0.8584888,-0.8270639,1.092369,0.847596,-0.8026969,1.087338,0.8321073,-0.7965704,1.115844,0.8539993,-0.8254307,1.108635,0.8429245,-0.7977605,1.099829,0.8265388,-0.790786,1.137134,0.8459005,-0.8326923,1.132838,0.836666,-0.8051922,1.124049,0.8220279,-0.795598,1.154589,0.8331364,-0.843132,1.153828,0.8258749,-0.8220724,1.145738,0.8152614,-0.8141018,1.115024,0.8393885,-0.8816116,0.05306397,
1528897516390,1.071273,0.8296782,-0.9013274,1.054533,0.8279192,-0.8666612,1.045342,0.8255889,-0.8434271,1.08636,0.8595221,-0.8330658,1.080997,0.8468329,-0.8098471,1.07573,0.8309189,-0.8050932,1.105619,0.8549528,-0.8311281,1.096825,0.8420045,-0.804751,1.087715,0.8251626,-0.7992681,1.126943,0.8469622,-0.8378658,1.120795,0.8359596,-0.8114586,1.111327,0.8207359,-0.8034835,1.144466,0.8347805,-0.8477836,1.141899,0.8267649,-0.8271523,1.133099,0.8159794,-0.8201481,1.106592,0.8416399,-0.8869185,0.0492069,
1528897516425,1.064241,0.827771,-0.9062278,1.048098,0.8252155,-0.8713239,1.039165,0.8224228,-0.8480343,1.080803,0.855009,-0.8376905,1.075352,0.8411363,-0.8149879,1.070002,0.8251182,-0.8106418,1.100245,0.850203,-0.8362737,1.091671,0.8360065,-0.810286,1.082506,0.8190749,-0.8051283,1.121547,0.8423592,-0.8436307,1.115941,0.8302882,-0.8174022,1.106584,0.8149604,-0.8094747,1.138771,0.8302426,-0.85431,1.136704,0.8211839,-0.83394,1.128044,0.8102623,-0.8269684,1.10002,0.8390422,-0.8922696,0.04854245,
1528897516457,1.05717,0.8260291,-0.9114947,1.041015,0.8255059,-0.8764974,1.031691,0.824226,-0.8532089,1.074793,0.8530428,-0.8440416,1.068255,0.8388966,-0.8217305,1.062228,0.8230164,-0.8175606,1.093975,0.8474418,-0.8426204,1.084263,0.833165,-0.8169305,1.074361,0.8165754,-0.8116943,1.114901,0.8387488,-0.8497753,1.108191,0.826671,-0.8237055,1.098101,0.8117625,-0.8157126,1.131531,0.825954,-0.8601614,1.128432,0.8169628,-0.8398021,1.119185,0.8065037,-0.8328063,1.093549,0.8358112,-0.8980042,0.046955,
1528897516482,1.052,0.8215894,-0.914569,1.036887,0.8210435,-0.8791053,1.027804,0.8200885,-0.8556982,1.071153,0.8468732,-0.8474942,1.065034,0.8318636,-0.8254604,1.059205,0.8158705,-0.821382,1.090429,0.8413519,-0.8467109,1.081289,0.8261342,-0.8211752,1.071625,0.8093947,-0.8159002,1.11109,0.8326797,-0.8546276,1.104785,0.8193416,-0.8289751,1.094904,0.8041116,-0.8212807,1.12741,0.8203638,-0.8656276,1.124428,0.8105044,-0.8456041,1.115266,0.7998124,-0.8388091,1.088556,0.8311408,-0.9020674,0.04670528,
1528897516509,1.049839,0.8177028,-0.9150448,1.035297,0.8150073,-0.8794403,1.026416,0.8127723,-0.8560424,1.06991,0.8395146,-0.8470925,1.063744,0.823401,-0.8258203,1.057873,0.807267,-0.8225896,1.08928,0.8339433,-0.8468682,1.080291,0.8175591,-0.8219711,1.070611,0.8006567,-0.8175178,1.109795,0.8252091,-0.8556694,1.103661,0.8101906,-0.8308992,1.093725,0.7945675,-0.8242052,1.125862,0.8133426,-0.8675956,1.122963,0.8020152,-0.8483425,1.113704,0.7909895,-0.8422688,1.086714,0.8265724,-0.9026604,0.04624914,
1528897516535,1.04623,0.8172408,-0.9166967,1.031856,0.8142772,-0.8810467,1.022945,0.8119574,-0.8576685,1.067426,0.8372571,-0.8485561,1.060742,0.82092,-0.8277434,1.054529,0.8048291,-0.8252474,1.086681,0.8312598,-0.848703,1.07721,0.8146687,-0.8242236,1.067148,0.7978733,-0.8204071,1.106901,0.8219681,-0.8580037,1.10025,0.8063301,-0.8338622,1.08981,0.7907251,-0.8280638,1.122533,0.810015,-0.8703376,1.119131,0.7981989,-0.8515104,1.109446,0.7872655,-0.8459773,1.083596,0.8249364,-0.9045765,0.04582053,
1528897516562,1.040696,0.8172606,-0.9200341,1.02562,0.8132641,-0.8847762,1.016445,0.810095,-0.8616021,1.060201,0.835627,-0.8509881,1.052691,0.8187501,-0.8311846,1.046307,0.8026406,-0.8301826,1.07925,0.8293003,-0.8509195,1.068627,0.8119102,-0.8278001,1.058265,0.7950478,-0.8258502,1.099496,0.8198503,-0.8600197,1.091455,0.8031905,-0.8372466,1.080403,0.7874732,-0.8334226,1.115243,0.8082225,-0.8721665,1.110505,0.7957833,-0.8542011,1.100114,0.7848898,-0.8501928,1.07776,0.8244876,-0.9068818,0.04398343,
1528897516589,1.038362,0.8146806,-0.9208103,1.023312,0.8090906,-0.8857557,1.014169,0.8048505,-0.8627429,1.05825,0.8301448,-0.8510717,1.050382,0.8126271,-0.832208,1.043782,0.7966083,-0.8323957,1.077123,0.8234268,-0.8514208,1.066038,0.8052124,-0.8293371,1.055408,0.7884421,-0.8285657,1.097306,0.8139161,-0.861024,1.088891,0.7962534,-0.8393081,1.077483,0.7805837,-0.836711,1.112865,0.8026445,-0.8736792,1.107859,0.7894725,-0.8564116,1.097167,0.778645,-0.8531969,1.07553,0.8210201,-0.9074873,0.04319529,
