time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528896030043,0.8492125,0.9151174,-0.9120133,0.8175397,0.9044324,-0.8929543,0.7981936,0.8941916,-0.8807447,0.8321282,0.8987111,-0.8375865,0.8131913,0.885796,-0.8200274,0.7993572,0.875849,-0.8146299,0.8452343,0.8815182,-0.8349317,0.8237855,0.8662653,-0.8151056,0.8074263,0.8556693,-0.8088371,0.8623945,0.8663411,-0.8409367,0.8442253,0.8504965,-0.8211645,0.8290694,0.8395898,-0.8136772,0.8767878,0.8518121,-0.853195,0.864594,0.8374565,-0.8390301,0.8523852,0.8284035,-0.8344489,0.8705766,0.8969203,-0.8859724,0.06862193,
1528896030084,0.8445624,0.9153981,-0.9161235,0.8127971,0.9041479,-0.8975571,0.7934208,0.8935775,-0.8856678,0.8258258,0.899833,-0.8421702,0.8063017,0.8869009,-0.8252504,0.7922735,0.8770134,-0.820267,0.8386172,0.8825577,-0.8393342,0.81636,0.8673414,-0.8203481,0.7997376,0.8568556,-0.814602,0.8557465,0.8673258,-0.8448839,0.836794,0.851658,-0.8256465,0.8213953,0.8409284,-0.8183829,0.8703563,0.8526925,-0.8566776,0.8576562,0.8385048,-0.8427419,0.8453132,0.8295715,-0.8382668,0.865198,0.8976944,-0.8896595,0.06747551,
1528896030110,0.8436604,0.9172422,-0.9173431,0.8122448,0.9053575,-0.8985879,0.7931217,0.8943967,-0.8866317,0.8251619,0.9010341,-0.8436457,0.8058164,0.8876228,-0.8268827,0.7918957,0.877527,-0.8220549,0.8378378,0.8838497,-0.8410999,0.8155309,0.8682659,-0.8224804,0.7988976,0.8576449,-0.8170439,0.8549585,0.8688095,-0.8467682,0.8359176,0.8529449,-0.8277889,0.8204662,0.8421498,-0.8207425,0.8694685,0.8544294,-0.8586727,0.8564661,0.8403186,-0.8450115,0.8438669,0.8315538,-0.8409656,0.8643008,0.8995937,-0.8912188,0.06675511,
1528896030140,0.843924,0.9190965,-0.9173117,0.8131963,0.9064113,-0.897954,0.7945427,0.89501,-0.8856587,0.8270005,0.9020732,-0.8435889,0.8081222,0.8880708,-0.8267418,0.7944666,0.8776864,-0.821767,0.8398652,0.8850697,-0.8415085,0.8179448,0.8688571,-0.8229464,0.8015287,0.8579136,-0.8174904,0.8570094,0.8703857,-0.8476095,0.8382291,0.8540402,-0.8287786,0.8229262,0.8429831,-0.8218114,0.871326,0.8563715,-0.859934,0.8582087,0.8420576,-0.8466338,0.8455181,0.8332772,-0.8429328,0.8652181,0.9017059,-0.8917943,0.06619867,
1528896030164,0.8473543,0.9173899,-0.9171189,0.8166664,0.904283,-0.8979658,0.7979934,0.8927972,-0.8857648,0.8299667,0.9001822,-0.8436624,0.811236,0.8856013,-0.8271288,0.7977657,0.8748908,-0.8223383,0.8429264,0.8833855,-0.8414799,0.8210246,0.8666196,-0.823392,0.8047184,0.8553482,-0.818298,0.8602495,0.8689846,-0.8473607,0.8413867,0.8522514,-0.8289643,0.8261071,0.8409422,-0.8223669,0.8746192,0.8551874,-0.859632,0.8611268,0.8407011,-0.8469131,0.8483647,0.8318254,-0.8436208,0.8686168,0.9004228,-0.8913689,0.06590607,
1528896030215,0.853842,0.9136547,-0.910043,0.8243786,0.8989993,-0.8900832,0.8066177,0.8866714,-0.8773557,0.838997,0.8966226,-0.8363228,0.8207692,0.8808935,-0.8204607,0.8076651,0.8693841,-0.8167081,0.8526214,0.8806419,-0.8344123,0.8310219,0.8628798,-0.8171531,0.8148718,0.8509564,-0.8134446,0.8705313,0.8668248,-0.8406327,0.8519765,0.8489752,-0.8232089,0.8366924,0.8369902,-0.8181646,0.8851239,0.8537163,-0.8531184,0.8719294,0.8385646,-0.8407907,0.8595806,0.8290987,-0.8373444,0.8765991,0.8983896,-0.8845791,0.06307203,
1528896030243,0.8563721,0.9126074,-0.9066622,0.8275143,0.8973819,-0.8862324,0.8101937,0.8847313,-0.8732369,0.8428257,0.8951542,-0.8329813,0.824731,0.8789845,-0.8175803,0.8117059,0.8671938,-0.8146418,0.8567356,0.8794859,-0.8313404,0.8352454,0.8613715,-0.814499,0.8191025,0.8492751,-0.8116027,0.8748862,0.8658423,-0.837936,0.8565518,0.8474601,-0.8209861,0.8412673,0.8352273,-0.8166968,0.8894688,0.8530304,-0.8507635,0.8764709,0.8374704,-0.838732,0.8642339,0.827803,-0.8354805,0.8798449,0.8977262,-0.8816391,0.06118195,
1528896030270,0.8622096,0.9130565,-0.9058555,0.8341534,0.8967726,-0.885171,0.8178304,0.8829005,-0.8721961,0.8497173,0.8947383,-0.8323123,0.8319126,0.8781389,-0.8171101,0.8190636,0.8660932,-0.8145456,0.8639864,0.8793928,-0.8309314,0.8428773,0.8608561,-0.8141065,0.8269218,0.8485076,-0.8113765,0.8821754,0.8660309,-0.8381009,0.8639975,0.8471032,-0.821626,0.8488157,0.8346097,-0.8178066,0.8964847,0.8535913,-0.8515902,0.8831298,0.8376108,-0.8404421,0.8709247,0.8277577,-0.837558,0.8862471,0.8984613,-0.881306,0.06006319,
1528896030296,0.8680356,0.9131005,-0.9041649,0.8397242,0.8970234,-0.8836685,0.8233629,0.88313,-0.8708071,0.8542382,0.8960269,-0.8305352,0.8361735,0.879768,-0.8153161,0.823211,0.8678302,-0.8128148,0.8683498,0.8806512,-0.828693,0.8469213,0.8625987,-0.8117737,0.8308283,0.8504304,-0.809064,0.8865278,0.8669963,-0.8354713,0.8680094,0.8484477,-0.8189823,0.8526698,0.8361181,-0.8152385,0.9006044,0.8542852,-0.8488494,0.8864835,0.8386898,-0.8382124,0.8738822,0.829172,-0.8359098,0.8914691,0.8987885,-0.879097,0.0599767,
1528896030323,0.8745617,0.9133829,-0.9024237,0.8461348,0.8976754,-0.8818013,0.829703,0.8839818,-0.8688246,0.8603706,0.8972334,-0.8286877,0.8422185,0.8811873,-0.8133643,0.8291976,0.8693208,-0.8107691,0.8743182,0.8818295,-0.8266276,0.8527075,0.864097,-0.8096111,0.8365244,0.8520634,-0.8068889,0.8924413,0.8679942,-0.833156,0.8737465,0.8497615,-0.8165245,0.858305,0.8375809,-0.8127388,0.9064399,0.8550886,-0.8463113,0.8921494,0.839775,-0.8354672,0.8795803,0.8302709,-0.8327242,0.8977402,0.8992541,-0.8771383,0.05988025,
