time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528895722393,0.8975176,0.908743,-0.9008746,0.8633021,0.8920743,-0.8950287,0.8423896,0.8789586,-0.8905115,0.8569951,0.8876708,-0.8390762,0.8377922,0.8678166,-0.8359972,0.8303162,0.8536904,-0.8434674,0.8713461,0.8762905,-0.8290199,0.8483901,0.8547459,-0.825433,0.8376888,0.8402767,-0.8345309,0.8934045,0.8665507,-0.8250249,0.8734906,0.8448148,-0.819581,0.8623269,0.8304293,-0.8273679,0.9152766,0.8569515,-0.8278965,0.902149,0.8389891,-0.8229148,0.8926358,0.8283007,-0.8292832,0.9113208,0.8977404,-0.8653497,0.05474848,
1528895722423,0.9035224,0.9092277,-0.9006135,0.8694744,0.8925126,-0.8938854,0.8484015,0.8797805,-0.8889595,0.8637082,0.8882872,-0.8391374,0.8444402,0.868252,-0.8366476,0.836753,0.8542443,-0.8441923,0.8780237,0.8767669,-0.8294445,0.8549237,0.8551359,-0.8265338,0.8440382,0.8408533,-0.8357761,0.8999435,0.8668832,-0.8257953,0.8797715,0.8451481,-0.8210614,0.8684227,0.8310035,-0.8290932,0.9216297,0.8571678,-0.82895,0.9081876,0.8392836,-0.8246845,0.8984898,0.8288881,-0.8313733,0.9177085,0.8982277,-0.8656201,0.05283838,
1528895722451,0.9088202,0.9099292,-0.902896,0.8751431,0.8927366,-0.8955004,0.8542209,0.8798994,-0.8901964,0.8696312,0.8892428,-0.8414941,0.8507078,0.868795,-0.8393185,0.8432567,0.8547213,-0.8469747,0.8840444,0.8778787,-0.8318909,0.8612393,0.8558316,-0.8292997,0.8505373,0.841451,-0.8386163,0.9059613,0.8682247,-0.8283145,0.8859565,0.8462111,-0.8238204,0.8746809,0.8319643,-0.8318176,0.9276498,0.8586778,-0.8314842,0.9143041,0.8406527,-0.8274254,0.9046312,0.830197,-0.8341089,0.9232157,0.8995641,-0.8681184,0.05120806,
1528895722478,0.9136938,0.907745,-0.9036101,0.8804241,0.8900702,-0.8954797,0.8596002,0.8772346,-0.8897827,0.8751313,0.8882408,-0.8416479,0.8561763,0.8677652,-0.8390685,0.8485459,0.8535886,-0.8463413,0.8896731,0.8770459,-0.8320792,0.8668292,0.8549926,-0.8289647,0.8559219,0.8404697,-0.8378104,0.911634,0.8674446,-0.8287073,0.8916325,0.8454309,-0.8238044,0.8802071,0.8310488,-0.8313664,0.933256,0.8578757,-0.8320909,0.9198885,0.8398584,-0.8278889,0.9100984,0.8292509,-0.8342488,0.9283525,0.8983005,-0.8689788,0.05068021,
1528895722516,0.9198327,0.9090384,-0.9046245,0.8865944,0.8914753,-0.8961052,0.8657413,0.8787937,-0.890184,0.8818828,0.8902755,-0.8421751,0.8627695,0.8699654,-0.8396361,0.8551264,0.855906,-0.8470525,0.8964803,0.8790308,-0.8327445,0.8734429,0.8571867,-0.8295441,0.8624144,0.8427902,-0.8383984,0.9184327,0.8692379,-0.8296545,0.898271,0.8473597,-0.8247129,0.8867131,0.8331088,-0.8322778,0.939948,0.8595101,-0.8332556,0.9264386,0.8415911,-0.8290597,0.9165241,0.8311374,-0.8354481,0.9348636,0.8998497,-0.8700721,0.04996848,
1528895722542,0.9227744,0.9121153,-0.904715,0.8896128,0.8945386,-0.8959368,0.8689425,0.8816574,-0.8898402,0.8856813,0.8926296,-0.8420478,0.8664633,0.8724053,-0.839694,0.858634,0.8585927,-0.8473574,0.9002955,0.8810167,-0.8331643,0.8771369,0.8592643,-0.8302124,0.8658933,0.8451853,-0.8392928,0.9221265,0.8709794,-0.8306377,0.9017818,0.8492024,-0.8259773,0.8899748,0.8352655,-0.833735,0.9434218,0.8611261,-0.834769,0.9296968,0.8432966,-0.8308176,0.9195385,0.8330837,-0.8372405,0.9382393,0.90223,-0.8706065,0.04942706,
1528895722579,0.9284259,0.9109116,-0.9050305,0.8954969,0.8931868,-0.8956969,0.8751631,0.8799978,-0.8891951,0.8919715,0.8919003,-0.841853,0.8727188,0.8717068,-0.8389989,0.8646301,0.8578395,-0.8462967,0.9066675,0.8802676,-0.8330978,0.8834788,0.8585303,-0.829513,0.8719264,0.8443595,-0.8380628,0.9284468,0.8701882,-0.8308831,0.9080745,0.8484417,-0.8257714,0.896047,0.8344305,-0.833063,0.9496045,0.8602699,-0.8352919,0.93582,0.8424776,-0.8311795,0.9255096,0.8321623,-0.8372684,0.9441904,0.9012583,-0.8711153,0.04941874,
1528895722610,0.9301875,0.9100952,-0.9054121,0.8975278,0.8920252,-0.8958112,0.8775224,0.8784649,-0.8890898,0.8939539,0.8914117,-0.8420266,0.8748942,0.8710512,-0.8388942,0.8668261,0.8570564,-0.8459829,0.9087224,0.8798759,-0.8332488,0.8857446,0.8579218,-0.8293771,0.8742149,0.8435807,-0.8376822,0.9304872,0.8699697,-0.831032,0.9102492,0.8481062,-0.8256183,0.8982066,0.8339168,-0.8325646,0.9515897,0.8601196,-0.8355349,0.937842,0.8422709,-0.831422,0.9275455,0.8318287,-0.8373705,0.9459645,0.900883,-0.8715087,0.04930461,
1528895722636,0.9366184,0.9102443,-0.9068861,0.9043427,0.8917238,-0.8968663,0.8847138,0.8777721,-0.889865,0.9012548,0.8912312,-0.843001,0.8824546,0.8707379,-0.8394904,0.8744731,0.8566775,-0.8465163,0.9162316,0.8798159,-0.8344374,0.8935366,0.8576833,-0.8301923,0.8820879,0.8432576,-0.8384243,0.9381133,0.8701215,-0.8324918,0.9181613,0.8481082,-0.8267145,0.9061821,0.8338221,-0.8335272,0.9592477,0.8604583,-0.8372936,0.945726,0.8425018,-0.8329653,0.9354765,0.8320112,-0.8388624,0.9528223,0.9011974,-0.8732097,0.04928457,
1528895722663,0.9417161,0.910472,-0.9083028,0.9097389,0.8917645,-0.8976899,0.8903321,0.8777133,-0.8902825,0.9069358,0.8923138,-0.8437801,0.8883913,0.8717614,-0.8397224,0.8805928,0.85754,-0.8465847,0.9220954,0.8811665,-0.8351264,0.8996894,0.8589392,-0.8302786,0.8884043,0.8443061,-0.8383217,0.9440788,0.8716682,-0.8332466,0.9244246,0.8495778,-0.8270043,0.912616,0.8351256,-0.8337036,0.9652504,0.8621069,-0.8380811,0.9519393,0.8441127,-0.8334335,0.9417841,0.8335363,-0.8392894,0.9581883,0.9021525,-0.8746474,0.04910513,
