time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528895959842,0.9955722,0.9820597,-0.9049078,0.9643614,0.9847061,-0.8824381,0.9444123,0.9852773,-0.867178,0.9890058,0.9908085,-0.8278054,0.9698889,0.9818093,-0.8089213,0.9569781,0.9706445,-0.8046417,1.004718,0.9783427,-0.8209075,0.9829717,0.9690355,-0.798645,0.9668502,0.9582895,-0.7931964,1.024072,0.9630516,-0.8228587,1.00617,0.9522774,-0.800353,0.9908251,0.9416058,-0.7938719,1.040303,0.9463276,-0.8302577,1.029439,0.9359003,-0.8123282,1.017548,0.9275279,-0.8062971,1.024748,0.9743079,-0.8753181,0.06544316,
1528895959868,0.9828104,0.9852638,-0.9060771,0.9505649,0.9871871,-0.8850349,0.9298738,0.9874709,-0.8707918,0.972217,0.9949628,-0.8297729,0.9519169,0.9858215,-0.8125514,0.9389278,0.9742957,-0.8098003,0.9877031,0.9829572,-0.8219042,0.9645756,0.9740098,-0.8013037,0.9481391,0.963045,-0.797621,1.007314,0.9673705,-0.8227913,0.9881424,0.9565686,-0.8016892,0.9723696,0.9456525,-0.7969997,1.024043,0.9505309,-0.8293102,1.012261,0.9400566,-0.8121793,0.9998626,0.9316344,-0.8074907,1.010451,0.9783179,-0.8752389,0.0630517,
1528895959895,0.9667861,0.9919101,-0.9077821,0.9332529,0.9937984,-0.888844,0.9116896,0.9939952,-0.8759592,0.9513783,1.001245,-0.8322562,0.9295899,0.9925405,-0.8168758,0.9160997,0.9813143,-0.8155568,0.9660245,0.9888028,-0.8234506,0.9412739,0.9805889,-0.8047771,0.9242331,0.9700649,-0.8028086,0.9852009,0.9723166,-0.8233278,0.9643809,0.9618256,-0.8039047,0.9479303,0.9512768,-0.8008808,1.001791,0.9549437,-0.8290808,0.9886373,0.9445763,-0.8130475,0.9755907,0.9364917,-0.8097166,0.9921709,0.9840137,-0.8753294,0.06187645,
1528895959922,0.9573039,0.9954768,-0.9084282,0.9235216,0.9953215,-0.8898469,0.9018171,0.994222,-0.8772472,0.9403703,1.003114,-0.8330865,0.9186379,0.9934159,-0.818276,0.9053854,0.981831,-0.8174236,0.9551526,0.990862,-0.8242549,0.930416,0.9815838,-0.8062055,0.9135966,0.9705783,-0.8048623,0.9746296,0.9747955,-0.8242199,0.9537948,0.9633523,-0.8054726,0.9375228,0.9523374,-0.8030945,0.9916844,0.95792,-0.830091,0.9785409,0.9468839,-0.814598,0.9655793,0.9384447,-0.8118837,0.9820985,0.9878589,-0.875892,0.06119747,
1528895959950,0.9455866,0.9958407,-0.9098638,0.910983,0.9951016,-0.8928675,0.888746,0.9936102,-0.881285,0.9256181,1.003381,-0.8349752,0.9036601,0.9934754,-0.8206119,0.8904681,0.9817969,-0.8199751,0.9401619,0.9913059,-0.8255242,0.9151011,0.9817935,-0.8080912,0.8983417,0.9706227,-0.8071448,0.9597583,0.9754959,-0.8247277,0.9385641,0.9639261,-0.8064971,0.9223273,0.9527506,-0.8044618,0.9772298,0.958835,-0.8298957,0.9638458,0.9477769,-0.8146865,0.9509025,0.9391873,-0.8123403,0.9691463,0.9886134,-0.8762164,0.06246136,
1528895959985,0.9355587,0.9951197,-0.9100015,0.9005598,0.9933902,-0.8939171,0.878136,0.9911535,-0.8828372,0.9134451,1.003779,-0.8357933,0.8916683,0.993193,-0.821596,0.8788555,0.981078,-0.8208973,0.9278936,0.9923238,-0.8257811,0.9027684,0.9820627,-0.8088975,0.8863866,0.9702957,-0.8082392,0.9478066,0.9772727,-0.8240883,0.9264611,0.9653522,-0.8062981,0.910506,0.9537083,-0.8045514,0.9658241,0.9611206,-0.8283294,0.9522659,0.9500582,-0.8133467,0.939454,0.9411807,-0.8113594,0.9582234,0.9895411,-0.8756,0.06275808,
1528895960030,0.9263269,0.9928581,-0.9112844,0.891389,0.9892999,-0.8953729,0.8690467,0.985919,-0.8844151,0.9025242,1.001195,-0.8378115,0.8811218,0.9894527,-0.8239206,0.8688517,0.9767584,-0.8233353,0.9170607,0.9903573,-0.8275952,0.8920788,0.9788003,-0.8113263,0.8762244,0.9662904,-0.8110059,0.9374121,0.9762995,-0.8254371,0.9161109,0.9635187,-0.8082012,0.9005876,0.9512411,-0.8068213,0.9559993,0.9609702,-0.8292044,0.942315,0.9495372,-0.8146752,0.9297295,0.9402418,-0.8131906,0.9483811,0.9887549,-0.8767202,0.06176323,
1528895960055,0.922451,0.9926266,-0.9125954,0.8874607,0.9889776,-0.8968223,0.8650748,0.9855399,-0.8859704,0.8982139,1.000174,-0.8391985,0.8767741,0.9883183,-0.8254367,0.8644601,0.975659,-0.8249536,0.9126182,0.9891635,-0.8290628,0.8875452,0.9774356,-0.8130312,0.8716586,0.9649568,-0.812878,0.9328887,0.9750832,-0.8269467,0.9114424,0.9621676,-0.8099785,0.8958777,0.9499182,-0.8087953,0.9514407,0.9597859,-0.8307586,0.9375909,0.9482648,-0.816466,0.9249599,0.938998,-0.8151965,0.9442636,0.9881017,-0.8779964,0.06181471,
1528895960082,0.9199581,0.990077,-0.9137868,0.8849607,0.9865009,-0.8980104,0.8625404,0.9831421,-0.8872026,0.8956908,0.9963057,-0.8402848,0.8742425,0.9843539,-0.8266114,0.8618348,0.9717934,-0.8263229,0.9099656,0.984957,-0.8303568,0.8848755,0.973123,-0.814411,0.8688821,0.9607893,-0.8144107,0.9300628,0.970708,-0.8285185,0.9085434,0.9577108,-0.8116872,0.892863,0.9456027,-0.8106399,0.948445,0.9553467,-0.8326206,0.9344954,0.9437506,-0.8184921,0.9217745,0.9345928,-0.8173724,0.9415666,0.9846002,-0.8793648,0.06193247,
1528895960109,0.9177098,0.9882246,-0.9144955,0.8827602,0.9848379,-0.8985731,0.8603771,0.9815651,-0.8876637,0.8935732,0.9939986,-0.8409619,0.8720876,0.9820787,-0.8273585,0.8596406,0.9695668,-0.827229,0.9077804,0.9824984,-0.8311547,0.8826326,0.9707269,-0.8152683,0.8665718,0.9584912,-0.8153768,0.9277735,0.9681922,-0.8294348,0.906153,0.9553413,-0.8126246,0.8903756,0.9433663,-0.8116318,0.9460225,0.9527895,-0.8336599,0.9319361,0.9413611,-0.8195332,0.9191239,0.9323329,-0.8184345,0.9393353,0.9822467,-0.8802041,0.06161867,
