time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528895927454,0.9436406,0.9073614,-0.9289116,0.9203386,0.8966345,-0.9002508,0.90652,0.8863927,-0.8820049,0.9485754,0.8922564,-0.8546485,0.9317833,0.8775221,-0.8373958,0.9182668,0.8662932,-0.8349524,0.9628965,0.8767748,-0.8554827,0.9436931,0.8608135,-0.834959,0.9271487,0.8497882,-0.8307266,0.9794081,0.862365,-0.8654729,0.9639867,0.8458758,-0.8449109,0.9484278,0.8347808,-0.8390463,0.9914531,0.8484385,-0.8805994,0.9817352,0.8341631,-0.8652413,0.9691032,0.8258539,-0.8607494,0.9735078,0.8913965,-0.910507,0.05249674,
1528895927481,0.9262451,0.9095777,-0.9360031,0.9020786,0.8977479,-0.9085206,0.8877878,0.8867582,-0.8910921,0.9263666,0.8959817,-0.8621813,0.907498,0.8814619,-0.8470711,0.8935028,0.8706006,-0.8464301,0.9402447,0.880268,-0.8622178,0.9185795,0.8647525,-0.8439621,0.9013231,0.8542771,-0.8417201,0.9569128,0.8654145,-0.8711375,0.9389653,0.8493336,-0.8524492,0.9224252,0.8388562,-0.8485129,0.9692922,0.85114,-0.8854764,0.9572757,0.8372663,-0.8715227,0.9437664,0.8296175,-0.8684633,0.9545648,0.8942975,-0.9160606,0.04783747,
1528895927508,0.915385,0.9097679,-0.9399927,0.8914273,0.896952,-0.912792,0.8774064,0.885133,-0.8957013,0.9132622,0.8959377,-0.8669239,0.8936349,0.8811647,-0.853259,0.8795637,0.8704916,-0.8540896,0.9267678,0.8801271,-0.8668689,0.904034,0.8645341,-0.8501591,0.886512,0.8543661,-0.8493945,0.9435083,0.8653433,-0.8752912,0.9246094,0.8494357,-0.8574494,0.9077021,0.8393182,-0.8544666,0.9558318,0.8510383,-0.8895144,0.9428976,0.8373439,-0.8761721,0.9291717,0.8298736,-0.8733953,0.9426459,0.8945873,-0.9198571,0.04416522,
1528895927535,0.9065856,0.9097067,-0.9415674,0.8829597,0.8954837,-0.9147644,0.869247,0.8827732,-0.8980879,0.9032114,0.8943394,-0.8691951,0.8834195,0.8789945,-0.8566953,0.8695641,0.8683434,-0.8589067,0.916711,0.8787395,-0.8693997,0.8935754,0.8626535,-0.8539528,0.8760883,0.8525321,-0.8545895,0.9338388,0.8643457,-0.8777843,0.9147401,0.8479847,-0.8606541,0.8977922,0.8378323,-0.8585736,0.9462929,0.8504736,-0.8923026,0.933085,0.8364434,-0.8795373,0.9193317,0.828902,-0.8772289,0.9333594,0.894641,-0.9216308,0.04175499,
1528895927575,0.899948,0.9103209,-0.9445806,0.8759463,0.8958565,-0.9182379,0.8621306,0.8829175,-0.9018508,0.8939345,0.8964934,-0.8722577,0.8737093,0.881307,-0.8602509,0.8599873,0.8706017,-0.8628465,0.9074191,0.8809649,-0.8718328,0.88366,0.8651062,-0.8571628,0.866241,0.8549939,-0.8585492,0.9249426,0.8665661,-0.8792939,0.9052626,0.8505348,-0.8625021,0.8882657,0.8404044,-0.8608139,0.937833,0.8524971,-0.8932267,0.9240896,0.8387256,-0.880717,0.9102659,0.8312072,-0.878732,0.9258428,0.8960343,-0.9236347,0.04095866,
1528895927624,0.8954642,0.9127977,-0.9481357,0.8715701,0.8972266,-0.9223285,0.8579529,0.8835063,-0.9064456,0.8886907,0.8984931,-0.8758439,0.8684702,0.8832538,-0.8637137,0.854632,0.8725846,-0.8659581,0.9021963,0.8828144,-0.8754848,0.878633,0.8667482,-0.8603839,0.8612061,0.8565578,-0.8610082,0.9195019,0.8684715,-0.8832012,0.8997992,0.8522528,-0.8664327,0.8828578,0.8420742,-0.8644668,0.9323093,0.8545314,-0.89733,0.9185464,0.8405067,-0.8848314,0.9049283,0.8327551,-0.8824332,0.9208556,0.8986211,-0.9271355,0.04206599,
1528895927655,0.8934118,0.9146137,-0.950626,0.8695139,0.8988414,-0.924957,0.8560825,0.884742,-0.9092958,0.8863182,0.900224,-0.8783898,0.8660253,0.8849928,-0.8666074,0.8522423,0.8744262,-0.869423,0.8997564,0.8845123,-0.8780203,0.8760723,0.8685004,-0.863197,0.8585967,0.8584043,-0.8641616,0.9171134,0.8702217,-0.8855934,0.8974109,0.854149,-0.8687016,0.8804367,0.8440349,-0.8666608,0.929925,0.8562564,-0.8997027,0.9162253,0.8423319,-0.8870138,0.9026245,0.8346013,-0.8844891,0.9186197,0.9003782,-0.9295876,0.04136423,
1528895927681,0.8917388,0.9162992,-0.9500774,0.8679236,0.8993837,-0.92503,0.8543857,0.8848834,-0.9098151,0.8850851,0.8996022,-0.8781787,0.8649142,0.8839322,-0.8666462,0.8510678,0.873384,-0.869404,0.8988563,0.8838074,-0.8782334,0.8757855,0.8670231,-0.8629167,0.8583878,0.8565935,-0.8627006,0.9159906,0.8696852,-0.8867495,0.8966714,0.8526149,-0.8702449,0.879896,0.8421514,-0.8680218,0.9287702,0.8562346,-0.9014877,0.9155635,0.8413548,-0.8891258,0.9022955,0.8331997,-0.8864788,0.9170617,0.9016967,-0.9295349,0.04214616,
1528895927708,0.8919663,0.9151806,-0.9504164,0.8685832,0.8979272,-0.9251823,0.855269,0.8834292,-0.9097443,0.8865916,0.8992019,-0.8781772,0.8666993,0.8833948,-0.8663879,0.8530128,0.8725948,-0.8689923,0.9008211,0.8836244,-0.8782246,0.8782614,0.8665648,-0.8624519,0.8610833,0.8557843,-0.8618569,0.9180584,0.8696733,-0.8869929,0.899165,0.8522688,-0.8703369,0.8826224,0.8414457,-0.8678554,0.9310462,0.8563773,-0.9017149,0.9183363,0.8412356,-0.8891345,0.9053217,0.8327605,-0.8862172,0.9180242,0.9013225,-0.9299305,0.04222796,
1528895927735,0.8908894,0.9147654,-0.9501414,0.8677477,0.8971902,-0.924918,0.8547016,0.882496,-0.9094238,0.8852939,0.9002531,-0.8775822,0.8655686,0.8843437,-0.8653677,0.8520005,0.8731443,-0.8671588,0.8999115,0.884925,-0.8772408,0.8776309,0.8676736,-0.8611168,0.8607178,0.8564714,-0.8599352,0.9173579,0.8711355,-0.8857718,0.8985333,0.8535792,-0.869113,0.8822175,0.8424056,-0.8664236,0.9307833,0.857859,-0.9001162,0.9182314,0.8425922,-0.8874249,0.9054376,0.8338591,-0.8844118,0.9171035,0.9019781,-0.9291394,0.04337143,
