time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529582997236,1.155357,0.5514067,-0.8860207,1.120693,0.5542239,-0.878334,1.099685,0.5522157,-0.8688374,1.11669,0.5875851,-0.8440444,1.095986,0.5779575,-0.8435798,1.095521,0.5630358,-0.8493786,1.124407,0.572716,-0.8320423,1.105958,0.5558094,-0.8386385,1.110428,0.5419065,-0.8503988,1.136974,0.5613008,-0.8205299,1.119135,0.5460851,-0.8276207,1.122204,0.5341406,-0.8413012,1.14876,0.5503545,-0.812335,1.133047,0.5417125,-0.8174155,1.134454,0.5339068,-0.8295181,1.165268,0.559849,-0.8537716,0.02265068,
1529582997264,1.145713,0.539418,-0.9067549,1.110783,0.5428224,-0.9006009,1.089097,0.5411257,-0.8926307,1.106163,0.5738759,-0.8638427,1.084766,0.5653796,-0.8649065,1.08339,0.5509276,-0.871694,1.113072,0.5571194,-0.8529364,1.09479,0.5410343,-0.8619484,1.099547,0.5280985,-0.8746984,1.124768,0.5444803,-0.8419223,1.107289,0.5301605,-0.8514032,1.111034,0.5195007,-0.8659602,1.13576,0.5326963,-0.8342952,1.120593,0.5247481,-0.8413416,1.12314,0.5180451,-0.8539165,1.154202,0.5450392,-0.8736902,0.02381162,
1529582997290,1.130788,0.51623,-0.9381218,1.095908,0.521749,-0.9332675,1.073655,0.5213554,-0.9267142,1.091877,0.5506738,-0.894097,1.069645,0.5446346,-0.8965608,1.066767,0.5310077,-0.9045683,1.096972,0.5317688,-0.8847597,1.078293,0.5177887,-0.8962212,1.082911,0.5058467,-0.9099853,1.10706,0.5173863,-0.8743621,1.08932,0.505229,-0.8860886,1.093248,0.4958936,-0.901481,1.116679,0.5041597,-0.8674878,1.101629,0.497911,-0.8762658,1.104631,0.4923655,-0.8893248,1.137977,0.5186034,-0.9044903,0.02512093,
1529582997317,1.117811,0.5010552,-0.9558785,1.08315,0.5082935,-0.9517111,1.060519,0.5101259,-0.9468749,1.079789,0.5349563,-0.9102252,1.057327,0.5308957,-0.9134228,1.053755,0.5180548,-0.9223709,1.083833,0.5142384,-0.9026318,1.065376,0.501904,-0.9157818,1.070498,0.4911219,-0.9302844,1.092977,0.49874,-0.8930984,1.075305,0.4883341,-0.9062282,1.079596,0.4802964,-0.9222329,1.101798,0.4846261,-0.8870744,1.086756,0.4797578,-0.8966623,1.089813,0.475241,-0.9101267,1.124459,0.5009999,-0.9223947,0.02662834,
1529582997345,1.098112,0.4740691,-0.9829873,1.063826,0.4818505,-0.9770952,1.041529,0.4836538,-0.9711155,1.062779,0.5082694,-0.9354502,1.040169,0.5056509,-0.9384875,1.035874,0.4933326,-0.9478504,1.066108,0.4863932,-0.9291974,1.047767,0.4752925,-0.9429827,1.053325,0.4653686,-0.957884,1.074628,0.470188,-0.9205689,1.057102,0.4611402,-0.9342675,1.061915,0.4540622,-0.950538,1.082784,0.4555796,-0.9152687,1.067789,0.4518135,-0.9250723,1.071043,0.4478709,-0.9386789,1.105225,0.4724329,-0.9501196,0.02582477,
1529582997378,1.085148,0.4520673,-1.00713,1.05119,0.4599651,-0.9996887,1.029012,0.4612486,-0.9931981,1.050322,0.4785724,-0.9550159,1.027577,0.4769676,-0.9587191,1.022924,0.4666047,-0.9701222,1.052911,0.4560689,-0.9523333,1.034646,0.4481194,-0.967887,1.040616,0.4409935,-0.9840991,1.060835,0.4384065,-0.9469221,1.043947,0.4324141,-0.9623876,1.049965,0.4281825,-0.9791436,1.068382,0.4230304,-0.9441866,1.054086,0.4214849,-0.9549933,1.05864,0.4194279,-0.9685759,1.092112,0.4450971,-0.9750738,0.024459,
1529582997398,1.076524,0.4387465,-1.018728,1.042508,0.4457315,-1.010677,1.020254,0.4453363,-1.004115,1.039977,0.4575551,-0.9650413,1.017082,0.4560226,-0.969646,1.012409,0.4475091,-0.9825349,1.042169,0.435829,-0.964074,1.022966,0.4303713,-0.9800972,1.027895,0.4253195,-0.9973283,1.049973,0.4174419,-0.961378,1.032827,0.413669,-0.9776304,1.038629,0.4113945,-0.9947266,1.057396,0.4017732,-0.9605894,1.043285,0.4018,-0.9717368,1.048213,0.4012594,-0.9852475,1.082191,0.4268765,-0.9878621,0.02306427,
1529582997422,1.076524,0.4387465,-1.018728,1.042508,0.4457315,-1.010677,1.020254,0.4453363,-1.004115,1.039977,0.4575551,-0.9650413,1.017082,0.4560226,-0.969646,1.012409,0.4475091,-0.9825349,1.042169,0.435829,-0.964074,1.022966,0.4303713,-0.9800972,1.027895,0.4253195,-0.9973283,1.049973,0.4174419,-0.961378,1.032827,0.413669,-0.9776304,1.038629,0.4113945,-0.9947266,1.057396,0.4017732,-0.9605894,1.043285,0.4018,-0.9717368,1.048213,0.4012594,-0.9852475,1.082191,0.4268765,-0.9878621,0.02306427,
1529582997437,1.076524,0.4387465,-1.018728,1.042508,0.4457315,-1.010677,1.020254,0.4453363,-1.004115,1.039977,0.4575551,-0.9650413,1.017082,0.4560226,-0.969646,1.012409,0.4475091,-0.9825349,1.042169,0.435829,-0.964074,1.022966,0.4303713,-0.9800972,1.027895,0.4253195,-0.9973283,1.049973,0.4174419,-0.961378,1.032827,0.413669,-0.9776304,1.038629,0.4113945,-0.9947266,1.057396,0.4017732,-0.9605894,1.043285,0.4018,-0.9717368,1.048213,0.4012594,-0.9852475,1.082191,0.4268765,-0.9878621,0.02306427,
1529582997461,1.076524,0.4387465,-1.018728,1.042508,0.4457315,-1.010677,1.020254,0.4453363,-1.004115,1.039977,0.4575551,-0.9650413,1.017082,0.4560226,-0.969646,1.012409,0.4475091,-0.9825349,1.042169,0.435829,-0.964074,1.022966,0.4303713,-0.9800972,1.027895,0.4253195,-0.9973283,1.049973,0.4174419,-0.961378,1.032827,0.413669,-0.9776304,1.038629,0.4113945,-0.9947266,1.057396,0.4017732,-0.9605894,1.043285,0.4018,-0.9717368,1.048213,0.4012594,-0.9852475,1.082191,0.4268765,-0.9878621,0.02306427,
