time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529583214655,0.8850757,0.9804057,-0.7398397,0.8664903,1.007299,-0.7227676,0.8576123,1.019504,-0.7032495,0.8850669,1.03264,-0.6991825,0.8642334,1.028681,-0.6849911,0.8559376,1.013693,-0.6852195,0.8959097,1.026176,-0.6859392,0.870173,1.023599,-0.6724637,0.8581047,1.008217,-0.6747956,0.9108933,1.014383,-0.6752142,0.8869737,1.017999,-0.6586798,0.8702128,1.008547,-0.657068,0.9234257,0.9993657,-0.6671259,0.9088483,1.008115,-0.6509382,0.8941559,1.008371,-0.6447251,0.9116897,0.9869825,-0.7161641,0.01901724,
1529583214681,0.8860409,0.9571338,-0.7527609,0.8659208,0.9828272,-0.7357662,0.8564218,0.9940944,-0.7160168,0.882203,1.007857,-0.711588,0.8615934,1.001279,-0.6983582,0.8549968,0.9854357,-0.6994109,0.8931857,1.001687,-0.6983377,0.8678581,0.9956498,-0.6864059,0.8582257,0.9788965,-0.6903832,0.9088092,0.9911318,-0.687397,0.8843436,0.9917287,-0.6719822,0.8685857,0.9803326,-0.6717392,0.9236553,0.9777712,-0.6787399,0.9104456,0.9867767,-0.6612568,0.8970773,0.9885721,-0.6525918,0.9119435,0.9648223,-0.7284468,0.01878189,
1529583214710,0.8890845,0.9161427,-0.772161,0.8662484,0.9398377,-0.7558316,0.8555599,0.9504443,-0.7362631,0.8789726,0.9653372,-0.7308161,0.8595877,0.9555839,-0.7176749,0.8554305,0.9388877,-0.7187622,0.8907924,0.9605891,-0.7176378,0.8666756,0.9506263,-0.7058592,0.8595663,0.9326147,-0.7100119,0.9077129,0.9522756,-0.7066877,0.8834963,0.9488783,-0.6914964,0.8695305,0.9351556,-0.6915762,0.9248093,0.9414314,-0.6977943,0.9111785,0.948617,-0.6798418,0.8979729,0.9488863,-0.6706477,0.914256,0.9268773,-0.7474989,0.02097267,
1529583214735,0.894277,0.8857339,-0.7824365,0.8682223,0.9071113,-0.767771,0.8554095,0.9171886,-0.7491252,0.8765199,0.9336872,-0.7421477,0.8581061,0.9218126,-0.7292055,0.8559514,0.9047031,-0.7298772,0.888447,0.9308616,-0.7285695,0.8653386,0.9182454,-0.7170467,0.8604027,0.8993869,-0.7207042,0.9055413,0.9238451,-0.7173967,0.8817915,0.9155988,-0.7042685,0.8711656,0.8991486,-0.7061192,0.9225776,0.9156055,-0.7080851,0.9052818,0.9185338,-0.6928141,0.8908468,0.9137306,-0.6872445,0.9168454,0.8997973,-0.7570623,0.02294923,
1529583214783,0.8978989,0.8288913,-0.8145375,0.8674335,0.8456321,-0.8019078,0.8501511,0.853322,-0.7855834,0.8707854,0.8730072,-0.7738726,0.8519759,0.8593194,-0.7637146,0.851065,0.8421508,-0.7655318,0.8812615,0.8690571,-0.7595894,0.8589866,0.8528315,-0.7524777,0.8573956,0.8339411,-0.7584535,0.8973211,0.8610556,-0.747733,0.8759367,0.8461643,-0.741995,0.8729097,0.8286501,-0.7501894,0.911974,0.8524477,-0.738474,0.8940271,0.8447843,-0.7339116,0.8898851,0.8324611,-0.7423013,0.9159283,0.8437509,-0.7862248,0.02297165,
1529583214815,0.9061102,0.7817181,-0.8321717,0.8726481,0.7941259,-0.8211644,0.852107,0.8000814,-0.8079779,0.8731071,0.8246274,-0.7925491,0.853399,0.8109351,-0.783182,0.8519974,0.7936992,-0.784295,0.8835269,0.8184597,-0.7783298,0.8633974,0.7992382,-0.7741627,0.8653314,0.7809405,-0.78161,0.8995388,0.8102874,-0.7665638,0.8817385,0.791732,-0.7653934,0.8845429,0.7757002,-0.7762565,0.9137674,0.8023107,-0.7574005,0.8980945,0.7908686,-0.7573885,0.8996013,0.7796555,-0.7679117,0.9214598,0.7979493,-0.803107,0.02452801,
1529583214841,0.9086731,0.7505895,-0.8450457,0.8740121,0.7600698,-0.8343382,0.8522058,0.7647799,-0.8227363,0.8722978,0.7956538,-0.8095887,0.8512434,0.7831264,-0.8008525,0.8489943,0.7659611,-0.8006232,0.8831354,0.7875209,-0.7948033,0.8646558,0.7666486,-0.7921569,0.8687048,0.7487586,-0.7998015,0.8988899,0.7799793,-0.782519,0.8828593,0.7599736,-0.783046,0.8879122,0.7446949,-0.7940557,0.9127448,0.7726421,-0.772876,0.8983431,0.7597635,-0.7746178,0.9018511,0.7490655,-0.7850851,0.9222605,0.7690541,-0.8172348,0.02237626,
1529583214869,0.913355,0.7051444,-0.8588785,0.8782588,0.7108672,-0.8467631,0.856132,0.7128505,-0.835085,0.8751014,0.7489829,-0.8219973,0.8524666,0.7372779,-0.8157643,0.8487605,0.7203797,-0.8167687,0.8857353,0.7377166,-0.8071671,0.866654,0.7166808,-0.8075663,0.8699372,0.6994695,-0.8171199,0.9009017,0.7287054,-0.7952424,0.8837951,0.7087042,-0.7983786,0.8873452,0.6939027,-0.810714,0.9143777,0.7199603,-0.7861434,0.8993447,0.7071413,-0.7899416,0.9015082,0.6971377,-0.8016073,0.9257025,0.7220725,-0.8302915,0.02113096,
1529583214895,0.9139068,0.6764758,-0.8686711,0.8788033,0.6800854,-0.8557636,0.8567166,0.6802616,-0.843976,0.8760345,0.7187163,-0.8283854,0.8522273,0.70819,-0.8243024,0.8469894,0.6918545,-0.8271238,0.8858343,0.7048159,-0.8142507,0.864871,0.6850806,-0.8170974,0.865967,0.6686135,-0.8284348,0.9002242,0.6938248,-0.8030534,0.8804548,0.6752319,-0.807829,0.8804563,0.6607239,-0.8212163,0.9132545,0.6830383,-0.7950411,0.8965964,0.6714221,-0.800029,0.8958524,0.662209,-0.8127109,0.9258845,0.6902121,-0.8386055,0.02264978,
1529583214922,0.9141959,0.6343462,-0.8831764,0.8792332,0.6361874,-0.8695186,0.8573359,0.6347045,-0.8576235,0.8778734,0.6748126,-0.8382677,0.8529754,0.6664637,-0.8357914,0.8460308,0.651214,-0.8405142,0.8865415,0.6580131,-0.8255507,0.8633161,0.640586,-0.8303376,0.8616308,0.625375,-0.8433738,0.9000378,0.6449049,-0.8154691,0.8774033,0.6288649,-0.8211048,0.8735328,0.6156017,-0.8353437,0.9124602,0.6319728,-0.8091263,0.8939947,0.6223423,-0.8144314,0.8903697,0.614594,-0.8276379,0.9262963,0.6442209,-0.8518868,0.02632674,
1529583214956,0.9111152,0.5960885,-0.9002551,0.8764101,0.5971415,-0.8858752,0.854806,0.5945821,-0.8737822,0.8769767,0.633563,-0.850519,0.8517879,0.6267557,-0.8488485,0.8443453,0.6124921,-0.8553721,0.8847401,0.6145813,-0.8398719,0.8604848,0.5992641,-0.8462596,0.8577448,0.5857533,-0.8609391,0.8975694,0.5998323,-0.8312393,0.8739298,0.5861034,-0.8379229,0.8691918,0.5747923,-0.8535147,0.9094114,0.5855115,-0.8265206,0.8901517,0.5777605,-0.8318994,0.8857359,0.5717345,-0.8456937,0.9236542,0.6021352,-0.8684516,0.02773311,
1529583214976,0.9085312,0.577612,-0.9115183,0.8740307,0.5783849,-0.8966427,0.8527732,0.5752477,-0.88422,0.875663,0.6140392,-0.8600513,0.8505965,0.6075449,-0.8584917,0.8433327,0.5935631,-0.8656797,0.8831118,0.5946124,-0.8501137,0.8586344,0.5801457,-0.8567601,0.8557963,0.5673241,-0.8719921,0.895722,0.5793309,-0.8420255,0.8720502,0.5665063,-0.8488711,0.8676353,0.5560628,-0.865076,0.9073379,0.5645896,-0.8378435,0.8879861,0.5575678,-0.8429298,0.8837432,0.5522885,-0.8569946,0.9215469,0.5821356,-0.8795269,0.02771857,
1529583215002,0.9079525,0.5508333,-0.9328088,0.8735908,0.5519297,-0.9176465,0.8525672,0.5484751,-0.9050401,0.8766512,0.5846574,-0.8787215,0.8516154,0.5784327,-0.8771622,0.844281,0.564932,-0.8850927,0.8838505,0.5646374,-0.8701206,0.8594381,0.5509657,-0.8774824,0.8570216,0.5391178,-0.8934956,0.8962855,0.5486247,-0.8632667,0.87325,0.5365777,-0.871326,0.8704497,0.5274882,-0.8885388,0.9076343,0.5336558,-0.8598862,0.8888192,0.5273726,-0.865711,0.886186,0.5231302,-0.8803989,0.9216383,0.5530224,-0.9005713,0.02715502,
