time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529583246384,1.157898,0.5969633,-0.8435664,1.158554,0.5990877,-0.8061463,1.16304,0.5973634,-0.7814913,1.188815,0.6357167,-0.7919743,1.186684,0.6271178,-0.7666644,1.180915,0.6120899,-0.7600112,1.207361,0.6286098,-0.7944567,1.205006,0.6217054,-0.7634526,1.197145,0.6084343,-0.750266,1.223022,0.6156015,-0.8044467,1.221089,0.6073369,-0.7758348,1.21207,0.5943633,-0.7636662,1.234997,0.6015333,-0.8155802,1.234975,0.5964413,-0.793524,1.226487,0.5879112,-0.7833093,1.191533,0.6074229,-0.8436901,0.03158731,
1529583246418,1.145836,0.6013333,-0.8483043,1.145876,0.6030428,-0.8107954,1.148711,0.6016746,-0.7857977,1.179278,0.6383532,-0.796041,1.176674,0.6318173,-0.7696213,1.170397,0.618279,-0.7603119,1.197598,0.6298189,-0.7986282,1.195599,0.6250395,-0.7667664,1.187982,0.6139433,-0.7514392,1.212379,0.6153851,-0.8087341,1.211038,0.6085503,-0.7792001,1.202568,0.5973307,-0.7649454,1.223301,0.6001465,-0.8201154,1.224031,0.5954849,-0.7975772,1.216475,0.5880742,-0.7857418,1.180248,0.6094206,-0.8482425,0.03735652,
1529583246443,1.127997,0.6032579,-0.8504621,1.127232,0.6047994,-0.8129371,1.129229,0.6034008,-0.7878723,1.162161,0.6395313,-0.7977928,1.158587,0.6338838,-0.7712278,1.151648,0.6209112,-0.761579,1.180453,0.6303788,-0.8001647,1.178002,0.6268602,-0.7681091,1.170026,0.6167942,-0.7522033,1.19495,0.6153637,-0.8100473,1.193676,0.6099746,-0.78005,1.185395,0.5999876,-0.7647117,1.205416,0.5993612,-0.8213325,1.206418,0.595466,-0.7985724,1.199178,0.5887949,-0.7860671,1.16284,0.6099791,-0.8499486,0.03873688,
1529583246470,1.112191,0.6088167,-0.8605593,1.110822,0.6098467,-0.8230288,1.112469,0.6079488,-0.79802,1.145575,0.6450197,-0.8073585,1.140698,0.6398405,-0.7808951,1.133185,0.6271477,-0.7712367,1.164311,0.6356326,-0.8093661,1.161751,0.6334629,-0.7769295,1.154045,0.6248002,-0.7600304,1.17891,0.6203554,-0.8189391,1.177974,0.6162974,-0.788506,1.170161,0.6074606,-0.7722359,1.189192,0.6037512,-0.8300219,1.19073,0.6004995,-0.8069819,1.184339,0.5945759,-0.7936146,1.147101,0.6150399,-0.8594061,0.03892427,
1529583246497,1.092172,0.6117454,-0.8684415,1.090159,0.6125301,-0.8309274,1.091471,0.6102254,-0.8060193,1.125174,0.6473596,-0.8147471,1.118884,0.642329,-0.7887861,1.110627,0.6295242,-0.7798892,1.144612,0.6380695,-0.8165289,1.142488,0.6378314,-0.783762,1.135331,0.6309478,-0.7657809,1.159181,0.6226302,-0.8259104,1.159128,0.6206881,-0.7950736,1.152032,0.6133848,-0.7777633,1.169115,0.605168,-0.8368719,1.171593,0.6029181,-0.8136498,1.16607,0.5978365,-0.7995852,1.127191,0.6171697,-0.8667567,0.03771176,
1529583246523,1.071218,0.618493,-0.8801671,1.069,0.6188781,-0.8426589,1.070338,0.6158016,-0.8179339,1.105818,0.6514703,-0.8255136,1.099218,0.6468427,-0.7997051,1.090275,0.6342686,-0.791306,1.125344,0.6415379,-0.8275664,1.124106,0.6420712,-0.7947534,1.117056,0.6358539,-0.7765391,1.139398,0.6256922,-0.8373132,1.140522,0.6245448,-0.8064768,1.133716,0.6179112,-0.7888366,1.148359,0.6075685,-0.8486447,1.151861,0.6054595,-0.8255246,1.146787,0.6007134,-0.8112124,1.106488,0.6218839,-0.8782071,0.03804683,
1529583246550,1.044231,0.6261522,-0.9028736,1.037014,0.6295471,-0.866148,1.035266,0.6276658,-0.8413543,1.076952,0.6560794,-0.8443142,1.069552,0.654331,-0.8175914,1.059883,0.6440666,-0.8073143,1.096232,0.6449308,-0.8447224,1.094051,0.647047,-0.8119227,1.086107,0.6421093,-0.7937701,1.11028,0.6282312,-0.8531994,1.110672,0.6283352,-0.8221481,1.103418,0.6230091,-0.8043049,1.119231,0.6092737,-0.8637807,1.122359,0.6074309,-0.8404408,1.117196,0.6033089,-0.8260155,1.080298,0.6255591,-0.8970318,0.04509634,
1529583246582,1.031836,0.6294745,-0.9307871,1.012295,0.6388768,-0.900054,1.002521,0.6390406,-0.8772907,1.049473,0.6566663,-0.8624661,1.038266,0.6612486,-0.8361579,1.026889,0.6572657,-0.8231716,1.067519,0.6436505,-0.8569798,1.060678,0.6497014,-0.8248392,1.050298,0.6481522,-0.8076332,1.082359,0.6253358,-0.8606808,1.078713,0.6281366,-0.8294168,1.069819,0.6256691,-0.8119633,1.093216,0.605119,-0.8682557,1.094252,0.6039998,-0.844335,1.088431,0.6010408,-0.8300721,1.066012,0.6231298,-0.9121042,0.0620871,
1529583246603,1.035399,0.6281148,-0.936051,1.01391,0.6462546,-0.911082,1.002283,0.6515332,-0.8905555,1.050294,0.6604691,-0.867972,1.042063,0.671767,-0.8421002,1.031907,0.6724434,-0.8283216,1.066301,0.6471643,-0.8597998,1.060419,0.6589829,-0.8290986,1.049909,0.6610438,-0.812228,1.079849,0.627646,-0.8600262,1.076836,0.6358449,-0.8296213,1.068005,0.6370372,-0.8121085,1.089998,0.6058015,-0.8643727,1.092098,0.6083452,-0.8405744,1.086726,0.6079892,-0.8259891,1.065557,0.6196847,-0.9121284,0.07202708,
1529583246629,1.03559,0.6268681,-0.9316257,1.0126,0.647382,-0.9103681,1.00053,0.6536605,-0.8908024,1.044702,0.6638007,-0.8644532,1.035571,0.6759618,-0.8394004,1.025472,0.6776043,-0.8251624,1.060252,0.6527177,-0.854828,1.051986,0.6665716,-0.8255864,1.040112,0.6685263,-0.8102021,1.075066,0.6347365,-0.8529102,1.069707,0.645788,-0.8238186,1.059748,0.6481588,-0.8069885,1.086925,0.6136239,-0.8548568,1.087789,0.6193528,-0.8315171,1.082335,0.6207433,-0.8168899,1.064245,0.6211959,-0.9046515,0.07418896,
